X,Y,seqe_id,account_holder_name,installation_name,parent_company,zip_code,country,main_activity_type_code,main_activity_type_code_lookup,year,emissions,kind
6.625301427,48.046092959,510,SOCIETE NOUVELLE GREGOIRE,SN GREGOIRE,SOCIETE NOUVELLE GREGOIRE,"88200",FR,36,Production of paper or cardboard,2005,16214,Papier
6.625301427,48.046092959,510,SOCIETE NOUVELLE GREGOIRE,SN GREGOIRE,SOCIETE NOUVELLE GREGOIRE,"88200",FR,36,Production of paper or cardboard,2006,15178,Papier
6.625301427,48.046092959,510,SOCIETE NOUVELLE GREGOIRE,SN GREGOIRE,SOCIETE NOUVELLE GREGOIRE,"88200",FR,36,Production of paper or cardboard,2007,15657,Papier
6.625301427,48.046092959,510,SOCIETE NOUVELLE GREGOIRE,SN GREGOIRE,SOCIETE NOUVELLE GREGOIRE,"88200",FR,36,Production of paper or cardboard,2008,15266,Papier
6.625301427,48.046092959,510,SOCIETE NOUVELLE GREGOIRE,SN GREGOIRE,SOCIETE NOUVELLE GREGOIRE,"88200",FR,36,Production of paper or cardboard,2009,12828,Papier
6.625301427,48.046092959,510,SOCIETE NOUVELLE GREGOIRE,SN GREGOIRE,SOCIETE NOUVELLE GREGOIRE,"88200",FR,36,Production of paper or cardboard,2010,26518,Papier
6.625301427,48.046092959,510,SOCIETE NOUVELLE GREGOIRE,SN GREGOIRE,SOCIETE NOUVELLE GREGOIRE,"88200",FR,36,Production of paper or cardboard,2011,0,Papier
6.625301427,48.046092959,510,SOCIETE NOUVELLE GREGOIRE,SN GREGOIRE,SOCIETE NOUVELLE GREGOIRE,"88200",FR,36,Production of paper or cardboard,2012,0,Papier
7.011395291,48.279413683,509,SVD 17,DALKIA CHAUFFERIE ZUP KELLERMAN,DALKIA FRANCE,"88100",FR,20,Combustion of fuels,2005,7994,Combustion
7.011395291,48.279413683,509,SVD 17,DALKIA CHAUFFERIE ZUP KELLERMAN,DALKIA FRANCE,"88100",FR,20,Combustion of fuels,2006,7667,Combustion
7.011395291,48.279413683,509,SVD 17,DALKIA CHAUFFERIE ZUP KELLERMAN,DALKIA FRANCE,"88100",FR,20,Combustion of fuels,2007,7051,Combustion
7.011395291,48.279413683,509,SVD 17,DALKIA CHAUFFERIE ZUP KELLERMAN,DALKIA FRANCE,"88100",FR,20,Combustion of fuels,2008,6290,Combustion
7.011395291,48.279413683,509,SVD 17,DALKIA CHAUFFERIE ZUP KELLERMAN,DALKIA FRANCE,"88100",FR,20,Combustion of fuels,2009,6767,Combustion
7.011395291,48.279413683,509,SVD 17,DALKIA CHAUFFERIE ZUP KELLERMAN,DALKIA FRANCE,"88100",FR,20,Combustion of fuels,2010,6288,Combustion
7.011395291,48.279413683,509,SVD 17,DALKIA CHAUFFERIE ZUP KELLERMAN,DALKIA FRANCE,"88100",FR,20,Combustion of fuels,2011,1335,Combustion
