X,Y,id,InstallationOrAircraftOperatorID,AccountHolderName,NationalAdministrator,NationalAdministratorCode,AccountTypeCode,AccountTypeCodeLookup,AccountStatus,CompanyRegistrationNo,ContactName,ContactAddress1,ContactAddress2,ContactCity,ContactZipCode,ContactCountryCode,ContactCountryCodeLookup,ContactRelationshipTypeCode,ContactRelationshipTypeCodeLookup,ContactTelephone1,ContactTelephone2,ContactEmailAddress,InstallationNameOrAircraftOperatorCode,ParentCompany,SubsidiaryCompany,EPRTRIdentification,FirstYearOfEmissions,LastYearOfEmissions,PermitOrPlanDate,PermitOrPlanID,Latitude,Longitude,Address1,Address2,City,ZipCode,Country,MainActivityTypeCode,MainActivityTypeCodeLookup,FreeAllocations_2005,ETSPhase_2005,AllowanceInAllocation_2005,UnitsSurrendered_2005,CumulativeSurrenderedUnits_2005,CumulativeVerifiedEmissions_2005,SurrenderedAllowances_2005,VerifiedEmissions_2005,ComplianceCode_2005,FreeAllocations_2006,ETSPhase_2006,AllowanceInAllocation_2006,UnitsSurrendered_2006,CumulativeSurrenderedUnits_2006,CumulativeVerifiedEmissions_2006,SurrenderedAllowances_2006,VerifiedEmissions_2006,ComplianceCode_2006,FreeAllocations_2007,ETSPhase_2007,AllowanceInAllocation_2007,UnitsSurrendered_2007,CumulativeSurrenderedUnits_2007,CumulativeVerifiedEmissions_2007,SurrenderedAllowances_2007,VerifiedEmissions_2007,ComplianceCode_2007,FreeAllocations_2008,ETSPhase_2008,AllowanceInAllocation_2008,UnitsSurrendered_2008,CumulativeSurrenderedUnits_2008,CumulativeVerifiedEmissions_2008,SurrenderedAllowances_2008,VerifiedEmissions_2008,ComplianceCode_2008,FreeAllocations_2009,ETSPhase_2009,AllowanceInAllocation_2009,UnitsSurrendered_2009,CumulativeSurrenderedUnits_2009,CumulativeVerifiedEmissions_2009,SurrenderedAllowances_2009,VerifiedEmissions_2009,ComplianceCode_2009,FreeAllocations_2010,ETSPhase_2010,AllowanceInAllocation_2010,UnitsSurrendered_2010,CumulativeSurrenderedUnits_2010,CumulativeVerifiedEmissions_2010,SurrenderedAllowances_2010,VerifiedEmissions_2010,ComplianceCode_2010,FreeAllocations_2011,ETSPhase_2011,AllowanceInAllocation_2011,UnitsSurrendered_2011,CumulativeSurrenderedUnits_2011,CumulativeVerifiedEmissions_2011,SurrenderedAllowances_2011,VerifiedEmissions_2011,ComplianceCode_2011,FreeAllocations_2012,ETSPhase_2012,AllowanceInAllocation_2012,UnitsSurrendered_2012,CumulativeSurrenderedUnits_2012,CumulativeVerifiedEmissions_2012,SurrenderedAllowances_2012,VerifiedEmissions_2012,ComplianceCode_2012,FreeAllocations_2013,ETSPhase_2013,AllowanceInAllocation_2013,UnitsSurrendered_2013,CumulativeSurrenderedUnits_2013,CumulativeVerifiedEmissions_2013,SurrenderedAllowances_2013,VerifiedEmissions_2013,ComplianceCode_2013,FreeAllocations_2014,ETSPhase_2014,AllowanceInAllocation_2014,UnitsSurrendered_2014,CumulativeSurrenderedUnits_2014,CumulativeVerifiedEmissions_2014,SurrenderedAllowances_2014,VerifiedEmissions_2014,ComplianceCode_2014,FreeAllocations_2015,ETSPhase_2015,AllowanceInAllocation_2015,UnitsSurrendered_2015,CumulativeSurrenderedUnits_2015,CumulativeVerifiedEmissions_2015,SurrenderedAllowances_2015,VerifiedEmissions_2015,ComplianceCode_2015,FreeAllocations_2016,ETSPhase_2016,AllowanceInAllocation_2016,UnitsSurrendered_2016,CumulativeSurrenderedUnits_2016,CumulativeVerifiedEmissions_2016,SurrenderedAllowances_2016,VerifiedEmissions_2016,ComplianceCode_2016,FreeAllocations_2017,ETSPhase_2017,AllowanceInAllocation_2017,UnitsSurrendered_2017,CumulativeSurrenderedUnits_2017,CumulativeVerifiedEmissions_2017,SurrenderedAllowances_2017,VerifiedEmissions_2017,ComplianceCode_2017,FreeAllocations_2018,ETSPhase_2018,AllowanceInAllocation_2018,UnitsSurrendered_2018,CumulativeSurrenderedUnits_2018,CumulativeVerifiedEmissions_2018,SurrenderedAllowances_2018,VerifiedEmissions_2018,ComplianceCode_2018,FreeAllocations_2019,ETSPhase_2019,AllowanceInAllocation_2019,UnitsSurrendered_2019,CumulativeSurrenderedUnits_2019,CumulativeVerifiedEmissions_2019,SurrenderedAllowances_2019,VerifiedEmissions_2019,ComplianceCode_2019,FreeAllocations_2020,ETSPhase_2020,AllowanceInAllocation_2020,UnitsSurrendered_2020,CumulativeSurrenderedUnits_2020,CumulativeVerifiedEmissions_2020,SurrenderedAllowances_2020,VerifiedEmissions_2020,ComplianceCode_2020
6.6482307377,47.99107923,FR-510,510,SOCIETE NOUVELLE GREGOIRE,France,FR,100,Holding Account,closed,"527985121",SOCIETE NOUVELLE GREGOIRE,4 Faubourg de Remiremont,/,Saint-Nabord,"88200",FR,France,1,Account holder,,,,SN GREGOIRE,SOCIETE NOUVELLE GREGOIRE,,,2005,2012,1991/10/11,"06202493",0,0,4 Faubourg de Remiremont,/,Saint-Nabord,"88200",FR,36,Production of paper or cardboard,18617,2005-2007,18617,16214,16214,16214,16214,16214,A,18617,2005-2007,18617,15178,31392,31392,15178,15178,A,18616,2005-2007,18616,15657,47049,47049,15657,15657,A,15996,2008-2012,15996,,0,"15266",,15266,B,15996,2008-2012,15996,12828,0,"28094",12828,"12828",B,15996,2008-2012,15996,,0,"54612",,"26518",D*,15996,2008-2012,15996,,0,Not Calculated,,0,C*,0,2008-2012,0,,0,Not Calculated,,"0",C*,,2013-2020,,,0,Not Calculated,,Not Reported,C,,2013-2020,,,0,Not Calculated,,Not Reported,C,,2013-2020,,7359,,,7359,,,,2013-2020,,,,,,,,,2013-2020,,,,,,,,,2013-2020,,,,,,,,,2013-2020,,,,,,,,,2013-2020,,,,,,,
7.00799607343,48.2978194425,FR-509,509,SVD 17,France,FR,100,Holding Account,closed,,SVD 17,37 Avenue du Maréchal,de Lattre de Tassigny,SAINT ANDRE LES LILLE,"59350",FR,France,1,Account holder,,,,DALKIA chaufferie ZUP Kellerman,DALKIA FRANCE,,,2005,2014,1995/01/09,"06202458",0,0,Rue Ernest Colin,/,Saint-Dié,"88100",FR,20,Combustion of fuels,10201,2005-2007,10201,,0,7994,,7994,B,10201,2005-2007,10201,15661,15661,15661,15661,7667,A,10201,2005-2007,10201,7051,22712,22712,7051,7051,A,7033,2008-2012,7033,6290,6290,"6290",6290,6290,A,7033,2008-2012,7033,6767,13057,"13057",6767,"6767",A,7033,2008-2012,7033,6288,19345,"19345",5136,"6288",A,7033,2008-2012,7033,1335,20680,"20680",1084,1335,A,7033,2008-2012,7033,1819,22499,"22499",,"1819",A,4112,2013-2020,4112,1907,1907,"1907",1907,"1907",A,3434,2013-2020,3434,,1907,"1907",,"0",A,0,2013-2020,0,,,,,,,0,2013-2020,0,,,,,,,0,2013-2020,0,,,,,,,0,2013-2020,0,,,,,,,0,2013-2020,0,,,,,,,0,2013-2020,0,,,,,,
7.02039270494,48.4687180609,FR-508,508,PAPETERIE DES CHATELLES SAS,France,FR,100,Holding Account,closed,"789959418",PAPETERIE DES CHATELLES SAS,Route de Saint Die,,Raon l'Etape,"88110",FR,France,1,Account holder,,,,PAPETERIE DES CHATELLES,SARL CHATELLES,,,2005,2015,1981/05/27,"06202418",0,0,Route de Saint-Dié,/,Raon l'Etape,"88110",FR,35,Production of pulp,23958,2005-2007,23958,4065,4065,19023,4065,19023,B,23958,2005-2007,23958,29633,33698,33698,29633,14675,A,23957,2005-2007,23957,13307,47005,47005,13307,13307,A,20585,2008-2012,20585,12916,12916,"12916",12916,12916,A,20585,2008-2012,20585,14627,27543,"27543",14627,"14627",A,20585,2008-2012,20585,15972,43515,"43515",15972,"15972",A,20585,2008-2012,20585,13851,57366,"57366",,13851,A,20585,2008-2012,20585,11339,68705,"68705",11296,"11339",A,12561,2013-2020,12561,9972,9972,"9972",9972,"9972",A*,12343,2013-2020,12343,,9972,"20259",,"10287",B,12123,2013-2020,12123,,9972,"22830",,"2571",B,0,2013-2020,0,,,,,,,0,2013-2020,0,,,,,,,0,2013-2020,0,,,,,,,0,2013-2020,0,,,,,,,0,2013-2020,0,,,,,,
7.02039270494,48.4687180609,FR-507,507,RAON CIRCULAR REGENERATION,France,FR,100,Holding Account,open,"840649693",RAON CIRCULAR REGENERATION,Rue Emile Zola,,RAON L'ETAPE,"88110",FR,France,1,Account holder,,,,RAON CIRCULAR REGENERATION,RAON CIRCULAR REGENERATION,,088PAP3850,2005,0,1993/05/17,"06202417",0,0,Rue Emile Zola,/,RAON L'ETAPE,"88110",FR,35,Production of pulp,25813,2005-2007,25813,,0,20956,,20956,B,25813,2005-2007,25813,38342,38342,38342,38342,17386,A,25814,2005-2007,25814,17168,55510,55510,17168,17168,A,22180,2008-2012,22180,17214,17214,"17214",2243,17214,A,22180,2008-2012,22180,14599,31813,"31813",14599,"14599",A,22180,2008-2012,22180,16147,47960,"47960",16147,"16147",A,22180,2008-2012,22180,15538,63498,"63498",15538,15538,A,22180,2008-2012,22180,15788,79286,"79286",15788,"15788",A,19393,2013-2020,19393,15494,15494,"15494",15494,"15494",A,19054,2013-2020,19054,12896,28390,"28390",12896,"12896",A,18714,2013-2020,18714,11821,40211,"40211",11821,"11821",A,18370,2013-2020,18370,13160,53371,"53371",13160,"13160",A,18022,2013-2020,18022,,53371,"65358",,"11987",B*,17671,2013-2020,17671,16118,69489,"69489",16118,"4131",A,10368,2013-2020,10368,5952,75441,"75441",5952,"5952",A,10156,2013-2020,10156,3758,79199,"79199",3758,"3758",A
6.67611556388,48.4149166,FR-506,506,PAPETERIES MATUSSIERE ET FOREST,France,FR,100,Holding Account,closed,"068502616",PAPETERIES MATUSSIERE ET FOREST,27 avenue du Granier,/,Meylan,"38240",FR,France,1,Account holder,,,,MATUSSIERE ET FOREST Rambervillers,PAPETERIES MATUSSIERE ET FOREST,,,2005,2007,2005/05/17,"06202399",0,0,Usine de Rambervillers,Badlieu/,RAMBERVILLERS,"88700",FR,9,Industrial plants for the production of (a) pulp from timber or other fibrous materials (b) paper and board,28169,2005-2007,28169,,0,0,,0,A,28169,2005-2007,28169,1,1,0,1,0,A,28170,2005-2007,28170,,1,0,,0,A*,,2008-2012,,,0,"0",,,A,,2008-2012,,,0,Not Calculated,,Not Reported,C,,2008-2012,,,0,Not Calculated,,Not Reported,C,,2008-2012,,,,,,,,,2008-2012,,,,,,,,,2013-2020,,,,,,,,,2013-2020,,,,,,,,,2013-2020,,,,,,,,,2013-2020,,,,,,,,,2013-2020,,,,,,,,,2013-2020,,,,,,,,,2013-2020,,,,,,,,,2013-2020,,,,,,,
6.67611556388,48.4149166,FR-505,505,EGGER PANNEAUX ET DECORS,France,FR,100,Holding Account,open,"380160846",EGGER PANNEAUX ET DECORS,Usine de Rion,Avenue d'Albret,Rion des Landes,"40370",FR,France,1,Account holder,,,,EGGER PANNEAUX ET DECORS - Rambervillers,EGGER PANNEAUX ET DECORS,,,2005,0,1994/03/14,"06202396",9.20662582,23.84875106,ZI Blanchifontaine,/,Rambervillers,"88700",FR,20,Combustion of fuels,244,2005-2007,244,117,117,117,117,117,A,244,2005-2007,244,1879,1996,1996,1879,1879,A,244,2005-2007,244,1103,3099,3099,1103,1103,A,193,2008-2012,193,153,153,"153",23,153,A,193,2008-2012,193,89,242,"242",,"89",A,193,2008-2012,193,102,344,"344",,"102",A,193,2008-2012,193,102,446,"446",102,102,A*,193,2008-2012,193,91,537,"537",91,"91",A,48139,2013-2020,48139,1071,1071,"1071",1071,"1071",A,47303,2013-2020,47303,641,1712,"1712",641,"641",A,30527,2013-2020,30527,1049,2761,"2761",1049,"1049",A,26709,2013-2020,26709,1862,4623,"4623",1862,"1862",A,23009,2013-2020,23009,4139,8762,"8762",4139,"4139",A,19428,2013-2020,19428,12848,21610,"21610",12848,"12848",A,15964,2013-2020,15964,5622,27232,"27232",5622,"5622",A,12629,2013-2020,12629,5913,33145,"33145",5913,"5913",A
6.72962889202,48.1923697643,FR-504,504,LUCART SAS,France,FR,100,Holding Account,open,"508026119",LUCART SAS,10 Rue Maurice Mougeot,BP 35/,Laval-sur-Vologne,"88600",FR,France,1,Account holder,,,,LUCART,LUCART,,088NOV1271,2005,0,2000/12/11,"06202307",0,0,10 rue Maurice Mougeot,BP 35/,Laval sur Vologne,"88600",FR,35,Production of pulp,40492,2005-2007,40492,,0,22019,,22019,B,40492,2005-2007,40492,44263,44263,44263,44263,22244,A,40491,2005-2007,40491,24546,68809,68809,24546,24546,A,34792,2008-2012,34792,24377,24377,"24377",24377,24377,A,34792,2008-2012,34792,18907,43284,"43284",18907,"18907",A,34792,2008-2012,34792,22515,65799,"65799",10515,"22515",A,34792,2008-2012,34792,23859,89658,"89658",23859,23859,A,34792,2008-2012,34792,23843,113501,"113501",12359,"23843",A,15118,2013-2020,15118,21823,21823,"21823",21823,"21823",A,14856,2013-2020,14856,21300,43123,"43123",21300,"21300",A,14591,2013-2020,14591,20427,63550,"63550",20427,"20427",A,14322,2013-2020,14322,19182,82732,"82732",19182,"19182",A,14051,2013-2020,16033,21677,104409,"104409",21677,"21677",A,13776,2013-2020,16044,21516,125925,"125925",21516,"21516",A,13499,2013-2020,15724,22434,148359,"148359",22434,"22434",A,13221,2013-2020,15403,22018,170377,"170377",22018,"22018",A
2.8047419383,49.4863336578,FR-40,40,SAINT GOBAIN GLASS FRANCE,France,FR,100,Holding Account,open,"998269211",SAINT GOBAIN GLASS FRANCE,Tour Saint Gobain,12 Place de l'Iris,COURBEVOIE,"92400",FR,France,1,Account holder,,,,Saint Gobain Glass France - Chantereine,SAINT GOBAIN GLASS FRANCE,,,2005,0,1989/07/26,"05101610",6.4022,24.9847,1 rue de Montluçon,/,Thourotte,"60150",FR,31,Manufacture of glass,116846,2005-2007,116846,91955,91955,91955,91955,91955,A,116846,2005-2007,116846,90985,182940,182940,90985,90985,A,116846,2005-2007,116846,91799,274739,274739,91799,91799,A,115803,2008-2012,115803,99459,99459,"99459",99459,99459,A*,115803,2008-2012,115803,87123,186582,"186582",87123,"87123",A,115803,2008-2012,115803,89781,276363,"276363",89781,"89781",A,115803,2008-2012,115803,85945,362308,"362308",72040,85945,A*,115803,2008-2012,115803,87122,449430,"449430",23296,"87122",A,86998,2013-2020,86998,86908,86908,"86908",86908,"86908",A,85487,2013-2020,85487,89051,175959,"175959",89051,"89051",A,83958,2013-2020,83958,86763,262722,"262722",86763,"86763",A,82413,2013-2020,82413,89986,352708,"352708",89986,"89986",A,80852,2013-2020,80852,85778,438486,"438486",85778,"85778",A,79275,2013-2020,79275,87191,525677,"525677",87191,"87191",A*,77679,2013-2020,77679,85589,611266,"611266",85589,"85589",A,76077,2013-2020,76077,77040,688306,"688306",77040,"77040",A
6.42545128144,48.2002428602,FR-503,503,NORSKE SKOG GOLBEY,France,FR,100,Holding Account,open,"349690644",NORSKE SKOG GOLBEY,Route Jean Charles Pellerin,Zone Industrielle III,GOLBEY,"88190",FR,France,1,Account holder,,,,NORSKE SKOG GOLBEY,NORSKE SKOG GOLBEY,,,2005,0,1991/07/18,"06202274",0,0,Route Jean-Charles Pellerin,BP 109/,GOLBEY Cedex,"88194",FR,35,Production of pulp,33412,2005-2007,33412,1935,1935,34716,1935,34716,B,33412,2005-2007,33412,73614,75549,75549,73614,40833,A,33413,2005-2007,33413,27680,103229,103229,27680,27680,A,28709,2008-2012,28709,23414,23414,"23414",4036,23414,A,28709,2008-2012,28709,13993,37407,"37407",13993,"13993",A,28709,2008-2012,28709,14475,51882,"51882",14475,"14475",A,28709,2008-2012,28709,13679,65561,"65561",13679,13679,A,28709,2008-2012,28709,12179,77740,"77740",12179,"12179",A,177237,2013-2020,177237,31408,31408,"31408",31408,"31408",A,174158,2013-2020,174158,31451,62859,"62859",31451,"31451",A,171044,2013-2020,171044,24824,87683,"87683",24824,"24824",A,167896,2013-2020,167896,33405,121088,"121087",33405,"33404",A,164715,2013-2020,164715,37276,158364,"158363",37276,"37276",A,161503,2013-2020,161503,37532,195896,"195895",37532,"37532",A,158251,2013-2020,158251,27938,223834,"223834",27938,"27939",A,154988,2013-2020,154988,27348,251182,"251181",27348,"27347",A
5.89970965405,48.4090826549,FR-502,502,OI FRANCE SAS,France,FR,100,Holding Account,open,"339030702",OI FRANCE SAS,64 boulevard du 11 novembre 1918,/,Villeurbanne,"69100",FR,France,1,Account holder,,,,OI FRANCE SAS - GIRONCOURT,OI FRANCE SAS,,088BSN3841,2005,0,1989/06/23,"06202256",0,0,28 rue d'Alsace,/,Gironcourt sur Vraine,"88170",FR,31,Manufacture of glass,129674,2005-2007,129674,121651,121651,121651,121651,121651,A*,129674,2005-2007,129674,122325,243976,243976,122325,122325,A,129673,2005-2007,129673,120621,364597,364597,120621,120621,A,121446,2008-2012,121446,117533,117533,"117533",117533,117533,A,121446,2008-2012,121446,83173,200706,"200706",83173,"83173",A,121446,2008-2012,121446,61366,262072,"262072",61366,"61366",A,121446,2008-2012,121446,61520,323592,"323592",435,61520,A,121446,2008-2012,121446,62306,385898,"385898",45911,"62306",A,54557,2013-2020,54557,60273,60273,"60273",60273,"60273",A,53610,2013-2020,53610,61143,121416,"121416",61143,"61143",A,52651,2013-2020,52651,61972,183388,"183388",61972,"61972",A,51682,2013-2020,51682,61012,244400,"244400",61012,"61012",A,50703,2013-2020,50703,60790,305190,"305190",60790,"60790",A,49714,2013-2020,49714,65613,370803,"370803",65613,"65613",A,48713,2013-2020,48713,64490,435293,"435293",64490,"64490",A,47709,2013-2020,47709,73179,508472,"508472",73179,"73179",A
