id,InstallationOrAircraftOperatorID,AccountHolderName,NationalAdministrator,NationalAdministratorCode,AccountTypeCode,AccountTypeCodeLookup,AccountStatus,CompanyRegistrationNo,ContactName,ContactAddress1,ContactAddress2,ContactCity,ContactZipCode,ContactCountryCode,ContactCountryCodeLookup,ContactRelationshipTypeCode,ContactRelationshipTypeCodeLookup,ContactTelephone1,ContactTelephone2,ContactEmailAddress,InstallationNameOrAircraftOperatorCode,ParentCompany,SubsidiaryCompany,EPRTRIdentification,FirstYearOfEmissions,LastYearOfEmissions,PermitOrPlanDate,PermitOrPlanID,Latitude,Longitude,Address1,Address2,City,ZipCode,Country,MainActivityTypeCode,MainActivityTypeCodeLookup,FreeAllocations_2005,ETSPhase_2005,AllowanceInAllocation_2005,UnitsSurrendered_2005,CumulativeSurrenderedUnits_2005,CumulativeVerifiedEmissions_2005,SurrenderedAllowances_2005,VerifiedEmissions_2005,ComplianceCode_2005,FreeAllocations_2006,ETSPhase_2006,AllowanceInAllocation_2006,UnitsSurrendered_2006,CumulativeSurrenderedUnits_2006,CumulativeVerifiedEmissions_2006,SurrenderedAllowances_2006,VerifiedEmissions_2006,ComplianceCode_2006,FreeAllocations_2007,ETSPhase_2007,AllowanceInAllocation_2007,UnitsSurrendered_2007,CumulativeSurrenderedUnits_2007,CumulativeVerifiedEmissions_2007,SurrenderedAllowances_2007,VerifiedEmissions_2007,ComplianceCode_2007,FreeAllocations_2008,ETSPhase_2008,AllowanceInAllocation_2008,UnitsSurrendered_2008,CumulativeSurrenderedUnits_2008,CumulativeVerifiedEmissions_2008,SurrenderedAllowances_2008,VerifiedEmissions_2008,ComplianceCode_2008,FreeAllocations_2009,ETSPhase_2009,AllowanceInAllocation_2009,UnitsSurrendered_2009,CumulativeSurrenderedUnits_2009,CumulativeVerifiedEmissions_2009,SurrenderedAllowances_2009,VerifiedEmissions_2009,ComplianceCode_2009,FreeAllocations_2010,ETSPhase_2010,AllowanceInAllocation_2010,UnitsSurrendered_2010,CumulativeSurrenderedUnits_2010,CumulativeVerifiedEmissions_2010,SurrenderedAllowances_2010,VerifiedEmissions_2010,ComplianceCode_2010,FreeAllocations_2011,ETSPhase_2011,AllowanceInAllocation_2011,UnitsSurrendered_2011,CumulativeSurrenderedUnits_2011,CumulativeVerifiedEmissions_2011,SurrenderedAllowances_2011,VerifiedEmissions_2011,ComplianceCode_2011,FreeAllocations_2012,ETSPhase_2012,AllowanceInAllocation_2012,UnitsSurrendered_2012,CumulativeSurrenderedUnits_2012,CumulativeVerifiedEmissions_2012,SurrenderedAllowances_2012,VerifiedEmissions_2012,ComplianceCode_2012,FreeAllocations_2013,ETSPhase_2013,AllowanceInAllocation_2013,UnitsSurrendered_2013,CumulativeSurrenderedUnits_2013,CumulativeVerifiedEmissions_2013,SurrenderedAllowances_2013,VerifiedEmissions_2013,ComplianceCode_2013,FreeAllocations_2014,ETSPhase_2014,AllowanceInAllocation_2014,UnitsSurrendered_2014,CumulativeSurrenderedUnits_2014,CumulativeVerifiedEmissions_2014,SurrenderedAllowances_2014,VerifiedEmissions_2014,ComplianceCode_2014,FreeAllocations_2015,ETSPhase_2015,AllowanceInAllocation_2015,UnitsSurrendered_2015,CumulativeSurrenderedUnits_2015,CumulativeVerifiedEmissions_2015,SurrenderedAllowances_2015,VerifiedEmissions_2015,ComplianceCode_2015,FreeAllocations_2016,ETSPhase_2016,AllowanceInAllocation_2016,UnitsSurrendered_2016,CumulativeSurrenderedUnits_2016,CumulativeVerifiedEmissions_2016,SurrenderedAllowances_2016,VerifiedEmissions_2016,ComplianceCode_2016,FreeAllocations_2017,ETSPhase_2017,AllowanceInAllocation_2017,UnitsSurrendered_2017,CumulativeSurrenderedUnits_2017,CumulativeVerifiedEmissions_2017,SurrenderedAllowances_2017,VerifiedEmissions_2017,ComplianceCode_2017,FreeAllocations_2018,ETSPhase_2018,AllowanceInAllocation_2018,UnitsSurrendered_2018,CumulativeSurrenderedUnits_2018,CumulativeVerifiedEmissions_2018,SurrenderedAllowances_2018,VerifiedEmissions_2018,ComplianceCode_2018,FreeAllocations_2019,ETSPhase_2019,AllowanceInAllocation_2019,UnitsSurrendered_2019,CumulativeSurrenderedUnits_2019,CumulativeVerifiedEmissions_2019,SurrenderedAllowances_2019,VerifiedEmissions_2019,ComplianceCode_2019,FreeAllocations_2020,ETSPhase_2020,AllowanceInAllocation_2020,UnitsSurrendered_2020,CumulativeSurrenderedUnits_2020,CumulativeVerifiedEmissions_2020,SurrenderedAllowances_2020,VerifiedEmissions_2020,ComplianceCode_2020
AT-200103,200103,Jetalliance Flugbetriebs GmbH,Austria,AT,100,Holding Account,closed,FN 203001g,Jetalliance Flugbetriebs GmbH,Flugplatz 1,NA,Kottingbrunn,2542,AT,Austria,1,Account holder,NA,NA,NA,27702,NA,NA,NA,2013,2013,2010-01-01,BMLFUW-UW.1.3.2/0354-V/4/2009,NA,NA,-,NA,-,-,AT,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,671,2008-2012,671,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,0,Not Calculated,NA,Excluded,C,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA
AT-200108,200108,Glock GmbH,Austria,AT,100,Holding Account,closed,FN64142b,Glock GmbH,Loibstrasse 16,NA,Ferlach,9170,AT,Austria,1,Account holder,NA,NA,NA,194,NA,NA,NA,2012,2014,2010-01-01,BMFLUW-UW.1.3.2/0084-V/4/2010,NA,NA,-,NA,-,-,AT,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,11,2008-2012,11,1678,1678,1678,1678,1678,A,8,2013-2020,8,NA,0,0,NA,1692,A,8,2013-2020,8,3412,3412,3412,3412,1720,A,8,2013-2020,8,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA
AT-200109,200109,Glock Services GmbH,Austria,AT,100,Holding Account,closed,FN329154a,Glock Services GmbH,Schneeweisshofweg 32,NA,Treffen am Ossiachersee,9521,AT,Austria,1,Account holder,NA,NA,NA,36057,NA,NA,NA,2012,2012,2010-01-01,UW.1.3.2/0085-V/4/2011,NA,NA,-,NA,-,-,AT,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,0,NA,NA,2008-2012,NA,NA,NA,NA,NA,0,NA,94,2008-2012,94,NA,0,0,NA,0,A,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA
AT-200146,200146,Austrian Airlines AG,Austria,AT,100,Holding Account,open,111 000k,Austrian Airlines AG,Office Park 2,"POB 100, 1300 Flughafen Wien-Schwechat",Wien-Flughafen,1300,AT,Austria,1,Account holder,NA,NA,NA,440,NA,NA,NA,2012,0,2010-01-01,BMNT-UW.1.3.2/0189-IV/1/2019,NA,NA,-,NA,-,-,AT,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,1541468,2008-2012,1541468,828384,828384,828384,704148,828384,A,412575,2013-2020,412575,NA,0,0,NA,733862,A*,412575,2013-2020,412575,1450145,1450145,1450144,1450145,716282,A,412575,2013-2020,412575,720504,2170649,2170649,720504,720505,A,412575,2013-2020,412575,763086,2933735,2933735,763086,763086,A,412575,2013-2020,412575,819688,3753423,3753423,819688,819688,A,412575,2013-2020,412575,874529,4627952,4627952,874529,874529,A,412575,2013-2020,412575,913486,5541438,5541438,913486,913486,A,424300,2013-2020,424300,276140,5808346,5808346,258271,266908,A
AT-200165,200165,Tupack Verpackungen Gesellschaft m.b.H.,Austria,AT,100,Holding Account,closed,60238 k,Tupack Verpackungen Gesellschaft m.b.H.,Warneckestrasse 5,NA,Wien,1113,AT,Austria,1,Account holder,NA,NA,NA,28567,NA,NA,NA,2012,2019,2010-01-01,BMLFUW-UW.1.3.2/0130-V/4/2010,NA,NA,-,NA,-,-,AT,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,25,2008-2012,25,791,791,791,672,791,A,16,2013-2020,16,NA,0,0,NA,Excluded,A,16,2013-2020,16,NA,0,0,NA,Excluded,A,16,2013-2020,16,NA,0,0,NA,Excluded,A,16,2013-2020,16,NA,0,0,NA,Excluded,A,16,2013-2020,16,NA,0,0,NA,Excluded,A,16,2013-2020,16,NA,0,0,NA,Excluded,A,16,2013-2020,16,NA,0,0,NA,Excluded,A,0,2013-2020,0,NA,NA,NA,NA,Excluded,NA
AT-200180,200180,Air Charter Limited,Austria,AT,100,Holding Account,open,FL-0001.021.205-3,Air Charter Limited,AEulestrasse 5,NA,Vaduz,9490,LI,Liechtenstein,1,Account holder,NA,NA,NA,209,NA,NA,NA,2012,0,2010-01-01,BMFLUW-UW.1.3.2/0372-V/4/2009,NA,NA,-,NA,-,-,AT,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,3,2008-2012,3,297,297,297,297,297,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,Not Calculated,NA,Excluded,-
AT-200265,200265,International Jet Management GmbH,Austria,AT,100,Holding Account,open,242653v,International Jet Management GmbH,Concorde Business Park 2/F14,NA,Wien-Schwechat,2320,AT,Austria,1,Account holder,NA,NA,NA,30323,NA,NA,NA,2012,0,2009-01-01,BMFLUW-UW.1.3.2/0255-V/4/2010,NA,NA,-,NA,-,-,AT,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,493,2008-2012,493,6358,6358,6358,5434,6358,A,146,2013-2020,146,NA,0,0,NA,2697,A,146,2013-2020,146,7344,7344,7344,7344,4647,A,146,2013-2020,146,5542,12886,12886,5542,5542,A,146,2013-2020,146,4647,17533,17533,4647,4647,A,146,2013-2020,146,5365,22898,22898,5365,5365,A,146,2013-2020,146,4565,27463,27463,4565,4565,A,146,2013-2020,146,5209,32672,32672,5209,5209,A,157,2013-2020,157,5524,37488,37488,5498,4816,A
AT-200433,200433,NIKI Luftfahrt GmbH,Austria,AT,100,Holding Account,open,FN230533w,NIKI Luftfahrt GmbH,"Office Park I, Top B03",NA,Vienna-Airport,1300,AT,Austria,1,Account holder,NA,NA,NA,29932,NA,NA,NA,2012,0,2010-01-01,BMLFUW-UW.1.3.2/0261-V/4/2013,NA,NA,-,NA,-,-,AT,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,283624,2008-2012,283624,330525,330525,330525,280947,330525,A,141040,2013-2020,141040,NA,0,0,NA,226751,A,141040,2013-2020,141040,480401,480401,480401,480401,253650,A,141040,2013-2020,141040,255813,736214,736214,255813,255813,A,141040,2013-2020,141040,253289,989503,989503,253289,253289,A,141040,2013-2020,141040,NA,989503,Not Calculated,NA,Not Reported,C,141040,2013-2020,141040,NA,989503,Not Calculated,NA,Not Reported,C,141040,2013-2020,141040,NA,989503,Not Calculated,NA,Not Reported,C,141040,2013-2020,141040,NA,989503,Not Calculated,NA,Not Reported,C
AT-200442,200442,Ingrid Flick,Austria,AT,100,Holding Account,closed,NA,Ingrid Flick,Auen Süduferstraße 11a,NA,Schiefling am Wörther See,9220,AT,Austria,1,Account holder,NA,NA,NA,1178,NA,NA,NA,2012,2012,2010-01-01,BMLFUW-UW.1.3.2/0010-V/4/2011,NA,NA,-,NA,-,-,AT,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,16,2008-2012,16,555,555,555,555,555,A,NA,2013-2020,NA,NA,NA,NA,NA,Excluded,NA,NA,2013-2020,NA,NA,NA,NA,NA,Excluded,NA,NA,2013-2020,NA,NA,NA,NA,NA,Excluded,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA
AT-201018,201018,InterSky Luftfahrt GmbH,Austria,AT,100,Holding Account,closed,FN 215648 f,InterSky Luftfahrt GmbH,Bahnhofstrasse 10,NA,Bregenz,6900,AT,Austria,1,Account holder,NA,NA,NA,28512,NA,NA,NA,2012,2015,2010-01-01,BMLFUW-UW.1.3.2/0030-V/4/2011,NA,NA,-,NA,-,-,AT,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,8369,2008-2012,8369,16376,16376,16376,13920,16376,A,7802,2013-2020,7802,NA,0,0,NA,16656,A,7802,2013-2020,7802,30127,30127,30127,30127,13471,A,7802,2013-2020,7802,NA,30127,Not Calculated,NA,15330,C*,0,2013-2020,0,13410,NA,NA,13410,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA
