id,InstallationOrAircraftOperatorID,AccountHolderName,NationalAdministrator,NationalAdministratorCode,AccountTypeCode,AccountTypeCodeLookup,AccountStatus,CompanyRegistrationNo,ContactName,ContactAddress1,ContactAddress2,ContactCity,ContactZipCode,ContactCountryCode,ContactCountryCodeLookup,ContactRelationshipTypeCode,ContactRelationshipTypeCodeLookup,ContactTelephone1,ContactTelephone2,ContactEmailAddress,InstallationNameOrAircraftOperatorCode,ParentCompany,SubsidiaryCompany,EPRTRIdentification,FirstYearOfEmissions,LastYearOfEmissions,PermitOrPlanDate,PermitOrPlanID,Latitude,Longitude,Address1,Address2,City,ZipCode,Country,MainActivityTypeCode,MainActivityTypeCodeLookup,FreeAllocations_2005,ETSPhase_2005,AllowanceInAllocation_2005,UnitsSurrendered_2005,CumulativeSurrenderedUnits_2005,CumulativeVerifiedEmissions_2005,SurrenderedAllowances_2005,VerifiedEmissions_2005,ComplianceCode_2005,FreeAllocations_2006,ETSPhase_2006,AllowanceInAllocation_2006,UnitsSurrendered_2006,CumulativeSurrenderedUnits_2006,CumulativeVerifiedEmissions_2006,SurrenderedAllowances_2006,VerifiedEmissions_2006,ComplianceCode_2006,FreeAllocations_2007,ETSPhase_2007,AllowanceInAllocation_2007,UnitsSurrendered_2007,CumulativeSurrenderedUnits_2007,CumulativeVerifiedEmissions_2007,SurrenderedAllowances_2007,VerifiedEmissions_2007,ComplianceCode_2007,FreeAllocations_2008,ETSPhase_2008,AllowanceInAllocation_2008,UnitsSurrendered_2008,CumulativeSurrenderedUnits_2008,CumulativeVerifiedEmissions_2008,SurrenderedAllowances_2008,VerifiedEmissions_2008,ComplianceCode_2008,FreeAllocations_2009,ETSPhase_2009,AllowanceInAllocation_2009,UnitsSurrendered_2009,CumulativeSurrenderedUnits_2009,CumulativeVerifiedEmissions_2009,SurrenderedAllowances_2009,VerifiedEmissions_2009,ComplianceCode_2009,FreeAllocations_2010,ETSPhase_2010,AllowanceInAllocation_2010,UnitsSurrendered_2010,CumulativeSurrenderedUnits_2010,CumulativeVerifiedEmissions_2010,SurrenderedAllowances_2010,VerifiedEmissions_2010,ComplianceCode_2010,FreeAllocations_2011,ETSPhase_2011,AllowanceInAllocation_2011,UnitsSurrendered_2011,CumulativeSurrenderedUnits_2011,CumulativeVerifiedEmissions_2011,SurrenderedAllowances_2011,VerifiedEmissions_2011,ComplianceCode_2011,FreeAllocations_2012,ETSPhase_2012,AllowanceInAllocation_2012,UnitsSurrendered_2012,CumulativeSurrenderedUnits_2012,CumulativeVerifiedEmissions_2012,SurrenderedAllowances_2012,VerifiedEmissions_2012,ComplianceCode_2012,FreeAllocations_2013,ETSPhase_2013,AllowanceInAllocation_2013,UnitsSurrendered_2013,CumulativeSurrenderedUnits_2013,CumulativeVerifiedEmissions_2013,SurrenderedAllowances_2013,VerifiedEmissions_2013,ComplianceCode_2013,FreeAllocations_2014,ETSPhase_2014,AllowanceInAllocation_2014,UnitsSurrendered_2014,CumulativeSurrenderedUnits_2014,CumulativeVerifiedEmissions_2014,SurrenderedAllowances_2014,VerifiedEmissions_2014,ComplianceCode_2014,FreeAllocations_2015,ETSPhase_2015,AllowanceInAllocation_2015,UnitsSurrendered_2015,CumulativeSurrenderedUnits_2015,CumulativeVerifiedEmissions_2015,SurrenderedAllowances_2015,VerifiedEmissions_2015,ComplianceCode_2015,FreeAllocations_2016,ETSPhase_2016,AllowanceInAllocation_2016,UnitsSurrendered_2016,CumulativeSurrenderedUnits_2016,CumulativeVerifiedEmissions_2016,SurrenderedAllowances_2016,VerifiedEmissions_2016,ComplianceCode_2016,FreeAllocations_2017,ETSPhase_2017,AllowanceInAllocation_2017,UnitsSurrendered_2017,CumulativeSurrenderedUnits_2017,CumulativeVerifiedEmissions_2017,SurrenderedAllowances_2017,VerifiedEmissions_2017,ComplianceCode_2017,FreeAllocations_2018,ETSPhase_2018,AllowanceInAllocation_2018,UnitsSurrendered_2018,CumulativeSurrenderedUnits_2018,CumulativeVerifiedEmissions_2018,SurrenderedAllowances_2018,VerifiedEmissions_2018,ComplianceCode_2018,FreeAllocations_2019,ETSPhase_2019,AllowanceInAllocation_2019,UnitsSurrendered_2019,CumulativeSurrenderedUnits_2019,CumulativeVerifiedEmissions_2019,SurrenderedAllowances_2019,VerifiedEmissions_2019,ComplianceCode_2019,FreeAllocations_2020,ETSPhase_2020,AllowanceInAllocation_2020,UnitsSurrendered_2020,CumulativeSurrenderedUnits_2020,CumulativeVerifiedEmissions_2020,SurrenderedAllowances_2020,VerifiedEmissions_2020,ComplianceCode_2020,FreeAllocations_2021,ETSPhase_2021,AllowanceInAllocation_2021,UnitsSurrendered_2021,CumulativeSurrenderedUnits_2021,CumulativeVerifiedEmissions_2021,SurrenderedAllowances_2021,VerifiedEmissions_2021,ComplianceCode_2021,FreeAllocations_2022,ETSPhase_2022,AllowanceInAllocation_2022,UnitsSurrendered_2022,CumulativeSurrenderedUnits_2022,CumulativeVerifiedEmissions_2022,SurrenderedAllowances_2022,VerifiedEmissions_2022,ComplianceCode_2022
BE-200090,200090,"Valero Services, Inc.",Belgium,BE,100,Holding Account,open,3332817,"Valero Services, Inc.",1000 Skyplace Blvd.,NA,San Antonio,78216,US,United States,1,Account holder,NA,NA,NA,8962,NA,NA,NA,2012,0,2010-01-01,UK-E-AV-04163,NA,NA,-,NA,-,-,BE,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,65,2008-2012,65,661,661,657,563,657,A,1,2013-2020,1,NA,0,0,NA,Excluded,A,1,2013-2020,1,NA,0,0,NA,Excluded,A,1,2013-2020,1,NA,0,0,NA,Excluded,A,1,2013-2020,1,NA,0,0,NA,Excluded,A,1,2013-2020,1,NA,0,0,NA,Excluded,A,1,2013-2020,1,NA,0,0,NA,Excluded,A,1,2013-2020,1,NA,0,0,NA,Excluded,A,1,2013-2020,1,NA,0,Not Calculated,NA,Excluded,-,NA,2021-2030,NA,NA,0,Not Calculated,NA,Excluded,-,NA,2021-2030,NA,NA,0,0,NA,Excluded,A
BE-200100,200100,BMI REGIONAL LTD,Belgium,BE,100,Holding Account,open,SC104657,BMI REGIONAL LTD,"Lightyear Building, 9 Marchburn Drive",Glasgow Airport,Paisley,PA3 2SJ,GB,United Kingdom,1,Account holder,NA,NA,NA,38941,NA,NA,NA,2012,0,2011-01-01,UK-S-AV-06362,NA,NA,-,NA,-,-,BE,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,21256,2008-2012,21256,72003,72003,72003,61203,72003,A,18753,2013-2020,18753,NA,0,0,NA,88954,A,18753,2013-2020,18753,167519,167519,167519,167519,78565,A,18753,2013-2020,18753,84448,251967,251967,84448,84448,A,18753,2013-2020,18753,86588,338555,338555,86588,86588,A,18753,2013-2020,18753,108239,446794,446794,108239,108239,A,18753,2013-2020,18753,NA,446794,Not Calculated,NA,104256,C*,18753,2013-2020,18753,NA,446794,Not Calculated,NA,12758,C*,0,2013-2020,0,NA,NA,NA,NA,Excluded,NA,NA,2021-2030,NA,NA,0,0,NA,Excluded,B,NA,2021-2030,NA,NA,0,0,NA,Excluded,B
BE-200137,200137,3M Company,Belgium,BE,100,Holding Account,open,262413,3M Company,"251 Little Falls Drive, Wilmington",Wilmington,New Castle,19808,US,United States,1,Account holder,NA,NA,NA,1905,NA,NA,NA,2012,0,2009-01-01,UK-E-AV-00013,NA,NA,-,NA,-,-,BE,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,249,2008-2012,249,290,290,290,290,290,A,16,2013-2020,16,NA,0,0,NA,191,A,16,2013-2020,16,425,425,425,425,234,A,16,2013-2020,16,127,552,552,127,127,A,16,2013-2020,16,198,750,750,198,198,A,16,2013-2020,16,246,996,996,246,246,A,16,2013-2020,16,59,1055,1055,59,59,A,16,2013-2020,16,NA,1055,1055,NA,Excluded,A,17,2013-2020,17,NA,1055,1055,NA,Excluded,A,14,2021-2030,14,NA,0,Not Calculated,NA,Excluded,-,14,2021-2030,14,NA,0,0,NA,Excluded,A
BE-200797,200797,ASL Airlines Belgium,Belgium,BE,100,Holding Account,open,0466467258,ASL Airlines Belgium,Rue de l'Aéroport 101,NA,Grâce-Hollogne,B-4460,BE,Belgium,1,Account holder,NA,NA,NA,27011,NA,NA,NA,2012,0,2012-01-01,TNTMPE2011_1.WA00TAY004,NA,NA,-,NA,-,-,BE,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,575833,2008-2012,575833,641252,641252,641252,545064,641252,A,110679,2013-2020,110679,NA,0,0,NA,268863,A,110679,2013-2020,110679,536082,536082,536082,536082,267219,A,110679,2013-2020,110679,283467,819549,819549,283467,283467,A,110679,2013-2020,110679,311575,1131124,1131124,311575,311575,A,110679,2013-2020,110679,315154,1446278,1446278,315154,315154,A,110679,2013-2020,110679,302054,1748332,1748332,302054,302054,A,110679,2013-2020,110679,256331,2004663,2004663,256331,256331,A,110688,2013-2020,110688,240482,2243653,2243653,240374,238990,A,101181,2021-2030,101181,237354,234655,234655,237146,234655,A*,98905,2021-2030,98905,219506,453327,453327,219406,218672,A
BE-201095,201095,Cigna Corporation,Belgium,BE,100,Holding Account,open,6784873,Cigna Corporation,"Hangar 85-176, Bradley Intl Airport",NA,Windsor Locks,6096,US,United States,1,Account holder,NA,NA,NA,7526,NA,NA,NA,2012,0,2009-01-01,UK-E-AV-01123,NA,NA,-,NA,-,-,BE,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,19,2008-2012,19,NA,NA,0,NA,0,A,1,2013-2020,1,NA,NA,0,NA,Excluded,A,1,2013-2020,1,NA,NA,0,NA,Excluded,A,1,2013-2020,1,NA,NA,0,NA,Excluded,A,1,2013-2020,1,NA,NA,0,NA,Excluded,A,1,2013-2020,1,NA,NA,0,NA,Excluded,A,1,2013-2020,1,NA,NA,0,NA,Excluded,A,1,2013-2020,1,NA,NA,0,NA,Excluded,A,1,2013-2020,1,NA,NA,Not Calculated,NA,Excluded,-,NA,2021-2030,NA,NA,NA,Not Calculated,NA,Excluded,-,NA,2021-2030,NA,NA,NA,0,NA,Excluded,A
BE-277,277,VPK Paper,Belgium,BE,100,Holding Account,open,0454519927,VPK Paper,Oude baan (OUD) 120,NA,Dendermonde,9200,BE,Belgium,1,Account holder,NA,NA,NA,VPK Paper,-,"-,-",vl00532701000185,2005,0,2005-04-01,VL303,NA,NA,Oude Baan 120,NA,Dendermonde,9200,BE,36,Production of paper or cardboard,200593,2005-2007,200593,198825,198825,198825,198825,198825,A*,200593,2005-2007,200593,218881,417706,417706,218881,218881,A*,200594,2005-2007,200594,187940,605646,605646,187940,187940,A,242137,2008-2012,242137,203760,203760,203760,203760,203760,A,242137,2008-2012,242137,207442,411202,411202,207442,207442,A,242137,2008-2012,242137,204179,615381,615381,159701,204179,A,242136,2008-2012,242136,207931,823312,823312,167931,207931,A,242136,2008-2012,242136,204050,1027362,1027362,177726,204050,A,112470,2013-2020,112470,203932,203932,203932,203932,203932,A,110279,2013-2020,110279,208374,412306,412306,208374,208374,A,108075,2013-2020,108075,207599,619905,619905,207599,207599,A,105858,2013-2020,105858,205319,825224,825224,205319,205319,A,103629,2013-2020,103629,209680,1034904,1034904,209680,209680,A,101390,2013-2020,101390,200522,1235426,1235426,200522,200522,A,99134,2013-2020,99134,196883,1432309,1432309,196883,196883,A,96879,2013-2020,96879,204073,1636382,1636382,204073,204073,A,112462,2021-2030,112462,191893,191893,191893,191893,191893,A,114899,2021-2030,114899,187098,378991,378991,187098,187098,A
BE-278,278,Wienerberger,Belgium,BE,100,Holding Account,open,0448850870,Wienerberger,Kapel ter Bede (Kor) 121,NA,Kortrijk,8500,BE,Belgium,1,Account holder,NA,NA,NA,Tuileries du Hainaut Mouscron,-,"-,-",W161,2005,0,2005-04-01,WAI132P090,NA,NA,Rue de la Royenne 55,NA,Mouscron,7700,BE,32,Manufacture of ceramics,14642,2005-2007,14642,11337,11337,11337,11337,11337,A*,14643,2005-2007,14643,11946,23283,23283,11946,11946,A*,14643,2005-2007,14643,13358,36641,36641,13358,13358,A,14002,2008-2012,14002,13130,13130,13130,12570,13130,A,14002,2008-2012,14002,11289,24419,24419,10729,11289,A,14002,2008-2012,14002,12439,36858,36858,11879,12439,A,14002,2008-2012,14002,13714,50572,50572,13154,13714,A,14002,2008-2012,14002,14114,64686,64686,13554,14114,A,9161,2013-2020,9161,11450,11450,11450,11450,11450,A,9002,2013-2020,9002,11191,22641,22641,11191,11191,A,8841,2013-2020,8841,9660,32301,32301,9660,9660,A,8679,2013-2020,8679,9627,41928,41928,9627,9627,A,8514,2013-2020,8514,9330,51258,51258,9330,9330,A,8348,2013-2020,8348,8304,59562,59562,8304,8304,A,8180,2013-2020,8180,9037,68599,68599,9037,9037,A,8011,2013-2020,8011,8620,77219,77219,8620,8620,A,6016,2021-2030,6016,11130,11130,11130,11130,11130,A,6016,2021-2030,6016,10771,21901,21901,10771,10771,A
BE-279,279,GlaxoSmithKline Biologicals,Belgium,BE,100,Holding Account,open,0440872918,GlaxoSmithKline Biologicals,Rue de l'institut  89,NA,Rixensart,1330,BE,Belgium,1,Account holder,NA,NA,NA,GSK Wavre,-,"-,-",W096,2005,0,2005-04-01,WAI140P109,NA,NA,"Parc de la Noire Epine,  rue Fleming 20",NA,Wavre,1300,BE,20,Combustion of fuels,18829,2005-2007,18829,10209,10209,10209,10209,10209,A*,18830,2005-2007,18830,13542,23751,23751,13542,13542,A*,18830,2005-2007,18830,18433,42184,42184,18433,18433,A,23401,2008-2012,23401,20424,20424,20424,20424,20424,A,23402,2008-2012,23402,20736,41160,41160,20736,20736,A,25588,2008-2012,25588,22613,63773,63773,22613,22613,A,26025,2008-2012,26025,25203,88976,88975,25203,25202,A,26025,2008-2012,26025,23571,112547,112547,19535,23572,A,19983,2013-2020,19983,23642,23642,23642,23642,23642,A,19636,2013-2020,19636,24912,48554,48554,24912,24912,A,19285,2013-2020,19285,25544,74098,74098,25544,25544,A,18930,2013-2020,18930,24937,99035,99035,24937,24937,A,18571,2013-2020,19227,27832,126867,126867,27832,27832,A,18209,2013-2020,21110,26392,153259,153259,26392,26392,A,17842,2013-2020,20687,24588,177847,177847,24588,24588,A,17474,2013-2020,20264,25801,203648,203648,25801,25801,A,6108,2021-2030,6108,25057,25057,25057,25057,25057,A,6108,2021-2030,6108,25319,50376,50376,25319,25319,A
BE-280,280,Unilin,Belgium,BE,100,Holding Account,open,0405414072,Unilin,Ooigemstraat 3,NA,Wielsbeke (Ooigem),8710,BE,Belgium,1,Account holder,NA,NA,NA,Unilin bvba site Vielsalm,-,"-,-",W209,2005,0,2005-04-01,WAI108P020,NA,NA,ZI de BURTONVILLE,NA,Vielsalm,6690,BE,20,Combustion of fuels,37906,2005-2007,37906,22102,22102,22102,22102,22102,A*,37907,2005-2007,37907,21557,43659,43659,21557,21557,A*,37907,2005-2007,37907,22975,66634,66634,22975,22975,A,28918,2008-2012,28918,17698,17698,17698,17698,17698,A,28918,2008-2012,28918,10673,28371,28371,10673,10673,A,28918,2008-2012,28918,7403,35774,35774,7403,7403,A,28919,2008-2012,28919,6275,42049,42049,6275,6275,A,28919,2008-2012,28919,6821,48870,48870,1037,6821,A,91807,2013-2020,91807,6232,6232,6232,6232,6232,A,90212,2013-2020,90212,6946,13178,13178,6946,6946,A,58218,2013-2020,58218,7055,20233,20233,7055,7055,A,50937,2013-2020,50937,7183,27416,27416,7183,7183,A,43881,2013-2020,43881,7685,35101,35101,7685,7685,A,37052,2013-2020,37052,7998,43099,43099,7998,7998,A,30445,2013-2020,30445,7527,50626,50626,7527,7527,A,24085,2013-2020,24085,6655,57281,57281,6655,6655,A,38064,2021-2030,38064,7773,7773,7773,7773,7773,A,38064,2021-2030,38064,7607,15380,15380,7607,7607,A
BE-281,281,Borealis Polymers,Belgium,BE,100,Holding Account,open,0457665893,Borealis Polymers,Industrieweg 148,NA,Paal (Beringen),3583,BE,Belgium,1,Account holder,NA,NA,NA,Borealis Polymers - Beringen,-,"-,-",vl01851913000196,2005,0,2005-04-01,VL107,NA,NA,Industrieweg 148,NA,Paal (Beringen),3583,BE,42,Production of bulk chemicals,84344,2005-2007,84344,69600,69600,69600,69600,69600,A*,84344,2005-2007,84344,64405,134005,134005,64405,64405,A*,84343,2005-2007,84343,67280,201285,201285,67280,67280,A,70084,2008-2012,70084,66973,66973,66973,66973,66973,A,70084,2008-2012,70084,66287,133260,133260,66287,66287,A,70084,2008-2012,70084,63843,197103,197103,31694,63843,A,70084,2008-2012,70084,59316,256419,256419,59316,59316,A,70085,2008-2012,70085,57580,313999,313999,57580,57580,A,47478,2013-2020,47478,59840,59840,59840,59840,59840,A,46654,2013-2020,46654,55199,115039,115039,55199,55199,A,45819,2013-2020,45819,53379,168418,168418,53379,53379,A,44976,2013-2020,44976,50489,218907,218907,50489,50489,A,44125,2013-2020,44125,48015,266922,266922,48015,48015,A,43264,2013-2020,43264,46911,313833,313833,46911,46911,A,42393,2013-2020,42393,48250,362083,362083,48250,48250,A,41518,2013-2020,41518,44865,406948,406948,44865,44865,A,33253,2021-2030,33253,40855,40855,40855,40855,40855,A,33253,2021-2030,33253,34781,75636,75636,34781,34781,A
