id,InstallationOrAircraftOperatorID,AccountHolderName,NationalAdministrator,NationalAdministratorCode,AccountTypeCode,AccountTypeCodeLookup,AccountStatus,CompanyRegistrationNo,ContactName,ContactAddress1,ContactAddress2,ContactCity,ContactZipCode,ContactCountryCode,ContactCountryCodeLookup,ContactRelationshipTypeCode,ContactRelationshipTypeCodeLookup,ContactTelephone1,ContactTelephone2,ContactEmailAddress,InstallationNameOrAircraftOperatorCode,ParentCompany,SubsidiaryCompany,EPRTRIdentification,FirstYearOfEmissions,LastYearOfEmissions,PermitOrPlanDate,PermitOrPlanID,Latitude,Longitude,Address1,Address2,City,ZipCode,Country,MainActivityTypeCode,MainActivityTypeCodeLookup,FreeAllocations_2005,ETSPhase_2005,AllowanceInAllocation_2005,UnitsSurrendered_2005,CumulativeSurrenderedUnits_2005,CumulativeVerifiedEmissions_2005,SurrenderedAllowances_2005,VerifiedEmissions_2005,ComplianceCode_2005,FreeAllocations_2006,ETSPhase_2006,AllowanceInAllocation_2006,UnitsSurrendered_2006,CumulativeSurrenderedUnits_2006,CumulativeVerifiedEmissions_2006,SurrenderedAllowances_2006,VerifiedEmissions_2006,ComplianceCode_2006,FreeAllocations_2007,ETSPhase_2007,AllowanceInAllocation_2007,UnitsSurrendered_2007,CumulativeSurrenderedUnits_2007,CumulativeVerifiedEmissions_2007,SurrenderedAllowances_2007,VerifiedEmissions_2007,ComplianceCode_2007,FreeAllocations_2008,ETSPhase_2008,AllowanceInAllocation_2008,UnitsSurrendered_2008,CumulativeSurrenderedUnits_2008,CumulativeVerifiedEmissions_2008,SurrenderedAllowances_2008,VerifiedEmissions_2008,ComplianceCode_2008,FreeAllocations_2009,ETSPhase_2009,AllowanceInAllocation_2009,UnitsSurrendered_2009,CumulativeSurrenderedUnits_2009,CumulativeVerifiedEmissions_2009,SurrenderedAllowances_2009,VerifiedEmissions_2009,ComplianceCode_2009,FreeAllocations_2010,ETSPhase_2010,AllowanceInAllocation_2010,UnitsSurrendered_2010,CumulativeSurrenderedUnits_2010,CumulativeVerifiedEmissions_2010,SurrenderedAllowances_2010,VerifiedEmissions_2010,ComplianceCode_2010,FreeAllocations_2011,ETSPhase_2011,AllowanceInAllocation_2011,UnitsSurrendered_2011,CumulativeSurrenderedUnits_2011,CumulativeVerifiedEmissions_2011,SurrenderedAllowances_2011,VerifiedEmissions_2011,ComplianceCode_2011,FreeAllocations_2012,ETSPhase_2012,AllowanceInAllocation_2012,UnitsSurrendered_2012,CumulativeSurrenderedUnits_2012,CumulativeVerifiedEmissions_2012,SurrenderedAllowances_2012,VerifiedEmissions_2012,ComplianceCode_2012,FreeAllocations_2013,ETSPhase_2013,AllowanceInAllocation_2013,UnitsSurrendered_2013,CumulativeSurrenderedUnits_2013,CumulativeVerifiedEmissions_2013,SurrenderedAllowances_2013,VerifiedEmissions_2013,ComplianceCode_2013,FreeAllocations_2014,ETSPhase_2014,AllowanceInAllocation_2014,UnitsSurrendered_2014,CumulativeSurrenderedUnits_2014,CumulativeVerifiedEmissions_2014,SurrenderedAllowances_2014,VerifiedEmissions_2014,ComplianceCode_2014,FreeAllocations_2015,ETSPhase_2015,AllowanceInAllocation_2015,UnitsSurrendered_2015,CumulativeSurrenderedUnits_2015,CumulativeVerifiedEmissions_2015,SurrenderedAllowances_2015,VerifiedEmissions_2015,ComplianceCode_2015,FreeAllocations_2016,ETSPhase_2016,AllowanceInAllocation_2016,UnitsSurrendered_2016,CumulativeSurrenderedUnits_2016,CumulativeVerifiedEmissions_2016,SurrenderedAllowances_2016,VerifiedEmissions_2016,ComplianceCode_2016,FreeAllocations_2017,ETSPhase_2017,AllowanceInAllocation_2017,UnitsSurrendered_2017,CumulativeSurrenderedUnits_2017,CumulativeVerifiedEmissions_2017,SurrenderedAllowances_2017,VerifiedEmissions_2017,ComplianceCode_2017,FreeAllocations_2018,ETSPhase_2018,AllowanceInAllocation_2018,UnitsSurrendered_2018,CumulativeSurrenderedUnits_2018,CumulativeVerifiedEmissions_2018,SurrenderedAllowances_2018,VerifiedEmissions_2018,ComplianceCode_2018,FreeAllocations_2019,ETSPhase_2019,AllowanceInAllocation_2019,UnitsSurrendered_2019,CumulativeSurrenderedUnits_2019,CumulativeVerifiedEmissions_2019,SurrenderedAllowances_2019,VerifiedEmissions_2019,ComplianceCode_2019,FreeAllocations_2020,ETSPhase_2020,AllowanceInAllocation_2020,UnitsSurrendered_2020,CumulativeSurrenderedUnits_2020,CumulativeVerifiedEmissions_2020,SurrenderedAllowances_2020,VerifiedEmissions_2020,ComplianceCode_2020,FreeAllocations_2021,ETSPhase_2021,AllowanceInAllocation_2021,UnitsSurrendered_2021,CumulativeSurrenderedUnits_2021,CumulativeVerifiedEmissions_2021,SurrenderedAllowances_2021,VerifiedEmissions_2021,ComplianceCode_2021,FreeAllocations_2022,ETSPhase_2022,AllowanceInAllocation_2022,UnitsSurrendered_2022,CumulativeSurrenderedUnits_2022,CumulativeVerifiedEmissions_2022,SurrenderedAllowances_2022,VerifiedEmissions_2022,ComplianceCode_2022
BG-200120,200120,Air Via,Bulgaria,BG,100,Holding Account,open,355/2002510,Air Via,Block Rila 4,NA,Kurdjali,6600,BG,Bulgaria,1,Account holder,NA,NA,NA,11775,NA,NA,NA,2012,0,2009-01-01,4/2009,NA,NA,-,NA,-,-,BG,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,60290,2008-2012,60290,43036,43036,43036,43036,43036,A*,49383,2013-2020,49383,NA,0,0,NA,37872,A*,49383,2013-2020,49383,76743,76743,76743,76743,38871,A*,49383,2013-2020,49383,28248,104991,104991,28248,28248,A*,49383,2013-2020,49383,31212,136203,136203,31212,31212,A,49383,2013-2020,49383,NA,136203,136203,NA,0,A*,49383,2013-2020,49383,NA,136203,Not Calculated,NA,Not Reported,C,49383,2013-2020,49383,NA,136203,Not Calculated,NA,Not Reported,C,49383,2013-2020,49383,NA,136203,Not Calculated,NA,Not Reported,C,NA,2021-2030,NA,NA,0,Not Calculated,NA,Not Reported,C,NA,2021-2030,NA,NA,0,Not Calculated,NA,Not Reported,C
BG-200122,200122,BH AIR,Bulgaria,BG,100,Holding Account,open,3972/2001110,BH AIR,Dyakon Ignatii 7 street,NA,Sofia,1000,BG,Bulgaria,1,Account holder,NA,NA,NA,28445,NA,NA,NA,2012,0,2009-01-01,5/2011,NA,NA,-,NA,-,-,BG,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,46217,2008-2012,46217,47432,47432,47432,46217,47432,A*,41131,2013-2020,41131,NA,0,0,NA,41760,A,41131,2013-2020,41131,78638,78638,78638,78638,36878,A,41131,2013-2020,41131,33518,112156,112156,33518,33518,A,41131,2013-2020,41131,46814,158970,158970,46814,46814,A,41131,2013-2020,41131,38899,197869,197869,38899,38899,A,41131,2013-2020,41131,38080,235949,235949,38080,38080,A,41131,2013-2020,41131,34058,270007,270007,34058,34058,A*,41204,2013-2020,41204,1462,271463,271463,1462,1456,A*,0,2021-2030,0,NA,0,Not Calculated,NA,Excluded,-,26817,2021-2030,26817,11736,11686,11686,11701,11686,A
BG-200160,200160,Bulgaria Air,Bulgaria,BG,100,Holding Account,open,000633828,Bulgaria Air,bul. Brussels 1,NA,Sofia,1540,BG,Bulgaria,1,Account holder,NA,NA,NA,29056,NA,NA,NA,2012,0,2009-01-01,9/2009,NA,NA,-,NA,-,-,BG,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,126175,2008-2012,126175,188181,188181,188181,160181,188181,A*,80473,2013-2020,80473,NA,0,0,NA,132435,A,80473,2013-2020,80473,264945,264945,268980,264945,136545,B,80473,2013-2020,80473,149548,414493,414493,149548,145513,A*,80473,2013-2020,80473,146784,561277,561277,146784,146784,A,80473,2013-2020,80473,125682,686959,686959,125682,125682,A*,80473,2013-2020,80473,120564,807523,807523,120564,120564,A*,80473,2013-2020,80473,NA,807523,947475,NA,139952,B*,81265,2013-2020,81265,217160,1023023,1023023,215973,75548,A*,73968,2021-2030,73968,63386,61923,61923,61923,61923,A*,72304,2021-2030,72304,72539,132859,132859,70936,70936,A
BG-200204,200204,EUROPEAN AIR CHARTER EAD,Bulgaria,BG,100,Holding Account,open,204830885,EUROPEAN AIR CHARTER EAD,str.Pavel Krassov 35,NA,Sofia,1138,BG,Bulgaria,1,Account holder,NA,NA,NA,27538,NA,NA,NA,2012,0,2009-01-01,1/2009,NA,NA,-,NA,-,-,BG,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,36563,2008-2012,36563,39264,39264,39264,33375,39264,A*,27529,2013-2020,27529,NA,0,0,NA,40418,A,27529,2013-2020,27529,95050,95050,95050,95050,54632,A,27529,2013-2020,27529,54252,149302,149302,54252,54252,A,27529,2013-2020,27529,64076,213378,213378,64076,64076,A,27529,2013-2020,27529,86709,300087,300087,86709,86709,A,27529,2013-2020,27529,98539,398626,398626,98539,98539,A,27529,2013-2020,27529,103829,502455,502455,103829,103829,A*,27529,2013-2020,27529,11959,514414,514414,11959,11959,A*,26925,2021-2030,26925,29264,29264,29264,29264,29264,A*,26319,2021-2030,26319,66911,96175,96175,66911,66911,A*
BG-1,1,E.Miroglio AD,Bulgaria,BG,100,Holding Account,open,119603547,E.Miroglio AD,Industrialen,NA,Sliven,8800,BG,Bulgaria,1,Account holder,NA,NA,NA,E.Miroglio -Yambol,NA,NA,NA,2007,0,2008-11-30,BG-P55,NA,NA,Industrialen,NA,Yambol,8600,BG,20,Combustion of fuels,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,0,3914,NA,3914,B*,6605,2008-2012,6605,NA,0,6605,NA,6605,E*,8904,2008-2012,8904,13236,13236,13236,13236,6631,E*,7673,2008-2012,7673,8116,21352,21352,8116,8116,A*,7673,2008-2012,7673,8546,29898,29898,8546,8546,A*,8000,2008-2012,8000,6963,36861,36861,NA,6963,A*,5425,2013-2020,5425,7291,7291,7291,7291,7291,A,5331,2013-2020,5331,7337,14628,14628,7337,7337,A,5236,2013-2020,5236,8467,23095,23095,8467,8467,A,5139,2013-2020,5139,8343,31438,31438,8343,8343,A,5042,2013-2020,5042,8688,40126,40126,8688,8688,A,4944,2013-2020,4944,8731,48857,48857,8731,8731,A,4844,2013-2020,4844,8583,57440,57440,8583,8583,A,4744,2013-2020,4744,6691,64131,64131,6691,6691,A*,5528,2021-2030,5528,7924,7924,7924,7924,7924,A*,5386,2021-2030,5386,8058,15982,15982,8058,8058,A*
BG-2,2,E.Miroglio AD,Bulgaria,BG,100,Holding Account,open,119603547,E.Miroglio AD,Industrialen,NA,Sliven,8800,BG,Bulgaria,1,Account holder,NA,NA,NA,E.Miroglio-Sliven,NA,NA,NA,2007,0,2008-11-30,BG-P56,NA,NA,Industrialen,NA,Sliven,8800,BG,20,Combustion of fuels,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,0,16574,NA,16574,B*,6034,2008-2012,6034,NA,0,6034,NA,6034,E*,16894,2008-2012,16894,11296,11296,11296,11296,5262,E*,14560,2008-2012,14560,5083,16379,16379,5083,5083,A*,14560,2008-2012,14560,5276,21655,21655,5276,5276,A*,15180,2008-2012,15180,4525,26180,26180,NA,4525,A*,14134,2013-2020,14134,6395,6395,6395,6395,6395,A,13888,2013-2020,13888,3831,10226,10226,3831,3831,A,13639,2013-2020,13639,5270,15496,15496,5270,5270,A,13388,2013-2020,13388,6534,22030,22030,6534,6534,A,13135,2013-2020,13135,6243,28273,28273,6243,6243,A,12878,2013-2020,12878,4889,33162,33162,4889,4889,A,12619,2013-2020,12619,4752,37914,37914,4752,4752,A,12360,2013-2020,12360,4096,42010,42010,4096,4096,A*,20204,2021-2030,20204,4509,4509,4509,4509,4509,A*,16834,2021-2030,16834,4859,9368,9368,4859,4859,A*
BG-3,3,Vidahim  AD,Bulgaria,BG,100,Holding Account,open,815123066,Vidahim  AD,Ujna Promichlena Zona,NA,Vidin,3700,BG,Bulgaria,1,Account holder,NA,NA,NA,TEC Vidahim AD,NA,NA,NA,2007,0,2008-11-30,BG-P62,NA,NA,Ujna Promichlena Zona,NA,Vidin,3700,BG,20,Combustion of fuels,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,0,572611,NA,572611,B*,489222,2008-2012,489222,NA,0,489222,NA,489222,E*,583678,2008-2012,583678,1024964,1024964,1024964,1024964,535742,E*,503018,2008-2012,503018,430294,1455258,1455258,430294,430294,A*,503023,2008-2012,503023,380013,1835271,1835271,380013,380013,A*,524461,2008-2012,524461,385374,2220645,2220645,59374,385374,A*,68653,2013-2020,178971,357554,357554,357554,357554,357554,A*,67458,2013-2020,195412,303279,660833,660833,303279,303279,A*,66264,2013-2020,172892,98008,758841,758841,98008,98008,A*,32535,2013-2020,117837,NA,758841,758841,NA,0,A*,0,2013-2020,63977,NA,758841,758841,NA,0,A*,0,2013-2020,42651,NA,758841,758841,NA,0,A*,0,2013-2020,21326,NA,758841,758841,NA,0,A*,0,2013-2020,0,NA,758841,758841,NA,0,A*,0,2021-2030,0,NA,0,0,NA,0,A*,0,2021-2030,0,NA,0,0,NA,0,A*
BG-4,4,Toplofikacia Pernik AD,Bulgaria,BG,100,Holding Account,open,113012360,Toplofikacia Pernik AD,q.Mochino,NA,Pernik,2303,BG,Bulgaria,1,Account holder,NA,NA,NA,TEC Republika,NA,NA,NA,2007,0,2008-11-30,BG-P28,NA,NA,q.Mochino,NA,Pernik,2303,BG,20,Combustion of fuels,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,0,768318,NA,768318,B*,553311,2008-2012,553311,NA,0,553311,NA,553311,E*,663536,2008-2012,663536,955780,955780,955780,955780,402469,E*,571840,2008-2012,571840,421894,1377674,1377674,421894,421894,A*,571845,2008-2012,571845,487037,1864711,1864711,117443,487037,A*,596217,2008-2012,596217,453960,2318671,2318671,453960,453960,A*,218426,2013-2020,391172,480770,480770,480770,480770,480770,A*,187011,2013-2020,335079,513948,994718,994718,513948,513948,A*,158179,2013-2020,281569,456894,1451612,1451612,456894,456894,A*,131891,2013-2020,230603,450971,1902583,1902583,450971,450971,A,108034,2013-2020,182068,364567,2267150,2267150,364567,364567,A,86518,2013-2020,135874,197328,2464478,2464478,197328,197328,A*,67402,2013-2020,92080,143561,2608039,2608039,143561,143561,A*,53387,2013-2020,53387,105109,2713148,2713148,105109,105109,A*,21589,2021-2030,21589,159738,159738,159738,159738,159738,A*,21034,2021-2030,21034,160392,320130,320130,160392,160392,A*
BG-5,5,“Trakya Glass Bulgaria” EAD,Bulgaria,BG,100,Holding Account,open,117606893,“Trakya Glass Bulgaria” EAD,q.Vabel,NA,Targovichte,7700,BG,Bulgaria,1,Account holder,NA,NA,NA,“Trakya Glass Bulgaria”,NA,NA,NA,2007,0,2008-11-30,BG-P40,NA,NA,q.Vabel,NA,Targovichte,7700,BG,31,Manufacture of glass,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,0,157307,NA,157307,B*,156774,2008-2012,156774,NA,0,156774,NA,156774,E*,208195,2008-2012,208195,328084,328084,328084,328084,171310,E*,179424,2008-2012,179424,191975,520059,520059,191975,191975,A*,179426,2008-2012,179426,193088,713147,713147,193088,193088,A*,187073,2008-2012,187073,183615,896762,896762,69690,183615,A*,165862,2013-2020,165862,189825,189825,189825,189825,189825,A*,162980,2013-2020,201284,231410,421235,421235,231410,231410,A*,160065,2013-2020,278390,315270,736505,736505,315270,315270,A,157120,2013-2020,295904,356858,1093363,1093363,356858,356858,A,154144,2013-2020,290380,347695,1441058,1441058,347695,347695,A,151138,2013-2020,284826,244154,1685212,1685212,244154,244154,A,104571,2013-2020,197327,187436,1872648,1872648,187436,187436,A*,102415,2013-2020,193369,231429,2104077,2104077,231429,231429,A,160219,2021-2030,160219,266942,266942,266942,266942,266942,A*,186933,2021-2030,186933,246145,513087,513087,246145,246145,A*
BG-6,6,Deven AD,Bulgaria,BG,100,Holding Account,closed,103004325,Deven AD,Promichlena zona-UG,NA,Devnia,9160,BG,Bulgaria,1,Account holder,NA,NA,NA,Deven AD,NA,NA,NA,2007,2018,2008-11-30,BG-P72,NA,NA,Promichlena zona-UG,NA,Devnia,9160,BG,20,Combustion of fuels,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,0,1622014,NA,1622014,B*,1508045,2008-2012,1508045,NA,0,1508045,NA,1508045,E*,1653364,2008-2012,1653364,2433090,2433090,2433090,2433090,925045,E*,1527070,2008-2012,1527070,1465565,3898655,3898655,1465565,1465565,A*,1849049,2008-2012,1849049,1596833,5495488,5495488,1596833,1596833,A*,1927854,2008-2012,1927854,1612604,7108092,7108092,554604,1612604,A*,130130,2013-2020,293992,1526718,1526718,1526718,1526718,1526718,A*,116454,2013-2020,256907,1685183,3211901,3211901,1685183,1685183,A*,103166,2013-2020,220210,1455781,4667682,4667682,1455781,1455781,A*,90299,2013-2020,183934,1351671,6019353,6019353,1351671,1351671,A*,77835,2013-2020,148061,1366670,7386023,7386023,1366670,1366670,A*,32888,2013-2020,79706,1321470,8707493,8707493,1321470,1321470,A*,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA
