id,InstallationOrAircraftOperatorID,AccountHolderName,NationalAdministrator,NationalAdministratorCode,AccountTypeCode,AccountTypeCodeLookup,AccountStatus,CompanyRegistrationNo,ContactName,ContactAddress1,ContactAddress2,ContactCity,ContactZipCode,ContactCountryCode,ContactCountryCodeLookup,ContactRelationshipTypeCode,ContactRelationshipTypeCodeLookup,ContactTelephone1,ContactTelephone2,ContactEmailAddress,InstallationNameOrAircraftOperatorCode,ParentCompany,SubsidiaryCompany,EPRTRIdentification,FirstYearOfEmissions,LastYearOfEmissions,PermitOrPlanDate,PermitOrPlanID,Latitude,Longitude,Address1,Address2,City,ZipCode,Country,MainActivityTypeCode,MainActivityTypeCodeLookup,FreeAllocations_2005,ETSPhase_2005,AllowanceInAllocation_2005,UnitsSurrendered_2005,CumulativeSurrenderedUnits_2005,CumulativeVerifiedEmissions_2005,SurrenderedAllowances_2005,VerifiedEmissions_2005,ComplianceCode_2005,FreeAllocations_2006,ETSPhase_2006,AllowanceInAllocation_2006,UnitsSurrendered_2006,CumulativeSurrenderedUnits_2006,CumulativeVerifiedEmissions_2006,SurrenderedAllowances_2006,VerifiedEmissions_2006,ComplianceCode_2006,FreeAllocations_2007,ETSPhase_2007,AllowanceInAllocation_2007,UnitsSurrendered_2007,CumulativeSurrenderedUnits_2007,CumulativeVerifiedEmissions_2007,SurrenderedAllowances_2007,VerifiedEmissions_2007,ComplianceCode_2007,FreeAllocations_2008,ETSPhase_2008,AllowanceInAllocation_2008,UnitsSurrendered_2008,CumulativeSurrenderedUnits_2008,CumulativeVerifiedEmissions_2008,SurrenderedAllowances_2008,VerifiedEmissions_2008,ComplianceCode_2008,FreeAllocations_2009,ETSPhase_2009,AllowanceInAllocation_2009,UnitsSurrendered_2009,CumulativeSurrenderedUnits_2009,CumulativeVerifiedEmissions_2009,SurrenderedAllowances_2009,VerifiedEmissions_2009,ComplianceCode_2009,FreeAllocations_2010,ETSPhase_2010,AllowanceInAllocation_2010,UnitsSurrendered_2010,CumulativeSurrenderedUnits_2010,CumulativeVerifiedEmissions_2010,SurrenderedAllowances_2010,VerifiedEmissions_2010,ComplianceCode_2010,FreeAllocations_2011,ETSPhase_2011,AllowanceInAllocation_2011,UnitsSurrendered_2011,CumulativeSurrenderedUnits_2011,CumulativeVerifiedEmissions_2011,SurrenderedAllowances_2011,VerifiedEmissions_2011,ComplianceCode_2011,FreeAllocations_2012,ETSPhase_2012,AllowanceInAllocation_2012,UnitsSurrendered_2012,CumulativeSurrenderedUnits_2012,CumulativeVerifiedEmissions_2012,SurrenderedAllowances_2012,VerifiedEmissions_2012,ComplianceCode_2012,FreeAllocations_2013,ETSPhase_2013,AllowanceInAllocation_2013,UnitsSurrendered_2013,CumulativeSurrenderedUnits_2013,CumulativeVerifiedEmissions_2013,SurrenderedAllowances_2013,VerifiedEmissions_2013,ComplianceCode_2013,FreeAllocations_2014,ETSPhase_2014,AllowanceInAllocation_2014,UnitsSurrendered_2014,CumulativeSurrenderedUnits_2014,CumulativeVerifiedEmissions_2014,SurrenderedAllowances_2014,VerifiedEmissions_2014,ComplianceCode_2014,FreeAllocations_2015,ETSPhase_2015,AllowanceInAllocation_2015,UnitsSurrendered_2015,CumulativeSurrenderedUnits_2015,CumulativeVerifiedEmissions_2015,SurrenderedAllowances_2015,VerifiedEmissions_2015,ComplianceCode_2015,FreeAllocations_2016,ETSPhase_2016,AllowanceInAllocation_2016,UnitsSurrendered_2016,CumulativeSurrenderedUnits_2016,CumulativeVerifiedEmissions_2016,SurrenderedAllowances_2016,VerifiedEmissions_2016,ComplianceCode_2016,FreeAllocations_2017,ETSPhase_2017,AllowanceInAllocation_2017,UnitsSurrendered_2017,CumulativeSurrenderedUnits_2017,CumulativeVerifiedEmissions_2017,SurrenderedAllowances_2017,VerifiedEmissions_2017,ComplianceCode_2017,FreeAllocations_2018,ETSPhase_2018,AllowanceInAllocation_2018,UnitsSurrendered_2018,CumulativeSurrenderedUnits_2018,CumulativeVerifiedEmissions_2018,SurrenderedAllowances_2018,VerifiedEmissions_2018,ComplianceCode_2018,FreeAllocations_2019,ETSPhase_2019,AllowanceInAllocation_2019,UnitsSurrendered_2019,CumulativeSurrenderedUnits_2019,CumulativeVerifiedEmissions_2019,SurrenderedAllowances_2019,VerifiedEmissions_2019,ComplianceCode_2019,FreeAllocations_2020,ETSPhase_2020,AllowanceInAllocation_2020,UnitsSurrendered_2020,CumulativeSurrenderedUnits_2020,CumulativeVerifiedEmissions_2020,SurrenderedAllowances_2020,VerifiedEmissions_2020,ComplianceCode_2020,FreeAllocations_2021,ETSPhase_2021,AllowanceInAllocation_2021,UnitsSurrendered_2021,CumulativeSurrenderedUnits_2021,CumulativeVerifiedEmissions_2021,SurrenderedAllowances_2021,VerifiedEmissions_2021,ComplianceCode_2021,FreeAllocations_2022,ETSPhase_2022,AllowanceInAllocation_2022,UnitsSurrendered_2022,CumulativeSurrenderedUnits_2022,CumulativeVerifiedEmissions_2022,SurrenderedAllowances_2022,VerifiedEmissions_2022,ComplianceCode_2022
CY-200021,200021,Cyprus Airways Public Ltd,Cyprus,CY,100,Holding Account,closed,REG. NO 314,Cyprus Airways Public Ltd,"21, ALKEOU STREET",NA,Nicosia,2404,CY,Cyprus,1,Account holder,NA,NA,NA,866,NA,NA,NA,2012,2014,2012-01-01,CY-ETS-AV-003,NA,NA,-,NA,-,-,CY,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,293216,2008-2012,293216,205158,205158,205158,174384,205158,A*,250491,2013-2020,250491,NA,0,0,NA,160329,A*,250491,2013-2020,250491,264187,264187,264187,264187,103858,A,0,2013-2020,0,NA,264187,264187,NA,Excluded,A,0,2013-2020,0,NA,264187,264187,NA,Excluded,A,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA
CY-200105,200105,EDT Shipmanagment Ltd,Cyprus,CY,100,Holding Account,open,HE 160122,EDT Shipmanagment Ltd,124 Ayias Paraskevis Street,NA,Limassol,3725,CY,Cyprus,1,Account holder,NA,NA,NA,27554,NA,NA,NA,2012,0,2012-01-01,CY-ETS-AV-004,NA,NA,-,NA,-,-,CY,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,25,2008-2012,25,196,196,196,196,196,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,Not Calculated,NA,Excluded,-,NA,2021-2030,NA,NA,0,Not Calculated,NA,Excluded,-,NA,2021-2030,NA,NA,0,0,NA,Excluded,A
CY-200118,200118,KINGFISHER AIRLINES LTD,Cyprus,CY,100,Holding Account,open,L85110KA1995PLCO18045,KINGFISHER AIRLINES LTD,"LEVEL 12, UB CITY, 24 VITTAL MALLYA ROAD",NA,BANGALORE,560001,IN,India,1,Account holder,NA,NA,NA,30932,NA,NA,NA,2012,2012,2012-01-01,CY-ETS-AV-006,NA,NA,-,NA,-,-,CY,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,168468,2008-2012,168468,NA,0,Not Calculated,NA,Not Reported,C,NA,2013-2020,NA,NA,0,Not Calculated,NA,Not Reported,C,NA,2013-2020,NA,NA,0,Not Calculated,NA,Not Reported,C,NA,2013-2020,NA,NA,0,Not Calculated,NA,Not Reported,C,NA,2013-2020,NA,NA,0,Not Calculated,NA,Not Reported,C,NA,2013-2020,NA,NA,0,Not Calculated,NA,Not Reported,C,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA
CY-200119,200119,Air Executive Ltd,Cyprus,CY,100,Holding Account,open,131699,Air Executive Ltd,"49, Griva Digeni, Chrystalla Court, Office 41",NA,Larnaca,6036,CY,Cyprus,1,Account holder,NA,NA,NA,34989,NA,NA,NA,2012,0,2012-01-01,CY-ETS-AV-001,NA,NA,-,NA,-,-,CY,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,7,2008-2012,7,NA,0,120,NA,120,B*,NA,2013-2020,NA,120,120,0,120,Excluded,A,NA,2013-2020,NA,NA,120,0,NA,Excluded,A,NA,2013-2020,NA,NA,120,0,NA,Excluded,A,NA,2013-2020,NA,NA,120,0,NA,Excluded,A,NA,2013-2020,NA,NA,120,0,NA,Excluded,A,NA,2013-2020,NA,NA,120,0,NA,Excluded,A,NA,2013-2020,NA,NA,120,0,NA,Excluded,A,NA,2013-2020,NA,NA,120,Not Calculated,NA,Excluded,-,NA,2021-2030,NA,NA,0,Not Calculated,NA,Excluded,-,NA,2021-2030,NA,NA,0,0,NA,Excluded,A
CY-200200,200200,CSM Aviation Ltd,Cyprus,CY,100,Holding Account,open,55774,CSM Aviation Ltd,"COLUMBIA HOUSE, Dodekanison Street",NA,Limassol,4043,CY,Cyprus,1,Account holder,NA,NA,NA,20324,NA,NA,NA,2012,0,2012-01-01,CY-ETS-AV-002,NA,NA,-,NA,-,-,CY,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,42,2008-2012,42,589,0,Not Calculated,589,589,C*,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,Not Calculated,NA,Excluded,-,NA,2021-2030,NA,NA,0,Not Calculated,NA,Excluded,-,NA,2021-2030,NA,NA,0,0,NA,Excluded,A
CY-210000000000001,210000000000001,Electricity Authority of Cyprus,Cyprus,CY,100,Holding Account,open,19101266G,Electricity Authority of Cyprus,11 Amfipoleos Street,NA,Strovolos,2025,CY,Cyprus,1,Account holder,NA,NA,NA,EAC Vasilikos Power Station,NA,NA,NA,2005,0,2006-08-09,1,NA,NA,"Vasilikos, 7738, Limassol",NA,Limassol,7738,CY,1,Combustion installations with a rated thermal input exceeding 20 MW,NA,2005-2007,NA,NA,NA,NA,NA,1245389,NA,NA,2005-2007,NA,2810666,NA,NA,2810666,1565277,NA,NA,2005-2007,NA,1676010,NA,NA,1676010,1676010,NA,1259446,2008-2012,1259446,1703920,NA,NA,NA,1703920,NA,1396493,2008-2012,1396493,1788007,0,Not Calculated,NA,1788007,C*,1557277,2008-2012,1557277,2082321,0,Not Calculated,NA,2082321,C*,1762358,2008-2012,1762358,1127595,0,Not Calculated,NA,1127595,C*,2019293,2008-2012,2019293,420127,7121970,7121970,41963,420127,A*,0,2013-2020,868904,1405691,1405691,1405691,1405691,1405691,A,0,2013-2020,757188,1674982,3080673,3080673,1674982,1674982,A,0,2013-2020,657885,1807252,4887925,4887925,1807252,1807252,A,0,2013-2020,546169,1926291,6814216,6814216,1926291,1926291,A,0,2013-2020,434452,1814494,8628710,8628710,1814494,1814494,A,0,2013-2020,322736,1858807,10487517,10487517,1858807,1858807,A,0,2013-2020,198607,2043605,12531122,12531122,2043605,2043605,A,0,2013-2020,0,1590057,14121179,14121179,1590057,1590057,A,NA,2021-2030,NA,1894022,1894022,1894022,1894022,1894022,A,NA,2021-2030,NA,1946384,3840406,3840406,1907634,1946384,A
CY-210000000000002,210000000000002,Electricity Authority of Cyprus,Cyprus,CY,100,Holding Account,open,19101266G,Electricity Authority of Cyprus,11 Amfipoleos Street,NA,Strovolos,2025,CY,Cyprus,1,Account holder,NA,NA,NA,EAC Moni Power Station,NA,NA,NA,2005,0,2006-08-09,2,NA,NA,"Pyrgos, 4534, Limassol",NA,Limassol,4534,CY,1,Combustion installations with a rated thermal input exceeding 20 MW,NA,2005-2007,NA,NA,NA,NA,NA,610670,NA,NA,2005-2007,NA,1108151,NA,NA,1108151,497481,NA,NA,2005-2007,NA,484318,NA,NA,484318,484318,NA,533473,2008-2012,533473,492824,NA,NA,NA,492824,NA,546763,2008-2012,546763,446322,0,Not Calculated,NA,446322,C*,550022,2008-2012,550022,283476,0,Not Calculated,NA,283476,C*,590958,2008-2012,590958,525568,0,Not Calculated,NA,525568,C*,648445,2008-2012,648445,565727,2313917,2313917,358907,565727,A*,0,2013-2020,482659,11711,11711,11711,11711,11711,A,0,2013-2020,420602,10893,22604,22604,10893,10893,A,0,2013-2020,365442,12742,35346,35346,12742,12742,A,0,2013-2020,303385,25727,61073,61073,25727,25727,A,0,2013-2020,241329,38158,99231,99231,38158,38158,A,0,2013-2020,179273,48509,147740,147740,48509,48509,A,0,2013-2020,110322,16117,163857,163857,16117,16117,A,0,2013-2020,0,28066,191923,191923,28066,28066,A,NA,2021-2030,NA,30546,30546,30546,30546,30546,A,NA,2021-2030,NA,27053,57599,57599,27053,27053,A
CY-210000000000003,210000000000003,Electricity Authority of Cyprus,Cyprus,CY,100,Holding Account,open,19101266G,Electricity Authority of Cyprus,11 Amfipoleos Street,NA,Strovolos,2025,CY,Cyprus,1,Account holder,NA,NA,NA,EAC Dhekelia Power Station,NA,NA,NA,2005,0,2006-08-09,3,NA,NA,"Dhekelia, 7506, Larnaca",NA,Larnaca,7506,CY,1,Combustion installations with a rated thermal input exceeding 20 MW,NA,2005-2007,NA,NA,NA,NA,NA,1615785,NA,NA,2005-2007,NA,3206407,NA,NA,3206407,1590622,NA,NA,2005-2007,NA,1641339,NA,NA,1641339,1641339,NA,1237780,2008-2012,1237780,1770549,NA,NA,NA,1770549,NA,1361435,2008-2012,1361435,1758138,0,Not Calculated,NA,1758138,C*,1417370,2008-2012,1417370,1502204,0,Not Calculated,NA,1502204,C*,1513658,2008-2012,1513658,2074875,0,Not Calculated,NA,2074875,C*,1600886,2008-2012,1600886,2560075,9665841,9665841,2330634,2560075,A*,0,2013-2020,1167514,NA,0,1412330,NA,1412330,B,0,2013-2020,1017405,2666775,2666775,2666775,2666775,1254445,A,0,2013-2020,883975,1203009,3869784,3869784,1203009,1203009,A,0,2013-2020,733866,1347983,5217767,5217767,1347983,1347983,A,0,2013-2020,583757,1435182,6652949,6652949,1435182,1435182,A,0,2013-2020,433648,1435044,8087993,8087993,1435044,1435044,A,0,2013-2020,266860,1222334,9310327,9310327,1222334,1222334,A,0,2013-2020,0,1385606,10695933,10695933,1385606,1385606,A,NA,2021-2030,NA,1153120,1153120,1153120,1153120,1153120,A,NA,2021-2030,NA,1125505,2278625,2278625,1125505,1125505,A
CY-210000000000004,210000000000004,Vassiliko Cement Works Public Company Ltd,Cyprus,CY,100,Holding Account,open,E1210,Vassiliko Cement Works Public Company Ltd,"Vassiliko Cement Company, Mari, 7736, Larnaca",NA,Larnaka,7736,CY,Cyprus,1,Account holder,NA,NA,NA,Vasiliko Cement Works Public Company Ltd - Vassilikos Cement Plant,NA,NA,NA,2005,0,2006-08-09,4,NA,NA,"Mari, 7736, Larnaca",NA,Larnaca,7736,CY,6,Installations for the production of cement clinker in rotary kilns or lime in rotary kilns or in other furnaces,NA,2005-2007,NA,NA,NA,NA,NA,1145721,NA,NA,2005-2007,NA,2265330,NA,NA,2265330,1119609,NA,NA,2005-2007,NA,1139518,NA,NA,1139518,1139518,NA,1182506,2008-2012,1182506,1125221,NA,NA,NA,1125221,NA,1182506,2008-2012,1182506,1064968,0,Not Calculated,NA,1064968,C*,1244479,2008-2012,1244479,856827,0,Not Calculated,NA,856827,C*,1368423,2008-2012,1368423,740228,0,Not Calculated,NA,740228,C*,1720968,2008-2012,1720968,798264,4585508,4585508,8264,798264,A*,838904,2013-2020,1156413,1173202,1173202,1173202,1173202,1173202,A,824333,2013-2020,1136317,1506658,2679860,2679860,1506658,1506658,A,809591,2013-2020,1116051,1326076,4005936,4005936,1326076,1326076,A,794695,2013-2020,1095630,1323548,5329484,5329484,1323548,1323548,A,779638,2013-2020,1075048,1352831,6682315,6682315,1352831,1352831,A,764435,2013-2020,1217760,1210929,7893244,7893244,1210929,1210929,A,749043,2013-2020,1261101,1142452,9035696,9035696,1142452,1142452,A,733597,2013-2020,1235707,1249819,10285515,10285515,1249819,1249819,A,1167885,2021-2030,1167885,1196620,1196620,1196620,1196620,1196620,A,1167885,2021-2030,1167885,1186720,2383340,2383340,1186720,1186720,A
CY-210000000000005,210000000000005,Vassiliko Cement Works Public Company Ltd,Cyprus,CY,100,Holding Account,closed,E1210,Vassiliko Cement Works Public Company Ltd,"Vassiliko Cement Company, Mari, 7736, Larnaca",NA,Larnaka,7736,CY,Cyprus,1,Account holder,NA,NA,NA,Vasiliko Cement Works Public Company Ltd - Moni Cement Plant,NA,NA,NA,2005,2011,2006-08-09,5,NA,NA,"Pyrgos, 4534, Limassol",NA,Limassol,4534,CY,6,Installations for the production of cement clinker in rotary kilns or lime in rotary kilns or in other furnaces,NA,2005-2007,NA,NA,NA,NA,NA,335599,NA,NA,2005-2007,NA,687489,NA,NA,687489,351890,NA,NA,2005-2007,NA,320088,NA,NA,320088,320088,NA,352544,2008-2012,352544,349957,NA,NA,NA,349957,NA,352544,2008-2012,352544,219912,0,Not Calculated,NA,219912,C*,352544,2008-2012,352544,268602,0,Not Calculated,NA,268602,C*,352544,2008-2012,352544,85441,0,Not Calculated,NA,85441,C*,NA,2008-2012,0,NA,0,Not Calculated,NA,0,C*,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA
