id,InstallationOrAircraftOperatorID,AccountHolderName,NationalAdministrator,NationalAdministratorCode,AccountTypeCode,AccountTypeCodeLookup,AccountStatus,CompanyRegistrationNo,ContactName,ContactAddress1,ContactAddress2,ContactCity,ContactZipCode,ContactCountryCode,ContactCountryCodeLookup,ContactRelationshipTypeCode,ContactRelationshipTypeCodeLookup,ContactTelephone1,ContactTelephone2,ContactEmailAddress,InstallationNameOrAircraftOperatorCode,ParentCompany,SubsidiaryCompany,EPRTRIdentification,FirstYearOfEmissions,LastYearOfEmissions,PermitOrPlanDate,PermitOrPlanID,Latitude,Longitude,Address1,Address2,City,ZipCode,Country,MainActivityTypeCode,MainActivityTypeCodeLookup,FreeAllocations_2005,ETSPhase_2005,AllowanceInAllocation_2005,UnitsSurrendered_2005,CumulativeSurrenderedUnits_2005,CumulativeVerifiedEmissions_2005,SurrenderedAllowances_2005,VerifiedEmissions_2005,ComplianceCode_2005,FreeAllocations_2006,ETSPhase_2006,AllowanceInAllocation_2006,UnitsSurrendered_2006,CumulativeSurrenderedUnits_2006,CumulativeVerifiedEmissions_2006,SurrenderedAllowances_2006,VerifiedEmissions_2006,ComplianceCode_2006,FreeAllocations_2007,ETSPhase_2007,AllowanceInAllocation_2007,UnitsSurrendered_2007,CumulativeSurrenderedUnits_2007,CumulativeVerifiedEmissions_2007,SurrenderedAllowances_2007,VerifiedEmissions_2007,ComplianceCode_2007,FreeAllocations_2008,ETSPhase_2008,AllowanceInAllocation_2008,UnitsSurrendered_2008,CumulativeSurrenderedUnits_2008,CumulativeVerifiedEmissions_2008,SurrenderedAllowances_2008,VerifiedEmissions_2008,ComplianceCode_2008,FreeAllocations_2009,ETSPhase_2009,AllowanceInAllocation_2009,UnitsSurrendered_2009,CumulativeSurrenderedUnits_2009,CumulativeVerifiedEmissions_2009,SurrenderedAllowances_2009,VerifiedEmissions_2009,ComplianceCode_2009,FreeAllocations_2010,ETSPhase_2010,AllowanceInAllocation_2010,UnitsSurrendered_2010,CumulativeSurrenderedUnits_2010,CumulativeVerifiedEmissions_2010,SurrenderedAllowances_2010,VerifiedEmissions_2010,ComplianceCode_2010,FreeAllocations_2011,ETSPhase_2011,AllowanceInAllocation_2011,UnitsSurrendered_2011,CumulativeSurrenderedUnits_2011,CumulativeVerifiedEmissions_2011,SurrenderedAllowances_2011,VerifiedEmissions_2011,ComplianceCode_2011,FreeAllocations_2012,ETSPhase_2012,AllowanceInAllocation_2012,UnitsSurrendered_2012,CumulativeSurrenderedUnits_2012,CumulativeVerifiedEmissions_2012,SurrenderedAllowances_2012,VerifiedEmissions_2012,ComplianceCode_2012,FreeAllocations_2013,ETSPhase_2013,AllowanceInAllocation_2013,UnitsSurrendered_2013,CumulativeSurrenderedUnits_2013,CumulativeVerifiedEmissions_2013,SurrenderedAllowances_2013,VerifiedEmissions_2013,ComplianceCode_2013,FreeAllocations_2014,ETSPhase_2014,AllowanceInAllocation_2014,UnitsSurrendered_2014,CumulativeSurrenderedUnits_2014,CumulativeVerifiedEmissions_2014,SurrenderedAllowances_2014,VerifiedEmissions_2014,ComplianceCode_2014,FreeAllocations_2015,ETSPhase_2015,AllowanceInAllocation_2015,UnitsSurrendered_2015,CumulativeSurrenderedUnits_2015,CumulativeVerifiedEmissions_2015,SurrenderedAllowances_2015,VerifiedEmissions_2015,ComplianceCode_2015,FreeAllocations_2016,ETSPhase_2016,AllowanceInAllocation_2016,UnitsSurrendered_2016,CumulativeSurrenderedUnits_2016,CumulativeVerifiedEmissions_2016,SurrenderedAllowances_2016,VerifiedEmissions_2016,ComplianceCode_2016,FreeAllocations_2017,ETSPhase_2017,AllowanceInAllocation_2017,UnitsSurrendered_2017,CumulativeSurrenderedUnits_2017,CumulativeVerifiedEmissions_2017,SurrenderedAllowances_2017,VerifiedEmissions_2017,ComplianceCode_2017,FreeAllocations_2018,ETSPhase_2018,AllowanceInAllocation_2018,UnitsSurrendered_2018,CumulativeSurrenderedUnits_2018,CumulativeVerifiedEmissions_2018,SurrenderedAllowances_2018,VerifiedEmissions_2018,ComplianceCode_2018,FreeAllocations_2019,ETSPhase_2019,AllowanceInAllocation_2019,UnitsSurrendered_2019,CumulativeSurrenderedUnits_2019,CumulativeVerifiedEmissions_2019,SurrenderedAllowances_2019,VerifiedEmissions_2019,ComplianceCode_2019,FreeAllocations_2020,ETSPhase_2020,AllowanceInAllocation_2020,UnitsSurrendered_2020,CumulativeSurrenderedUnits_2020,CumulativeVerifiedEmissions_2020,SurrenderedAllowances_2020,VerifiedEmissions_2020,ComplianceCode_2020
CZ-418,418,"SLADOVNY SOUFFLET ČR, a.s.",Czech Republic,CZ,100,Holding Account,open,26173174,"SLADOVNY SOUFFLET ČR, a.s.",Průmyslová 2170/12,NA,Prostějov,79601,CZ,Czech Republic,1,Account holder,NA,NA,NA,SLADOVNY SOUFFLET ČR - závod Kroměříž,NA,NA,NA,2009,0,2009-10-14,CZ-0443-09,0,0,Průmyslová 2170/12,NA,Prostějov,79601,CZ,20,Combustion of fuels,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,0,2008-2012,0,NA,NA,NA,NA,NA,NA,11947,2008-2012,11947,11947,11947,11947,11947,11947,A*,20266,2008-2012,20266,11876,23823,23823,11876,11876,A*,20266,2008-2012,20266,12166,35989,35989,4892,12166,A,20266,2008-2012,20266,12747,48736,48736,12747,12747,A,12202,2013-2020,12202,12306,12306,12306,12306,12306,A,11990,2013-2020,11990,11862,24168,24168,11862,11862,A,11775,2013-2020,11775,12025,36193,36193,12025,12025,A,11559,2013-2020,11559,11521,47714,47714,11521,11521,A,11340,2013-2020,11340,11020,58734,58734,11020,11020,A,11119,2013-2020,11119,11103,69837,69837,11103,11103,A,10895,2013-2020,10895,8023,77860,77860,8023,8023,A,10670,2013-2020,10670,6217,84077,84077,6217,6217,A
CZ-163,163,Teplospol a.s.,Czech Republic,CZ,100,Holding Account,open,25171283,Teplospol a.s.,Vajgar 585/III,NA,Jindřichův Hradec,37701,CZ,Czech Republic,1,Account holder,NA,NA,NA,Teplospol - kotelna Vajgar,NA,NA,NA,2005,0,2005-05-27,CZ-0255-05,0,0,Otín 166,NA,Jindřichův Hradec,37701,CZ,20,Combustion of fuels,13954,2005-2007,13954,NA,0,10012,NA,10012,B,13954,2005-2007,13954,19434,19434,19434,19434,9422,A*,13954,2005-2007,13954,8628,28062,28062,8628,8628,A,10397,2008-2012,10397,8299,8299,8299,8299,8299,A,10397,2008-2012,10397,2687,10986,10986,NA,2687,A,10397,2008-2012,10397,1256,12242,12242,943,1256,A*,10397,2008-2012,10397,900,13142,13142,900,900,A,10397,2008-2012,10397,1341,14483,14483,1341,1341,A,2781,2013-2020,2781,838,838,838,838,838,A,1951,2013-2020,1951,792,1630,1630,792,792,A,1253,2013-2020,1253,536,2166,2166,536,536,A,0,2013-2020,0,789,2955,2955,789,789,A,0,2013-2020,0,1257,4212,4212,1257,1257,A,0,2013-2020,0,1095,5307,5307,1095,1095,A,0,2013-2020,0,506,5813,5813,506,506,A,0,2013-2020,0,372,6185,6185,372,372,A
CZ-419,419,"ČEZ, a. s.",Czech Republic,CZ,100,Holding Account,open,45274649,"ČEZ, a. s.",Duhová 2/1444,NA,Praha 4,140 53,CZ,Czech Republic,1,Account holder,NA,NA,NA,Jaderná elektrárna Dukovany,NA,NA,NA,2009,0,2009-09-22,CZ-0441-09,0,0,Dukovany 269,NA,Dukovany,675 50,CZ,20,Combustion of fuels,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,0,2008-2012,0,NA,NA,NA,NA,NA,NA,327,2008-2012,327,327,327,327,327,327,A*,420,2008-2012,420,217,544,544,217,217,A*,420,2008-2012,420,257,801,801,257,257,A,420,2008-2012,420,254,1055,1055,96,254,A,NA,2013-2020,NA,307,307,307,307,307,A,NA,2013-2020,NA,277,584,584,277,277,A,NA,2013-2020,NA,258,842,842,258,258,A,NA,2013-2020,NA,298,1140,1140,298,298,A,NA,2013-2020,NA,335,1475,1475,335,335,A,NA,2013-2020,NA,347,1822,1822,347,347,A,NA,2013-2020,NA,295,2117,2117,295,295,A,NA,2013-2020,NA,322,2439,2439,322,322,A
CZ-164,164,"ŠKO-ENERGO, s.r.o.",Czech Republic,CZ,100,Holding Account,open,61675938,"ŠKO-ENERGO, s.r.o.",Tř. Václava Klementa 869,NA,Mladá Boleslav,29360,CZ,Czech Republic,1,Account holder,NA,NA,NA,ŠKO-ENERGO Teplárna Mladá Boleslav,NA,NA,NA,2005,0,2005-06-02,CZ-0256-05,0,0,Tř. Václava Klementa 869,NA,Mladá Boleslav,29360,CZ,1,Combustion installations with a rated thermal input exceeding 20 MW,726508,2005-2007,726508,0,0,525758,0,525758,B,726508,2005-2007,726508,1042354,1042354,1042354,1042354,516596,A*,726508,2005-2007,726508,513088,1555442,1555442,513088,513088,A,527845,2008-2012,527845,480588,480588,480588,480588,480588,A,527845,2008-2012,527845,484114,964702,964702,421114,484114,A*,527845,2008-2012,527845,508716,1473418,1473418,437716,508716,A*,527845,2008-2012,527845,520877,1994295,1994295,451877,520877,A,527845,2008-2012,527845,486107,2480402,2480402,425185,486107,A,88865,2013-2020,279019,413346,413346,413346,413346,413346,A,76959,2013-2020,239948,386998,800344,800344,386998,386998,A,88730,2013-2020,224554,391981,1192325,1192325,391981,391981,A,84243,2013-2020,192902,392103,1584428,1584428,392103,392103,A,79863,2013-2020,161358,405451,1989879,1989879,405451,405451,A,75590,2013-2020,129920,365504,2355383,2355383,365504,365504,A,71418,2013-2020,98583,363212,2718595,2718595,363212,363212,A,67356,2013-2020,67356,379193,3097788,3097788,379193,379193,A
CZ-420,420,POWGEN a.s.,Czech Republic,CZ,100,Holding Account,closed,27928411,POWGEN a.s.,Kutvirtova 339/5,NA,Praha 5,15000,CZ,Czech Republic,1,Account holder,NA,NA,NA,POWGEN - kotelna OK 30H,NA,NA,NA,2009,2012,2009-09-25,CZ-0442-09,0,0,Tovární 866,NA,Studénka,74213,CZ,1,Combustion installations with a rated thermal input exceeding 20 MW,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,0,2008-2012,0,NA,NA,NA,NA,NA,NA,0,2008-2012,0,NA,0,0,NA,0,A*,0,2008-2012,0,NA,0,0,NA,0,A*,0,2008-2012,0,NA,0,0,NA,0,A,0,2008-2012,0,NA,0,0,NA,0,A,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA
CZ-165,165,"ŠKO-ENERGO, s.r.o.",Czech Republic,CZ,100,Holding Account,open,61675938,"ŠKO-ENERGO, s.r.o.",Tř. Václava Klementa 869,NA,Mladá Boleslav,29360,CZ,Czech Republic,1,Account holder,NA,NA,NA,ŠKO-ENERGO - Výtopna Vrchlabí,NA,NA,NA,2005,2020,2005-04-08,CZ-0257-05,0,0,Dělnická 531,NA,Mladá Boleslav,54301,CZ,20,Combustion of fuels,12560,2005-2007,12560,NA,0,4734,NA,4734,B,12560,2005-2007,12560,9398,9398,9398,9398,4664,A*,12560,2005-2007,12560,3847,13245,13245,3847,3847,A,5028,2008-2012,5028,3761,3761,3761,3761,3761,A,5028,2008-2012,5028,3434,7195,7195,3434,3434,A*,5028,2008-2012,5028,3657,10852,10852,3657,3657,A*,5028,2008-2012,5028,3235,14087,14087,3235,3235,A,5028,2008-2012,5028,3554,17641,17641,3554,3554,A,3118,2013-2020,3118,2599,2599,2599,2599,2599,A,2790,2013-2020,2790,2691,5290,5290,2691,2691,A,3761,2013-2020,3761,2797,8087,8087,2797,2797,A,3692,2013-2020,3692,2479,10566,10566,2479,2479,A,3622,2013-2020,3622,3234,13800,13800,3234,3234,A,3551,2013-2020,3551,2803,16603,16603,2803,2803,A,3480,2013-2020,3480,2843,19446,19446,2843,2843,A,3408,2013-2020,3408,2027,21473,21473,2027,2027,A
CZ-166,166,TTS energo s.r.o.,Czech Republic,CZ,100,Holding Account,closed,60724692,TTS energo s.r.o.,Průmyslová 163,NA,Třebíč,67401,CZ,Czech Republic,1,Account holder,NA,NA,NA,TTS energo - teplárna JIH,NA,NA,NA,2005,2012,2005-04-10,CZ-0258-05,0,0,Průmyslová čtvrť 159,NA,Třebíč,67433,CZ,1,Combustion installations with a rated thermal input exceeding 20 MW,3724,2005-2007,3724,NA,0,2647,NA,2647,B*,3724,2005-2007,3724,5114,5114,5114,5114,2467,A*,3724,2005-2007,3724,1951,7065,7065,1951,1951,A,2736,2008-2012,2736,715,715,715,715,715,A,2736,2008-2012,2736,205,920,920,205,205,A*,2736,2008-2012,2736,96,1016,1016,96,96,A*,2736,2008-2012,2736,3,1019,1019,3,3,A,2736,2008-2012,2736,1,1020,1020,1,1,A,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA
CZ-167,167,TAMERO INVEST s.r.o.,Czech Republic,CZ,100,Holding Account,open,24781452,TAMERO INVEST s.r.o.,O. Wichterleho 810,NA,Kralupy nad Vltavou,27801,CZ,Czech Republic,1,Account holder,NA,NA,NA,TAMERO INVEST - Teplárna Kralupy,NA,NA,NA,2005,0,2005-07-29,CZ-0259-05,0,0,O. Wichterleho 810,NA,Kralupy nad Vltavou,27852,CZ,20,Combustion of fuels,548402,2005-2007,548402,NA,0,435732,NA,435732,B,548402,2005-2007,548402,846910,846910,846910,846910,411178,A*,548402,2005-2007,548402,373277,1220187,1220187,373277,373277,A,428873,2008-2012,428873,402590,402590,402590,402590,402590,A,428873,2008-2012,428873,352326,754916,754916,352326,352326,A,428873,2008-2012,428873,390124,1145040,1145040,390124,390124,A*,428873,2008-2012,428873,401591,1546631,1546631,291591,401591,A,428873,2008-2012,428873,428547,1975178,1975178,324111,428547,A,150109,2013-2020,291457,372545,372545,372545,372545,372545,A,142089,2013-2020,272358,394051,766596,766596,394051,394051,A,134636,2013-2020,253826,374354,1140950,1140950,374354,374354,A,127735,2013-2020,235846,385060,1526010,1526010,385060,385060,A,121365,2013-2020,218397,407611,1933621,1933621,407611,407611,A,115504,2013-2020,201456,401632,2335253,2335253,401632,401632,A,110129,2013-2020,185002,403742,2738995,2738995,403742,403742,A,105223,2013-2020,169017,397481,3136476,3136476,397481,397481,A
CZ-168,168,"Brněnské papírny, státní podnik",Czech Republic,CZ,100,Holding Account,closed,00012343,"Brněnské papírny, státní podnik",Komenského 1036,NA,Předklášteří - Tišnov,66602,CZ,Czech Republic,1,Account holder,NA,NA,NA,"Brněnské papírny, s.p.",NA,NA,NA,2005,2011,2005-05-10,CZ-0264-05,0,0,Komenského 1036,NA,Předklášteří - Tišnov,666 02,CZ,9,Industrial plants for the production of (a) pulp from timber or other fibrous materials (b) paper and board,14653,2005-2007,14653,NA,0,11150,NA,11150,B,14653,2005-2007,14653,21993,21993,21993,21993,10843,A*,14653,2005-2007,14653,10375,32368,32368,10375,10375,A,11766,2008-2012,11766,8603,8603,8603,8603,8603,A,11766,2008-2012,11766,6041,14644,14644,6041,6041,A,11766,2008-2012,11766,NA,14644,14644,NA,0,A*,11766,2008-2012,11766,NA,14644,14644,NA,0,A,NA,2008-2012,0,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA
CZ-421,421,TAMEH Czech s.r.o.,Czech Republic,CZ,100,Holding Account,open,28615425,TAMEH Czech s.r.o.,Vratimovská 689/117,NA,"Ostrava, Kunčice",719 00,CZ,Czech Republic,1,Account holder,NA,NA,NA,TAMEH Czech,NA,NA,NA,2010,0,2010-03-15,CZ-0444-10,0,0,Vratimovská 689/117,NA,Ostrava Kunčice,719 00,CZ,20,Combustion of fuels,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,0,2008-2012,0,NA,NA,NA,NA,NA,NA,0,2008-2012,0,NA,NA,NA,NA,NA,NA,0,2008-2012,0,1808213,1808213,1808213,1808213,1808213,A*,2393963,2008-2012,2393963,2325175,4133388,4133388,1865175,2325175,A,2393963,2008-2012,2393963,2311247,6444635,6444635,2292455,2311247,A,193024,2013-2020,1351205,2489107,2489107,2489107,2489107,2489107,A,189665,2013-2020,1182391,2439936,4929043,4929043,2439936,2439936,A,186307,2013-2020,1013579,2209436,7138479,7138479,2209436,2209436,A,182948,2013-2020,844766,2374980,9513459,9513459,2374980,2374980,A,179590,2013-2020,675953,2252840,11766299,11766299,2252840,2252840,A,176231,2013-2020,507140,2393464,14159763,14159763,2393464,2393464,A,172872,2013-2020,338326,1931885,16091648,16091648,1931885,1931885,A,169514,2013-2020,169514,1649122,17740770,17740770,1649122,1649122,A
