id,InstallationOrAircraftOperatorID,AccountHolderName,NationalAdministrator,NationalAdministratorCode,AccountTypeCode,AccountTypeCodeLookup,AccountStatus,CompanyRegistrationNo,ContactName,ContactAddress1,ContactAddress2,ContactCity,ContactZipCode,ContactCountryCode,ContactCountryCodeLookup,ContactRelationshipTypeCode,ContactRelationshipTypeCodeLookup,ContactTelephone1,ContactTelephone2,ContactEmailAddress,InstallationNameOrAircraftOperatorCode,ParentCompany,SubsidiaryCompany,EPRTRIdentification,FirstYearOfEmissions,LastYearOfEmissions,PermitOrPlanDate,PermitOrPlanID,Latitude,Longitude,Address1,Address2,City,ZipCode,Country,MainActivityTypeCode,MainActivityTypeCodeLookup,FreeAllocations_2005,ETSPhase_2005,AllowanceInAllocation_2005,UnitsSurrendered_2005,CumulativeSurrenderedUnits_2005,CumulativeVerifiedEmissions_2005,SurrenderedAllowances_2005,VerifiedEmissions_2005,ComplianceCode_2005,FreeAllocations_2006,ETSPhase_2006,AllowanceInAllocation_2006,UnitsSurrendered_2006,CumulativeSurrenderedUnits_2006,CumulativeVerifiedEmissions_2006,SurrenderedAllowances_2006,VerifiedEmissions_2006,ComplianceCode_2006,FreeAllocations_2007,ETSPhase_2007,AllowanceInAllocation_2007,UnitsSurrendered_2007,CumulativeSurrenderedUnits_2007,CumulativeVerifiedEmissions_2007,SurrenderedAllowances_2007,VerifiedEmissions_2007,ComplianceCode_2007,FreeAllocations_2008,ETSPhase_2008,AllowanceInAllocation_2008,UnitsSurrendered_2008,CumulativeSurrenderedUnits_2008,CumulativeVerifiedEmissions_2008,SurrenderedAllowances_2008,VerifiedEmissions_2008,ComplianceCode_2008,FreeAllocations_2009,ETSPhase_2009,AllowanceInAllocation_2009,UnitsSurrendered_2009,CumulativeSurrenderedUnits_2009,CumulativeVerifiedEmissions_2009,SurrenderedAllowances_2009,VerifiedEmissions_2009,ComplianceCode_2009,FreeAllocations_2010,ETSPhase_2010,AllowanceInAllocation_2010,UnitsSurrendered_2010,CumulativeSurrenderedUnits_2010,CumulativeVerifiedEmissions_2010,SurrenderedAllowances_2010,VerifiedEmissions_2010,ComplianceCode_2010,FreeAllocations_2011,ETSPhase_2011,AllowanceInAllocation_2011,UnitsSurrendered_2011,CumulativeSurrenderedUnits_2011,CumulativeVerifiedEmissions_2011,SurrenderedAllowances_2011,VerifiedEmissions_2011,ComplianceCode_2011,FreeAllocations_2012,ETSPhase_2012,AllowanceInAllocation_2012,UnitsSurrendered_2012,CumulativeSurrenderedUnits_2012,CumulativeVerifiedEmissions_2012,SurrenderedAllowances_2012,VerifiedEmissions_2012,ComplianceCode_2012,FreeAllocations_2013,ETSPhase_2013,AllowanceInAllocation_2013,UnitsSurrendered_2013,CumulativeSurrenderedUnits_2013,CumulativeVerifiedEmissions_2013,SurrenderedAllowances_2013,VerifiedEmissions_2013,ComplianceCode_2013,FreeAllocations_2014,ETSPhase_2014,AllowanceInAllocation_2014,UnitsSurrendered_2014,CumulativeSurrenderedUnits_2014,CumulativeVerifiedEmissions_2014,SurrenderedAllowances_2014,VerifiedEmissions_2014,ComplianceCode_2014,FreeAllocations_2015,ETSPhase_2015,AllowanceInAllocation_2015,UnitsSurrendered_2015,CumulativeSurrenderedUnits_2015,CumulativeVerifiedEmissions_2015,SurrenderedAllowances_2015,VerifiedEmissions_2015,ComplianceCode_2015,FreeAllocations_2016,ETSPhase_2016,AllowanceInAllocation_2016,UnitsSurrendered_2016,CumulativeSurrenderedUnits_2016,CumulativeVerifiedEmissions_2016,SurrenderedAllowances_2016,VerifiedEmissions_2016,ComplianceCode_2016,FreeAllocations_2017,ETSPhase_2017,AllowanceInAllocation_2017,UnitsSurrendered_2017,CumulativeSurrenderedUnits_2017,CumulativeVerifiedEmissions_2017,SurrenderedAllowances_2017,VerifiedEmissions_2017,ComplianceCode_2017,FreeAllocations_2018,ETSPhase_2018,AllowanceInAllocation_2018,UnitsSurrendered_2018,CumulativeSurrenderedUnits_2018,CumulativeVerifiedEmissions_2018,SurrenderedAllowances_2018,VerifiedEmissions_2018,ComplianceCode_2018,FreeAllocations_2019,ETSPhase_2019,AllowanceInAllocation_2019,UnitsSurrendered_2019,CumulativeSurrenderedUnits_2019,CumulativeVerifiedEmissions_2019,SurrenderedAllowances_2019,VerifiedEmissions_2019,ComplianceCode_2019,FreeAllocations_2020,ETSPhase_2020,AllowanceInAllocation_2020,UnitsSurrendered_2020,CumulativeSurrenderedUnits_2020,CumulativeVerifiedEmissions_2020,SurrenderedAllowances_2020,VerifiedEmissions_2020,ComplianceCode_2020
DE-200022,200022,Deutsche Lufthansa AG,Germany,DE,100,Holding Account,open,HRB 2168 Amtgericht Köln,Deutsche Lufthansa AG,Von-Gablenz-Str. 2-6,NA,Köln,50679,DE,Germany,1,Account holder,NA,NA,NA,1776,NA,NA,NA,2012,0,2010-01-01,19550-0123,NA,NA,-,NA,-,-,DE,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,12563128,2008-2012,12563128,4932287,4932287,4932287,4192444,4932287,A,2127660,2013-2020,2127660,NA,0,0,NA,4423783,A,2127660,2013-2020,2127660,8384643,8384643,8384643,8384643,3960860,A,2127660,2013-2020,2127660,3829975,12214618,12214618,3829975,3829939,A*,2127660,2013-2020,2127660,3815414,16030032,16028531,3815414,3813949,A,2127660,2013-2020,2127660,3969395,19999427,19997926,3969395,3969395,A,2127660,2013-2020,2127660,4349401,24348828,24348828,4349401,4350902,A,2127660,2013-2020,2127660,4373134,28721962,28721962,4373134,4373134,A,2152188,2013-2020,2152188,1454393,30164491,30164491,1434593,1442529,A
DE-200304,200304,Wizz Air Ukraine Airlines LLC.,Germany,DE,100,Holding Account,open,3589517,Wizz Air Ukraine Airlines LLC.,"Bulv. Tarasa Shevchenko 33-B, 3-rd floor",NA,Kyiv,01032,UA,Ukraine,1,Account holder,NA,NA,NA,34169,NA,NA,NA,2012,0,2010-01-01,19550-0413,NA,NA,-,NA,-,-,DE,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,34024,2008-2012,34024,22,22,22,20,22,A,1,2013-2020,1,NA,0,0,NA,15,A,1,2013-2020,1,41,41,41,41,26,A,1,2013-2020,1,NA,41,41,NA,0,A,1,2013-2020,1,NA,41,41,NA,Excluded,A,1,2013-2020,1,NA,41,41,NA,Excluded,A,1,2013-2020,1,NA,41,41,NA,Excluded,A,1,2013-2020,1,NA,41,41,NA,Excluded,A,1,2013-2020,1,NA,41,41,NA,Excluded,A
DE-200312,200312,Turk Hava Yollari Anonim Ortakligi,Germany,DE,100,Holding Account,open,75184,Turk Hava Yollari Anonim Ortakligi,THY Genel Yonetim Binasi Finansman Baskanligi,Kat: 11 Yesilkoy,Istanbul,34149,TR,Turkey,1,Account holder,NA,NA,NA,2758,NA,NA,NA,2012,0,2009-01-01,19550-0242,NA,NA,-,NA,-,-,DE,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,1054382,2008-2012,1054382,1416,1416,1416,1204,1613,A*,NA,2013-2020,NA,197,197,0,197,4476,A*,NA,2013-2020,NA,15888,16085,15888,15888,11417,A*,NA,2013-2020,NA,7866,23951,23754,7866,7866,A*,NA,2013-2020,NA,6400,30351,30154,6400,6395,A*,NA,2013-2020,NA,8811,39162,38965,8811,8818,A*,NA,2013-2020,NA,10624,49786,49589,10624,10641,A*,NA,2013-2020,NA,14376,64162,63660,14376,13240,A*,NA,2013-2020,NA,11962,76124,75927,11962,13074,A
DE-200316,200316,Condor Flugdienst Gesellschaft mit beschränkter Haftung,Germany,DE,100,Holding Account,open,HRB 83385 Amtsgericht Darmstadt,Condor Flugdienst Gesellschaft mit beschränkter Haftung,An der Gehespitz 50,NA,Neu-Isenburg,63263,DE,Germany,1,Account holder,NA,NA,NA,824,NA,NA,NA,2012,0,2012-01-01,19550-0072,NA,NA,-,NA,-,-,DE,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,1398056,2008-2012,1398056,638631,638631,638631,543026,641653,A*,205737,2013-2020,205737,3011,3011,0,3011,258930,A,205737,2013-2020,205737,523844,526855,523833,523844,264914,A*,205737,2013-2020,205737,262573,789428,786406,262573,262562,A,205737,2013-2020,205737,273306,1062734,1059712,273306,273306,A,205737,2013-2020,205737,339876,1402610,1399588,339876,339876,A,205737,2013-2020,205737,468397,1871007,1867985,468397,468397,A,205737,2013-2020,205737,450584,2321591,2318569,450584,450584,A,205740,2013-2020,205740,121384,2442975,2439953,121384,121384,A
DE-200319,200319,DC Aviation GmbH,Germany,DE,100,Holding Account,open,Registergericht Stuttgart HRB 19256,DC Aviation GmbH,Stuttgart Flughafen,NA,Stuttgart,70629,DE,Germany,1,Account holder,NA,NA,NA,26466,NA,NA,NA,2012,0,2010-01-01,19550-0075,NA,NA,-,NA,-,-,DE,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,1479,2008-2012,1479,10504,10504,10500,8929,10335,A*,437,2013-2020,437,NA,0,0,NA,8672,A,437,2013-2020,437,17738,17738,17738,17738,9066,A,437,2013-2020,437,8188,25926,25926,8188,8188,A,437,2013-2020,437,7864,33790,33790,7864,7864,A,437,2013-2020,437,8027,41817,41817,8027,8027,A,437,2013-2020,437,7668,49485,49485,7668,7668,A,437,2013-2020,437,7706,57191,57191,7706,7706,A,454,2013-2020,454,NA,57191,57191,NA,Excluded,A
DE-200320,200320,Zeman Flugtechnik und Logistik München GmbH,Germany,DE,100,Holding Account,open,Amstgericht München HRB 148243,Zeman Flugtechnik und Logistik München GmbH,Allgemeine Luftfahrt 173.06,NA,München,85356,DE,Germany,1,Account holder,NA,NA,NA,5960,NA,NA,NA,2012,0,2011-01-01,19550-0164,NA,NA,-,NA,-,-,DE,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,218,2008-2012,218,312,312,312,312,312,A,36,2013-2020,36,NA,0,0,NA,303,A,36,2013-2020,36,633,633,633,633,330,A*,36,2013-2020,36,214,847,847,214,214,A*,36,2013-2020,36,296,1143,1143,296,322,A*,36,2013-2020,36,397,1540,1540,397,371,A*,36,2013-2020,36,307,1847,1847,307,307,A*,36,2013-2020,36,348,2195,2195,348,348,A,36,2013-2020,36,275,2462,2462,275,267,A
DE-200334,200334,United Parcel Service Co.,Germany,DE,100,Holding Account,open,not applicable for US company,United Parcel Service Co.,1400 N. Hurstbourne Lane,NA,Louisville,40223,US,United States,1,Account holder,NA,NA,NA,8960,NA,NA,NA,2012,0,2012-01-01,19550-0287,NA,NA,-,NA,-,-,DE,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,1307002,2008-2012,1307002,147797,147797,147797,125628,147797,A*,127917,2013-2020,127917,NA,0,0,NA,150058,A*,127917,2013-2020,127917,297191,297191,297191,297191,147133,A*,127917,2013-2020,127917,151345,448536,448536,151345,151345,A,127917,2013-2020,127917,163132,611668,611668,163132,163132,A,127917,2013-2020,127917,162020,773688,773688,162020,162020,A,127917,2013-2020,127917,160486,934174,934174,160486,160486,A*,127917,2013-2020,127917,185472,1119646,1119646,185472,185472,A*,127917,2013-2020,127917,178970,1298616,1298616,178970,178970,A
DE-200335,200335,"US Airways, Inc",Germany,DE,100,Holding Account,closed,US FEIN 53-0218143,"US Airways, Inc",111 W. Rio Salado Parkway,NA,Tempe,85281,US,United States,1,Account holder,NA,NA,NA,4692,NA,NA,NA,2012,2015,2012-01-01,19550-0288,NA,NA,-,NA,-,-,DE,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,1257505,2008-2012,1257505,424,424,424,361,424,A,261,2013-2020,261,NA,0,0,NA,401,A,261,2013-2020,261,613,613,613,613,212,A,261,2013-2020,261,141,754,754,141,141,A,0,2013-2020,0,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA
DE-200337,200337,Germanwings GmbH,Germany,DE,100,Holding Account,open,HRB66022,Germanwings GmbH,Germanwings-Straße 2,NA,Köln,51147,DE,Germany,1,Account holder,NA,NA,NA,28944,NA,NA,NA,2012,0,2010-01-01,19550-0099,NA,NA,-,NA,-,-,DE,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,498536,2008-2012,498536,666575,666575,666575,566589,666575,A*,378418,2013-2020,378418,NA,0,0,NA,755202,A*,378418,2013-2020,378418,1984765,1984765,1984765,1984765,1229563,A,378418,2013-2020,378418,1402800,3387565,3387565,1402800,1402800,A,378418,2013-2020,378418,1155257,4542822,4542822,1155257,1155257,A,378418,2013-2020,378418,702022,5244844,5244844,702022,702022,A,378418,2013-2020,378418,11906,5256750,5256750,11906,11906,A,378418,2013-2020,378418,13066,5269816,5269816,13066,13066,A,381116,2013-2020,381116,20357,5290173,5290173,20357,20357,A
DE-200340,200340,Südzucker Reise - Service GmbH,Germany,DE,100,Holding Account,closed,Amtsgericht Mannheim HRB 9250,Südzucker Reise - Service GmbH,Maximilianstraße 10,NA,Mannheim,68165,DE,Germany,1,Account holder,NA,NA,NA,12878,NA,NA,NA,2012,2013,2010-01-01,19550-0152,NA,NA,-,NA,-,-,DE,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,30,2008-2012,30,692,692,692,692,694,A*,20,2013-2020,20,NA,0,0,NA,Excluded,A,0,2013-2020,0,2,2,0,2,Excluded,A,0,2013-2020,0,NA,2,0,NA,Excluded,A,0,2013-2020,0,NA,2,0,NA,Excluded,A,0,2013-2020,0,NA,NA,NA,NA,Excluded,NA,0,2013-2020,0,NA,NA,NA,NA,Excluded,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA
