id,InstallationOrAircraftOperatorID,AccountHolderName,NationalAdministrator,NationalAdministratorCode,AccountTypeCode,AccountTypeCodeLookup,AccountStatus,CompanyRegistrationNo,ContactName,ContactAddress1,ContactAddress2,ContactCity,ContactZipCode,ContactCountryCode,ContactCountryCodeLookup,ContactRelationshipTypeCode,ContactRelationshipTypeCodeLookup,ContactTelephone1,ContactTelephone2,ContactEmailAddress,InstallationNameOrAircraftOperatorCode,ParentCompany,SubsidiaryCompany,EPRTRIdentification,FirstYearOfEmissions,LastYearOfEmissions,PermitOrPlanDate,PermitOrPlanID,Latitude,Longitude,Address1,Address2,City,ZipCode,Country,MainActivityTypeCode,MainActivityTypeCodeLookup,FreeAllocations_2005,ETSPhase_2005,AllowanceInAllocation_2005,UnitsSurrendered_2005,CumulativeSurrenderedUnits_2005,CumulativeVerifiedEmissions_2005,SurrenderedAllowances_2005,VerifiedEmissions_2005,ComplianceCode_2005,FreeAllocations_2006,ETSPhase_2006,AllowanceInAllocation_2006,UnitsSurrendered_2006,CumulativeSurrenderedUnits_2006,CumulativeVerifiedEmissions_2006,SurrenderedAllowances_2006,VerifiedEmissions_2006,ComplianceCode_2006,FreeAllocations_2007,ETSPhase_2007,AllowanceInAllocation_2007,UnitsSurrendered_2007,CumulativeSurrenderedUnits_2007,CumulativeVerifiedEmissions_2007,SurrenderedAllowances_2007,VerifiedEmissions_2007,ComplianceCode_2007,FreeAllocations_2008,ETSPhase_2008,AllowanceInAllocation_2008,UnitsSurrendered_2008,CumulativeSurrenderedUnits_2008,CumulativeVerifiedEmissions_2008,SurrenderedAllowances_2008,VerifiedEmissions_2008,ComplianceCode_2008,FreeAllocations_2009,ETSPhase_2009,AllowanceInAllocation_2009,UnitsSurrendered_2009,CumulativeSurrenderedUnits_2009,CumulativeVerifiedEmissions_2009,SurrenderedAllowances_2009,VerifiedEmissions_2009,ComplianceCode_2009,FreeAllocations_2010,ETSPhase_2010,AllowanceInAllocation_2010,UnitsSurrendered_2010,CumulativeSurrenderedUnits_2010,CumulativeVerifiedEmissions_2010,SurrenderedAllowances_2010,VerifiedEmissions_2010,ComplianceCode_2010,FreeAllocations_2011,ETSPhase_2011,AllowanceInAllocation_2011,UnitsSurrendered_2011,CumulativeSurrenderedUnits_2011,CumulativeVerifiedEmissions_2011,SurrenderedAllowances_2011,VerifiedEmissions_2011,ComplianceCode_2011,FreeAllocations_2012,ETSPhase_2012,AllowanceInAllocation_2012,UnitsSurrendered_2012,CumulativeSurrenderedUnits_2012,CumulativeVerifiedEmissions_2012,SurrenderedAllowances_2012,VerifiedEmissions_2012,ComplianceCode_2012,FreeAllocations_2013,ETSPhase_2013,AllowanceInAllocation_2013,UnitsSurrendered_2013,CumulativeSurrenderedUnits_2013,CumulativeVerifiedEmissions_2013,SurrenderedAllowances_2013,VerifiedEmissions_2013,ComplianceCode_2013,FreeAllocations_2014,ETSPhase_2014,AllowanceInAllocation_2014,UnitsSurrendered_2014,CumulativeSurrenderedUnits_2014,CumulativeVerifiedEmissions_2014,SurrenderedAllowances_2014,VerifiedEmissions_2014,ComplianceCode_2014,FreeAllocations_2015,ETSPhase_2015,AllowanceInAllocation_2015,UnitsSurrendered_2015,CumulativeSurrenderedUnits_2015,CumulativeVerifiedEmissions_2015,SurrenderedAllowances_2015,VerifiedEmissions_2015,ComplianceCode_2015,FreeAllocations_2016,ETSPhase_2016,AllowanceInAllocation_2016,UnitsSurrendered_2016,CumulativeSurrenderedUnits_2016,CumulativeVerifiedEmissions_2016,SurrenderedAllowances_2016,VerifiedEmissions_2016,ComplianceCode_2016,FreeAllocations_2017,ETSPhase_2017,AllowanceInAllocation_2017,UnitsSurrendered_2017,CumulativeSurrenderedUnits_2017,CumulativeVerifiedEmissions_2017,SurrenderedAllowances_2017,VerifiedEmissions_2017,ComplianceCode_2017,FreeAllocations_2018,ETSPhase_2018,AllowanceInAllocation_2018,UnitsSurrendered_2018,CumulativeSurrenderedUnits_2018,CumulativeVerifiedEmissions_2018,SurrenderedAllowances_2018,VerifiedEmissions_2018,ComplianceCode_2018,FreeAllocations_2019,ETSPhase_2019,AllowanceInAllocation_2019,UnitsSurrendered_2019,CumulativeSurrenderedUnits_2019,CumulativeVerifiedEmissions_2019,SurrenderedAllowances_2019,VerifiedEmissions_2019,ComplianceCode_2019,FreeAllocations_2020,ETSPhase_2020,AllowanceInAllocation_2020,UnitsSurrendered_2020,CumulativeSurrenderedUnits_2020,CumulativeVerifiedEmissions_2020,SurrenderedAllowances_2020,VerifiedEmissions_2020,ComplianceCode_2020
DK-401,401,Regulerkraft Ikast ApS,Denmark,DK,100,Holding Account,open,DK 29845867,Regulerkraft Ikast ApS,Faksevej 17,NA,Herning,7400,DK,Denmark,1,Account holder,NA,NA,NA,Regulerkraft Ikast,Regulerkraft Ikast,Regulerkraft,NA,2008,0,2008-05-27,TCO2-1973,NA,NA,Nygade 29,NA,Ikast,7430,DK,20,Combustion of fuels,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,0,2008-2012,0,220,220,220,220,220,A,0,2008-2012,0,81,301,301,81,81,A,0,2008-2012,0,201,502,502,201,201,A,0,2008-2012,0,468,970,970,468,468,A*,0,2008-2012,0,193,1163,1163,193,193,A,NA,2013-2020,NA,12,12,47,12,47,B*,NA,2013-2020,NA,60,72,68,60,21,A*,NA,2013-2020,NA,5,77,77,5,9,A*,NA,2013-2020,NA,NA,77,77,NA,0,A*,NA,2013-2020,NA,NA,77,77,NA,0,A*,NA,2013-2020,NA,52,129,129,52,52,A*,NA,2013-2020,NA,33,162,162,33,33,A*,NA,2013-2020,NA,NA,162,496,NA,334,B*
DK-104,104,Vinderup Varmeværk A M B A,Denmark,DK,100,Holding Account,open,31220912,Vinderup Varmeværk A M B A,Sevelvej 67 A,NA,Vinderup,7830,DK,Denmark,1,Account holder,NA,NA,NA,Vinderup Varmeværk,NA,NA,NA,2005,0,2005-01-01,TCO2-567,NA,NA,Sevelvej 67 A,NA,Vinderup,7830,DK,20,Combustion of fuels,22344,2005-2007,22344,12286,12286,12286,12286,12286,A*,16758,2005-2007,16758,10853,23139,23139,10853,10853,A*,16757,2005-2007,16757,8403,31542,31542,8403,8403,A,14259,2008-2012,14259,11123,11123,11123,11123,11123,A*,14258,2008-2012,14258,10364,21487,21487,10364,10364,A,14258,2008-2012,14258,11505,32992,32992,11505,11505,A,14258,2008-2012,14258,10516,43508,43508,10516,10516,A,14258,2008-2012,14258,6373,49881,49881,NA,6373,A,6319,2013-2020,6319,2836,2836,2836,2836,2836,A,5655,2013-2020,5655,2330,5166,5166,2330,2330,A,5009,2013-2020,5009,2260,7426,7426,2260,2260,A,4385,2013-2020,4385,3630,11056,11056,3630,3630,A,3779,2013-2020,3779,2505,13561,13561,2505,2505,A,3194,2013-2020,3194,3562,17123,17123,3562,3562,A,2628,2013-2020,2628,3113,20236,20236,3113,3113,A,2081,2013-2020,2081,1375,21611,21611,1375,1375,A
DK-290,290,Niels Vandall H,Denmark,DK,100,Holding Account,closed,NA,Niels Vandall H,Langebrogade 1,NA,København K,1014,DK,Denmark,1,Account holder,NA,NA,NA,"Nordic Sugar, Gørlev",NA,NA,NA,2005,2008,2005-01-01,11350356-1003073505-1799-20041001,NA,NA,Langebrogade 1,NA,København K,1014,DK,1,Combustion installations with a rated thermal input exceeding 20 MW,26190,2005-2007,26190,1844,1844,972,1844,972,A*,19642,2005-2007,19642,897,2741,1869,897,897,A*,19643,2005-2007,19643,NA,2741,2741,NA,872,A*,13814,2008-2012,13814,1178,1178,1178,1178,1178,A,0,2008-2012,0,NA,NA,NA,NA,NA,NA,0,2008-2012,0,NA,NA,NA,NA,NA,NA,0,2008-2012,0,NA,NA,NA,NA,NA,NA,0,2008-2012,0,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA
DK-289,289,Niels Vandall H,Denmark,DK,100,Holding Account,closed,NA,Niels Vandall H,Langebrogade 1,NA,København K,1014,DK,Denmark,1,Account holder,NA,NA,NA,"Nordic Sugar, Assens Sukkerfabrik",NA,NA,NA,2005,2008,2005-01-01,11350356-1003073426-0742-20041001,NA,NA,Langebrogade 1,NA,København K,1014,DK,1,Combustion installations with a rated thermal input exceeding 20 MW,85840,2005-2007,85840,68022,68022,68022,68022,68022,A*,64380,2005-2007,64380,45743,113765,113765,45743,45743,A*,64379,2005-2007,64379,2693,116458,116458,2693,2693,A*,58883,2008-2012,58883,1663,1663,1663,1663,1663,A,0,2008-2012,0,NA,NA,NA,NA,NA,NA,0,2008-2012,0,NA,NA,NA,NA,NA,NA,0,2008-2012,0,NA,NA,NA,NA,NA,NA,0,2008-2012,0,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA
DK-75,75,Skjern Fjernvarme,Denmark,DK,100,Holding Account,open,46076915,Skjern Fjernvarme,Nykærsvej 8,NA,Skjern,6900,DK,Denmark,1,Account holder,NA,NA,NA,"DONG Energy Generation A/S, Skjern Kraftvarmeværk",NA,NA,NA,2005,0,2010-08-10,TCO2-291,NA,NA,Nykærsvej 2,NA,Skjern,6900,DK,20,Combustion of fuels,36699,2005-2007,36699,21641,21641,21641,21641,21641,A*,27524,2005-2007,27524,16787,38428,38428,16787,16787,A*,27524,2005-2007,27524,8433,46861,46861,8433,8433,A*,22568,2008-2012,22568,15239,7835,7835,7835,7835,A,22565,2008-2012,22565,6656,14491,14491,6656,6656,A,22565,2008-2012,22565,9135,23626,23626,9135,9135,A,22565,2008-2012,22565,NA,31030,31030,NA,7404,A,22565,2008-2012,22565,8277,39307,39307,NA,8277,A,8281,2013-2020,8281,5302,5302,5302,5302,5302,A,3706,2013-2020,3706,2306,7608,7608,2306,2306,A,1641,2013-2020,1641,2236,9844,9844,2236,2236,A,2874,2013-2020,2874,2053,11897,11897,2053,2053,A,4953,2013-2020,4953,1073,12970,12970,1073,1073,A,4185,2013-2020,4185,1283,14253,14253,1283,1283,A,3443,2013-2020,3443,1276,15529,15529,1276,1276,A,2727,2013-2020,2727,835,16364,16364,835,835,A
DK-177,177,NYKØBING M FJERNVARMEVÆRK A M B A,Denmark,DK,100,Holding Account,open,57494115,NYKØBING M FJERNVARMEVÆRK A M B A,Kjærgaardsvej 20,NA,Nykøbing M,7900,DK,Denmark,1,Account holder,NA,NA,NA,Nykøbing Mors Fjernvarmeværk,NA,NA,NA,2005,0,2005-01-01,TCO2-372,NA,NA,Kjærgårdsvej 20,NA,Nykøbing M,7900,DK,20,Combustion of fuels,30093,2005-2007,30093,14236,14236,14236,14236,14236,A*,22570,2005-2007,22570,14090,28326,28326,14090,14090,A*,22570,2005-2007,22570,12104,40430,40430,12104,12104,A*,17848,2008-2012,17848,11949,11949,11949,NA,11949,A,17845,2008-2012,17845,11356,23305,23305,5557,11356,A,17845,2008-2012,17845,15863,39168,39168,15863,15863,A,17845,2008-2012,17845,13081,52249,52249,13081,13081,A,17845,2008-2012,17845,9820,62069,62069,9820,9820,A,9142,2013-2020,9142,9758,9758,9758,9758,9758,A,8181,2013-2020,8181,8811,18569,18569,8811,8811,A,7248,2013-2020,7248,8414,26983,26983,8414,8414,A,6344,2013-2020,6344,11199,38182,38182,11199,11199,A,5468,2013-2020,5468,9884,48066,48066,9884,9884,A,4621,2013-2020,4621,8957,57023,57023,8957,8957,A,3801,2013-2020,3801,9811,66834,66834,9811,9811,A,3010,2013-2020,3010,6209,73043,73043,6209,6209,A
DK-164,164,Nykøbing Sj Varmeværk,Denmark,DK,100,Holding Account,open,46917928,Nykøbing Sj Varmeværk,Billesvej 10,NA,Nykøbing Sj,4500,DK,Denmark,1,Account holder,NA,NA,NA,Nykøbing S. Varmeværk,NA,NA,NA,2005,0,2005-01-01,TCO2-25,NA,NA,Billesvej 8,NA,Nykøbing Sj,4500,DK,20,Combustion of fuels,28848,2005-2007,28848,17246,17246,17246,17246,17246,A*,21636,2005-2007,21636,15837,33083,33083,15837,15837,A*,21635,2005-2007,21635,8683,41766,41766,8683,8683,A,18521,2008-2012,18521,9210,7242,7242,9210,7242,A,18520,2008-2012,18520,6200,15410,15410,NA,8168,A,18520,2008-2012,18520,7899,23309,23309,1699,7899,A,18520,2008-2012,18520,8090,31399,31399,1959,8090,A,18520,2008-2012,18520,9549,40948,40948,9549,9549,A,8729,2013-2020,8729,9250,9250,9250,9250,9250,A,7812,2013-2020,7812,7210,16460,16460,7210,7210,A,6920,2013-2020,6920,6482,22942,22942,6482,6482,A,6057,2013-2020,6057,7548,30490,30490,7548,7548,A,5221,2013-2020,5221,7865,38355,38355,7865,7865,A,4412,2013-2020,4412,8108,46463,46463,8108,8108,A,3629,2013-2020,3629,7110,53573,53573,7110,7110,A,2874,2013-2020,2874,5934,59507,59507,5934,5934,A
DK-229,229,Høje Taastrup Fjernvarme A.m.b.a.,Denmark,DK,100,Holding Account,closed,13057117,Høje Taastrup Fjernvarme A.m.b.a.,Malervej 7a,NA,Taastrup,2630,DK,Denmark,1,Account holder,NA,NA,NA,HTF Gasværksvej,NA,NA,NA,2005,2014,2005-01-01,TCO2-1824,NA,NA,Gasværksvej 5,NA,Taastrup,2630,DK,20,Combustion of fuels,200,2005-2007,200,10,10,10,10,10,A*,150,2005-2007,150,7,17,17,7,7,A*,149,2005-2007,149,40,57,57,40,40,A*,109,2008-2012,109,24,24,24,24,24,A,108,2008-2012,108,8,32,32,8,8,A,108,2008-2012,108,385,417,417,385,385,A,108,2008-2012,108,NA,417,417,NA,0,A,108,2008-2012,108,89,506,506,89,89,A,32,2013-2020,32,153,153,153,153,153,A,57,2013-2020,57,NA,153,153,NA,0,A,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA
DK-133,133,Aabenraa-Rødekro Fjernvarme,Denmark,DK,100,Holding Account,open,36152710,Aabenraa-Rødekro Fjernvarme,Egelund 60,NA,Aabenraa,6200,DK,Denmark,1,Account holder,NA,NA,NA,Rødekro Fjernvarmecentral,NA,NA,NA,2005,0,2005-01-01,TCO2-443,NA,NA,Skånevej 12,NA,Rødekro,6230,DK,20,Combustion of fuels,1671,2005-2007,1671,50,50,50,50,50,A*,1252,2005-2007,1252,12,62,62,12,12,A*,1253,2005-2007,1253,NA,62,62,NA,0,A,716,2008-2012,716,NA,0,0,NA,0,A,713,2008-2012,713,NA,0,0,NA,0,A,713,2008-2012,713,18,18,18,18,18,A,713,2008-2012,713,61,79,79,61,61,A,713,2008-2012,713,45,124,124,45,45,A,395,2013-2020,395,19,19,19,19,19,A,354,2013-2020,354,12,31,31,12,12,A,313,2013-2020,313,NA,31,31,NA,0,A,0,2013-2020,0,NA,31,31,NA,0,A,0,2013-2020,0,NA,31,31,NA,0,A,0,2013-2020,0,NA,31,31,NA,0,A,0,2013-2020,0,NA,31,31,NA,0,A,0,2013-2020,0,NA,31,31,NA,0,A
DK-131,131,Aabenraa-Rødekro Fjernvarme,Denmark,DK,100,Holding Account,closed,36152710,Aabenraa-Rødekro Fjernvarme,Egelund 60,NA,Aabenraa,6200,DK,Denmark,1,Account holder,NA,NA,NA,Aabenraa Fjernvarme,NA,NA,NA,2005,2013,2005-01-01,TCO2-578,NA,NA,Humlehaven 2,NA,Aabenraa,6200,DK,20,Combustion of fuels,247,2005-2007,247,1763,1763,1763,1763,1763,A*,185,2005-2007,185,721,2484,2484,721,721,A*,186,2005-2007,186,192,2676,2676,192,192,A,296,2008-2012,296,19,19,19,19,19,A,296,2008-2012,296,58,77,77,58,58,A,296,2008-2012,296,328,405,405,328,328,A,296,2008-2012,296,191,596,596,191,191,A,296,2008-2012,296,228,824,824,228,228,A,122,2013-2020,122,133,133,133,133,133,A,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA
