id,InstallationOrAircraftOperatorID,AccountHolderName,NationalAdministrator,NationalAdministratorCode,AccountTypeCode,AccountTypeCodeLookup,AccountStatus,CompanyRegistrationNo,ContactName,ContactAddress1,ContactAddress2,ContactCity,ContactZipCode,ContactCountryCode,ContactCountryCodeLookup,ContactRelationshipTypeCode,ContactRelationshipTypeCodeLookup,ContactTelephone1,ContactTelephone2,ContactEmailAddress,InstallationNameOrAircraftOperatorCode,ParentCompany,SubsidiaryCompany,EPRTRIdentification,FirstYearOfEmissions,LastYearOfEmissions,PermitOrPlanDate,PermitOrPlanID,Latitude,Longitude,Address1,Address2,City,ZipCode,Country,MainActivityTypeCode,MainActivityTypeCodeLookup,FreeAllocations_2005,ETSPhase_2005,AllowanceInAllocation_2005,UnitsSurrendered_2005,CumulativeSurrenderedUnits_2005,CumulativeVerifiedEmissions_2005,SurrenderedAllowances_2005,VerifiedEmissions_2005,ComplianceCode_2005,FreeAllocations_2006,ETSPhase_2006,AllowanceInAllocation_2006,UnitsSurrendered_2006,CumulativeSurrenderedUnits_2006,CumulativeVerifiedEmissions_2006,SurrenderedAllowances_2006,VerifiedEmissions_2006,ComplianceCode_2006,FreeAllocations_2007,ETSPhase_2007,AllowanceInAllocation_2007,UnitsSurrendered_2007,CumulativeSurrenderedUnits_2007,CumulativeVerifiedEmissions_2007,SurrenderedAllowances_2007,VerifiedEmissions_2007,ComplianceCode_2007,FreeAllocations_2008,ETSPhase_2008,AllowanceInAllocation_2008,UnitsSurrendered_2008,CumulativeSurrenderedUnits_2008,CumulativeVerifiedEmissions_2008,SurrenderedAllowances_2008,VerifiedEmissions_2008,ComplianceCode_2008,FreeAllocations_2009,ETSPhase_2009,AllowanceInAllocation_2009,UnitsSurrendered_2009,CumulativeSurrenderedUnits_2009,CumulativeVerifiedEmissions_2009,SurrenderedAllowances_2009,VerifiedEmissions_2009,ComplianceCode_2009,FreeAllocations_2010,ETSPhase_2010,AllowanceInAllocation_2010,UnitsSurrendered_2010,CumulativeSurrenderedUnits_2010,CumulativeVerifiedEmissions_2010,SurrenderedAllowances_2010,VerifiedEmissions_2010,ComplianceCode_2010,FreeAllocations_2011,ETSPhase_2011,AllowanceInAllocation_2011,UnitsSurrendered_2011,CumulativeSurrenderedUnits_2011,CumulativeVerifiedEmissions_2011,SurrenderedAllowances_2011,VerifiedEmissions_2011,ComplianceCode_2011,FreeAllocations_2012,ETSPhase_2012,AllowanceInAllocation_2012,UnitsSurrendered_2012,CumulativeSurrenderedUnits_2012,CumulativeVerifiedEmissions_2012,SurrenderedAllowances_2012,VerifiedEmissions_2012,ComplianceCode_2012,FreeAllocations_2013,ETSPhase_2013,AllowanceInAllocation_2013,UnitsSurrendered_2013,CumulativeSurrenderedUnits_2013,CumulativeVerifiedEmissions_2013,SurrenderedAllowances_2013,VerifiedEmissions_2013,ComplianceCode_2013,FreeAllocations_2014,ETSPhase_2014,AllowanceInAllocation_2014,UnitsSurrendered_2014,CumulativeSurrenderedUnits_2014,CumulativeVerifiedEmissions_2014,SurrenderedAllowances_2014,VerifiedEmissions_2014,ComplianceCode_2014,FreeAllocations_2015,ETSPhase_2015,AllowanceInAllocation_2015,UnitsSurrendered_2015,CumulativeSurrenderedUnits_2015,CumulativeVerifiedEmissions_2015,SurrenderedAllowances_2015,VerifiedEmissions_2015,ComplianceCode_2015,FreeAllocations_2016,ETSPhase_2016,AllowanceInAllocation_2016,UnitsSurrendered_2016,CumulativeSurrenderedUnits_2016,CumulativeVerifiedEmissions_2016,SurrenderedAllowances_2016,VerifiedEmissions_2016,ComplianceCode_2016,FreeAllocations_2017,ETSPhase_2017,AllowanceInAllocation_2017,UnitsSurrendered_2017,CumulativeSurrenderedUnits_2017,CumulativeVerifiedEmissions_2017,SurrenderedAllowances_2017,VerifiedEmissions_2017,ComplianceCode_2017,FreeAllocations_2018,ETSPhase_2018,AllowanceInAllocation_2018,UnitsSurrendered_2018,CumulativeSurrenderedUnits_2018,CumulativeVerifiedEmissions_2018,SurrenderedAllowances_2018,VerifiedEmissions_2018,ComplianceCode_2018,FreeAllocations_2019,ETSPhase_2019,AllowanceInAllocation_2019,UnitsSurrendered_2019,CumulativeSurrenderedUnits_2019,CumulativeVerifiedEmissions_2019,SurrenderedAllowances_2019,VerifiedEmissions_2019,ComplianceCode_2019,FreeAllocations_2020,ETSPhase_2020,AllowanceInAllocation_2020,UnitsSurrendered_2020,CumulativeSurrenderedUnits_2020,CumulativeVerifiedEmissions_2020,SurrenderedAllowances_2020,VerifiedEmissions_2020,ComplianceCode_2020,FreeAllocations_2021,ETSPhase_2021,AllowanceInAllocation_2021,UnitsSurrendered_2021,CumulativeSurrenderedUnits_2021,CumulativeVerifiedEmissions_2021,SurrenderedAllowances_2021,VerifiedEmissions_2021,ComplianceCode_2021,FreeAllocations_2022,ETSPhase_2022,AllowanceInAllocation_2022,UnitsSurrendered_2022,CumulativeSurrenderedUnits_2022,CumulativeVerifiedEmissions_2022,SurrenderedAllowances_2022,VerifiedEmissions_2022,ComplianceCode_2022
EE-200417,200417,Estonian Air AS,Estonia,EE,100,Holding Account,closed,10076042,Estonian Air AS,Lennujaama tee 13,NA,Tallinn,11101,EE,Estonia,1,Account holder,NA,NA,NA,18219,NA,NA,NA,2012,2015,2011-01-01,Version 3,NA,NA,-,NA,-,-,EE,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,44984,2008-2012,44984,82259,82259,82259,75072,82259,A,32448,2013-2020,32448,NA,0,0,NA,62181,A,32448,2013-2020,32448,125594,125594,125594,125594,63413,A,32448,2013-2020,32448,61092,186686,186686,61092,61092,A,0,2013-2020,0,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA
EE-1,1,Enefit Power AS,Estonia,EE,100,Holding Account,open,10579981,Enefit Power AS,40107 Ida-Virumaa,Elektrijaama tee 59,"Auvere küla, Keskterritooriumi",Narva-Jõesuu linn,EE,Estonia,1,Account holder,NA,NA,NA,Balti Elektrijaam,Eesti Energia AS,NA,NA,2005,0,2009-01-12,L-KKL-IV-137279,NA,NA,Enefit Energiatootmine AS,Elektrijaama tee 59,Narva,21004,EE,20,Combustion of fuels,3570345,2005-2007,3570345,2253587,2253587,2253587,2253587,2253587,A,3795271,2005-2007,3795271,NA,2253587,3805443,NA,1551856,B,4035155,2005-2007,4035155,4276903,6530490,6530490,4276903,2725047,A,1454336,2008-2012,1454336,1971239,1971239,1971239,1971239,1971239,A*,1454336,2008-2012,1454336,1263972,3235211,3235211,1263972,1263972,A,1454336,2008-2012,1454336,2859684,6094895,6094895,2859684,2859684,A,2612394,2008-2012,2612394,3723698,9818593,9818593,3723698,3723698,A,2049855,2008-2012,2049855,1435324,11253917,11253917,1028651,1435324,A,172920,2013-2020,1132820,2208958,2208958,2208958,2208958,2208958,A,146669,2013-2020,969440,2236011,4444969,4444969,2236011,2236011,A,123204,2013-2020,808847,1408713,5853682,5853682,1408713,1408713,A,102446,2013-2020,650960,1626481,7480163,7480163,1626481,1626481,A,84277,2013-2020,467740,1602600,9082763,9082763,1602600,1602600,A,68585,2013-2020,68585,1125188,10207951,10207951,1125188,1125188,A,58772,2013-2020,58772,915035,11122986,11122986,915035,915035,A,50768,2013-2020,50768,399305,11522291,11522291,399305,399305,A,19186,2021-2030,19186,645847,645847,645847,645847,645847,A,18693,2021-2030,18693,1036068,1681915,1681915,1036068,1036068,A
EE-2,2,Enefit Power AS,Estonia,EE,100,Holding Account,open,10579981,Enefit Power AS,40107 Ida-Virumaa,Elektrijaama tee 59,"Auvere küla, Keskterritooriumi",Narva-Jõesuu linn,EE,Estonia,1,Account holder,NA,NA,NA,Eesti Elektrijaam,Eesti Energia AS,NA,NA,2005,0,2009-01-12,L-KKL-IV-172516,NA,NA,Enefit Energiatootmine AS,"Auvere küla, Narva-Jõesuu linn",Ida-Virumaa,40107,EE,20,Combustion of fuels,9521554,2005-2007,9521554,7710803,7710803,7710803,7710803,7710803,A,10500912,2005-2007,10500912,NA,7710803,15408907,NA,7698104,B,12861543,2005-2007,12861543,17069686,24780489,24780489,17069686,9371582,A,7214504,2008-2012,7214504,8282592,8282592,8282592,8282592,8282592,A,7214504,2008-2012,7214504,7036332,15318924,15318924,7036332,7036332,A,7214504,2008-2012,7214504,9293785,24612709,24612709,9293785,9293785,A,8730846,2008-2012,8730846,8408440,33021149,33021149,8408440,8408440,A,8033243,2008-2012,8033243,9440345,42461494,42461494,7845811,9440345,A,65058,2013-2020,4104032,10667854,10667854,10667854,10667854,10667854,A,63736,2013-2020,3525713,9683037,20350891,20350891,9683037,9683037,A,62419,2013-2020,2947400,7080114,27431005,27431005,7080114,7080114,A,61110,2013-2020,2369095,7938499,35369504,35369504,7938499,7938499,A,59808,2013-2020,1677386,8357064,43726568,43726568,8357064,8357064,A,58512,2013-2020,144435,7758535,51485103,51485103,7758535,7758535,A,57223,2013-2020,141509,3429357,54914460,54914460,3429357,3429357,A,55943,2013-2020,138591,1650070,56564530,56564530,1650070,1650070,A,134322,2021-2030,134322,2607958,2607958,2607958,2607958,2607958,A,130871,2021-2030,130871,3848636,6456594,6456594,3848636,3848636,A
EE-3,3,Enefit Green AS,Estonia,EE,100,Holding Account,open,11184032,Enefit Green AS,Lelle 22,Elektrijaama tee 59,Tallinn,11318,EE,Estonia,1,Account holder,NA,NA,NA,Iru Elektrijaam,Eesti Energia AS,NA,NA,2005,0,2009-01-12,L-KKL-HA-222658,NA,NA,Iru Elektrijaam,Peterburi tee 105,Maardu,74114,EE,20,Combustion of fuels,505968,2005-2007,505968,373270,373270,373270,373270,373270,A,537952,2005-2007,537952,NA,373270,745262,NA,371992,B,572064,2005-2007,572064,674221,1047491,1047491,674221,302229,A,364192,2008-2012,364192,313860,313860,313860,313860,313860,A,364192,2008-2012,364192,158758,472618,472618,158758,158758,A,364192,2008-2012,364192,220107,692725,692725,220107,220107,A,215880,2008-2012,215880,167728,860453,860453,167728,167728,A,290036,2008-2012,290036,98650,959103,959103,40644,98650,A,205712,2013-2020,205712,77266,77266,77266,77266,77266,A,184092,2013-2020,184092,77917,155183,155183,77917,77917,A,81544,2013-2020,81544,71214,226397,226397,71214,71214,A,71373,2013-2020,71373,91802,318199,318199,91802,91802,A,61522,2013-2020,61522,48580,366779,366779,48580,48580,A,25995,2013-2020,25995,53934,420713,420713,53934,53934,A,21383,2013-2020,21383,19196,439909,439909,19196,19196,A,0,2013-2020,0,7415,447324,447324,7415,7415,A,2661,2021-2030,2661,2731,2731,2731,2731,2731,A,997,2021-2030,997,644,3375,3375,644,644,A
EE-4,4,Gren Viru AS,Estonia,EE,100,Holding Account,open,10160791,Gren Viru AS,Puru tee 79,Ritsika 1,Kohtla-Järve,31023,EE,Estonia,1,Account holder,NA,NA,NA,Ahtme soojuselektrijaam,VKG Soojus AS,NA,NA,2005,0,2009-01-12,KKL-319098,NA,NA,Ritsika 1,Ritsika 1,Kohtla-Järve,31027,EE,20,Combustion of fuels,259820,2005-2007,259820,190257,190257,190257,190257,190257,A,276167,2005-2007,276167,187773,378030,378030,187773,187773,A,293601,2005-2007,293601,183832,561862,561862,183832,183832,A,185973,2008-2012,185973,157763,157763,157763,157763,157763,A,185973,2008-2012,185973,146133,303896,303896,146133,146133,A,185973,2008-2012,185973,162792,466688,466688,162792,162792,A,156877,2008-2012,156877,122132,588820,588820,104990,122132,A,171425,2008-2012,171425,111768,700588,700588,94626,111768,A,99444,2013-2020,99444,3543,3543,3543,3543,3543,A,81674,2013-2020,81674,483,4026,4026,483,483,A,24886,2013-2020,24886,110,4136,4136,110,110,A,16107,2013-2020,16107,966,5102,5102,966,966,A,8993,2013-2020,8993,161,5263,5263,161,161,A,3465,2013-2020,3465,4,5267,5267,4,4,A,0,2013-2020,0,231,5498,5498,231,231,A,0,2013-2020,0,73,5571,5571,73,73,A,68,2021-2030,68,828,828,828,828,828,A,67,2021-2030,67,142,970,970,142,142,A
EE-5,5,OÜ VKG Energia,Estonia,EE,100,Holding Account,open,10516395,OÜ VKG Energia,OÜ VKG Energia,Järveküla tee 14,Kohtla-Järve,30328,EE,Estonia,1,Account holder,NA,NA,NA,OÜ VKG Energia Põhja SEJ,Viru Keemia Grupp AS,NA,NA,2005,0,2009-01-12,L-KKL-IV-204118,NA,NA,OÜ VKG Energia,Elektriku 3,Kohtla-Järve,30199,EE,20,Combustion of fuels,214950,2005-2007,214950,133570,133570,133570,133570,133570,A,228379,2005-2007,228379,259608,393178,393178,259608,259608,A,242702,2005-2007,242702,303513,696691,696691,303513,303513,A,254208,2008-2012,254208,296288,296288,291602,296288,291602,E*,254208,2008-2012,254208,257051,553339,562165,257051,270563,B,254208,2008-2012,254208,309992,827064,863331,309992,301166,B,871023,2008-2012,871023,446909,1310240,1310240,394187,446909,A,573726,2008-2012,573726,472759,1782999,1782999,415387,472759,A,373460,2013-2020,512679,489293,489293,489293,489293,489293,A,358635,2013-2020,492716,527049,1016342,1016342,527049,527049,A,344829,2013-2020,483173,497923,1514265,1514265,497923,497923,A,332013,2013-2020,465108,451341,1965606,1965606,451341,451341,A,320143,2013-2020,446418,600303,2565909,2565909,600303,600303,A,309176,2013-2020,428729,588839,3154748,3154748,588839,588839,A,299124,2013-2020,412055,676192,3830940,3830940,676192,676192,A,291232,2013-2020,397642,628803,4459743,4459743,628803,628803,A,425330,2021-2030,425330,593857,593857,593857,593857,593857,A,405894,2021-2030,405894,560197,1154054,1154054,560197,560197,A
EE-6,6,Liwathon E.O.S. AS,Estonia,EE,100,Holding Account,open,10715645,Liwathon E.O.S. AS,Vana-Narva mnt 27A,Lasti tee 20,Maardu,74114,EE,Estonia,1,Account holder,NA,NA,NA,Pakterminal,NA,NA,NA,2005,0,2009-01-12,L-OV-325959,NA,NA,Pakterminal,Lasti tee 20,Maardu,74115,EE,20,Combustion of fuels,26753,2005-2007,26753,16716,16716,16716,16716,16716,A,27217,2005-2007,27217,11669,28385,28385,11669,11669,A,27694,2005-2007,27694,12428,40813,40813,12428,12428,A,11669,2008-2012,11669,7344,7344,7344,7344,7344,A,11669,2008-2012,11669,5356,12700,12700,5356,5356,A,11669,2008-2012,11669,9434,22134,22134,9434,9434,A,9313,2008-2012,9313,10427,32561,32561,10427,10427,A,10491,2008-2012,10491,11706,44267,44267,9608,11706,A,9060,2013-2020,9060,12906,12906,12906,12906,12906,A,8107,2013-2020,8107,8920,21826,21826,8920,8920,A,7181,2013-2020,7181,6644,28470,28470,6644,6644,A,6283,2013-2020,6283,5844,34314,34314,5844,5844,A,2707,2013-2020,2707,5679,39993,39993,5679,5679,A,2285,2013-2020,2285,4528,44521,44521,4528,4528,A,1878,2013-2020,1878,3038,47559,47559,3038,3038,A,1486,2013-2020,1486,2638,50197,50197,2638,2638,A,448,2021-2030,448,2689,2689,2689,2689,2689,A,448,2021-2030,448,1570,4259,4259,1570,1570,A
EE-7,7,AS Aspi,Estonia,EE,100,Holding Account,closed,NA,AS Aspi,AS Aspi,Peterburi tee 46,Tallinn,11415,EE,Estonia,1,Account holder,NA,NA,NA,AS Aspi,AS Eesti Ehitus,NA,NA,2006,2006,2006-08-31,EE-KL-00000,NA,NA,AS Aspi,Peterburi tee 46,Tallinn,11415,EE,1,Combustion installations with a rated thermal input exceeding 20 MW,4589,2005-2007,4589,NA,NA,NA,NA,NA,NA,5201,2005-2007,5201,NA,NA,0,NA,NA,A,5201,2005-2007,5201,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,Not Calculated,NA,Not Reported,C,NA,2008-2012,NA,NA,NA,Not Calculated,NA,Not Reported,C,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA
EE-8,8,OÜ VKG Energia (end Fortum),Estonia,EE,100,Holding Account,closed,10516395,OÜ VKG Energia (end Fortum),OÜ VKG Energia,Järveküla tee 14,Kohtla-Järve,30328,EE,Estonia,1,Account holder,NA,NA,NA,OÜ VKG Energia Lõuna SEJ,Fortum Power and Heat Oy,NA,NA,2005,2010,2009-01-12,EE-KL-0006,NA,NA,Järveküla tee 14,Keemia 2A,Kohtla-Järve,30328,EE,20,Combustion of fuels,201039,2005-2007,201039,206823,206823,206823,206823,206823,A,214408,2005-2007,214408,161373,368196,368196,161373,161373,A,228666,2005-2007,228666,164662,532858,532858,164662,164662,A,96418,2008-2012,96418,165873,165873,165873,165873,165873,A,96418,2008-2012,96418,26963,192836,318552,26963,152679,B,96418,2008-2012,96418,277536,289254,470372,277536,151820,B,0,2008-2012,0,NA,0,Not Calculated,NA,Not Reported,C,0,2008-2012,0,NA,0,Not Calculated,NA,Not Reported,C,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA
EE-9,9,VKG Oil AS,Estonia,EE,100,Holding Account,open,10528765,VKG Oil AS,VKG Oil AS,Järveküla tee 14,Kohtla-Järve,30328,EE,Estonia,1,Account holder,NA,NA,NA,VKG Oil AS,Viru Keemia Grupp AS,NA,NA,2005,0,2009-01-12,L-KKL-IV-198338,NA,NA,VKG Oil AS,Järveküla tee 14,Kohtla-Järve,30328,EE,21,Refining of mineral oil,132875,2005-2007,132875,70298,70298,70298,70298,70298,A,132875,2005-2007,132875,69513,139811,139811,69513,69513,A,147172,2005-2007,147172,53129,192940,192940,53129,53129,A,69513,2008-2012,69513,54905,54905,54905,54905,54905,A,69513,2008-2012,69513,39198,94103,94103,39198,39198,A,69513,2008-2012,69513,49996,144099,144099,49996,49996,A,42833,2008-2012,42833,52257,196356,196356,46640,52257,A,56173,2008-2012,56173,49172,245528,245528,43555,49172,A,80323,2013-2020,80323,43058,43058,43058,43058,43058,A,78903,2013-2020,78903,43971,87029,87029,43971,43971,A,77468,2013-2020,77468,46541,133570,133570,46541,46541,A,76018,2013-2020,76018,34842,168412,168412,34842,34842,A,74555,2013-2020,74555,45851,214263,214263,45851,45851,A,73079,2013-2020,73079,39999,254262,254262,39999,39999,A,71585,2013-2020,71585,53576,307838,307838,53576,53576,A,70087,2013-2020,70087,46490,354328,354328,46490,46490,A,59046,2021-2030,59046,46438,46438,46438,46438,46438,A,51580,2021-2030,51580,39253,85691,85691,39253,39253,A
