id,InstallationOrAircraftOperatorID,AccountHolderName,NationalAdministrator,NationalAdministratorCode,AccountTypeCode,AccountTypeCodeLookup,AccountStatus,CompanyRegistrationNo,ContactName,ContactAddress1,ContactAddress2,ContactCity,ContactZipCode,ContactCountryCode,ContactCountryCodeLookup,ContactRelationshipTypeCode,ContactRelationshipTypeCodeLookup,ContactTelephone1,ContactTelephone2,ContactEmailAddress,InstallationNameOrAircraftOperatorCode,ParentCompany,SubsidiaryCompany,EPRTRIdentification,FirstYearOfEmissions,LastYearOfEmissions,PermitOrPlanDate,PermitOrPlanID,Latitude,Longitude,Address1,Address2,City,ZipCode,Country,MainActivityTypeCode,MainActivityTypeCodeLookup,FreeAllocations_2005,ETSPhase_2005,AllowanceInAllocation_2005,UnitsSurrendered_2005,CumulativeSurrenderedUnits_2005,CumulativeVerifiedEmissions_2005,SurrenderedAllowances_2005,VerifiedEmissions_2005,ComplianceCode_2005,FreeAllocations_2006,ETSPhase_2006,AllowanceInAllocation_2006,UnitsSurrendered_2006,CumulativeSurrenderedUnits_2006,CumulativeVerifiedEmissions_2006,SurrenderedAllowances_2006,VerifiedEmissions_2006,ComplianceCode_2006,FreeAllocations_2007,ETSPhase_2007,AllowanceInAllocation_2007,UnitsSurrendered_2007,CumulativeSurrenderedUnits_2007,CumulativeVerifiedEmissions_2007,SurrenderedAllowances_2007,VerifiedEmissions_2007,ComplianceCode_2007,FreeAllocations_2008,ETSPhase_2008,AllowanceInAllocation_2008,UnitsSurrendered_2008,CumulativeSurrenderedUnits_2008,CumulativeVerifiedEmissions_2008,SurrenderedAllowances_2008,VerifiedEmissions_2008,ComplianceCode_2008,FreeAllocations_2009,ETSPhase_2009,AllowanceInAllocation_2009,UnitsSurrendered_2009,CumulativeSurrenderedUnits_2009,CumulativeVerifiedEmissions_2009,SurrenderedAllowances_2009,VerifiedEmissions_2009,ComplianceCode_2009,FreeAllocations_2010,ETSPhase_2010,AllowanceInAllocation_2010,UnitsSurrendered_2010,CumulativeSurrenderedUnits_2010,CumulativeVerifiedEmissions_2010,SurrenderedAllowances_2010,VerifiedEmissions_2010,ComplianceCode_2010,FreeAllocations_2011,ETSPhase_2011,AllowanceInAllocation_2011,UnitsSurrendered_2011,CumulativeSurrenderedUnits_2011,CumulativeVerifiedEmissions_2011,SurrenderedAllowances_2011,VerifiedEmissions_2011,ComplianceCode_2011,FreeAllocations_2012,ETSPhase_2012,AllowanceInAllocation_2012,UnitsSurrendered_2012,CumulativeSurrenderedUnits_2012,CumulativeVerifiedEmissions_2012,SurrenderedAllowances_2012,VerifiedEmissions_2012,ComplianceCode_2012,FreeAllocations_2013,ETSPhase_2013,AllowanceInAllocation_2013,UnitsSurrendered_2013,CumulativeSurrenderedUnits_2013,CumulativeVerifiedEmissions_2013,SurrenderedAllowances_2013,VerifiedEmissions_2013,ComplianceCode_2013,FreeAllocations_2014,ETSPhase_2014,AllowanceInAllocation_2014,UnitsSurrendered_2014,CumulativeSurrenderedUnits_2014,CumulativeVerifiedEmissions_2014,SurrenderedAllowances_2014,VerifiedEmissions_2014,ComplianceCode_2014,FreeAllocations_2015,ETSPhase_2015,AllowanceInAllocation_2015,UnitsSurrendered_2015,CumulativeSurrenderedUnits_2015,CumulativeVerifiedEmissions_2015,SurrenderedAllowances_2015,VerifiedEmissions_2015,ComplianceCode_2015,FreeAllocations_2016,ETSPhase_2016,AllowanceInAllocation_2016,UnitsSurrendered_2016,CumulativeSurrenderedUnits_2016,CumulativeVerifiedEmissions_2016,SurrenderedAllowances_2016,VerifiedEmissions_2016,ComplianceCode_2016,FreeAllocations_2017,ETSPhase_2017,AllowanceInAllocation_2017,UnitsSurrendered_2017,CumulativeSurrenderedUnits_2017,CumulativeVerifiedEmissions_2017,SurrenderedAllowances_2017,VerifiedEmissions_2017,ComplianceCode_2017,FreeAllocations_2018,ETSPhase_2018,AllowanceInAllocation_2018,UnitsSurrendered_2018,CumulativeSurrenderedUnits_2018,CumulativeVerifiedEmissions_2018,SurrenderedAllowances_2018,VerifiedEmissions_2018,ComplianceCode_2018,FreeAllocations_2019,ETSPhase_2019,AllowanceInAllocation_2019,UnitsSurrendered_2019,CumulativeSurrenderedUnits_2019,CumulativeVerifiedEmissions_2019,SurrenderedAllowances_2019,VerifiedEmissions_2019,ComplianceCode_2019,FreeAllocations_2020,ETSPhase_2020,AllowanceInAllocation_2020,UnitsSurrendered_2020,CumulativeSurrenderedUnits_2020,CumulativeVerifiedEmissions_2020,SurrenderedAllowances_2020,VerifiedEmissions_2020,ComplianceCode_2020
ES-200262,200262,SPANAIR S.A.,Spain,ES,100,Holding Account,closed,A07225154,SPANAIR S.A.,"PASSEIG DE GRACIA, 2",NA,BARCELONA,08012,ES,Spain,1,Account holder,NA,NA,NA,4298,NA,NA,NA,2012,2012,2012-01-01,13012012_version4,NA,NA,-,NA,-,-,ES,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,567881,2008-2012,567881,45781,45781,45781,45781,45781,A,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA
ES-200308,200308,PUNTO FA S.L.,Spain,ES,100,Holding Account,open,B-59088948,PUNTO FA S.L.,"MERCADERS, 9-11",POL. IND. RIERA DE CALDES,PALAU-SOLITÀ I PLEGAMANS,08184,ES,Spain,1,Account holder,NA,NA,NA,29804,NA,NA,NA,2012,0,2010-01-01,MP Aem PUNTO FA SL Rev 1,NA,NA,-,NA,-,-,ES,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,57,2008-2012,57,916,916,916,916,916,A,17,2013-2020,17,NA,0,0,NA,1086,A,17,2013-2020,17,2261,2261,2261,2261,1175,A*,17,2013-2020,17,543,2804,2804,543,0,A*,17,2013-2020,17,NA,2804,2261,NA,Excluded,A,17,2013-2020,17,90,2894,2894,90,633,A,17,2013-2020,17,670,3564,3564,670,670,A,17,2013-2020,17,NA,3564,3564,NA,Excluded,A,18,2013-2020,18,NA,3564,3564,NA,Excluded,A
ES-200357,200357,Edelweiss Air AG,Spain,ES,100,Holding Account,closed,CH-020.3.006.6253,Edelweiss Air AG,Operations Center,NA,Zurich Airport,8058,CH,Switzerland,1,Account holder,NA,NA,NA,6101,NA,NA,NA,2012,2019,2010-01-01,1,NA,NA,-,NA,-,-,ES,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,53047,2008-2012,53047,82811,82811,82811,82811,82811,A,150,2013-2020,150,NA,0,0,NA,0,A,150,2013-2020,150,32,32,32,32,32,A,150,2013-2020,150,45,77,77,45,45,A,150,2013-2020,150,17,94,94,17,17,A,150,2013-2020,150,96,190,190,96,96,A,150,2013-2020,150,66,256,256,66,66,A,150,2013-2020,150,77,333,333,77,77,A,15813,2013-2020,15813,NA,NA,NA,NA,NA,NA
ES-200407,200407,"AIR NOSTRUM LINEAS AEREAS DEL MEDITERRANEO, S.A.",Spain,ES,100,Holding Account,open,A96302724,"AIR NOSTRUM LINEAS AEREAS DEL MEDITERRANEO, S.A.","AVDA. COMARQUES DEL PAIS VALENCIA, 2",NA,"QUART DE POBLET, VALENCIA",46930,ES,Spain,1,Account holder,NA,NA,NA,22380,NA,NA,NA,2012,0,2009-01-01,22380,NA,NA,-,NA,-,-,ES,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,197162,2008-2012,197162,415375,415375,415375,353069,415375,A,174084,2013-2020,174084,NA,0,0,NA,307286,A,174084,2013-2020,174084,596814,596814,596814,596814,289528,A,174084,2013-2020,174084,309492,906306,906306,309492,309492,A,174084,2013-2020,174084,340468,1246774,1246774,340468,340468,A,174084,2013-2020,174084,333426,1580200,1580200,333426,333426,A,174084,2013-2020,174084,345426,1925626,1925626,345426,345426,A*,174084,2013-2020,174084,374668,2300294,2300294,374668,374668,A,174084,2013-2020,174084,136479,2436682,2436682,136479,136388,A
ES-200478,200478,VIM Airlines,Spain,ES,100,Holding Account,open,011553148,VIM Airlines,"Novokhokhlovskaya str., 23, bld. 1",NA,Moscow,109052,RU,Russian Federation,1,Account holder,NA,NA,NA,29086,NA,NA,NA,2012,0,2011-01-01,11022011_version3,NA,NA,-,NA,-,-,ES,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,73359,2008-2012,73359,22858,22858,22858,22858,22858,A,7,2013-2020,7,NA,0,0,NA,327,A,7,2013-2020,7,343,343,343,343,16,A,7,2013-2020,7,27,370,370,27,27,A,7,2013-2020,7,156,526,526,156,156,A*,7,2013-2020,7,NA,526,532,NA,6,B,7,2013-2020,7,NA,526,532,NA,Excluded,B,7,2013-2020,7,NA,526,532,NA,Excluded,B,7,2013-2020,7,NA,526,532,NA,Excluded,B
ES-200651,200651,"Vueling Airlines, S.A.",Spain,ES,100,Holding Account,open,A63422141,"Vueling Airlines, S.A.","Plaça Plà de L Estany, 5",NA,Barcelona,08820,ES,Spain,1,Account holder,NA,NA,NA,30190,NA,NA,NA,2012,0,2011-01-01,18022011_version4,NA,NA,-,NA,-,-,ES,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,721536,2008-2012,721536,1264582,1264582,1264582,1074895,1264582,A,590650,2013-2020,590650,NA,0,0,NA,1303932,A,590650,2013-2020,590650,2915542,2915542,2915542,2915542,1611610,A,590650,2013-2020,590650,1840120,4755662,4755662,1840120,1840120,A,590650,2013-2020,590650,2014935,6770597,6770597,2014935,2014935,A,590650,2013-2020,822522,1995184,8765781,8765781,1995184,1995184,A,590650,2013-2020,822522,2167198,10932979,10932979,2167198,2167198,A,590650,2013-2020,822522,2192251,13125230,13125230,2192251,2192251,A,591822,2013-2020,824264,628048,13749064,13749064,623834,623834,A
ES-201175,201175,IBERWORLD AIRLINES SAU,Spain,ES,100,Holding Account,closed,A07788318,IBERWORLD AIRLINES SAU,RITA LEVI S/N,EDIFICIO ORIZONIA - PARC BIT,PALMA DE MALLORCA,07121,ES,Spain,1,Account holder,NA,NA,NA,25406,NA,NA,NA,2012,2013,2012-01-01,13012012_version2,NA,NA,-,NA,-,-,ES,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,318284,2008-2012,318284,242974,242974,242974,242974,242974,A,39263,2013-2020,39263,NA,0,0,NA,1679,A,0,2013-2020,0,1679,1679,1679,1679,0,A*,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA
ES-730,730,"ENGIE CARTAGENA, S.L",Spain,ES,100,Holding Account,open,B96766928,"ENGIE CARTAGENA, S.L","Torrelaguna, 79",NA,Madrid,28043,ES,Spain,1,Account holder,NA,NA,NA,"ENGIE CARTAGENA, S.L. - Escombreras",NA,NA,NA,2005,0,2005-06-09,ES173001000860,NA,NA,Nacional 343 pk 10,NA,Cartagena (Murcia),30350,ES,20,Combustion of fuels,74841,2005-2007,74841,NA,0,0,NA,0,A*,0,2005-2007,0,31508,31508,31508,31508,31508,A*,0,2005-2007,0,817933,849441,849441,817933,817933,A,912930,2008-2012,912930,1493421,1493421,1493421,1109991,1493421,A,895580,2008-2012,895580,1874028,3367449,3367449,1497884,1874028,A,895580,2008-2012,895580,1255225,4622674,4622674,895775,1255225,A,895580,2008-2012,895580,293348,4916022,4916022,106,293348,A,895580,2008-2012,895580,94394,5010416,5010416,279,94394,A,NA,2013-2020,NA,37538,37538,37538,37538,37538,A,NA,2013-2020,NA,68072,105610,105610,68072,68072,A,NA,2013-2020,NA,153181,258791,258791,153181,153181,A,NA,2013-2020,NA,213141,471932,471932,213141,213141,A,NA,2013-2020,NA,281466,753398,753398,281466,281466,A,NA,2013-2020,NA,106659,860057,860057,106659,106659,A,NA,2013-2020,NA,1050911,1910968,1910968,1050911,1050911,A,NA,2013-2020,NA,869001,2779969,2779969,869001,869001,A
ES-733,733,"Iberdrola Generación Térmica, S.L.",Spain,ES,100,Holding Account,closed,B95924239,"Iberdrola Generación Térmica, S.L.","Plaza Euskadi, 5",NA,Bilbao (Vizcaya),48009,ES,Spain,1,Account holder,NA,NA,NA,"Iberdrola Generación, S.A.U. - Escombreras fuel",-,-,NA,2005,2009,2005-06-09,ES173001000868,NA,NA,"Valle de Escombreras, s/n",NA,Cartagena (Murcia),30350,ES,1,Combustion installations with a rated thermal input exceeding 20 MW,215564,2005-2007,215564,749397,749397,749397,749397,749397,A*,84646,2005-2007,84646,167396,916793,916793,167396,167396,A*,0,2005-2007,0,24843,941636,941636,24843,24843,A,0,2008-2012,0,4,4,4,4,4,A*,0,2008-2012,0,NA,NA,NA,NA,NA,NA,0,2008-2012,0,NA,0,Not Calculated,NA,Not Reported,C,0,2008-2012,0,NA,NA,NA,NA,NA,NA,0,2008-2012,0,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA
ES-739,739,"Cal Industrial, S.L",Spain,ES,100,Holding Account,open,B31027097,"Cal Industrial, S.L","Avda. Pio XII, 22, oficina 2",NA,Pamplona,31008,ES,Spain,1,Account holder,NA,NA,NA,Cal Industrial S.L,NA,NA,NA,2005,0,2005-06-09,ES183106000875,NA,NA,Tiebas s/n,NA,Tiebas (Navarra),31398,ES,30,"Production of lime, or calcination of dolomite/magnesite",175134,2005-2007,175134,144903,144903,144903,144903,144903,A*,175134,2005-2007,175134,149906,294809,294809,149906,149906,A*,175134,2005-2007,175134,166569,461378,461378,166569,166569,A*,154096,2008-2012,154096,151224,151224,151224,151224,151224,A,154096,2008-2012,154096,143988,295212,295212,137987,143988,A,154096,2008-2012,154096,132091,427303,427303,126090,132091,A,154096,2008-2012,154096,126889,554192,554192,120888,126889,A,154096,2008-2012,154096,120984,675176,675176,108810,120984,A,130960,2013-2020,130960,130146,130146,130146,130146,130146,A,128685,2013-2020,128685,126476,256622,256622,126476,126476,A,126384,2013-2020,126384,136035,392657,392657,136035,136035,A,124059,2013-2020,124059,119960,512617,512617,119960,119960,A,121708,2013-2020,121708,133181,645798,645798,133181,133181,A,119335,2013-2020,119335,123824,769622,769622,123824,123824,A,116932,2013-2020,116932,122890,892512,892512,122890,122890,A,114521,2013-2020,114521,101597,994109,994109,101597,101597,A
