id,InstallationOrAircraftOperatorID,AccountHolderName,NationalAdministrator,NationalAdministratorCode,AccountTypeCode,AccountTypeCodeLookup,AccountStatus,CompanyRegistrationNo,ContactName,ContactAddress1,ContactAddress2,ContactCity,ContactZipCode,ContactCountryCode,ContactCountryCodeLookup,ContactRelationshipTypeCode,ContactRelationshipTypeCodeLookup,ContactTelephone1,ContactTelephone2,ContactEmailAddress,InstallationNameOrAircraftOperatorCode,ParentCompany,SubsidiaryCompany,EPRTRIdentification,FirstYearOfEmissions,LastYearOfEmissions,PermitOrPlanDate,PermitOrPlanID,Latitude,Longitude,Address1,Address2,City,ZipCode,Country,MainActivityTypeCode,MainActivityTypeCodeLookup,FreeAllocations_2005,ETSPhase_2005,AllowanceInAllocation_2005,UnitsSurrendered_2005,CumulativeSurrenderedUnits_2005,CumulativeVerifiedEmissions_2005,SurrenderedAllowances_2005,VerifiedEmissions_2005,ComplianceCode_2005,FreeAllocations_2006,ETSPhase_2006,AllowanceInAllocation_2006,UnitsSurrendered_2006,CumulativeSurrenderedUnits_2006,CumulativeVerifiedEmissions_2006,SurrenderedAllowances_2006,VerifiedEmissions_2006,ComplianceCode_2006,FreeAllocations_2007,ETSPhase_2007,AllowanceInAllocation_2007,UnitsSurrendered_2007,CumulativeSurrenderedUnits_2007,CumulativeVerifiedEmissions_2007,SurrenderedAllowances_2007,VerifiedEmissions_2007,ComplianceCode_2007,FreeAllocations_2008,ETSPhase_2008,AllowanceInAllocation_2008,UnitsSurrendered_2008,CumulativeSurrenderedUnits_2008,CumulativeVerifiedEmissions_2008,SurrenderedAllowances_2008,VerifiedEmissions_2008,ComplianceCode_2008,FreeAllocations_2009,ETSPhase_2009,AllowanceInAllocation_2009,UnitsSurrendered_2009,CumulativeSurrenderedUnits_2009,CumulativeVerifiedEmissions_2009,SurrenderedAllowances_2009,VerifiedEmissions_2009,ComplianceCode_2009,FreeAllocations_2010,ETSPhase_2010,AllowanceInAllocation_2010,UnitsSurrendered_2010,CumulativeSurrenderedUnits_2010,CumulativeVerifiedEmissions_2010,SurrenderedAllowances_2010,VerifiedEmissions_2010,ComplianceCode_2010,FreeAllocations_2011,ETSPhase_2011,AllowanceInAllocation_2011,UnitsSurrendered_2011,CumulativeSurrenderedUnits_2011,CumulativeVerifiedEmissions_2011,SurrenderedAllowances_2011,VerifiedEmissions_2011,ComplianceCode_2011,FreeAllocations_2012,ETSPhase_2012,AllowanceInAllocation_2012,UnitsSurrendered_2012,CumulativeSurrenderedUnits_2012,CumulativeVerifiedEmissions_2012,SurrenderedAllowances_2012,VerifiedEmissions_2012,ComplianceCode_2012,FreeAllocations_2013,ETSPhase_2013,AllowanceInAllocation_2013,UnitsSurrendered_2013,CumulativeSurrenderedUnits_2013,CumulativeVerifiedEmissions_2013,SurrenderedAllowances_2013,VerifiedEmissions_2013,ComplianceCode_2013,FreeAllocations_2014,ETSPhase_2014,AllowanceInAllocation_2014,UnitsSurrendered_2014,CumulativeSurrenderedUnits_2014,CumulativeVerifiedEmissions_2014,SurrenderedAllowances_2014,VerifiedEmissions_2014,ComplianceCode_2014,FreeAllocations_2015,ETSPhase_2015,AllowanceInAllocation_2015,UnitsSurrendered_2015,CumulativeSurrenderedUnits_2015,CumulativeVerifiedEmissions_2015,SurrenderedAllowances_2015,VerifiedEmissions_2015,ComplianceCode_2015,FreeAllocations_2016,ETSPhase_2016,AllowanceInAllocation_2016,UnitsSurrendered_2016,CumulativeSurrenderedUnits_2016,CumulativeVerifiedEmissions_2016,SurrenderedAllowances_2016,VerifiedEmissions_2016,ComplianceCode_2016,FreeAllocations_2017,ETSPhase_2017,AllowanceInAllocation_2017,UnitsSurrendered_2017,CumulativeSurrenderedUnits_2017,CumulativeVerifiedEmissions_2017,SurrenderedAllowances_2017,VerifiedEmissions_2017,ComplianceCode_2017,FreeAllocations_2018,ETSPhase_2018,AllowanceInAllocation_2018,UnitsSurrendered_2018,CumulativeSurrenderedUnits_2018,CumulativeVerifiedEmissions_2018,SurrenderedAllowances_2018,VerifiedEmissions_2018,ComplianceCode_2018,FreeAllocations_2019,ETSPhase_2019,AllowanceInAllocation_2019,UnitsSurrendered_2019,CumulativeSurrenderedUnits_2019,CumulativeVerifiedEmissions_2019,SurrenderedAllowances_2019,VerifiedEmissions_2019,ComplianceCode_2019,FreeAllocations_2020,ETSPhase_2020,AllowanceInAllocation_2020,UnitsSurrendered_2020,CumulativeSurrenderedUnits_2020,CumulativeVerifiedEmissions_2020,SurrenderedAllowances_2020,VerifiedEmissions_2020,ComplianceCode_2020,FreeAllocations_2021,ETSPhase_2021,AllowanceInAllocation_2021,UnitsSurrendered_2021,CumulativeSurrenderedUnits_2021,CumulativeVerifiedEmissions_2021,SurrenderedAllowances_2021,VerifiedEmissions_2021,ComplianceCode_2021,FreeAllocations_2022,ETSPhase_2022,AllowanceInAllocation_2022,UnitsSurrendered_2022,CumulativeSurrenderedUnits_2022,CumulativeVerifiedEmissions_2022,SurrenderedAllowances_2022,VerifiedEmissions_2022,ComplianceCode_2022
FI-200142,200142,Finnair Oyj,Finland,FI,100,Holding Account,open,0108023-3,Finnair Oyj,"PL 15, 01053 FINNAIR","Tietotie 11A, 01053 FINNAIR",Helsinki,01053,FI,Finland,1,Account holder,NA,NA,NA,1167,NA,NA,NA,2012,0,2010-01-01,3/69/2009,NA,NA,-,NA,-,-,FI,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,1910096,2008-2012,1910096,860669,860669,860669,760669,860669,A,465564,2013-2020,465564,NA,0,0,NA,613762,A,465564,2013-2020,465564,1258033,1258033,1258033,1258033,644271,A,465564,2013-2020,465564,890632,2148665,2148665,890632,890632,A,465564,2013-2020,465564,988568,3137233,3137233,988568,988568,A,493033,2013-2020,493033,1051722,4188955,4188955,1051722,1051722,A,493033,2013-2020,493033,1169842,5358797,5358797,1169842,1169842,A,493033,2013-2020,493033,1251958,6610755,6610755,1251958,1251958,A,504434,2013-2020,504434,400826,7001239,7001239,390484,390484,A,467129,2021-2030,467129,340178,330281,330281,330281,330281,A,456621,2021-2030,456621,955969,1264469,1264469,934188,934188,A
FI-200175,200175,Nordic Regional Airlines Oy,Finland,FI,100,Holding Account,closed,0955641-9,Nordic Regional Airlines Oy,Öljykuja 2,NA,Vantaa,01530,FI,Finland,1,Account holder,NA,NA,NA,27086,NA,NA,NA,2012,2015,2010-01-01,7/69/2009,NA,NA,-,NA,-,-,FI,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,29075,2008-2012,29075,132994,0,Not Calculated,113045,132994,C,27469,2013-2020,27469,NA,0,0,NA,269750,A,27469,2013-2020,27469,530442,530442,530442,530442,260692,A,27469,2013-2020,27469,61695,592137,592137,61695,61695,A,0,2013-2020,0,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA
FI-200179,200179,River Aviation Oy,Finland,FI,100,Holding Account,open,2049050-2,River Aviation Oy,Ilmailutie 7,NA,Pojanluoma,60760,FI,Finland,1,Account holder,NA,NA,NA,32127,NA,NA,NA,2012,0,2010-01-01,1/69/2009,NA,NA,-,NA,-,-,FI,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,37,2008-2012,37,525,525,525,452,525,A,34,2013-2020,34,NA,0,0,NA,Excluded,A,34,2013-2020,34,NA,0,0,NA,Excluded,A,34,2013-2020,34,NA,0,0,NA,Excluded,A,34,2013-2020,34,NA,0,0,NA,Excluded,A,34,2013-2020,34,NA,0,0,NA,Excluded,A,34,2013-2020,34,NA,0,0,NA,Excluded,A,34,2013-2020,34,NA,0,0,NA,Excluded,A,34,2013-2020,34,NA,0,Not Calculated,NA,Excluded,-,35,2021-2030,35,NA,0,Not Calculated,NA,Excluded,-,34,2021-2030,34,NA,0,0,NA,Excluded,A
FI-200281,200281,Jetflite Oy,Finland,FI,100,Holding Account,open,0110146-0,Jetflite Oy,Siipitie 5-7,PL 86,Vantaa,01530,FI,Finland,1,Account holder,NA,NA,NA,5922,NA,NA,NA,2012,0,2010-01-01,5/69/2009,NA,NA,-,NA,-,-,FI,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,0,Not Calculated,NA,0,C*,NA,2013-2020,NA,NA,0,Not Calculated,NA,Excluded,C,NA,2013-2020,NA,NA,0,Not Calculated,NA,Excluded,C,NA,2013-2020,NA,NA,0,Not Calculated,NA,Excluded,C,NA,2013-2020,NA,NA,0,Not Calculated,NA,Excluded,C,NA,2013-2020,NA,NA,0,Not Calculated,NA,Excluded,C,NA,2013-2020,NA,NA,0,Not Calculated,NA,Excluded,C,NA,2013-2020,NA,NA,0,Not Calculated,NA,Excluded,C,NA,2013-2020,NA,NA,0,Not Calculated,NA,Excluded,C,NA,2021-2030,NA,NA,0,Not Calculated,NA,Excluded,-,NA,2021-2030,NA,NA,0,0,NA,Excluded,A
FI-200285,200285,Blue1 Oy,Finland,FI,100,Holding Account,closed,0712891-2,Blue1 Oy,Fraktvägen 3,NA,Vanda,01530,FI,Finland,1,Account holder,NA,NA,NA,838,NA,NA,NA,2012,2012,2010-01-01,6/69/2009,NA,NA,-,NA,-,-,FI,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,121209,2008-2012,121209,139721,139721,139721,121209,139721,A,0,2013-2020,0,NA,NA,NA,NA,Excluded,NA,0,2013-2020,0,NA,NA,NA,NA,Excluded,NA,0,2013-2020,0,NA,NA,NA,NA,Excluded,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA
FI-200423,200423,Oy Air Finland Ltd (bankruptcy estate),Finland,FI,100,Holding Account,closed,2486435-6,Oy Air Finland Ltd (bankruptcy estate),c/o Attorneys at law Borenius Ltd,Yrjokatu 13 A,Helsinki,00120,FI,Finland,1,Account holder,NA,NA,NA,29266,NA,NA,NA,2012,2012,2010-01-01,4/69/2009,NA,NA,-,NA,-,-,FI,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,49116,2008-2012,49116,46504,46504,46504,46504,46504,A,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA
FI-190,190,Lappeenrannan Lämpövoima Oy,Finland,FI,100,Holding Account,open,0161983-3,Lappeenrannan Lämpövoima Oy,Mertaniemenkatu 9,NA,Lappeenranta,53920,FI,Finland,1,Account holder,NA,NA,NA,Skinnarilan lämpökeskus,NA,NA,NA,2005,0,2005-02-28,FI-48431104,NA,NA,Teknologiapuistokatu,Teknologiapuistokatu,Lappeenranta,53850,FI,1,Combustion installations with a rated thermal input exceeding 20 MW,80,2005-2007,80,34,34,34,34,34,A,81,2005-2007,81,232,266,266,232,232,A,81,2005-2007,81,452,718,718,452,452,A,46,2008-2012,46,579,579,579,579,579,A,46,2008-2012,46,991,1570,1570,991,991,A,46,2008-2012,46,1094,2664,2664,1094,1094,A,46,2008-2012,46,564,3228,3228,542,564,A,46,2008-2012,46,735,3963,3963,735,735,A,598,2013-2020,598,91,91,91,91,91,A,0,2013-2020,0,34,125,125,34,34,A,0,2013-2020,0,521,646,646,521,521,A,414,2013-2020,414,1572,2218,2218,1572,1572,A,357,2013-2020,357,123,2341,2341,123,123,A,76,2013-2020,76,330,2671,2671,330,330,A,124,2013-2020,124,23,2694,2694,23,23,A,0,2013-2020,0,70,2764,2764,70,70,A,87,2021-2030,87,719,719,719,719,719,A,87,2021-2030,87,74,793,793,74,74,A
FI-423,423,Linmer Lohja Oy,Finland,FI,100,Holding Account,closed,0498794-9,Linmer Lohja Oy,Kotkantie 5,Kotkantie 5,Lohja,08100,FI,Finland,1,Account holder,NA,NA,NA,Lohjan tehdas,UPM-Kymmene Oyj,NA,NA,2005,2017,2005-02-28,FI-65931104,NA,NA,Kotkantie5,Pitkäniemen teollisuusalue,Lohja,08100,FI,36,Production of paper or cardboard,2048,2005-2007,2048,NA,NA,1703,NA,1703,A,2047,2005-2007,2047,NA,NA,3462,NA,1759,A,2047,2005-2007,2047,NA,NA,5341,NA,1879,A,2019,2008-2012,2019,NA,NA,1608,NA,1608,A,2017,2008-2012,2017,NA,NA,2044,NA,436,A,2017,2008-2012,2017,NA,NA,2153,NA,109,A,2017,2008-2012,2017,NA,NA,2212,NA,59,A,2017,2008-2012,2017,NA,NA,2281,NA,69,A,36821,2013-2020,36821,NA,NA,0,NA,0,A,36182,2013-2020,36182,NA,NA,0,NA,0,A*,35535,2013-2020,35535,NA,NA,0,NA,0,A,34881,2013-2020,34881,NA,NA,0,NA,0,A,145,2013-2020,145,NA,NA,0,NA,0,A,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA
FI-191,191,Sodankylän Lämpö ja Vesi Oy,Finland,FI,100,Holding Account,open,0836211-0,Sodankylän Lämpö ja Vesi Oy,Kasarmintie 10,Kasarmintie 10,Sodankylä,99600,FI,Finland,1,Account holder,NA,NA,NA,Juurakkotulen lämpökeskus,NA,NA,NA,2005,0,2005-02-28,FI-67031104,NA,NA,Seitatie 17,Seitatie 17,Sodankylä,996000,FI,1,Combustion installations with a rated thermal input exceeding 20 MW,22524,2005-2007,22524,21467,21467,21467,21467,21467,A,22525,2005-2007,22525,21590,43057,43057,21590,21590,A,22525,2005-2007,22525,22068,65125,65125,22068,22068,A,19456,2008-2012,19456,28760,28760,28760,28760,28760,A,19456,2008-2012,19456,22652,51412,51412,22652,22652,A,19456,2008-2012,19456,36514,87926,79926,28514,28514,A,19456,2008-2012,19456,23321,111247,103247,23321,23321,A,19456,2008-2012,19456,16340,127587,127587,16340,24340,A,14750,2013-2020,14750,24179,24179,24179,24179,24179,A,12080,2013-2020,12080,22464,46643,46643,22464,22464,A,9707,2013-2020,9707,23130,69773,69773,23130,23130,A,7759,2013-2020,7759,26537,96310,96310,26537,26537,A,6684,2013-2020,6684,23931,120241,120241,23931,23931,A,5644,2013-2020,5644,21444,141685,141685,21444,21444,A,4637,2013-2020,4637,20945,162630,162630,20945,20945,A,3669,2013-2020,3669,16421,179051,179051,16421,16421,A,3509,2021-2030,3509,14973,14973,14973,14973,14973,A,3509,2021-2030,3509,8077,23050,23050,8077,8077,A
FI-424,424,Metsä Tissue Oyj,Finland,FI,100,Holding Account,open,1867831-1,Metsä Tissue Oyj,PL 300,PL 300,Mänttä,35801,FI,Finland,1,Account holder,NA,NA,NA,Mäntän tehdas,NA,NA,NA,2005,0,2005-02-28,FI-66931104,NA,NA,PL 300,Mäntän tehdas Add 2,Mänttä,35801,FI,9,Industrial plants for the production of (a) pulp from timber or other fibrous materials (b) paper and board,13817,2005-2007,13817,14305,14305,14305,14305,14305,A,13817,2005-2007,13817,15699,30004,30004,15699,15699,A,13817,2005-2007,13817,16156,46160,46160,16156,16156,A,13397,2008-2012,13397,15920,15920,15920,15920,15920,A,13393,2008-2012,13393,14048,29968,29968,14048,14048,A,13393,2008-2012,13393,14138,44106,44106,14138,14138,A,13393,2008-2012,13393,14269,58375,58375,9962,14269,A,13393,2008-2012,13393,14258,72633,72633,13181,14258,A,53918,2013-2020,53918,13724,13724,13724,13724,13724,A,43170,2013-2020,43170,13769,27493,27493,13769,13769,A,42398,2013-2020,42398,12694,40187,40187,12694,12694,A,40548,2013-2020,40548,13667,53854,53854,13667,13667,A*,39779,2013-2020,39779,14996,68850,68850,14996,14996,A,39004,2013-2020,39004,15483,84333,84333,15483,15483,A,38219,2013-2020,38219,13252,97585,97585,13252,13252,A,37429,2013-2020,37429,11599,109184,109184,11599,11599,A,35532,2021-2030,35532,12376,12376,12376,12376,12376,A,35532,2021-2030,35532,12520,24896,24896,12520,12520,A
