id,InstallationOrAircraftOperatorID,AccountHolderName,NationalAdministrator,NationalAdministratorCode,AccountTypeCode,AccountTypeCodeLookup,AccountStatus,CompanyRegistrationNo,ContactName,ContactAddress1,ContactAddress2,ContactCity,ContactZipCode,ContactCountryCode,ContactCountryCodeLookup,ContactRelationshipTypeCode,ContactRelationshipTypeCodeLookup,ContactTelephone1,ContactTelephone2,ContactEmailAddress,InstallationNameOrAircraftOperatorCode,ParentCompany,SubsidiaryCompany,EPRTRIdentification,FirstYearOfEmissions,LastYearOfEmissions,PermitOrPlanDate,PermitOrPlanID,Latitude,Longitude,Address1,Address2,City,ZipCode,Country,MainActivityTypeCode,MainActivityTypeCodeLookup,FreeAllocations_2005,ETSPhase_2005,AllowanceInAllocation_2005,UnitsSurrendered_2005,CumulativeSurrenderedUnits_2005,CumulativeVerifiedEmissions_2005,SurrenderedAllowances_2005,VerifiedEmissions_2005,ComplianceCode_2005,FreeAllocations_2006,ETSPhase_2006,AllowanceInAllocation_2006,UnitsSurrendered_2006,CumulativeSurrenderedUnits_2006,CumulativeVerifiedEmissions_2006,SurrenderedAllowances_2006,VerifiedEmissions_2006,ComplianceCode_2006,FreeAllocations_2007,ETSPhase_2007,AllowanceInAllocation_2007,UnitsSurrendered_2007,CumulativeSurrenderedUnits_2007,CumulativeVerifiedEmissions_2007,SurrenderedAllowances_2007,VerifiedEmissions_2007,ComplianceCode_2007,FreeAllocations_2008,ETSPhase_2008,AllowanceInAllocation_2008,UnitsSurrendered_2008,CumulativeSurrenderedUnits_2008,CumulativeVerifiedEmissions_2008,SurrenderedAllowances_2008,VerifiedEmissions_2008,ComplianceCode_2008,FreeAllocations_2009,ETSPhase_2009,AllowanceInAllocation_2009,UnitsSurrendered_2009,CumulativeSurrenderedUnits_2009,CumulativeVerifiedEmissions_2009,SurrenderedAllowances_2009,VerifiedEmissions_2009,ComplianceCode_2009,FreeAllocations_2010,ETSPhase_2010,AllowanceInAllocation_2010,UnitsSurrendered_2010,CumulativeSurrenderedUnits_2010,CumulativeVerifiedEmissions_2010,SurrenderedAllowances_2010,VerifiedEmissions_2010,ComplianceCode_2010,FreeAllocations_2011,ETSPhase_2011,AllowanceInAllocation_2011,UnitsSurrendered_2011,CumulativeSurrenderedUnits_2011,CumulativeVerifiedEmissions_2011,SurrenderedAllowances_2011,VerifiedEmissions_2011,ComplianceCode_2011,FreeAllocations_2012,ETSPhase_2012,AllowanceInAllocation_2012,UnitsSurrendered_2012,CumulativeSurrenderedUnits_2012,CumulativeVerifiedEmissions_2012,SurrenderedAllowances_2012,VerifiedEmissions_2012,ComplianceCode_2012,FreeAllocations_2013,ETSPhase_2013,AllowanceInAllocation_2013,UnitsSurrendered_2013,CumulativeSurrenderedUnits_2013,CumulativeVerifiedEmissions_2013,SurrenderedAllowances_2013,VerifiedEmissions_2013,ComplianceCode_2013,FreeAllocations_2014,ETSPhase_2014,AllowanceInAllocation_2014,UnitsSurrendered_2014,CumulativeSurrenderedUnits_2014,CumulativeVerifiedEmissions_2014,SurrenderedAllowances_2014,VerifiedEmissions_2014,ComplianceCode_2014,FreeAllocations_2015,ETSPhase_2015,AllowanceInAllocation_2015,UnitsSurrendered_2015,CumulativeSurrenderedUnits_2015,CumulativeVerifiedEmissions_2015,SurrenderedAllowances_2015,VerifiedEmissions_2015,ComplianceCode_2015,FreeAllocations_2016,ETSPhase_2016,AllowanceInAllocation_2016,UnitsSurrendered_2016,CumulativeSurrenderedUnits_2016,CumulativeVerifiedEmissions_2016,SurrenderedAllowances_2016,VerifiedEmissions_2016,ComplianceCode_2016,FreeAllocations_2017,ETSPhase_2017,AllowanceInAllocation_2017,UnitsSurrendered_2017,CumulativeSurrenderedUnits_2017,CumulativeVerifiedEmissions_2017,SurrenderedAllowances_2017,VerifiedEmissions_2017,ComplianceCode_2017,FreeAllocations_2018,ETSPhase_2018,AllowanceInAllocation_2018,UnitsSurrendered_2018,CumulativeSurrenderedUnits_2018,CumulativeVerifiedEmissions_2018,SurrenderedAllowances_2018,VerifiedEmissions_2018,ComplianceCode_2018,FreeAllocations_2019,ETSPhase_2019,AllowanceInAllocation_2019,UnitsSurrendered_2019,CumulativeSurrenderedUnits_2019,CumulativeVerifiedEmissions_2019,SurrenderedAllowances_2019,VerifiedEmissions_2019,ComplianceCode_2019,FreeAllocations_2020,ETSPhase_2020,AllowanceInAllocation_2020,UnitsSurrendered_2020,CumulativeSurrenderedUnits_2020,CumulativeVerifiedEmissions_2020,SurrenderedAllowances_2020,VerifiedEmissions_2020,ComplianceCode_2020
GR-200601,200601,KENRICK LTD,Greece,GR,100,Holding Account,open,513659359,KENRICK LTD,15 NEVATIM ST.,NA,HADAR-AM,42935,IL,Israel,1,Account holder,NA,NA,NA,033560,NA,NA,NA,2012,0,2010-01-01,SCT/PRO.PE/170/F/ETS,NA,NA,-,NA,-,-,GR,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,0,NA,23,2008-2012,23,21,21,17,21,17,A,1,2013-2020,1,NA,0,0,NA,Excluded,A,1,2013-2020,1,NA,0,0,NA,Excluded,A,1,2013-2020,1,NA,0,0,NA,Excluded,A,1,2013-2020,1,NA,0,0,NA,Excluded,A,1,2013-2020,1,NA,0,0,NA,Excluded,A,1,2013-2020,1,NA,0,0,NA,Excluded,A,1,2013-2020,1,NA,0,0,NA,Excluded,A,1,2013-2020,1,NA,0,Not Calculated,NA,Excluded,-
GR-200602,200602,OLYMPIC AIR,Greece,GR,100,Holding Account,open,60016/04/b/06/92,OLYMPIC AIR,"Athens Iinternational Airport,","Eleftherios Venizelos, Bld 57",SPATA,19019,GR,Greece,1,Account holder,NA,NA,NA,34624,NA,NA,NA,2012,0,2009-01-01,Sct/PROPE/40/F.Olympic Air,NA,NA,-,NA,-,-,GR,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,0,NA,234372,2008-2012,234372,174877,174877,174877,148645,174877,A,208642,2013-2020,208642,NA,0,0,NA,89476,A,208642,2013-2020,208642,111205,111205,111205,111205,21729,A,208642,2013-2020,208642,28264,139469,139469,28264,28264,A,208642,2013-2020,208642,133684,273153,273153,133684,133684,A,208642,2013-2020,208642,239595,512748,512748,239595,239595,A,208642,2013-2020,208642,310097,822845,822845,310097,310097,A*,208642,2013-2020,208642,330732,1153577,1153577,330732,330732,A,208654,2013-2020,208654,159385,1312962,1312962,159385,159385,A
GR-200620,200620,Universal Air Link Inc,Greece,GR,100,Holding Account,open,4338700,Universal Air Link Inc,10 -12 Kifissias Avenue,NA,ATHENS,15125,GR,Greece,1,Account holder,NA,NA,NA,9459,NA,NA,NA,2012,0,2010-01-01,Sct/PROPE/1052/F.Universal Air Link,NA,NA,-,NA,-,-,GR,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,0,NA,21,2008-2012,21,544,544,544,462,544,A*,13,2013-2020,13,NA,0,0,NA,Excluded,A,13,2013-2020,13,NA,0,0,NA,Excluded,A,13,2013-2020,13,NA,0,0,NA,Excluded,A,13,2013-2020,13,NA,0,0,NA,Excluded,A,13,2013-2020,13,NA,0,0,NA,Excluded,A,13,2013-2020,13,NA,0,0,NA,Excluded,A,13,2013-2020,13,NA,0,0,NA,Excluded,A,13,2013-2020,13,NA,0,Not Calculated,NA,Excluded,-
GR-200647,200647,AEGEAN AIRLINES S.A.,Greece,GR,100,Holding Account,open,32603/06/13/95/3,AEGEAN AIRLINES S.A.,"Biltanioti 31, kifisia",NA,ATHENS,14564,GR,Greece,1,Account holder,NA,NA,NA,20514,NA,NA,NA,2012,0,2010-01-01,SCT/PRO.PE/196/F.ETS,NA,NA,-,NA,-,-,GR,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,0,NA,444591,2008-2012,444591,607178,607178,607178,516993,607178,A*,396419,2013-2020,396419,NA,0,0,NA,608431,A,396419,2013-2020,396419,1364860,1364860,1364860,1364860,756429,A,396419,2013-2020,396419,876953,2241813,2241813,876953,876953,A,396419,2013-2020,396419,831065,3072878,3072878,831065,831065,A,396419,2013-2020,396419,762864,3835742,3835742,762864,762864,A,396419,2013-2020,396419,741165,4576907,4576907,741165,741165,A*,396419,2013-2020,396419,803635,5380542,5380542,803635,803635,A,396441,2013-2020,396441,307101,5678442,5678442,297900,297900,A
GR-200648,200648,FIRST AIRWAYS,Greece,GR,100,Holding Account,open,66993/01NT/B/08/296,FIRST AIRWAYS,"127, VOULIAGMENIS AVENUE",& 1-3 PATRIARCHOU GRIGORIOU E,ATHENS,16674,GR,Greece,1,Account holder,NA,NA,NA,35228,NA,NA,NA,2012,0,2010-01-01,SCT/PRO.PE/234/F.ETS,NA,NA,-,NA,-,-,GR,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,0,NA,22,2008-2012,22,210,210,210,210,210,A*,9,2013-2020,9,NA,0,0,NA,Excluded,A,9,2013-2020,9,NA,0,0,NA,Excluded,A,9,2013-2020,9,NA,0,0,NA,Excluded,A,9,2013-2020,9,NA,0,0,NA,Excluded,A,9,2013-2020,9,NA,0,0,NA,Excluded,A,9,2013-2020,9,NA,0,0,NA,Excluded,A,9,2013-2020,9,NA,0,0,NA,Excluded,A,9,2013-2020,9,NA,0,Not Calculated,NA,Excluded,-
GR-200649,200649,ASTRA AIRLINES S.A.,Greece,GR,100,Holding Account,open,AOC:GR-028,ASTRA AIRLINES S.A.,MAKEDONIA AIRPORT,NA,THERMI THESSALONIKI,57001,GR,Greece,1,Account holder,NA,NA,NA,34238,NA,NA,NA,2012,0,2010-01-01,SCT/PRO.PE/184/F.ETS,NA,NA,-,NA,-,-,GR,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,0,NA,3876,2008-2012,3876,6597,6597,6597,6597,6597,A,2226,2013-2020,2226,NA,0,0,NA,4598,A,2226,2013-2020,2226,12340,12340,12340,12340,7742,A,2226,2013-2020,2226,13051,25391,25391,13051,13051,A,2226,2013-2020,2226,12462,37853,62967,12462,37576,B,2226,2013-2020,2226,35526,73379,94857,35526,31890,B,2226,2013-2020,2226,3464,76843,115772,3464,20915,B,2226,2013-2020,2226,4302,81145,Not Calculated,4302,Not Reported,C,2226,2013-2020,2226,NA,81145,Not Calculated,NA,Not Reported,C
GR-200653,200653,SKY EXPRESS S.A.,Greece,GR,100,Holding Account,open,58112/70/B/05/08,SKY EXPRESS S.A.,Heraklion International Airport,"""Nikos Kazantzakis""",HERAKLION,71601,GR,Greece,1,Account holder,NA,NA,NA,31109,NA,NA,NA,2012,0,2010-01-01,831/F.ETS/24-9-2010,NA,NA,-,NA,-,-,GR,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,0,NA,4646,2008-2012,4646,NA,0,Not Calculated,NA,0,C*,2956,2013-2020,2956,NA,0,0,NA,Excluded,A,2956,2013-2020,2956,NA,0,0,NA,Excluded,A,2956,2013-2020,2956,NA,0,0,NA,Excluded,A,2956,2013-2020,2956,NA,0,0,NA,Excluded,A,2956,2013-2020,2956,NA,0,0,NA,Excluded,A,2956,2013-2020,2956,NA,0,Not Calculated,NA,27046,C*,2956,2013-2020,2956,43604,43604,64284,43604,37238,B,3001,2013-2020,3001,42541,86145,86145,42541,21861,A
GR-200654,200654,"CJSC ""AEROSVIT AIRLINES""",Greece,GR,100,Holding Account,open,20048090,"CJSC ""AEROSVIT AIRLINES""","Borispil SIA, Borispil-7",8307 Kyriv region,Village Gora,08324,UA,Ukraine,1,Account holder,NA,NA,NA,23232,NA,NA,NA,2012,0,2010-01-01,425/F.ETS/27-3-2012,NA,NA,-,NA,-,-,GR,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,0,NA,29930,2008-2012,29930,NA,0,Not Calculated,NA,Not Reported,C,131,2013-2020,131,NA,0,Not Calculated,NA,Excluded,C,131,2013-2020,131,NA,0,Not Calculated,NA,Excluded,C,131,2013-2020,131,NA,0,Not Calculated,NA,Excluded,C,131,2013-2020,131,NA,0,Not Calculated,NA,Excluded,C,131,2013-2020,131,NA,0,Not Calculated,NA,Excluded,C,131,2013-2020,131,NA,0,Not Calculated,NA,Excluded,C,131,2013-2020,131,NA,0,Not Calculated,NA,Excluded,C,131,2013-2020,131,NA,0,Not Calculated,NA,Excluded,C
GR-200655,200655,OXY USA,Greece,GR,100,Holding Account,open,135519445,OXY USA,10676 SHERMAN WAY,NA,BURBANK,91505,US,United States,1,Account holder,NA,NA,NA,22404,NA,NA,NA,2012,0,2010-01-01,01,NA,NA,-,NA,-,-,GR,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,0,NA,46,2008-2012,46,NA,0,Not Calculated,NA,46,C*,1,2013-2020,1,NA,0,Not Calculated,NA,0,C*,1,2013-2020,1,46,46,0,46,Excluded,A,1,2013-2020,1,NA,46,0,NA,Excluded,A,1,2013-2020,1,NA,46,0,NA,Excluded,A,1,2013-2020,1,NA,46,0,NA,Excluded,A,1,2013-2020,1,NA,46,0,NA,Excluded,A,1,2013-2020,1,NA,46,0,NA,Excluded,A,1,2013-2020,1,NA,46,0,NA,Excluded,A
GR-42,42,ΠΑΝΑΓΙΩΤΟΠΟΥΛΟΣ ΑΒΕΕ,Greece,GR,100,Holding Account,open,047599925000,ΠΑΝΑΓΙΩΤΟΠΟΥΛΟΣ ΑΒΕΕ,12ο χλμ  ΠΥΡΓΟΥ ΑΜΑΛΙΑΔΑΣ ΠΑΤΡΩΝ,ΗΛΕΙΑ,ΑΜΑΛΙΑΔΑ,27200,GR,Greece,1,Account holder,NA,NA,NA,ΠΑΝΑΓΙΩΤΟΠΟΥΛΟΣ ΚΕΡΑΜΟΤΟΥΒΛΟΠΟΙΙΑ  ΑΒΕΕ,ΠΑΝΑΓΙΩΤΟΠΟΥΛΟΣ ΚΕΡΑΜΟΤΟΥΒΛΟΠΟΙΙΑ  ΑΒΕΕ,NA,EL1400700,2005,0,2005-01-01,9-19,NA,NA,12ο χλμ Ε.Ο. ΠΥΡΓΟΥ-ΑΜΑΛΙΑΔΑΣ,Ν.ΗΛΕΙΑΣ,ΑΜΑΛΙΑΔΑ,27200,GR,32,Manufacture of ceramics,16932,2005-2007,16932,16390,16390,16390,16390,16390,A*,16932,2005-2007,16932,14165,30555,30555,14165,14165,A,16932,2005-2007,16932,18402,48957,48957,18402,18402,A,18630,2008-2012,18630,16226,16226,16226,16226,16226,A,18630,2008-2012,18630,13311,29537,29537,13311,13311,A,18630,2008-2012,18630,10345,39882,39882,10345,10345,A*,18630,2008-2012,18630,8515,48397,48397,8515,8515,A*,18630,2008-2012,18630,5031,53428,53428,NA,5031,A,8192,2013-2020,8192,5403,5403,5403,5403,5403,A,9241,2013-2020,9241,4364,9767,9767,4364,4364,A,9076,2013-2020,9076,5180,14947,14947,5180,5180,A,8909,2013-2020,8909,6968,21915,21915,6968,6968,A,8741,2013-2020,8741,3997,25912,25912,3997,3997,A,8570,2013-2020,8570,6920,32832,32832,6920,6920,A,10563,2013-2020,10563,8716,41548,41548,8716,8716,A,10346,2013-2020,10346,6521,48069,48069,6521,6521,A
