id,InstallationOrAircraftOperatorID,AccountHolderName,NationalAdministrator,NationalAdministratorCode,AccountTypeCode,AccountTypeCodeLookup,AccountStatus,CompanyRegistrationNo,ContactName,ContactAddress1,ContactAddress2,ContactCity,ContactZipCode,ContactCountryCode,ContactCountryCodeLookup,ContactRelationshipTypeCode,ContactRelationshipTypeCodeLookup,ContactTelephone1,ContactTelephone2,ContactEmailAddress,InstallationNameOrAircraftOperatorCode,ParentCompany,SubsidiaryCompany,EPRTRIdentification,FirstYearOfEmissions,LastYearOfEmissions,PermitOrPlanDate,PermitOrPlanID,Latitude,Longitude,Address1,Address2,City,ZipCode,Country,MainActivityTypeCode,MainActivityTypeCodeLookup,FreeAllocations_2005,ETSPhase_2005,AllowanceInAllocation_2005,UnitsSurrendered_2005,CumulativeSurrenderedUnits_2005,CumulativeVerifiedEmissions_2005,SurrenderedAllowances_2005,VerifiedEmissions_2005,ComplianceCode_2005,FreeAllocations_2006,ETSPhase_2006,AllowanceInAllocation_2006,UnitsSurrendered_2006,CumulativeSurrenderedUnits_2006,CumulativeVerifiedEmissions_2006,SurrenderedAllowances_2006,VerifiedEmissions_2006,ComplianceCode_2006,FreeAllocations_2007,ETSPhase_2007,AllowanceInAllocation_2007,UnitsSurrendered_2007,CumulativeSurrenderedUnits_2007,CumulativeVerifiedEmissions_2007,SurrenderedAllowances_2007,VerifiedEmissions_2007,ComplianceCode_2007,FreeAllocations_2008,ETSPhase_2008,AllowanceInAllocation_2008,UnitsSurrendered_2008,CumulativeSurrenderedUnits_2008,CumulativeVerifiedEmissions_2008,SurrenderedAllowances_2008,VerifiedEmissions_2008,ComplianceCode_2008,FreeAllocations_2009,ETSPhase_2009,AllowanceInAllocation_2009,UnitsSurrendered_2009,CumulativeSurrenderedUnits_2009,CumulativeVerifiedEmissions_2009,SurrenderedAllowances_2009,VerifiedEmissions_2009,ComplianceCode_2009,FreeAllocations_2010,ETSPhase_2010,AllowanceInAllocation_2010,UnitsSurrendered_2010,CumulativeSurrenderedUnits_2010,CumulativeVerifiedEmissions_2010,SurrenderedAllowances_2010,VerifiedEmissions_2010,ComplianceCode_2010,FreeAllocations_2011,ETSPhase_2011,AllowanceInAllocation_2011,UnitsSurrendered_2011,CumulativeSurrenderedUnits_2011,CumulativeVerifiedEmissions_2011,SurrenderedAllowances_2011,VerifiedEmissions_2011,ComplianceCode_2011,FreeAllocations_2012,ETSPhase_2012,AllowanceInAllocation_2012,UnitsSurrendered_2012,CumulativeSurrenderedUnits_2012,CumulativeVerifiedEmissions_2012,SurrenderedAllowances_2012,VerifiedEmissions_2012,ComplianceCode_2012,FreeAllocations_2013,ETSPhase_2013,AllowanceInAllocation_2013,UnitsSurrendered_2013,CumulativeSurrenderedUnits_2013,CumulativeVerifiedEmissions_2013,SurrenderedAllowances_2013,VerifiedEmissions_2013,ComplianceCode_2013,FreeAllocations_2014,ETSPhase_2014,AllowanceInAllocation_2014,UnitsSurrendered_2014,CumulativeSurrenderedUnits_2014,CumulativeVerifiedEmissions_2014,SurrenderedAllowances_2014,VerifiedEmissions_2014,ComplianceCode_2014,FreeAllocations_2015,ETSPhase_2015,AllowanceInAllocation_2015,UnitsSurrendered_2015,CumulativeSurrenderedUnits_2015,CumulativeVerifiedEmissions_2015,SurrenderedAllowances_2015,VerifiedEmissions_2015,ComplianceCode_2015,FreeAllocations_2016,ETSPhase_2016,AllowanceInAllocation_2016,UnitsSurrendered_2016,CumulativeSurrenderedUnits_2016,CumulativeVerifiedEmissions_2016,SurrenderedAllowances_2016,VerifiedEmissions_2016,ComplianceCode_2016,FreeAllocations_2017,ETSPhase_2017,AllowanceInAllocation_2017,UnitsSurrendered_2017,CumulativeSurrenderedUnits_2017,CumulativeVerifiedEmissions_2017,SurrenderedAllowances_2017,VerifiedEmissions_2017,ComplianceCode_2017,FreeAllocations_2018,ETSPhase_2018,AllowanceInAllocation_2018,UnitsSurrendered_2018,CumulativeSurrenderedUnits_2018,CumulativeVerifiedEmissions_2018,SurrenderedAllowances_2018,VerifiedEmissions_2018,ComplianceCode_2018,FreeAllocations_2019,ETSPhase_2019,AllowanceInAllocation_2019,UnitsSurrendered_2019,CumulativeSurrenderedUnits_2019,CumulativeVerifiedEmissions_2019,SurrenderedAllowances_2019,VerifiedEmissions_2019,ComplianceCode_2019,FreeAllocations_2020,ETSPhase_2020,AllowanceInAllocation_2020,UnitsSurrendered_2020,CumulativeSurrenderedUnits_2020,CumulativeVerifiedEmissions_2020,SurrenderedAllowances_2020,VerifiedEmissions_2020,ComplianceCode_2020,FreeAllocations_2021,ETSPhase_2021,AllowanceInAllocation_2021,UnitsSurrendered_2021,CumulativeSurrenderedUnits_2021,CumulativeVerifiedEmissions_2021,SurrenderedAllowances_2021,VerifiedEmissions_2021,ComplianceCode_2021,FreeAllocations_2022,ETSPhase_2022,AllowanceInAllocation_2022,UnitsSurrendered_2022,CumulativeSurrenderedUnits_2022,CumulativeVerifiedEmissions_2022,SurrenderedAllowances_2022,VerifiedEmissions_2022,ComplianceCode_2022
HR-200696,200696,Croatia Airlines hrvatska zrakoplovna tvrtka d.d.,Croatia,HR,100,Holding Account,open,080037012,Croatia Airlines hrvatska zrakoplovna tvrtka d.d.,"Bani 75 b, Buzin",NA,Zagreb,10010,HR,Croatia,1,Account holder,NA,NA,NA,12495,NA,NA,NA,2012,0,2010-01-01,19550-0026,NA,NA,-,NA,-,-,DE,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,66442,2008-2012,66442,130931,130931,130931,111292,130931,A,62717,2013-2020,62717,NA,0,0,NA,124782,A,85828,2013-2020,85828,275390,275390,275390,275390,150608,A,85828,2013-2020,85828,154276,429666,429666,154276,154276,A,85828,2013-2020,85828,162454,592120,592120,162454,162454,A,85828,2013-2020,85828,171297,763417,763417,171297,171297,A,85828,2013-2020,85828,174695,938112,938112,174695,174695,A,85828,2013-2020,85828,178606,1116718,1116718,178606,178606,A,88551,2013-2020,88551,74828,1189623,1189623,72905,72905,A,71755,2021-2030,71755,91806,89563,89563,89563,89563,A,70140,2021-2030,70140,142656,228193,228193,138630,138630,A
HR-203853,203853,Wienerberger d.o.o.,Croatia,HR,100,Holding Account,open,020002278,Wienerberger d.o.o.,Donje Pokupje 2,NA,Karlovac,47000,HR,Croatia,1,Account holder,NA,NA,NA,Pogon Karlovac,NA,NA,NA,2013,0,2014-03-31,HR-317,15.544937,45.529575,Donje Pokupje 2,NA,Karlovac,47000,HR,32,Manufacture of ceramics,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,7837,2013-2020,7837,8199,8199,8199,8199,8499,A*,12352,2013-2020,12352,9390,17589,17589,9390,9390,A,12132,2013-2020,12132,9772,27361,27361,9772,9472,A,11909,2013-2020,11909,11456,38817,38817,11456,11456,A,20484,2013-2020,20484,12211,51028,51028,12211,12211,A,20083,2013-2020,20083,12235,63263,63263,12235,12235,A,19679,2013-2020,19679,12168,75431,75431,12168,12168,A,19273,2013-2020,19273,11832,87263,87263,11832,11832,A,14899,2021-2030,14899,8602,8602,8602,8602,8602,A,14899,2021-2030,14899,7963,16565,16565,7963,7963,A
HR-203858,203858,Sojara d.o.o.,Croatia,HR,100,Holding Account,open,080013325,Sojara d.o.o.,Gaženice b.b.,NA,Zadar,23000,HR,Croatia,1,Account holder,NA,NA,NA,Sojara d.o.o.,NA,NA,NA,2013,2019,2014-02-14,HR-320,NA,NA,Gaženice b.b.,NA,Zadar,23000,HR,20,Combustion of fuels,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,Not Calculated,NA,Excluded,-,NA,2013-2020,NA,NA,0,Not Calculated,NA,Excluded,-,NA,2013-2020,NA,NA,0,Not Calculated,NA,Excluded,-,NA,2013-2020,NA,NA,0,Not Calculated,NA,Excluded,-,NA,2013-2020,NA,NA,0,Not Calculated,NA,Excluded,-,NA,2013-2020,NA,NA,0,Not Calculated,NA,Excluded,-,NA,2021-2030,NA,NA,0,Not Calculated,NA,Excluded,-,NA,2021-2030,NA,NA,NA,NA,NA,Excluded,NA
HR-203859,203859,Podravka d.d.,Croatia,HR,100,Holding Account,open,010006549,Podravka d.d.,Ante Starčevića 32,NA,Koprivnica,48000,HR,Croatia,1,Account holder,NA,NA,NA,Podravka d.d. - lokacija Ante Starčevića 32 Kopr.,Podravka d.d. prehrambena industrija,NA,NA,2013,0,2014-03-31,HR-279,16.822994,46.166802,Ante Starčevića 32,NA,Koprivnica,48000,HR,20,Combustion of fuels,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,4867,2013-2020,4867,6027,6027,6027,6027,6027,A*,4356,2013-2020,4356,5182,11209,11209,5182,5182,A,3858,2013-2020,3858,4859,16068,16068,4859,4859,A,3376,2013-2020,3376,4784,20852,20852,4784,4784,A,2908,2013-2020,2908,4773,25625,25625,4773,4773,A,2455,2013-2020,2455,4711,30336,30336,4711,4711,A,2018,2013-2020,2018,4395,34731,34731,4395,4395,A,1596,2013-2020,1596,4029,38760,38760,4029,4029,A,791,2021-2030,791,4190,4190,4190,4190,4190,A,791,2021-2030,791,3682,7872,7872,3682,3682,A
HR-203861,203861,DS Smith Belišće Croatia d.o.o.,Croatia,HR,100,Holding Account,open,030008963,DS Smith Belišće Croatia d.o.o.,Vijenac Salamona Heinricha Gutmanna 30,NA,Belišće,31551,HR,Croatia,1,Account holder,NA,NA,NA,DS Smith Belišće Croatia d.o.o.,NA,NA,NA,2013,0,2014-03-31,HR-302,18.410641,45.685947,Vijenac Salamona Heinricha Gutmanna 30,NA,Belišće,31551,HR,20,Combustion of fuels,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,77196,2013-2020,77196,60634,60634,60634,60634,60634,A*,61802,2013-2020,61802,58794,119428,119428,58794,58794,A,60698,2013-2020,60698,43214,162642,162642,43214,43214,A,52808,2013-2020,52808,78139,240781,240781,78139,78139,A,71743,2013-2020,71743,89820,330601,330601,89820,89820,A,70342,2013-2020,70342,90313,420914,420914,90313,90313,A,68926,2013-2020,68926,93536,514450,514450,93536,93536,A,67505,2013-2020,67505,96252,610702,610702,96252,96252,A,51735,2021-2030,51735,100903,100903,100903,100903,100903,A,54418,2021-2030,54418,95748,196651,196651,95748,95748,A
HR-203867,203867,Eko Međimurje d.d.,Croatia,HR,100,Holding Account,open,070013156,Eko Međimurje d.d.,"Braće Radić 37, Šenkovec",NA,Čakovec,40000,HR,Croatia,1,Account holder,NA,NA,NA,Eko Međimurje d.d.,NA,NA,NA,2013,2019,2014-03-31,HR-285,16.409704,46.410367,"Braće Radić 37, Šenkovec",NA,Čakovec,40000,HR,32,Manufacture of ceramics,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,7506,2013-2020,7506,6549,6549,6549,6549,6549,A*,7377,2013-2020,7377,8834,15383,15383,8834,8834,A,7245,2013-2020,7245,1466,16849,16849,1466,1466,A,3036,2013-2020,3036,1579,18428,18428,1579,1579,A,2978,2013-2020,2978,1599,20027,20027,1599,1599,A,2920,2013-2020,2920,1589,21616,21616,1589,1589,A,2862,2013-2020,2862,655,22271,22271,655,655,A,0,2013-2020,0,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA
HR-203870,203870,Ferro-Preis d.o.o.,Croatia,HR,100,Holding Account,open,070039047,Ferro-Preis d.o.o.,Dr. Tome Bratkovića 2,NA,Čakovec,40000,HR,Croatia,1,Account holder,NA,NA,NA,Ferro-Preis d.o.o.,NA,NA,NA,2013,2020,2014-03-28,HR-314,16.410271,46.383354,Dr. Tome Bratkovića 2,NA,Čakovec,40000,HR,24,Production of pig iron or steel,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,4069,2013-2020,4069,6108,6108,6108,6108,6108,A*,3998,2013-2020,3998,7859,13967,13967,7859,7859,A,3926,2013-2020,3926,1427,15394,15394,1427,1413,A*,3855,2013-2020,3855,733,16127,16071,733,721,A*,3782,2013-2020,3782,1009,17136,17080,1009,1009,A,3708,2013-2020,3708,926,18062,18036,926,926,A,3633,2013-2020,3633,993,19055,19029,993,993,A,3558,2013-2020,3558,961,20016,19990,961,961,A,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA
HR-203875,203875,HEP-Toplinarstvo d.o.o.,Croatia,HR,100,Holding Account,open,080396278,HEP-Toplinarstvo d.o.o.,Miševečka 15a,NA,Zagreb,10000,HR,Croatia,1,Account holder,NA,NA,NA,Pogon Osijek,NA,NA,NA,2013,0,2014-03-31,HR-367,18.701461,45.560646,Cara Hadrijan 3,NA,Osijek,31000,HR,20,Combustion of fuels,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,45,2013-2020,45,577,577,577,577,577,A*,402,2013-2020,402,1052,1629,1629,1052,1052,A,338,2013-2020,338,913,2542,2542,913,913,A,296,2013-2020,296,605,3147,3147,605,605,A,255,2013-2020,255,190,3337,3337,190,190,A,54,2013-2020,54,64,3401,3401,64,64,A,0,2013-2020,0,NA,3401,3401,NA,0,A,0,2013-2020,0,NA,3401,3401,NA,0,A,NA,2021-2030,NA,NA,0,Not Calculated,NA,Excluded,-,NA,2021-2030,NA,NA,0,0,NA,Excluded,A
HR-203878,203878,HEP-Proizvodnja d.o.o.,Croatia,HR,100,Holding Account,open,080434256,HEP-Proizvodnja d.o.o.,Ulica grada Vukovara 37,NA,Zagreb,10000,HR,Croatia,1,Account holder,NA,NA,NA,Te-TO Zagreb,NA,NA,NA,2013,0,2014-03-31,HR-336,NA,NA,Kuševačka 10a,NA,Zagreb,10000,HR,20,Combustion of fuels,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,200475,2013-2020,200475,715751,715751,715751,715751,746207,A*,176365,2013-2020,176365,399240,1114991,1114991,399240,368784,A,157135,2013-2020,157135,411123,1526114,1526114,411123,411123,A,138507,2013-2020,138507,439513,1965627,1965627,439513,439513,A,120459,2013-2020,120459,836017,2801644,2801644,836017,836017,A,102991,2013-2020,102991,550601,3352245,3352245,550601,550601,A,86082,2013-2020,86082,648733,4000978,4000978,648733,648733,A,69773,2013-2020,69773,773758,4774736,4774736,773758,773758,A,43847,2021-2030,43847,755894,755894,755894,755894,755894,A,42721,2021-2030,42721,859167,1615061,1615061,859167,859167,A
HR-203879,203879,HEP-Proizvodnja d.o.o.,Croatia,HR,100,Holding Account,open,080434256,HEP-Proizvodnja d.o.o.,Ulica grada Vukovara 37,NA,Zagreb,10000,HR,Croatia,1,Account holder,NA,NA,NA,EL-TO Zagreb,NA,NA,NA,2013,0,2014-03-31,HR-332,15.948503,45.808581,Zagorska 1,NA,Zagreb,10000,HR,20,Combustion of fuels,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,167026,2013-2020,167026,317752,317752,317752,317752,317752,A*,143701,2013-2020,143701,263612,581364,581364,263612,263612,A,128557,2013-2020,128557,261850,843214,843214,261850,261850,A,113884,2013-2020,113884,242724,1085938,1085938,242724,242724,A,99665,2013-2020,99665,253787,1339725,1339725,253787,253787,A,85899,2013-2020,85899,208196,1547921,1547921,208196,208196,A,72571,2013-2020,72571,206067,1753988,1753988,206067,206067,A,59713,2013-2020,59713,201302,1955290,1955290,201302,201302,A,32060,2021-2030,32060,215723,215723,215723,215723,215723,A,31236,2021-2030,31236,210129,425852,425852,210129,210129,A
