id,InstallationOrAircraftOperatorID,AccountHolderName,NationalAdministrator,NationalAdministratorCode,AccountTypeCode,AccountTypeCodeLookup,AccountStatus,CompanyRegistrationNo,ContactName,ContactAddress1,ContactAddress2,ContactCity,ContactZipCode,ContactCountryCode,ContactCountryCodeLookup,ContactRelationshipTypeCode,ContactRelationshipTypeCodeLookup,ContactTelephone1,ContactTelephone2,ContactEmailAddress,InstallationNameOrAircraftOperatorCode,ParentCompany,SubsidiaryCompany,EPRTRIdentification,FirstYearOfEmissions,LastYearOfEmissions,PermitOrPlanDate,PermitOrPlanID,Latitude,Longitude,Address1,Address2,City,ZipCode,Country,MainActivityTypeCode,MainActivityTypeCodeLookup,FreeAllocations_2005,ETSPhase_2005,AllowanceInAllocation_2005,UnitsSurrendered_2005,CumulativeSurrenderedUnits_2005,CumulativeVerifiedEmissions_2005,SurrenderedAllowances_2005,VerifiedEmissions_2005,ComplianceCode_2005,FreeAllocations_2006,ETSPhase_2006,AllowanceInAllocation_2006,UnitsSurrendered_2006,CumulativeSurrenderedUnits_2006,CumulativeVerifiedEmissions_2006,SurrenderedAllowances_2006,VerifiedEmissions_2006,ComplianceCode_2006,FreeAllocations_2007,ETSPhase_2007,AllowanceInAllocation_2007,UnitsSurrendered_2007,CumulativeSurrenderedUnits_2007,CumulativeVerifiedEmissions_2007,SurrenderedAllowances_2007,VerifiedEmissions_2007,ComplianceCode_2007,FreeAllocations_2008,ETSPhase_2008,AllowanceInAllocation_2008,UnitsSurrendered_2008,CumulativeSurrenderedUnits_2008,CumulativeVerifiedEmissions_2008,SurrenderedAllowances_2008,VerifiedEmissions_2008,ComplianceCode_2008,FreeAllocations_2009,ETSPhase_2009,AllowanceInAllocation_2009,UnitsSurrendered_2009,CumulativeSurrenderedUnits_2009,CumulativeVerifiedEmissions_2009,SurrenderedAllowances_2009,VerifiedEmissions_2009,ComplianceCode_2009,FreeAllocations_2010,ETSPhase_2010,AllowanceInAllocation_2010,UnitsSurrendered_2010,CumulativeSurrenderedUnits_2010,CumulativeVerifiedEmissions_2010,SurrenderedAllowances_2010,VerifiedEmissions_2010,ComplianceCode_2010,FreeAllocations_2011,ETSPhase_2011,AllowanceInAllocation_2011,UnitsSurrendered_2011,CumulativeSurrenderedUnits_2011,CumulativeVerifiedEmissions_2011,SurrenderedAllowances_2011,VerifiedEmissions_2011,ComplianceCode_2011,FreeAllocations_2012,ETSPhase_2012,AllowanceInAllocation_2012,UnitsSurrendered_2012,CumulativeSurrenderedUnits_2012,CumulativeVerifiedEmissions_2012,SurrenderedAllowances_2012,VerifiedEmissions_2012,ComplianceCode_2012,FreeAllocations_2013,ETSPhase_2013,AllowanceInAllocation_2013,UnitsSurrendered_2013,CumulativeSurrenderedUnits_2013,CumulativeVerifiedEmissions_2013,SurrenderedAllowances_2013,VerifiedEmissions_2013,ComplianceCode_2013,FreeAllocations_2014,ETSPhase_2014,AllowanceInAllocation_2014,UnitsSurrendered_2014,CumulativeSurrenderedUnits_2014,CumulativeVerifiedEmissions_2014,SurrenderedAllowances_2014,VerifiedEmissions_2014,ComplianceCode_2014,FreeAllocations_2015,ETSPhase_2015,AllowanceInAllocation_2015,UnitsSurrendered_2015,CumulativeSurrenderedUnits_2015,CumulativeVerifiedEmissions_2015,SurrenderedAllowances_2015,VerifiedEmissions_2015,ComplianceCode_2015,FreeAllocations_2016,ETSPhase_2016,AllowanceInAllocation_2016,UnitsSurrendered_2016,CumulativeSurrenderedUnits_2016,CumulativeVerifiedEmissions_2016,SurrenderedAllowances_2016,VerifiedEmissions_2016,ComplianceCode_2016,FreeAllocations_2017,ETSPhase_2017,AllowanceInAllocation_2017,UnitsSurrendered_2017,CumulativeSurrenderedUnits_2017,CumulativeVerifiedEmissions_2017,SurrenderedAllowances_2017,VerifiedEmissions_2017,ComplianceCode_2017,FreeAllocations_2018,ETSPhase_2018,AllowanceInAllocation_2018,UnitsSurrendered_2018,CumulativeSurrenderedUnits_2018,CumulativeVerifiedEmissions_2018,SurrenderedAllowances_2018,VerifiedEmissions_2018,ComplianceCode_2018,FreeAllocations_2019,ETSPhase_2019,AllowanceInAllocation_2019,UnitsSurrendered_2019,CumulativeSurrenderedUnits_2019,CumulativeVerifiedEmissions_2019,SurrenderedAllowances_2019,VerifiedEmissions_2019,ComplianceCode_2019,FreeAllocations_2020,ETSPhase_2020,AllowanceInAllocation_2020,UnitsSurrendered_2020,CumulativeSurrenderedUnits_2020,CumulativeVerifiedEmissions_2020,SurrenderedAllowances_2020,VerifiedEmissions_2020,ComplianceCode_2020,FreeAllocations_2021,ETSPhase_2021,AllowanceInAllocation_2021,UnitsSurrendered_2021,CumulativeSurrenderedUnits_2021,CumulativeVerifiedEmissions_2021,SurrenderedAllowances_2021,VerifiedEmissions_2021,ComplianceCode_2021,FreeAllocations_2022,ETSPhase_2022,AllowanceInAllocation_2022,UnitsSurrendered_2022,CumulativeSurrenderedUnits_2022,CumulativeVerifiedEmissions_2022,SurrenderedAllowances_2022,VerifiedEmissions_2022,ComplianceCode_2022
HU-200141,200141,WIZZ AIR HUNGARY LTD,Hungary,HU,100,Holding Account,open,01-09-964332,WIZZ AIR HUNGARY LTD,KŐÉR U 2/A,"LAURUS OFFICES, BUILDING B",Budapest,1103,HU,Hungary,1,Account holder,NA,NA,NA,30078,NA,NA,NA,2012,0,2010-01-01,14/6605-1/2010,NA,NA,-,NA,-,-,HU,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,789314,2008-2012,789314,1097535,1097535,1097535,932906,1097535,A*,734441,2013-2020,734441,NA,0,0,NA,1093495,A,734441,2013-2020,734441,2348931,2348931,2348931,2348931,1255436,A,734441,2013-2020,734441,1548220,3897151,3897151,1548220,1548220,A*,734441,2013-2020,734441,1832991,5730142,5730142,1832991,1832991,A,734441,2013-2020,734441,2083183,7813325,7813325,2083183,2083183,A,734441,2013-2020,734441,2314873,10128198,10128198,2314873,2314873,A,734441,2013-2020,734441,2371740,12499938,12499938,2371740,2371740,A,734441,2013-2020,734441,1236739,13734230,13734230,1232707,1234292,A,604841,2021-2030,604841,1228309,1226117,1226117,1226117,1226117,A,591235,2021-2030,591235,2232959,3455697,3455697,2229580,2229580,A
HU-200163,200163,MALEV,Hungary,HU,100,Holding Account,closed,01-10-042034,MALEV,Könyves Kálmán krt. 12-14.,NA,Budapest,1097,HU,Hungary,1,Account holder,NA,NA,NA,1803,NA,NA,NA,2012,2012,2010-01-01,MP-emission-MAH_Gauss-ver2,NA,NA,-,NA,-,-,HU,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,0,NA,NA,2008-2012,NA,NA,NA,NA,NA,0,NA,264086,2008-2012,264086,33878,33878,33878,33878,33878,A,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA
HU-200166,200166,CityLine Hungary Kft,Hungary,HU,100,Holding Account,closed,13-09-09-3453,CityLine Hungary Kft,Fő utca 137.,NA,Vecsés,2220,HU,Hungary,1,Account holder,NA,NA,NA,29227,NA,NA,NA,2012,2012,2010-01-01,14/16606-1/2010,NA,NA,-,NA,-,-,HU,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,0,NA,NA,2008-2012,NA,NA,NA,NA,NA,0,NA,3881,2008-2012,3881,220,220,220,220,220,A*,0,2013-2020,0,NA,0,0,NA,Excluded,A,0,2013-2020,0,NA,0,0,NA,Excluded,A,0,2013-2020,0,NA,0,0,NA,Excluded,A,0,2013-2020,0,NA,0,0,NA,Excluded,A,0,2013-2020,0,NA,0,0,NA,Excluded,A,0,2013-2020,0,NA,0,0,NA,Excluded,A,0,2013-2020,0,NA,0,0,NA,Excluded,A,0,2013-2020,0,NA,0,Not Calculated,NA,Excluded,-,0,2021-2030,0,NA,NA,NA,NA,Excluded,NA,0,2021-2030,0,NA,NA,NA,NA,NA,NA
HU-200176,200176,Smartwings Hungary Kft.,Hungary,HU,100,Holding Account,open,01-09-693315,Smartwings Hungary Kft.,Ilka utca 25. B. ép. 4. em. 408.,NA,Budapest,1143,HU,Hungary,1,Account holder,NA,NA,NA,27768,NA,NA,NA,2012,0,2010-01-01,102222881,NA,NA,-,NA,-,-,HU,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,0,NA,40137,2008-2012,40137,26832,26832,26832,26832,26832,A*,5702,2013-2020,5702,NA,0,0,NA,4143,A,5702,2013-2020,5702,13687,13687,13687,13687,9544,A,5702,2013-2020,5702,10139,23826,23826,10139,10139,A*,5702,2013-2020,5702,10271,34097,34097,10271,10271,A*,5702,2013-2020,5702,11763,45860,45860,11763,11763,A,5702,2013-2020,5702,12609,58469,58469,12609,12609,A,5702,2013-2020,5702,12348,70817,70817,12348,12348,A*,0,2013-2020,0,NA,70817,70817,NA,Excluded,A,5577,2021-2030,5577,NA,0,Not Calculated,NA,Excluded,-,5451,2021-2030,5451,NA,0,Not Calculated,NA,Not Reported,C
HU-1,1,"AES Borsodi Energetikai Kft. ""f.a""",Hungary,HU,100,Holding Account,closed,05-09-003017,"AES Borsodi Energetikai Kft. ""f.a""",Ipari út,7,Kazincbarcika,3700,HU,Hungary,1,Account holder,NA,NA,NA,AES Borsodi Energetikai Kft. Tiszapalkonyai Eromu,NA,NA,1.(c),2005,2011,2005-01-01,HU-UHG5377-1-04,47.904835627,21.055302154,Jedlik Ányos út Hrsz,2180,Tiszaújváros,3580,HU,20,Combustion of fuels,523700,2005-2007,523700,331095,331095,331095,331095,331095,A*,523700,2005-2007,523700,358830,689925,689925,358830,358830,A,523700,2005-2007,523700,465675,1155600,1155600,465675,465675,A*,233185,2008-2012,233185,519742,519742,519742,519742,519742,A,233185,2008-2012,233185,477764,997506,997506,431127,477764,A,233565,2008-2012,233565,479380,1476886,1476886,456024,479380,A,233565,2008-2012,233565,54236,1476886,1531122,54236,54236,B,0,2008-2012,0,NA,0,Not Calculated,NA,Not Reported,C,0,2013-2020,0,NA,0,Not Calculated,NA,Not Reported,C,NA,2013-2020,NA,NA,0,Not Calculated,NA,Not Reported,C,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA
HU-2,2,"AES Borsodi Energetikai Kft. ""f.a""",Hungary,HU,100,Holding Account,closed,05-09-003017,"AES Borsodi Energetikai Kft. ""f.a""",Ipari út,7,Kazincbarcika,3700,HU,Hungary,1,Account holder,NA,NA,NA,AES Borsodi Energetikai Kft. Borsodi Hoeromu,NA,NA,1.(c),2005,2011,2005-01-01,HU-UHG5288-1-04,48.235423895,20.684347857,Ipari út,4,Kazincbarcika,3700,HU,20,Combustion of fuels,464930,2005-2007,464930,343954,343954,343954,343954,343954,A*,464930,2005-2007,464930,339891,683845,683845,339891,339891,A,464930,2005-2007,464930,346520,1030365,1030365,346520,346520,A*,156306,2008-2012,156306,266877,266877,266877,266877,266877,A,156306,2008-2012,156306,81554,348431,348431,62561,81554,A,156561,2008-2012,156561,5912,354343,354343,NA,5912,A,156561,2008-2012,156561,7805,354343,362148,7805,7805,B,0,2008-2012,0,NA,0,Not Calculated,NA,Not Reported,C,0,2013-2020,0,NA,0,Not Calculated,NA,Not Reported,C,NA,2013-2020,NA,NA,0,Not Calculated,NA,Not Reported,C,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA
HU-3,3,AES Tisza Erõmû Kft.,Hungary,HU,100,Holding Account,closed,05-09-007689,AES Tisza Erõmû Kft.,Verebély László utca,2,Tiszaújváros,3580,HU,Hungary,1,Account holder,NA,NA,NA,Tisza Eromu Kft.,NA,NA,1.(c),2005,2013,2005-01-01,HU-UHG5332-1-04,47.916847806,21.075929082,Verebély László utca,2,Tiszaújváros,3580,HU,20,Combustion of fuels,1435860,2005-2007,1435860,862381,862381,862381,862381,862381,A*,1435860,2005-2007,1435860,1076048,1938429,1938429,1076048,1076048,A,1435860,2005-2007,1435860,1218823,3157252,3157252,1218823,1218823,A*,790781,2008-2012,790781,1153755,1153755,1153755,1153755,1153755,A,790781,2008-2012,790781,851167,2004922,2004922,761167,851167,A,792068,2008-2012,792068,860670,2865592,2865592,713307,860670,A,792068,2008-2012,792068,NA,3541047,3541047,NA,675455,A,792068,2008-2012,792068,776445,3642037,3642037,618032,100990,A*,0,2013-2020,0,NA,0,0,NA,0,A,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA
HU-4,4,"Riegel Pharma Kft. ""FA""",Hungary,HU,100,Holding Account,closed,01-09-262916,"Riegel Pharma Kft. ""FA""",Bányalég utca,2,Budapest,1225,HU,Hungary,1,Account holder,NA,NA,NA,Riegel Pharma Kft. FA Energiaüzem kazánház,NA,NA,4.(d),2005,2012,2005-01-01,HU-UHG5431-1-04,47.391166091,18.960026606,Bányalég utca,2,Budapest,1225,HU,1,Combustion installations with a rated thermal input exceeding 20 MW,10715,2005-2007,10715,6713,6713,6713,6713,6713,A*,10715,2005-2007,10715,5670,12383,12383,5670,5670,A,10715,2005-2007,10715,3793,16176,16176,3793,3793,A*,6661,2008-2012,6661,3446,3446,3446,3446,3446,A,6661,2008-2012,6661,2996,6442,6442,2996,2996,A,6661,2008-2012,6661,2396,8838,8838,2396,2396,A,6661,2008-2012,6661,2329,11167,11166,1,2328,A,6661,2008-2012,6661,2167,13334,13333,2167,2167,A,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA
HU-5,5,Agroferm Zrt.,Hungary,HU,100,Holding Account,open,09-10-000008,Agroferm Zrt.,Hrsz,086/2,Kaba,4183,HU,Hungary,1,Account holder,NA,NA,NA,Agroferm Zrt. Energiaellátás,NA,NA,4.(a).IV,2005,0,2005-01-01,HU-UHG5150-1-04,47.389777743,21.228866993,Nádudvari útfél Hrsz,086/11,Kaba,4183,HU,20,Combustion of fuels,31353,2005-2007,31353,24198,24198,24198,24198,24198,A*,31353,2005-2007,31353,21803,46001,46219,21803,22021,B*,31353,2005-2007,31353,10075,56076,56076,10075,9857,A*,24012,2008-2012,24012,17528,17528,17528,17528,17528,A,24012,2008-2012,24012,14633,32161,32161,14633,14633,A,24012,2008-2012,24012,16163,48324,48324,16163,16163,A,24012,2008-2012,24012,15712,64036,64036,13311,15712,A*,24012,2008-2012,24012,16214,80250,80250,13813,16214,A,18366,2013-2020,18366,16457,16457,16457,16457,16457,A,18047,2013-2020,18047,19276,35733,35733,19276,19276,A,17724,2013-2020,17724,19209,54942,54942,19209,19209,A,17398,2013-2020,17398,19110,74052,74052,19110,19110,A,17069,2013-2020,17069,18443,92495,92495,18443,18443,A,16736,2013-2020,16736,7752,100247,100247,7752,7752,A,8200,2013-2020,8200,612,100859,100859,612,612,A,0,2013-2020,0,564,101423,101423,564,564,A,NA,2021-2030,NA,1634,1634,1634,1634,1634,A,NA,2021-2030,NA,921,2555,2555,921,921,A
HU-6,6,Arconic-Köfém Mill Products Hungary Kft.,Hungary,HU,100,Holding Account,open,07-09-030481,Arconic-Köfém Mill Products Hungary Kft.,Verseci út,1-15,Székesfehérvár,8000,HU,Hungary,1,Account holder,NA,NA,NA,Arconic-Köfém Mill Products Hungary Kft.,NA,NA,2.(e).II,2005,0,2005-01-01,HU-UHG5314-1-04,47.189825395,18.467225222,Verseci út,1-15,Székesfehérvár,8000,HU,27,Production of secondary aluminium,114209,2005-2007,114209,98846,98846,98846,98846,98846,A*,114209,2005-2007,114209,104300,203146,203146,104300,104300,A,114209,2005-2007,114209,96424,299570,299570,96424,96424,A*,98085,2008-2012,98085,91570,91570,91570,82413,91570,A,98085,2008-2012,98085,57197,148767,148767,48566,57197,A,98085,2008-2012,98085,68482,217249,217249,59850,68482,A,98085,2008-2012,98085,69707,286956,286956,61076,69707,A,98085,2008-2012,98085,65603,352559,352559,56972,65603,A,81952,2013-2020,81952,72054,72054,72054,72054,72054,A,80528,2013-2020,80528,76292,148346,148346,76292,76292,A,79088,2013-2020,79088,76303,224649,224649,76303,76303,A,77633,2013-2020,77633,77118,301767,301767,77118,77118,A,76162,2013-2020,76162,79108,380875,380875,79108,79108,A,74677,2013-2020,74677,79356,460231,460231,79356,79356,A,73173,2013-2020,73173,78225,538456,538456,78225,78225,A,71664,2013-2020,71664,58694,597150,597150,58694,58694,A,57890,2021-2030,57890,63784,63784,63784,63784,63784,A,55506,2021-2030,55506,58849,122633,122633,58849,58849,A
