id,InstallationOrAircraftOperatorID,AccountHolderName,NationalAdministrator,NationalAdministratorCode,AccountTypeCode,AccountTypeCodeLookup,AccountStatus,CompanyRegistrationNo,ContactName,ContactAddress1,ContactAddress2,ContactCity,ContactZipCode,ContactCountryCode,ContactCountryCodeLookup,ContactRelationshipTypeCode,ContactRelationshipTypeCodeLookup,ContactTelephone1,ContactTelephone2,ContactEmailAddress,InstallationNameOrAircraftOperatorCode,ParentCompany,SubsidiaryCompany,EPRTRIdentification,FirstYearOfEmissions,LastYearOfEmissions,PermitOrPlanDate,PermitOrPlanID,Latitude,Longitude,Address1,Address2,City,ZipCode,Country,MainActivityTypeCode,MainActivityTypeCodeLookup,FreeAllocations_2005,ETSPhase_2005,AllowanceInAllocation_2005,UnitsSurrendered_2005,CumulativeSurrenderedUnits_2005,CumulativeVerifiedEmissions_2005,SurrenderedAllowances_2005,VerifiedEmissions_2005,ComplianceCode_2005,FreeAllocations_2006,ETSPhase_2006,AllowanceInAllocation_2006,UnitsSurrendered_2006,CumulativeSurrenderedUnits_2006,CumulativeVerifiedEmissions_2006,SurrenderedAllowances_2006,VerifiedEmissions_2006,ComplianceCode_2006,FreeAllocations_2007,ETSPhase_2007,AllowanceInAllocation_2007,UnitsSurrendered_2007,CumulativeSurrenderedUnits_2007,CumulativeVerifiedEmissions_2007,SurrenderedAllowances_2007,VerifiedEmissions_2007,ComplianceCode_2007,FreeAllocations_2008,ETSPhase_2008,AllowanceInAllocation_2008,UnitsSurrendered_2008,CumulativeSurrenderedUnits_2008,CumulativeVerifiedEmissions_2008,SurrenderedAllowances_2008,VerifiedEmissions_2008,ComplianceCode_2008,FreeAllocations_2009,ETSPhase_2009,AllowanceInAllocation_2009,UnitsSurrendered_2009,CumulativeSurrenderedUnits_2009,CumulativeVerifiedEmissions_2009,SurrenderedAllowances_2009,VerifiedEmissions_2009,ComplianceCode_2009,FreeAllocations_2010,ETSPhase_2010,AllowanceInAllocation_2010,UnitsSurrendered_2010,CumulativeSurrenderedUnits_2010,CumulativeVerifiedEmissions_2010,SurrenderedAllowances_2010,VerifiedEmissions_2010,ComplianceCode_2010,FreeAllocations_2011,ETSPhase_2011,AllowanceInAllocation_2011,UnitsSurrendered_2011,CumulativeSurrenderedUnits_2011,CumulativeVerifiedEmissions_2011,SurrenderedAllowances_2011,VerifiedEmissions_2011,ComplianceCode_2011,FreeAllocations_2012,ETSPhase_2012,AllowanceInAllocation_2012,UnitsSurrendered_2012,CumulativeSurrenderedUnits_2012,CumulativeVerifiedEmissions_2012,SurrenderedAllowances_2012,VerifiedEmissions_2012,ComplianceCode_2012,FreeAllocations_2013,ETSPhase_2013,AllowanceInAllocation_2013,UnitsSurrendered_2013,CumulativeSurrenderedUnits_2013,CumulativeVerifiedEmissions_2013,SurrenderedAllowances_2013,VerifiedEmissions_2013,ComplianceCode_2013,FreeAllocations_2014,ETSPhase_2014,AllowanceInAllocation_2014,UnitsSurrendered_2014,CumulativeSurrenderedUnits_2014,CumulativeVerifiedEmissions_2014,SurrenderedAllowances_2014,VerifiedEmissions_2014,ComplianceCode_2014,FreeAllocations_2015,ETSPhase_2015,AllowanceInAllocation_2015,UnitsSurrendered_2015,CumulativeSurrenderedUnits_2015,CumulativeVerifiedEmissions_2015,SurrenderedAllowances_2015,VerifiedEmissions_2015,ComplianceCode_2015,FreeAllocations_2016,ETSPhase_2016,AllowanceInAllocation_2016,UnitsSurrendered_2016,CumulativeSurrenderedUnits_2016,CumulativeVerifiedEmissions_2016,SurrenderedAllowances_2016,VerifiedEmissions_2016,ComplianceCode_2016,FreeAllocations_2017,ETSPhase_2017,AllowanceInAllocation_2017,UnitsSurrendered_2017,CumulativeSurrenderedUnits_2017,CumulativeVerifiedEmissions_2017,SurrenderedAllowances_2017,VerifiedEmissions_2017,ComplianceCode_2017,FreeAllocations_2018,ETSPhase_2018,AllowanceInAllocation_2018,UnitsSurrendered_2018,CumulativeSurrenderedUnits_2018,CumulativeVerifiedEmissions_2018,SurrenderedAllowances_2018,VerifiedEmissions_2018,ComplianceCode_2018,FreeAllocations_2019,ETSPhase_2019,AllowanceInAllocation_2019,UnitsSurrendered_2019,CumulativeSurrenderedUnits_2019,CumulativeVerifiedEmissions_2019,SurrenderedAllowances_2019,VerifiedEmissions_2019,ComplianceCode_2019,FreeAllocations_2020,ETSPhase_2020,AllowanceInAllocation_2020,UnitsSurrendered_2020,CumulativeSurrenderedUnits_2020,CumulativeVerifiedEmissions_2020,SurrenderedAllowances_2020,VerifiedEmissions_2020,ComplianceCode_2020
IE-200261,200261,Eli Lilly and Company,Ireland ,IE,100,Holding Account,open,35-0470950,Eli Lilly and Company,Lilly Corporate Center,NA,Indianapolis,46285,US,United States,1,Account holder,NA,NA,NA,1009,NA,NA,NA,2012,0,2010-01-01,1009,NA,NA,-,NA,-,-,IE,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,31,2008-2012,31,73,0,Not Calculated,73,73,C,2,2013-2020,2,NA,0,0,NA,Excluded,A,2,2013-2020,2,NA,0,0,NA,Excluded,A,2,2013-2020,2,NA,0,0,NA,Excluded,A,2,2013-2020,2,NA,0,0,NA,Excluded,A,2,2013-2020,2,NA,0,0,NA,Excluded,A,2,2013-2020,2,NA,0,0,NA,Excluded,A,2,2013-2020,2,NA,0,0,NA,Excluded,A,2,2013-2020,2,NA,0,Not Calculated,NA,Excluded,-
IE-200324,200324,United States Steel Corporation,Ireland ,IE,100,Holding Account,open,25-1897152,United States Steel Corporation,USS Tower,600 Grant St,Pittsburgh,15219,US,United States,1,Account holder,NA,NA,NA,2797,NA,NA,NA,2012,0,2010-01-01,AEAP2797,NA,NA,-,NA,-,-,IE,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,77,2008-2012,77,576,0,Not Calculated,576,576,C,13,2013-2020,13,NA,0,0,NA,Excluded,A,13,2013-2020,13,NA,0,0,NA,Excluded,A,13,2013-2020,13,NA,0,0,NA,Excluded,A,13,2013-2020,13,NA,0,0,NA,Excluded,A,13,2013-2020,13,NA,0,0,NA,Excluded,A,13,2013-2020,13,NA,0,0,NA,Excluded,A,13,2013-2020,13,NA,0,0,NA,Excluded,A,13,2013-2020,13,NA,0,Not Calculated,NA,Excluded,-
IE-200403,200403,Blue City Holdings,Ireland ,IE,100,Holding Account,open,47-0951248,Blue City Holdings,NASA-ARC Mail Stop 211-7,"Bldg 211, Rm 134, PO Box 1",Moffett Field,94035-0001,US,United States,1,Account holder,NA,NA,NA,33247,NA,NA,NA,2012,0,2010-01-01,AEM10037,NA,NA,-,NA,-,-,IE,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,186,2008-2012,186,286,286,286,244,286,A,2,2013-2020,2,NA,0,0,NA,310,A,2,2013-2020,2,672,672,672,672,362,A,2,2013-2020,2,403,1075,1075,403,403,A,2,2013-2020,2,354,1429,1429,354,354,A,2,2013-2020,2,334,1763,1763,334,334,A,2,2013-2020,2,417,2180,2180,417,417,A,2,2013-2020,2,334,2514,2514,334,334,A,2,2013-2020,2,NA,2514,2514,NA,Excluded,A
IE-200664,200664,North American Airlines Inc,Ireland ,IE,100,Holding Account,open,2194030,North American Airlines Inc,101 World Drive,NA,Peachtree City,30269,US,United States,1,Account holder,NA,NA,NA,11930,NA,NA,NA,2012,2014,2010-01-01,TKM10123,NA,NA,-,NA,-,-,IE,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,135290,2008-2012,135290,125473,125473,125473,125473,125473,A,811,2013-2020,811,NA,0,0,NA,3982,A*,811,2013-2020,811,NA,0,Not Calculated,NA,349,C*,0,2013-2020,0,2433,2433,4331,2433,Excluded,B,0,2013-2020,0,NA,2433,4331,NA,Excluded,B,0,2013-2020,0,NA,2433,4331,NA,Excluded,B,0,2013-2020,0,NA,NA,NA,NA,Excluded,NA,0,2013-2020,0,NA,NA,NA,NA,Excluded,NA,0,2013-2020,0,NA,NA,NA,NA,Excluded,NA
IE-200798,200798,ASL Airlines (Ireland) Limited,Ireland ,IE,100,Holding Account,open,187849,ASL Airlines (Ireland) Limited,3 Malahide Road,Swords,County Dublin,D03 H277,IE,Ireland ,1,Account holder,NA,NA,NA,298,NA,NA,NA,2012,0,2010-01-01,AEM10010,NA,NA,-,NA,-,-,IE,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,18422,2008-2012,18422,40971,40971,40971,34826,40971,A,13413,2013-2020,13413,NA,0,0,NA,39644,A,13413,2013-2020,13413,79648,79648,79648,79648,40004,A,13413,2013-2020,13413,39132,118780,118780,39132,39132,A,13413,2013-2020,13413,46941,165721,165721,46941,46941,A,13413,2013-2020,13413,54073,219794,219794,54073,54073,A,13413,2013-2020,13413,42838,262632,262632,42838,42838,A,13413,2013-2020,13413,82110,344742,344742,82110,82110,A,13413,2013-2020,13413,167001,511584,511584,167001,166842,A
IE-201078,201078,Ryanair Designated Activity Company,Ireland ,IE,100,Holding Account,open,104547,Ryanair Designated Activity Company,Dublin Office,Airside Business Park,Swords,Co Dublin,IE,Ireland ,1,Account holder,NA,NA,NA,8651,NA,NA,NA,2012,0,2010-01-01,AEM10143,NA,NA,-,NA,-,-,IE,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,5560944,2008-2012,5560944,7456718,7456718,7456718,6338211,7456718,A,4610591,2013-2020,4610591,NA,0,0,NA,6608939,A,4610591,2013-2020,4610591,13248289,13248289,13248289,13248289,6639350,A,4610591,2013-2020,4610591,7400795,20649084,20649084,7400795,7400795,A,4610591,2013-2020,4610591,8438841,29087925,29087925,8438841,8438841,A,4610591,2013-2020,4610591,9245535,38333460,38333460,9245535,9245535,A,4610591,2013-2020,4610591,9879100,48212560,48212560,9879100,9879100,A,4610591,2013-2020,4610591,10452411,58664971,58664971,10452411,10452411,A,4610591,2013-2020,4610591,4165343,62830314,62830314,4165343,4165343,A
IE-1,1,Lagan Brick Limited,Ireland ,IE,100,Holding Account,closed,361969,Lagan Brick Limited,Kingscourt Bricks Limited,Drumgill,Kingscourt,County Cavan,IE,Ireland ,1,Account holder,NA,NA,NA,Kingscourt Bricks,NA,NA,NA,2005,2012,2005-09-08,IE-GHG001,NA,NA,Drumgill,NA,Kingscourt,County Cavan,IE,8,"Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain",13218,2005-2007,13218,12442,12442,12442,12442,12442,A,13218,2005-2007,13218,9200,21642,21642,9200,9200,A,13218,2005-2007,13218,9290,30932,30932,9290,9290,A,9994,2008-2012,9994,5162,5162,5162,5162,5162,A,9994,2008-2012,9994,2413,7575,7575,2413,2413,A,9994,2008-2012,9994,2932,10507,10507,2932,2932,A,9994,2008-2012,9994,4364,14871,14871,4364,4364,A,0,2008-2012,0,NA,14871,14871,NA,0,A,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA
IE-65,65,Lagan Brick Limited,Ireland ,IE,100,Holding Account,closed,361969,Lagan Brick Limited,Kingscourt Bricks Limited,Drumgill,Kingscourt,County Cavan,IE,Ireland ,1,Account holder,NA,NA,NA,Lagan Brick-The Swan,NA,NA,NA,2005,2013,2005-09-19,IE-GHG083,NA,NA,The Swan,NA,Athy,County Kildare,IE,8,"Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain",7672,2005-2007,7672,8518,8518,8473,8518,8473,A*,7672,2005-2007,7672,8669,17187,17142,8669,8669,A,7672,2005-2007,7672,8037,25224,25224,8037,8082,A,8662,2008-2012,8662,5488,5488,5488,5488,5488,A,8662,2008-2012,8662,1100,6588,6588,1100,1100,A,8662,2008-2012,8662,412,7000,7000,412,412,A,8662,2008-2012,8662,681,7681,7681,681,681,A,8662,2008-2012,8662,517,8198,8198,517,517,A,1449,2013-2020,1449,429,429,429,429,429,A,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA
IE-2,2,Saint-Gobain Construction Products (Ireland) Limited,Ireland ,IE,100,Holding Account,open,11815,Saint-Gobain Construction Products (Ireland) Limited,"Unit 4, Kilcarbery Business Park",Nangor Road,Dublin,Dublin 22,IE,Ireland ,1,Account holder,NA,NA,NA,Kingscourt Works,NA,NA,NA,2005,0,2005-09-08,IE-GHG002,NA,NA,Navan Road,NA,Kingscourt,Cavan,IE,34,Production or processing of gypsum or plasterboard,40778,2005-2007,40778,45592,45592,45592,45592,45592,A,40778,2005-2007,40778,NA,45592,97750,NA,52158,B,40778,2005-2007,40778,102160,147752,147752,102160,50002,A,49030,2008-2012,49030,35058,35058,35058,35058,35058,A,49030,2008-2012,49030,23299,58357,58357,23299,23299,A,49030,2008-2012,49030,19732,78089,78089,19732,19732,A,49030,2008-2012,49030,17378,95467,95467,17378,17378,A,49030,2008-2012,49030,14020,109487,109487,14020,14020,A,20932,2013-2020,20932,14720,14720,14720,14720,14720,A,25710,2013-2020,25710,16684,31404,31404,16684,16684,A,25250,2013-2020,25250,20381,51785,51785,20381,20381,A,24786,2013-2020,24786,26916,78701,78701,26916,26916,A,39478,2013-2020,39478,30703,109404,109404,30703,30703,A,38708,2013-2020,38708,31460,140864,140864,31460,31460,A,37928,2013-2020,37928,37239,178103,178103,37239,37239,A,37147,2013-2020,37147,30062,208165,208165,30062,30062,A
IE-3,3,Arrabawn Cooperative Society Limited,Ireland ,IE,100,Holding Account,open,Co-operative Society,Arrabawn Cooperative Society Limited,Stafford Street,NA,Nenagh,Tipperary,IE,Ireland ,1,Account holder,NA,NA,NA,Arrabawn Cooperative Society Limited,NA,NA,NA,2005,0,2005-09-09,IE-GHG003,NA,NA,Stafford Street,NA,Nenagh,Tipperary,IE,20,Combustion of fuels,22596,2005-2007,22596,23299,23299,23299,23299,23299,A,22596,2005-2007,22596,22970,46269,46269,22970,22970,A,22596,2005-2007,22596,22688,68957,68957,22688,22688,A,24316,2008-2012,24316,18338,18338,18338,18338,18338,A,24316,2008-2012,24316,21613,39951,39951,21613,21613,A,24316,2008-2012,24316,23588,63539,63539,23588,23588,A,24316,2008-2012,24316,22607,86146,86146,22607,22607,A,24316,2008-2012,24316,21131,107277,107277,15052,21137,A*,14295,2013-2020,14295,23972,23972,23966,23972,23966,A,13792,2013-2020,13792,24822,48794,48788,24822,24822,A,13296,2013-2020,13296,24763,73557,73551,24763,24763,A,12806,2013-2020,12806,16823,90380,90374,16823,16823,A,12323,2013-2020,12323,19129,109509,109503,19129,19129,A,11847,2013-2020,11847,20058,129567,129561,20058,20058,A,11376,2013-2020,11376,21836,151403,151397,21836,21836,A,10917,2013-2020,10917,21354,172757,172751,21354,21354,A
