id,InstallationOrAircraftOperatorID,AccountHolderName,NationalAdministrator,NationalAdministratorCode,AccountTypeCode,AccountTypeCodeLookup,AccountStatus,CompanyRegistrationNo,ContactName,ContactAddress1,ContactAddress2,ContactCity,ContactZipCode,ContactCountryCode,ContactCountryCodeLookup,ContactRelationshipTypeCode,ContactRelationshipTypeCodeLookup,ContactTelephone1,ContactTelephone2,ContactEmailAddress,InstallationNameOrAircraftOperatorCode,ParentCompany,SubsidiaryCompany,EPRTRIdentification,FirstYearOfEmissions,LastYearOfEmissions,PermitOrPlanDate,PermitOrPlanID,Latitude,Longitude,Address1,Address2,City,ZipCode,Country,MainActivityTypeCode,MainActivityTypeCodeLookup,FreeAllocations_2005,ETSPhase_2005,AllowanceInAllocation_2005,UnitsSurrendered_2005,CumulativeSurrenderedUnits_2005,CumulativeVerifiedEmissions_2005,SurrenderedAllowances_2005,VerifiedEmissions_2005,ComplianceCode_2005,FreeAllocations_2006,ETSPhase_2006,AllowanceInAllocation_2006,UnitsSurrendered_2006,CumulativeSurrenderedUnits_2006,CumulativeVerifiedEmissions_2006,SurrenderedAllowances_2006,VerifiedEmissions_2006,ComplianceCode_2006,FreeAllocations_2007,ETSPhase_2007,AllowanceInAllocation_2007,UnitsSurrendered_2007,CumulativeSurrenderedUnits_2007,CumulativeVerifiedEmissions_2007,SurrenderedAllowances_2007,VerifiedEmissions_2007,ComplianceCode_2007,FreeAllocations_2008,ETSPhase_2008,AllowanceInAllocation_2008,UnitsSurrendered_2008,CumulativeSurrenderedUnits_2008,CumulativeVerifiedEmissions_2008,SurrenderedAllowances_2008,VerifiedEmissions_2008,ComplianceCode_2008,FreeAllocations_2009,ETSPhase_2009,AllowanceInAllocation_2009,UnitsSurrendered_2009,CumulativeSurrenderedUnits_2009,CumulativeVerifiedEmissions_2009,SurrenderedAllowances_2009,VerifiedEmissions_2009,ComplianceCode_2009,FreeAllocations_2010,ETSPhase_2010,AllowanceInAllocation_2010,UnitsSurrendered_2010,CumulativeSurrenderedUnits_2010,CumulativeVerifiedEmissions_2010,SurrenderedAllowances_2010,VerifiedEmissions_2010,ComplianceCode_2010,FreeAllocations_2011,ETSPhase_2011,AllowanceInAllocation_2011,UnitsSurrendered_2011,CumulativeSurrenderedUnits_2011,CumulativeVerifiedEmissions_2011,SurrenderedAllowances_2011,VerifiedEmissions_2011,ComplianceCode_2011,FreeAllocations_2012,ETSPhase_2012,AllowanceInAllocation_2012,UnitsSurrendered_2012,CumulativeSurrenderedUnits_2012,CumulativeVerifiedEmissions_2012,SurrenderedAllowances_2012,VerifiedEmissions_2012,ComplianceCode_2012,FreeAllocations_2013,ETSPhase_2013,AllowanceInAllocation_2013,UnitsSurrendered_2013,CumulativeSurrenderedUnits_2013,CumulativeVerifiedEmissions_2013,SurrenderedAllowances_2013,VerifiedEmissions_2013,ComplianceCode_2013,FreeAllocations_2014,ETSPhase_2014,AllowanceInAllocation_2014,UnitsSurrendered_2014,CumulativeSurrenderedUnits_2014,CumulativeVerifiedEmissions_2014,SurrenderedAllowances_2014,VerifiedEmissions_2014,ComplianceCode_2014,FreeAllocations_2015,ETSPhase_2015,AllowanceInAllocation_2015,UnitsSurrendered_2015,CumulativeSurrenderedUnits_2015,CumulativeVerifiedEmissions_2015,SurrenderedAllowances_2015,VerifiedEmissions_2015,ComplianceCode_2015,FreeAllocations_2016,ETSPhase_2016,AllowanceInAllocation_2016,UnitsSurrendered_2016,CumulativeSurrenderedUnits_2016,CumulativeVerifiedEmissions_2016,SurrenderedAllowances_2016,VerifiedEmissions_2016,ComplianceCode_2016,FreeAllocations_2017,ETSPhase_2017,AllowanceInAllocation_2017,UnitsSurrendered_2017,CumulativeSurrenderedUnits_2017,CumulativeVerifiedEmissions_2017,SurrenderedAllowances_2017,VerifiedEmissions_2017,ComplianceCode_2017,FreeAllocations_2018,ETSPhase_2018,AllowanceInAllocation_2018,UnitsSurrendered_2018,CumulativeSurrenderedUnits_2018,CumulativeVerifiedEmissions_2018,SurrenderedAllowances_2018,VerifiedEmissions_2018,ComplianceCode_2018,FreeAllocations_2019,ETSPhase_2019,AllowanceInAllocation_2019,UnitsSurrendered_2019,CumulativeSurrenderedUnits_2019,CumulativeVerifiedEmissions_2019,SurrenderedAllowances_2019,VerifiedEmissions_2019,ComplianceCode_2019,FreeAllocations_2020,ETSPhase_2020,AllowanceInAllocation_2020,UnitsSurrendered_2020,CumulativeSurrenderedUnits_2020,CumulativeVerifiedEmissions_2020,SurrenderedAllowances_2020,VerifiedEmissions_2020,ComplianceCode_2020,FreeAllocations_2021,ETSPhase_2021,AllowanceInAllocation_2021,UnitsSurrendered_2021,CumulativeSurrenderedUnits_2021,CumulativeVerifiedEmissions_2021,SurrenderedAllowances_2021,VerifiedEmissions_2021,ComplianceCode_2021,FreeAllocations_2022,ETSPhase_2022,AllowanceInAllocation_2022,UnitsSurrendered_2022,CumulativeSurrenderedUnits_2022,CumulativeVerifiedEmissions_2022,SurrenderedAllowances_2022,VerifiedEmissions_2022,ComplianceCode_2022
IS-200123,200123,Switchback Argentina,Iceland,IS,100,Holding Account,open,11-3674070,Switchback Argentina,PO Box 2296,NA,Cody,82414,US,United States,1,Account holder,NA,NA,NA,35130,NA,NA,NA,2012,0,2011-01-01,EUAETS 35130 AEMPV01 051010,NA,NA,-,NA,-,-,IS,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,0,NA,NA,2008-2012,NA,NA,NA,NA,NA,0,NA,1,2008-2012,1,55,55,55,55,55,A,0,2013-2020,0,NA,0,0,NA,Excluded,A,0,2013-2020,0,NA,0,0,NA,Excluded,A,0,2013-2020,0,NA,0,0,NA,Excluded,A,0,2013-2020,0,NA,0,0,NA,Excluded,A,0,2013-2020,0,NA,0,0,NA,Excluded,A,0,2013-2020,0,NA,0,0,NA,Excluded,A,0,2013-2020,0,NA,0,0,NA,Excluded,A,0,2013-2020,0,NA,0,Not Calculated,NA,Excluded,-,NA,2021-2030,NA,NA,0,Not Calculated,NA,Excluded,-,NA,2021-2030,NA,NA,0,0,NA,Excluded,A
IS-200124,200124,Silk Way Airlines LLC,Iceland,IS,100,Holding Account,open,9900067141,Silk Way Airlines LLC,Heydar Aliyev International Airport,NA,Baku,AZ 1044,AZ,Azerbaijan,1,Account holder,NA,NA,NA,28475,NA,NA,NA,2012,0,2011-01-01,EUAETS 28475 AEMV01 191009,NA,NA,-,NA,-,-,IS,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,68550,2008-2012,68550,1287,1287,1287,1287,1287,A,4,2013-2020,4,NA,0,0,NA,NA,A,4,2013-2020,4,NA,0,0,NA,NA,A,4,2013-2020,4,NA,0,0,NA,NA,A,4,2013-2020,4,NA,0,0,NA,NA,A,4,2013-2020,4,NA,0,0,NA,NA,A,4,2013-2020,4,NA,0,0,NA,NA,A,4,2013-2020,4,NA,0,0,NA,NA,A,4,2013-2020,4,NA,0,Not Calculated,NA,NA,-,0,2021-2030,0,NA,0,Not Calculated,NA,Excluded,C,0,2021-2030,0,NA,0,Not Calculated,NA,Excluded,C
IS-200134,200134,Investair 300,Iceland,IS,100,Holding Account,open,85-0455335,Investair 300,4801 Aviation Drive,NA,Santa Fe,87507,US,United States,1,Account holder,NA,NA,NA,35682,NA,NA,NA,2012,0,2011-01-01,EUAETS 35682 AEMv01 051210,NA,NA,-,NA,-,-,IS,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,3,2008-2012,3,1,1,14,1,14,B,NA,2013-2020,NA,13,13,0,13,Excluded,A,NA,2013-2020,NA,NA,13,0,NA,Excluded,A,NA,2013-2020,NA,NA,13,0,NA,Excluded,A,NA,2013-2020,NA,NA,13,0,NA,Excluded,A,1,2013-2020,1,NA,13,0,NA,Excluded,A,1,2013-2020,1,NA,13,0,NA,Excluded,A,1,2013-2020,1,NA,13,0,NA,Excluded,A,1,2013-2020,1,NA,13,Not Calculated,NA,Excluded,-,0,2021-2030,0,NA,0,Not Calculated,NA,Excluded,-,0,2021-2030,0,NA,0,0,NA,Excluded,A
IS-200201,200201,Papier-Mettler KG,Iceland,IS,100,Holding Account,open,HRA 20723,Papier-Mettler KG,Hochwaldstrasse 22,NA,Morbach,D-54497,DE,Germany,1,Account holder,NA,NA,NA,30279,NA,NA,NA,2012,0,2009-01-01,EUAETS 30279 AEMV01 140809,NA,NA,-,NA,-,-,IS,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,66,2008-2012,66,631,631,631,631,631,A,61,2013-2020,61,NA,0,0,NA,Excluded,A,61,2013-2020,61,NA,0,0,NA,Excluded,A,61,2013-2020,61,NA,0,0,NA,Excluded,A,61,2013-2020,61,NA,0,0,NA,Excluded,A,61,2013-2020,61,NA,0,0,NA,Excluded,A,61,2013-2020,61,NA,0,0,NA,Excluded,A,61,2013-2020,61,NA,0,0,NA,Excluded,A,61,2013-2020,61,NA,0,Not Calculated,NA,Excluded,-,54,2021-2030,54,1253,1234,1234,1253,1234,A,53,2021-2030,53,1096,2325,2325,1096,1091,A
IS-200325,200325,Supervalu,Iceland,IS,100,Holding Account,open,41-0617000.,Supervalu,6995 34th Ave. So.,NA,Minneapolis,55450,US,United States,1,Account holder,NA,NA,NA,F12111,NA,NA,NA,2012,0,2011-01-01,EUAETS F12111 AEMV01 261110,NA,NA,-,NA,-,-,IS,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,16,2008-2012,16,NA,0,0,NA,0,A,4,2013-2020,4,NA,0,0,NA,Excluded,A,4,2013-2020,4,NA,0,0,NA,Excluded,A,4,2013-2020,4,NA,0,0,NA,Excluded,A,4,2013-2020,4,NA,0,0,NA,Excluded,A,4,2013-2020,4,NA,0,0,NA,Excluded,A,4,2013-2020,4,NA,0,0,NA,Excluded,A,4,2013-2020,4,NA,0,0,NA,Excluded,A,4,2013-2020,4,NA,0,Not Calculated,NA,Excluded,-,0,2021-2030,0,NA,0,Not Calculated,NA,Excluded,-,0,2021-2030,0,NA,0,0,NA,Excluded,A
IS-200330,200330,Icelandair ehf.,Iceland,IS,100,Holding Account,open,461202-3490,Icelandair ehf.,Reykjavík Airport,NA,Reykjavik,101,IS,Iceland,1,Account holder,NA,NA,NA,01479,NA,NA,NA,2012,0,2009-01-01,EUAETS 01479 AEMV01 221209,NA,NA,-,NA,-,-,IS,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,355491,2008-2012,355491,332763,332763,332763,282849,332763,A,186364,2013-2020,186364,NA,0,0,NA,350850,A*,186364,2013-2020,186364,732454,732454,732454,732454,381604,A*,186364,2013-2020,186364,425528,1157982,1157982,425528,425528,A,186364,2013-2020,186364,503641,1661623,1661623,503641,503641,A*,186364,2013-2020,186364,527422,2189045,2189045,527422,527422,A,186364,2013-2020,186364,501307,2690352,2690352,501307,501307,A,186364,2013-2020,186364,567632,3257984,3257984,567632,567632,A,186364,2013-2020,186364,167534,3423267,3423267,165283,165283,A,168526,2021-2030,168526,205173,200412,200412,196760,200412,A,164736,2021-2030,164736,382823,573499,573499,367823,373087,A
IS-200333,200333,Flugfélag Íslands ehf.,Iceland,IS,100,Holding Account,closed,530575-0209,Flugfélag Íslands ehf.,Reykjavík Airport,NA,Reykjavík,101,IS,Iceland,1,Account holder,NA,NA,NA,3176,NA,NA,NA,2012,2019,2009-01-01,EUAETS 3176 AEMV01 110609,NA,NA,-,NA,-,-,IS,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,10490,2008-2012,10490,20667,20667,20667,17567,20667,A,8011,2013-2020,8011,NA,0,0,NA,13324,A,8011,2013-2020,8011,25983,25983,25983,25983,12659,A,8011,2013-2020,8011,12514,38497,38497,12514,12514,A,8011,2013-2020,8011,14699,53196,53196,14699,14699,A,8011,2013-2020,8011,17854,71050,71050,17854,17854,A,8011,2013-2020,8011,14955,86005,86005,14955,14955,A,8011,2013-2020,8011,11850,97855,97855,11850,11850,A,0,2013-2020,0,NA,97855,97855,NA,Excluded,A,0,2021-2030,0,NA,0,Not Calculated,NA,Excluded,-,0,2021-2030,0,NA,NA,NA,NA,NA,NA
IS-201349,201349,Alcoa Fjarðarál,Iceland,IS,100,Holding Account,open,520303-4210,Alcoa Fjarðarál,Hrauni 1,NA,Fjarðarbyggð,730,IS,Iceland,1,Account holder,NA,NA,NA,Alcoa Fjarðarál,NA,NA,NA,2013,0,2011-06-30,IS-ETS-003-01,NA,NA,Hrauni 1,NA,Fjarðarbyggð,730,IS,26,Production of primary aluminium,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,501832,2013-2020,501832,583627,583627,583627,583627,583627,A,493116,2013-2020,493116,591238,1174865,1174865,591238,591238,A,484297,2013-2020,484297,596581,1771446,1771446,596581,596581,A,475386,2013-2020,475386,538524,2309970,2309970,538524,538524,A,466379,2013-2020,466379,558605,2868575,2868575,558605,558605,A,457285,2013-2020,457285,560264,3428839,3428839,560264,560264,A,448077,2013-2020,448077,568884,3997723,3997723,568884,574529,A*,438837,2013-2020,438837,581548,4579271,4579271,581548,575903,A,501161,2021-2030,501161,530705,530705,530705,530705,530705,A,501161,2021-2030,501161,534178,1064883,1064883,534178,534178,A
IS-201350,201350,Rio Tinto á Íslandi,Iceland,IS,100,Holding Account,open,680466-0179,Rio Tinto á Íslandi,Straumsvík,NA,Hafnafjörður,222,IS,Iceland,1,Account holder,NA,NA,NA,Rio Tinto Alcan á Íslan,NA,NA,NA,2013,0,2011-06-30,IS-ETS-002-01,NA,NA,Straumsvík,NA,Hafnarfjörður,222,IS,26,Production of primary aluminium,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,278456,2013-2020,278456,320357,320357,320357,320357,320357,A,273620,2013-2020,273620,312971,633328,633328,312971,312971,A,268727,2013-2020,268727,306922,940250,940250,306922,306922,A,263782,2013-2020,263782,306455,1246705,1246705,306455,306455,A,258784,2013-2020,258784,332436,1579141,1579141,332436,332436,A,253738,2013-2020,253738,325796,1904937,1904937,325796,325796,A,248629,2013-2020,248629,292319,2197256,2197256,292319,292319,A,243501,2013-2020,243501,276296,2473552,2473552,276296,276296,A,306737,2021-2030,306737,311070,311070,311070,311070,311070,A,307007,2021-2030,307007,312957,624027,624027,312957,312957,A
IS-201351,201351,Norðurál Grundartangi,Iceland,IS,100,Holding Account,open,570297-2609,Norðurál Grundartangi,Grundartangi,NA,Akranes,301,IS,Iceland,1,Account holder,NA,NA,NA,Norðurál Grundartangi,NA,NA,NA,2013,0,2014-08-15,IS-ETS-004-02,NA,NA,Grundartangi,NA,Akranes,301,IS,26,Production of primary aluminium,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,396164,2013-2020,396164,466147,466147,466147,466147,466147,A,389284,2013-2020,389284,480682,946829,946829,480682,480682,A,382322,2013-2020,382322,505421,1452250,1452250,505421,505421,A,375287,2013-2020,375287,524104,1976354,1976354,524104,524104,A,368177,2013-2020,368177,509143,2485497,2485497,509143,509143,A,360997,2013-2020,360997,512404,2997901,2997901,512404,512404,A*,353728,2013-2020,353728,514732,3512633,3512633,514732,514732,A*,346434,2013-2020,346434,510858,4023491,4023491,510858,510858,A,456254,2021-2030,456254,528552,528552,528552,528552,528552,A,456254,2021-2030,456254,513318,1041870,1041870,513318,513318,A
