id,InstallationOrAircraftOperatorID,AccountHolderName,NationalAdministrator,NationalAdministratorCode,AccountTypeCode,AccountTypeCodeLookup,AccountStatus,CompanyRegistrationNo,ContactName,ContactAddress1,ContactAddress2,ContactCity,ContactZipCode,ContactCountryCode,ContactCountryCodeLookup,ContactRelationshipTypeCode,ContactRelationshipTypeCodeLookup,ContactTelephone1,ContactTelephone2,ContactEmailAddress,InstallationNameOrAircraftOperatorCode,ParentCompany,SubsidiaryCompany,EPRTRIdentification,FirstYearOfEmissions,LastYearOfEmissions,PermitOrPlanDate,PermitOrPlanID,Latitude,Longitude,Address1,Address2,City,ZipCode,Country,MainActivityTypeCode,MainActivityTypeCodeLookup,FreeAllocations_2005,ETSPhase_2005,AllowanceInAllocation_2005,UnitsSurrendered_2005,CumulativeSurrenderedUnits_2005,CumulativeVerifiedEmissions_2005,SurrenderedAllowances_2005,VerifiedEmissions_2005,ComplianceCode_2005,FreeAllocations_2006,ETSPhase_2006,AllowanceInAllocation_2006,UnitsSurrendered_2006,CumulativeSurrenderedUnits_2006,CumulativeVerifiedEmissions_2006,SurrenderedAllowances_2006,VerifiedEmissions_2006,ComplianceCode_2006,FreeAllocations_2007,ETSPhase_2007,AllowanceInAllocation_2007,UnitsSurrendered_2007,CumulativeSurrenderedUnits_2007,CumulativeVerifiedEmissions_2007,SurrenderedAllowances_2007,VerifiedEmissions_2007,ComplianceCode_2007,FreeAllocations_2008,ETSPhase_2008,AllowanceInAllocation_2008,UnitsSurrendered_2008,CumulativeSurrenderedUnits_2008,CumulativeVerifiedEmissions_2008,SurrenderedAllowances_2008,VerifiedEmissions_2008,ComplianceCode_2008,FreeAllocations_2009,ETSPhase_2009,AllowanceInAllocation_2009,UnitsSurrendered_2009,CumulativeSurrenderedUnits_2009,CumulativeVerifiedEmissions_2009,SurrenderedAllowances_2009,VerifiedEmissions_2009,ComplianceCode_2009,FreeAllocations_2010,ETSPhase_2010,AllowanceInAllocation_2010,UnitsSurrendered_2010,CumulativeSurrenderedUnits_2010,CumulativeVerifiedEmissions_2010,SurrenderedAllowances_2010,VerifiedEmissions_2010,ComplianceCode_2010,FreeAllocations_2011,ETSPhase_2011,AllowanceInAllocation_2011,UnitsSurrendered_2011,CumulativeSurrenderedUnits_2011,CumulativeVerifiedEmissions_2011,SurrenderedAllowances_2011,VerifiedEmissions_2011,ComplianceCode_2011,FreeAllocations_2012,ETSPhase_2012,AllowanceInAllocation_2012,UnitsSurrendered_2012,CumulativeSurrenderedUnits_2012,CumulativeVerifiedEmissions_2012,SurrenderedAllowances_2012,VerifiedEmissions_2012,ComplianceCode_2012,FreeAllocations_2013,ETSPhase_2013,AllowanceInAllocation_2013,UnitsSurrendered_2013,CumulativeSurrenderedUnits_2013,CumulativeVerifiedEmissions_2013,SurrenderedAllowances_2013,VerifiedEmissions_2013,ComplianceCode_2013,FreeAllocations_2014,ETSPhase_2014,AllowanceInAllocation_2014,UnitsSurrendered_2014,CumulativeSurrenderedUnits_2014,CumulativeVerifiedEmissions_2014,SurrenderedAllowances_2014,VerifiedEmissions_2014,ComplianceCode_2014,FreeAllocations_2015,ETSPhase_2015,AllowanceInAllocation_2015,UnitsSurrendered_2015,CumulativeSurrenderedUnits_2015,CumulativeVerifiedEmissions_2015,SurrenderedAllowances_2015,VerifiedEmissions_2015,ComplianceCode_2015,FreeAllocations_2016,ETSPhase_2016,AllowanceInAllocation_2016,UnitsSurrendered_2016,CumulativeSurrenderedUnits_2016,CumulativeVerifiedEmissions_2016,SurrenderedAllowances_2016,VerifiedEmissions_2016,ComplianceCode_2016,FreeAllocations_2017,ETSPhase_2017,AllowanceInAllocation_2017,UnitsSurrendered_2017,CumulativeSurrenderedUnits_2017,CumulativeVerifiedEmissions_2017,SurrenderedAllowances_2017,VerifiedEmissions_2017,ComplianceCode_2017,FreeAllocations_2018,ETSPhase_2018,AllowanceInAllocation_2018,UnitsSurrendered_2018,CumulativeSurrenderedUnits_2018,CumulativeVerifiedEmissions_2018,SurrenderedAllowances_2018,VerifiedEmissions_2018,ComplianceCode_2018,FreeAllocations_2019,ETSPhase_2019,AllowanceInAllocation_2019,UnitsSurrendered_2019,CumulativeSurrenderedUnits_2019,CumulativeVerifiedEmissions_2019,SurrenderedAllowances_2019,VerifiedEmissions_2019,ComplianceCode_2019,FreeAllocations_2020,ETSPhase_2020,AllowanceInAllocation_2020,UnitsSurrendered_2020,CumulativeSurrenderedUnits_2020,CumulativeVerifiedEmissions_2020,SurrenderedAllowances_2020,VerifiedEmissions_2020,ComplianceCode_2020
IT-1066,1066,SICIT GROUP S.P.A,Italy ,IT,100,Holding Account,open,VI - 388405,SICIT GROUP S.P.A,"ARZIGNANO, 80",NA,CHIAMPO,36072,IT,Italy ,1,Account holder,NA,NA,NA,SICIT GROUP S.p.A. - Stabilimento di Chiampo,SICIT 2000 S.p.A.,Sicit Group S.p.A.,NA,2008,0,2009-03-27,IT-A-1565,45.32,11.18,"VIA ARZIGNANO, 80",NA,CHIAMPO,36072,IT,20,Combustion of fuels,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,515,2008-2012,515,1,1,1,1,1,A*,20888,2008-2012,20888,3073,3074,3074,1468,3073,A,20888,2008-2012,20888,4773,7847,7847,4773,4773,A,20888,2008-2012,20888,4318,12165,12165,1186,4318,A,20888,2008-2012,20888,4809,16974,16974,3242,4809,A,4030,2013-2020,4030,4438,4438,4438,4438,4438,A,3960,2013-2020,3960,5038,9476,9476,5038,5038,A,3889,2013-2020,3889,4894,14370,14370,4894,4894,A,3818,2013-2020,3818,5340,19710,19710,5340,5340,A,3745,2013-2020,3745,6149,25859,25859,6149,6149,A,3672,2013-2020,3672,6849,32708,32708,6849,6849,A,3598,2013-2020,3598,7108,39816,39816,7108,7108,A,3524,2013-2020,3524,7824,47640,47640,7824,7824,A
IT-765,765,SILSTON SPA,Italy ,IT,100,Holding Account,closed,NA,SILSTON SPA,"ROMANA, 7",NA,MONTALCINO,53024,IT,Italy ,1,Account holder,NA,NA,NA,SILSTON SPA,NA,NA,NA,2005,2007,2006-03-31,IT-A-1161,NA,NA,"ROMANA, 7",NA,MONTALCINO,53024,IT,8,"Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain",27529,2005-2007,27529,NA,0,15765,NA,15765,B*,27529,2005-2007,27529,15765,15765,15765,15765,0,A*,27529,2005-2007,27529,NA,15765,15765,NA,0,A*,NA,2008-2012,NA,NA,0,Not Calculated,NA,Not Reported,C,NA,2008-2012,NA,NA,0,Not Calculated,NA,Not Reported,C,NA,2008-2012,NA,NA,0,Not Calculated,NA,Not Reported,C,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA
IT-123,123,ARKEMA S.r.l.,Italy ,IT,100,Holding Account,open,MI 1393516,ARKEMA S.r.l.,"via Pregnana, 63",NA,RHO,20017,IT,Italy ,1,Account holder,NA,NA,NA,Stabilimento Rho,Arkema SA,Arkema s.r.l.,NA,2005,0,2006-04-13,IT-A-148,NA,NA,"via Pregnana, 63",NA,RHO,20017,IT,1,Combustion installations with a rated thermal input exceeding 20 MW,35355,2005-2007,35355,38788,38788,38788,38788,38788,A*,35355,2005-2007,35355,NA,38788,75962,NA,37174,B,35355,2005-2007,35355,73941,112729,112729,73941,36767,A*,37749,2008-2012,37749,29464,29464,29464,29464,29464,A*,37749,2008-2012,37749,27903,57367,57367,27903,27903,A,37749,2008-2012,37749,35579,92946,92946,35579,35579,A,37749,2008-2012,37749,31609,NA,NA,31609,31609,NA,37749,2008-2012,37749,33125,157680,157680,19035,33125,A,40569,2013-2020,40569,41858,41858,41858,41858,41858,A,39865,2013-2020,39865,40761,82619,82619,40761,40761,A,39152,2013-2020,39152,40903,123522,123522,40903,40903,A,38431,2013-2020,38431,42374,165896,165896,42374,42374,A,37702,2013-2020,37702,41646,207542,207542,41646,41646,A,36968,2013-2020,36968,42414,249956,249956,42414,42414,A,36224,2013-2020,36224,42700,292656,292656,42700,42700,A,35477,2013-2020,35477,42171,334827,334827,42171,42171,A
IT-450,450,Cartiera San Martino Spa,Italy ,IT,100,Holding Account,open,31215,Cartiera San Martino Spa,Via Ferrazza 15A,NA,BROCCOSTELLA - FR,03030,IT,Italy ,1,Account holder,NA,NA,NA,Cartiera San Martino,NA,NA,NA,2005,0,2006-04-13,IT-A-682,NA,NA,"via Ferrazza, 15A",NA,BROCCOSTELLA - FR,03030,IT,9,Industrial plants for the production of (a) pulp from timber or other fibrous materials (b) paper and board,9265,2005-2007,9265,NA,0,8437,NA,8437,B*,9265,2005-2007,9265,18766,18766,18766,18766,10329,A,9265,2005-2007,9265,9552,28318,28318,9552,9552,A,9182,2008-2012,9182,8503,8503,8503,8503,8503,A,9182,2008-2012,9182,6074,14577,14577,6074,6074,A,9182,2008-2012,9182,21148,35725,21148,21148,6571,A,9182,2008-2012,9182,10185,45910,27397,10185,6249,A,9182,2008-2012,9182,NA,45910,32456,NA,5059,A,7868,2013-2020,7868,4791,4791,4791,4791,4791,A,7731,2013-2020,7731,5405,10196,10196,5405,5405,A,7594,2013-2020,7594,5242,15438,15438,5242,5242,A,7453,2013-2020,7453,5542,20980,20980,5542,5542,A,7312,2013-2020,7312,6242,27222,27222,6242,6242,A,7170,2013-2020,7170,7785,35007,35007,7785,7785,A,7025,2013-2020,7025,7705,42712,42712,7705,7705,A,6880,2013-2020,6880,6335,49047,49047,6335,6335,A
IT-901,901,SINTERAMA SPA,Italy ,IT,100,Holding Account,closed,BI-174799,SINTERAMA SPA,"GRAMSCI, 5",NA,SANDIGLIANO,13876,IT,Italy ,1,Account holder,NA,NA,NA,SINTERAMA SPA,NA,NA,NA,2005,2012,2006-04-13,IT-A-1341,NA,NA,"GRAMSCI, 5",NA,SANDIGLIANO,13876,IT,20,Combustion of fuels,5057,2005-2007,5057,NA,0,5819,NA,5819,B*,5057,2005-2007,5057,12331,12331,12331,12331,6512,A*,5057,2005-2007,5057,5465,17796,17796,5465,5465,A,5401,2008-2012,5401,4188,4188,4188,4188,4188,A,5401,2008-2012,5401,3081,7269,7269,3081,3081,A,5401,2008-2012,5401,2833,10102,10102,2833,2833,A,5401,2008-2012,5401,2686,12788,12788,2686,2686,A,5401,2008-2012,5401,3078,15866,15866,3078,3078,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,NA,NA,NA,Excluded,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA
IT-708,708,ENGIE Servizi S.p.A.,Italy ,IT,100,Holding Account,open,07149930583,ENGIE Servizi S.p.A.,Viale Giorgio Ribotta n. 31,NA,Roma,00144,IT,Italy ,1,Account holder,NA,NA,NA,AZIENDA OSPEDALIERA SAN PAOLO,NA,NA,NA,2005,0,2005-01-01,IT-A-1050,NA,NA,"DI RUDINI', 8",NA,MILANO,20100,IT,20,Combustion of fuels,4246,2005-2007,4246,6198,6198,6198,6198,6198,A*,4246,2005-2007,4246,4265,10463,10463,4265,4265,A,4246,2005-2007,4246,4294,14757,14757,4294,4294,A,6095,2008-2012,6095,5556,5556,5556,5215,5556,A,10389,2008-2012,10389,7800,13356,13356,7800,7800,A,10389,2008-2012,10389,7554,20910,20910,5996,7554,A,10389,2008-2012,10389,7813,28723,28723,7813,7813,A,10389,2008-2012,10389,7519,36242,36242,7519,7519,A,4179,2013-2020,4179,5770,5770,5770,5770,5770,A,3740,2013-2020,3740,4918,10688,10688,4918,4918,A,3313,2013-2020,3313,5143,15831,15831,5143,5143,A,2898,2013-2020,2898,3873,19704,19704,3873,3873,A*,2497,2013-2020,2497,3371,23075,23075,3371,3371,A,2108,2013-2020,2108,4377,27452,27452,4377,4377,A,1732,2013-2020,1732,3760,31212,31212,3760,3760,A,1370,2013-2020,1370,3633,34845,34845,3633,3633,A
IT-766,766,SIRAM SPA,Italy ,IT,100,Holding Account,closed,08786190150,SIRAM SPA,VIA ANNA MARIA MOZZONI 12,NA,Milano,20152,IT,Italy ,1,Account holder,NA,NA,NA,VIDEOCOLOR,NA,NA,NA,2005,2006,2006-03-31,IT-A-1163,NA,NA,"Località Fratta Rotonda, 28 C",NA,ANAGNI,03012,IT,1,Combustion installations with a rated thermal input exceeding 20 MW,54299,2005-2007,54299,25142,25142,25142,25142,25142,A*,54299,2005-2007,54299,9475,34617,34617,9475,9475,A,54299,2005-2007,54299,NA,34617,34617,NA,NA,A,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,0,Not Calculated,NA,Not Reported,C,NA,2008-2012,NA,NA,0,Not Calculated,NA,Not Reported,C,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA
IT-767,767,Tristone Flowtech Italy SpA,Italy ,IT,100,Holding Account,closed,TO-1004586,Tristone Flowtech Italy SpA,Via Torino 140,NA,Ciriè (TO),10073,IT,Italy ,1,Account holder,NA,NA,NA,TRISTONE,NA,NA,NA,2005,2017,2005-01-01,IT-A-1164,NA,NA,Via Torino 140,NA,Ciriè (TO),10073,IT,20,Combustion of fuels,14290,2005-2007,14290,13911,13911,13911,13911,13911,A*,14290,2005-2007,14290,14131,28042,28042,14131,14131,A,14290,2005-2007,14290,14095,42137,42137,14095,14095,A,15247,2008-2012,15247,9190,9190,9190,8047,9190,A,15247,2008-2012,15247,6695,15885,15885,6695,6695,A,15247,2008-2012,15247,9998,25883,25883,7711,9998,A,15247,2008-2012,15247,9908,35791,35791,8764,9908,A,15247,2008-2012,15247,8449,44240,44240,8449,8449,A,8459,2013-2020,8459,8976,8976,8976,8976,8976,A,8312,2013-2020,8312,8852,17828,17828,8852,8852,A,8163,2013-2020,8163,8858,26686,26686,8858,8858,A,8013,2013-2020,8013,8861,35547,35547,8861,8861,A*,7861,2013-2020,7861,5128,40675,40675,5128,5128,A,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA
IT-769,769,CO-VER Power Technology S.p.A.,Italy ,IT,100,Holding Account,closed,02059030037,CO-VER Power Technology S.p.A.,"Via Paolo da Cannobio, 33",NA,Milano (MI),20122,IT,Italy ,1,Account holder,NA,NA,NA,MANULI FILM,NA,NA,NA,2005,2018,2005-01-01,IT-A-1166,NA,NA,"Strada consortile da Cellole a Piedimonte, 40",NA,SESSA AURUNCA,81037,IT,20,Combustion of fuels,40729,2005-2007,40729,51145,51145,51145,51145,51145,A*,40729,2005-2007,40729,56463,107608,107608,56463,56463,A,40729,2005-2007,40729,56493,164101,164101,56493,56493,A,43492,2008-2012,43492,52370,52370,52370,49108,52370,A,43492,2008-2012,43492,42069,94439,94439,42069,42069,A,43492,2008-2012,43492,44445,138884,138884,37921,44445,A,43492,2008-2012,43492,45453,184337,184337,42192,45453,A,43492,2008-2012,43492,43310,227647,227647,40655,43310,A,11513,2013-2020,11513,46668,46668,46668,46668,46668,A,10303,2013-2020,10303,46349,93017,93017,46349,46349,A,9126,2013-2020,9126,46930,139947,139947,46930,46930,A,7985,2013-2020,7985,47220,187167,187167,47220,47220,A,6878,2013-2020,6878,42710,229877,229877,42710,42710,A,5808,2013-2020,5808,34898,264775,264775,34898,34898,A,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA
IT-770,770,SIRAM SPA,Italy ,IT,100,Holding Account,closed,08786190150,SIRAM SPA,VIA ANNA MARIA MOZZONI 12,NA,Milano,20152,IT,Italy ,1,Account holder,NA,NA,NA,FILLATTICE,NA,NA,NA,2005,2010,2006-03-31,IT-A-1167,NA,NA,"Via Bergamo, 5",NA,CAPRIATE SAN GERVASIO,24042,IT,1,Combustion installations with a rated thermal input exceeding 20 MW,40075,2005-2007,40075,35010,35010,35010,35010,35010,A*,40075,2005-2007,40075,26571,61581,61581,26571,26571,A,40075,2005-2007,40075,29593,91174,91174,29593,29593,A,42708,2008-2012,42708,15060,15060,15060,15060,15060,A,NA,2008-2012,0,NA,15060,15060,NA,0,A*,NA,2008-2012,0,NA,15060,15060,NA,0,A*,NA,2008-2012,0,NA,0,0,NA,NA,A,NA,2008-2012,0,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA
