id,InstallationOrAircraftOperatorID,AccountHolderName,NationalAdministrator,NationalAdministratorCode,AccountTypeCode,AccountTypeCodeLookup,AccountStatus,CompanyRegistrationNo,ContactName,ContactAddress1,ContactAddress2,ContactCity,ContactZipCode,ContactCountryCode,ContactCountryCodeLookup,ContactRelationshipTypeCode,ContactRelationshipTypeCodeLookup,ContactTelephone1,ContactTelephone2,ContactEmailAddress,InstallationNameOrAircraftOperatorCode,ParentCompany,SubsidiaryCompany,EPRTRIdentification,FirstYearOfEmissions,LastYearOfEmissions,PermitOrPlanDate,PermitOrPlanID,Latitude,Longitude,Address1,Address2,City,ZipCode,Country,MainActivityTypeCode,MainActivityTypeCodeLookup,FreeAllocations_2005,ETSPhase_2005,AllowanceInAllocation_2005,UnitsSurrendered_2005,CumulativeSurrenderedUnits_2005,CumulativeVerifiedEmissions_2005,SurrenderedAllowances_2005,VerifiedEmissions_2005,ComplianceCode_2005,FreeAllocations_2006,ETSPhase_2006,AllowanceInAllocation_2006,UnitsSurrendered_2006,CumulativeSurrenderedUnits_2006,CumulativeVerifiedEmissions_2006,SurrenderedAllowances_2006,VerifiedEmissions_2006,ComplianceCode_2006,FreeAllocations_2007,ETSPhase_2007,AllowanceInAllocation_2007,UnitsSurrendered_2007,CumulativeSurrenderedUnits_2007,CumulativeVerifiedEmissions_2007,SurrenderedAllowances_2007,VerifiedEmissions_2007,ComplianceCode_2007,FreeAllocations_2008,ETSPhase_2008,AllowanceInAllocation_2008,UnitsSurrendered_2008,CumulativeSurrenderedUnits_2008,CumulativeVerifiedEmissions_2008,SurrenderedAllowances_2008,VerifiedEmissions_2008,ComplianceCode_2008,FreeAllocations_2009,ETSPhase_2009,AllowanceInAllocation_2009,UnitsSurrendered_2009,CumulativeSurrenderedUnits_2009,CumulativeVerifiedEmissions_2009,SurrenderedAllowances_2009,VerifiedEmissions_2009,ComplianceCode_2009,FreeAllocations_2010,ETSPhase_2010,AllowanceInAllocation_2010,UnitsSurrendered_2010,CumulativeSurrenderedUnits_2010,CumulativeVerifiedEmissions_2010,SurrenderedAllowances_2010,VerifiedEmissions_2010,ComplianceCode_2010,FreeAllocations_2011,ETSPhase_2011,AllowanceInAllocation_2011,UnitsSurrendered_2011,CumulativeSurrenderedUnits_2011,CumulativeVerifiedEmissions_2011,SurrenderedAllowances_2011,VerifiedEmissions_2011,ComplianceCode_2011,FreeAllocations_2012,ETSPhase_2012,AllowanceInAllocation_2012,UnitsSurrendered_2012,CumulativeSurrenderedUnits_2012,CumulativeVerifiedEmissions_2012,SurrenderedAllowances_2012,VerifiedEmissions_2012,ComplianceCode_2012,FreeAllocations_2013,ETSPhase_2013,AllowanceInAllocation_2013,UnitsSurrendered_2013,CumulativeSurrenderedUnits_2013,CumulativeVerifiedEmissions_2013,SurrenderedAllowances_2013,VerifiedEmissions_2013,ComplianceCode_2013,FreeAllocations_2014,ETSPhase_2014,AllowanceInAllocation_2014,UnitsSurrendered_2014,CumulativeSurrenderedUnits_2014,CumulativeVerifiedEmissions_2014,SurrenderedAllowances_2014,VerifiedEmissions_2014,ComplianceCode_2014,FreeAllocations_2015,ETSPhase_2015,AllowanceInAllocation_2015,UnitsSurrendered_2015,CumulativeSurrenderedUnits_2015,CumulativeVerifiedEmissions_2015,SurrenderedAllowances_2015,VerifiedEmissions_2015,ComplianceCode_2015,FreeAllocations_2016,ETSPhase_2016,AllowanceInAllocation_2016,UnitsSurrendered_2016,CumulativeSurrenderedUnits_2016,CumulativeVerifiedEmissions_2016,SurrenderedAllowances_2016,VerifiedEmissions_2016,ComplianceCode_2016,FreeAllocations_2017,ETSPhase_2017,AllowanceInAllocation_2017,UnitsSurrendered_2017,CumulativeSurrenderedUnits_2017,CumulativeVerifiedEmissions_2017,SurrenderedAllowances_2017,VerifiedEmissions_2017,ComplianceCode_2017,FreeAllocations_2018,ETSPhase_2018,AllowanceInAllocation_2018,UnitsSurrendered_2018,CumulativeSurrenderedUnits_2018,CumulativeVerifiedEmissions_2018,SurrenderedAllowances_2018,VerifiedEmissions_2018,ComplianceCode_2018,FreeAllocations_2019,ETSPhase_2019,AllowanceInAllocation_2019,UnitsSurrendered_2019,CumulativeSurrenderedUnits_2019,CumulativeVerifiedEmissions_2019,SurrenderedAllowances_2019,VerifiedEmissions_2019,ComplianceCode_2019,FreeAllocations_2020,ETSPhase_2020,AllowanceInAllocation_2020,UnitsSurrendered_2020,CumulativeSurrenderedUnits_2020,CumulativeVerifiedEmissions_2020,SurrenderedAllowances_2020,VerifiedEmissions_2020,ComplianceCode_2020
LT-200310,200310,"UAB ""Small Planet Airlines""",Lithuania,LT,100,Holding Account,open,300659612,"UAB ""Small Planet Airlines""",Smolensko g. 10,NA,Vilnius,LT-03201,LT,Lithuania,1,Account holder,NA,NA,NA,34582,NA,NA,NA,2012,2018,2010-01-01,LT_AVIA_0001,NA,NA,-,NA,-,-,LT,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,44503,2008-2012,44503,69007,69007,69007,58656,69007,A,12753,2013-2020,12753,NA,0,0,NA,27619,A,12753,2013-2020,12753,52174,52174,52174,52174,24555,A,12753,2013-2020,12753,55493,107667,107667,55493,55493,A,12753,2013-2020,12753,72695,180362,180362,72695,72695,A,12753,2013-2020,12753,68441,248803,248803,68441,68441,A,12753,2013-2020,12753,NA,248803,Not Calculated,NA,62452,C*,0,2013-2020,0,15963,NA,NA,15963,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA
LT-200311,200311,"UAB ""Aurela""",Lithuania,LT,100,Holding Account,open,123264654,"UAB ""Aurela""",Rodunios kelias 32,NA,Vilnius,LT-02187,LT,Lithuania,1,Account holder,NA,NA,NA,23729,NA,NA,NA,2012,0,2010-01-01,LT_AVIA_0002,NA,NA,-,NA,-,-,LT,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,11450,2008-2012,11450,3969,3969,3969,3969,3969,A*,NA,2013-2020,NA,NA,0,0,NA,NA,A,NA,2013-2020,NA,NA,0,Not Calculated,NA,Not Reported,C,NA,2013-2020,NA,NA,0,Not Calculated,NA,Not Reported,C,NA,2013-2020,NA,NA,0,Not Calculated,NA,Not Reported,C,NA,2013-2020,NA,NA,0,Not Calculated,NA,Not Reported,C,NA,2013-2020,NA,NA,0,Not Calculated,NA,Not Reported,C,NA,2013-2020,NA,NA,0,Not Calculated,NA,Not Reported,C,NA,2013-2020,NA,NA,0,Not Calculated,NA,Not Reported,C
LT-1,1,AB Akmenes cementas,Lithuania,LT,100,Holding Account,open,153009143,AB Akmenes cementas,Dalinkeviciaus g.2  LT-85118 N. Akmene,NA,Naujoji Akmene,LT-85118,LT,Lithuania,1,Account holder,NA,NA,NA,"Katilinė, cemento klinkerio gamybos krosnys",NA,NA,NA,2005,0,2005-12-02,1-T-S-1-1-2014,62.4,43.2,Dalinkeviciaus g.2  LT-85118 N.Akmene,NA,Naujoji Akmene,LT-85118,LT,29,Production of cement clinker,1330526,2005-2007,1330526,783415,783415,783415,783415,783415,A*,997895,2005-2007,997895,1064344,1847759,1847759,1064344,1064344,A,997894,2005-2007,997894,1092056,2939815,2939815,1092056,1092056,A,985617,2008-2012,985617,902179,902179,902179,902179,902179,A,985617,2008-2012,985617,585206,1487385,1487385,460206,585206,A,985617,2008-2012,985617,594096,2081481,2081481,284096,594096,A,985617,2008-2012,985617,662809,2744290,2744290,387809,662809,A,985616,2008-2012,985616,815541,3559831,3559831,540541,815541,A,648923,2013-2020,648923,955420,955420,955420,955420,955420,A,637652,2013-2020,637652,806637,1762057,1762057,806637,806637,A*,626248,2013-2020,678709,843052,2605109,2605109,843052,843052,A,614726,2013-2020,751975,741381,3346490,3346490,741381,741381,A,603079,2013-2020,737808,734960,4081450,4081450,734960,734960,A,591319,2013-2020,723529,842751,4924201,4924201,842751,842751,A,579412,2013-2020,709102,965272,5889473,5889473,965272,965272,A,567464,2013-2020,694634,875536,6765009,6765009,875536,875536,A
LT-2,2,AB Naujasis kalcitas,Lithuania,LT,100,Holding Account,open,153085326,AB Naujasis kalcitas,"J.Dalinkeviciaus 2K,  Naujoji Akmene",NA,Naujoji Akmene,LT-85118,LT,Lithuania,1,Account holder,NA,NA,NA,Kalkių gamybos krosnys,NA,NA,NA,2005,0,2005-12-30,28,41.9,62.3,J.Dalinkeviciaus 2K Naujoji Akmene,NA,Naujoji Akmene,LT-85118,LT,30,"Production of lime, or calcination of dolomite/magnesite",177582,2005-2007,177582,49289,49289,49289,49289,49289,A*,133186,2005-2007,133186,80211,129500,129500,80211,80211,A,133186,2005-2007,133186,67811,197311,197311,67811,67811,A,72938,2008-2012,72938,47275,47275,47275,35275,47275,A*,72938,2008-2012,72938,6763,54038,54038,NA,6763,A*,132506,2008-2012,132506,25164,79202,79202,NA,25164,A,102722,2008-2012,102722,51564,130766,130766,19271,51564,A*,102721,2008-2012,102721,47151,177917,177917,26607,47151,A*,46969,2013-2020,46969,35178,35178,35178,35178,35178,A,46153,2013-2020,46153,49527,84705,84705,49527,49527,A,45328,2013-2020,45328,47229,131934,131934,47229,47229,A,44494,2013-2020,44494,45637,177571,177571,45637,45637,A,43651,2013-2020,43651,25236,202807,202807,25236,25236,A,42800,2013-2020,42800,NA,202807,202807,NA,0,A,0,2013-2020,0,NA,202807,202807,NA,0,A,0,2013-2020,0,NA,202807,Not Calculated,NA,Not Reported,C
LT-3,3,UAB Svencioneliu keramika,Lithuania,LT,100,Holding Account,open,278666190,UAB Svencioneliu keramika,Augustavo k.  LT-18206 svencioneliu sen.  svencioniu r.,NA,Augustavo k.,LT-18206,LT,Lithuania,1,Account holder,NA,NA,NA,Keramikos produkcijos deginimo krosnys,NA,NA,NA,2005,0,2005-12-02,4-7-V-01-SN-27,0,0,Augustavo k.  LT-18206 svencioneliu sen.  svencioniu r.,NA,Augustavo k.,LT-18206,LT,32,Manufacture of ceramics,9857,2005-2007,9857,4567,4567,4567,4567,4567,A,7393,2005-2007,7393,2625,7192,7192,2625,2625,A,7393,2005-2007,7393,2683,9875,9875,2683,2683,A,5339,2008-2012,5339,2205,2205,2205,2205,2205,A*,5339,2008-2012,5339,1759,3964,3964,1759,1759,A*,14263,2008-2012,14263,1693,5657,5657,1693,1693,A,10601,2008-2012,10601,1706,7363,7363,1706,1706,A*,10601,2008-2012,10601,1390,8753,8753,1390,1390,A,5579,2013-2020,5579,1280,1280,1280,1280,1280,A,5482,2013-2020,5482,1177,2457,2457,1177,1177,A,5383,2013-2020,5383,592,3049,3049,592,592,A,5285,2013-2020,5285,916,3965,3965,916,916,A,5185,2013-2020,5185,NA,3965,3965,NA,0,A,249,2013-2020,249,NA,3965,Not Calculated,NA,Not Reported,C,244,2013-2020,244,NA,3965,Not Calculated,NA,Not Reported,C,0,2013-2020,0,NA,3965,Not Calculated,NA,Not Reported,C
LT-4,4,UAB Taurages keramika,Lithuania,LT,100,Holding Account,closed,179331614,UAB Taurages keramika,Gaures g. 27  LT-72343 Taurage,NA,Taurage,LT-72343,LT,Lithuania,1,Account holder,NA,NA,NA,Keramines produkcijos degimo krosnys,NA,NA,NA,2005,2013,2005-12-02,4-SK2,0,0,Gaures g. 27,NA,Taurage,LT-72343,LT,32,Manufacture of ceramics,8126,2005-2007,8126,3082,3082,3082,3082,3082,A*,6094,2005-2007,6094,1658,4740,4740,1658,1658,A*,6094,2005-2007,6094,1518,6258,6258,1518,1518,A,10908,2008-2012,10908,1357,1357,1357,1357,1357,A*,10908,2008-2012,10908,NA,1357,1357,NA,0,A,10907,2008-2012,10907,NA,1357,1357,NA,0,A,10907,2008-2012,10907,8,1365,1365,8,8,A*,10907,2008-2012,10907,NA,1365,1365,NA,0,A,5461,2013-2020,5461,NA,0,0,NA,0,A,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA
LT-5,5,UAB Jasiunu keramika,Lithuania,LT,100,Holding Account,closed,174977969,UAB Jasiunu keramika,Popierines g. 3 salcininku r.,NA,Jasiunai,LT-17250,LT,Lithuania,1,Account holder,NA,NA,NA,Keramines produkcijos degimo krosnys,NA,NA,NA,2005,2008,2005-12-02,1-SK3,0,0,Popierines g. 3 salcininku r.,NA,Jasiunai,LT-17250,LT,8,"Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain",391,2005-2007,391,166,166,166,166,166,A*,293,2005-2007,293,252,418,418,252,252,A,293,2005-2007,293,251,669,669,251,251,A,NA,2008-2012,NA,NA,0,0,NA,0,A*,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,0,Not Calculated,NA,Not Reported,C,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA
LT-6,6,UAB Roku keramika,Lithuania,LT,100,Holding Account,open,159700872,UAB Roku keramika,J.Borutos g. 23  LT-46500 Kaunas,NA,Kaunas,LT-46500,LT,Lithuania,1,Account holder,NA,NA,NA,Keraminės produkcijos deginimo krosnys,NA,NA,NA,2005,0,2005-12-02,1-57,0,0,J.Borutos g. 23  LT-46500 Kaunas,NA,Kaunas,LT-46500,LT,32,Manufacture of ceramics,8267,2005-2007,8267,NA,0,2427,NA,2427,B,11847,2005-2007,11847,4884,4884,4884,4884,2457,A*,8621,2005-2007,8621,2895,7779,7779,2895,2895,A,6076,2008-2012,6076,2111,2111,2111,2111,2111,A*,6076,2008-2012,6076,1325,3436,3436,1325,1325,A,6076,2008-2012,6076,1565,5001,5001,1565,1565,A,6076,2008-2012,6076,2238,7239,7239,2238,2238,A*,6076,2008-2012,6076,1424,8663,8663,1424,1424,A,8478,2013-2020,8478,1309,1309,1309,1309,1309,A,8331,2013-2020,8331,1796,3105,3105,1796,1796,A,8181,2013-2020,8181,701,3806,3806,701,701,A,8031,2013-2020,8031,1700,5506,5506,1700,1700,A,7879,2013-2020,7879,1910,7416,7416,1910,1910,A,7725,2013-2020,7725,1915,9331,9331,1915,1915,A,7570,2013-2020,7570,NA,9331,Not Calculated,NA,Not Reported,C,0,2013-2020,0,NA,9331,Not Calculated,NA,Not Reported,C
LT-7,7,AB Palemono keramikos gamykla,Lithuania,LT,100,Holding Account,open,304178964,AB Palemono keramikos gamykla,Pamario g. 1,NA,Kaunas,LT-52265,LT,Lithuania,1,Account holder,NA,NA,NA,"Katilas, keramikos deginimo krosnis",NA,NA,NA,2005,0,2005-12-02,1-80-T-K-4-19-2017,54.9,24,Pamario g. 1  LT-52265 Kaunas,NA,Kaunas,LT-52265,LT,32,Manufacture of ceramics,8153,2005-2007,8153,9596,9596,9596,9596,9596,A*,6114,2005-2007,6114,7226,16822,16822,7226,7226,A,6114,2005-2007,6114,9557,26379,26379,9557,9557,A*,7950,2008-2012,7950,8237,4451,4451,8237,4451,A*,7950,2008-2012,7950,976,5427,5427,976,976,A,7950,2008-2012,7950,1565,6992,6992,1565,1565,A,7950,2008-2012,7950,NA,10778,10778,NA,3786,A*,7950,2008-2012,7950,3934,14712,14712,NA,3934,A,8675,2013-2020,8675,3430,3430,3430,3430,3430,A,8440,2013-2020,8440,3124,6554,6554,3124,3124,A,8227,2013-2020,8227,3737,10291,10291,3737,3737,A,8019,2013-2020,8019,3097,13388,13388,3097,3097,A,7811,2013-2020,7811,2936,16324,16324,2936,2936,A,7604,2013-2020,7604,3558,19882,19882,3558,3558,A,7395,2013-2020,7395,3169,23051,23051,3169,3169,A,7189,2013-2020,7189,1378,24429,24429,1378,1378,A
LT-8,8,AB Dvarcioniu keramika,Lithuania,LT,100,Holding Account,closed,112021238,AB Dvarcioniu keramika,Keramiku g. 2  LT-10233 Vilnius,NA,Vilnius,LT-10233,LT,Lithuania,1,Account holder,NA,NA,NA,"Keraminės produkcijos deginimo krosnys, katilinė",NA,NA,NA,2005,2018,2005-12-02,4-7-V-01-34,60.6,58.8,Keramiku g. 2  LT-10233 Vilnius,NA,Vilnius,LT-10233,LT,32,Manufacture of ceramics,14953,2005-2007,14953,11292,11292,11292,11292,11292,A,11215,2005-2007,11215,12605,23897,23897,12605,12605,A,11215,2005-2007,11215,12795,36692,36692,12795,12795,A,11226,2008-2012,11226,15045,15045,15045,15045,15045,A,11226,2008-2012,11226,4631,19676,19676,4631,4631,A,11225,2008-2012,11225,5440,25116,25116,5440,5440,A,11225,2008-2012,11225,6204,31320,31320,6204,6204,A,11225,2008-2012,11225,5542,36862,36862,5542,5542,A,12267,2013-2020,12267,3420,3420,3420,3420,3420,A,12053,2013-2020,12053,106,3526,3526,106,106,A,11839,2013-2020,11839,51,3577,3577,51,51,A,11619,2013-2020,11619,77,3654,3654,77,77,A,11399,2013-2020,11399,NA,3654,Not Calculated,NA,53,C*,11178,2013-2020,11178,91,3745,3745,91,38,A,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA
