id,InstallationOrAircraftOperatorID,AccountHolderName,NationalAdministrator,NationalAdministratorCode,AccountTypeCode,AccountTypeCodeLookup,AccountStatus,CompanyRegistrationNo,ContactName,ContactAddress1,ContactAddress2,ContactCity,ContactZipCode,ContactCountryCode,ContactCountryCodeLookup,ContactRelationshipTypeCode,ContactRelationshipTypeCodeLookup,ContactTelephone1,ContactTelephone2,ContactEmailAddress,InstallationNameOrAircraftOperatorCode,ParentCompany,SubsidiaryCompany,EPRTRIdentification,FirstYearOfEmissions,LastYearOfEmissions,PermitOrPlanDate,PermitOrPlanID,Latitude,Longitude,Address1,Address2,City,ZipCode,Country,MainActivityTypeCode,MainActivityTypeCodeLookup,FreeAllocations_2005,ETSPhase_2005,AllowanceInAllocation_2005,UnitsSurrendered_2005,CumulativeSurrenderedUnits_2005,CumulativeVerifiedEmissions_2005,SurrenderedAllowances_2005,VerifiedEmissions_2005,ComplianceCode_2005,FreeAllocations_2006,ETSPhase_2006,AllowanceInAllocation_2006,UnitsSurrendered_2006,CumulativeSurrenderedUnits_2006,CumulativeVerifiedEmissions_2006,SurrenderedAllowances_2006,VerifiedEmissions_2006,ComplianceCode_2006,FreeAllocations_2007,ETSPhase_2007,AllowanceInAllocation_2007,UnitsSurrendered_2007,CumulativeSurrenderedUnits_2007,CumulativeVerifiedEmissions_2007,SurrenderedAllowances_2007,VerifiedEmissions_2007,ComplianceCode_2007,FreeAllocations_2008,ETSPhase_2008,AllowanceInAllocation_2008,UnitsSurrendered_2008,CumulativeSurrenderedUnits_2008,CumulativeVerifiedEmissions_2008,SurrenderedAllowances_2008,VerifiedEmissions_2008,ComplianceCode_2008,FreeAllocations_2009,ETSPhase_2009,AllowanceInAllocation_2009,UnitsSurrendered_2009,CumulativeSurrenderedUnits_2009,CumulativeVerifiedEmissions_2009,SurrenderedAllowances_2009,VerifiedEmissions_2009,ComplianceCode_2009,FreeAllocations_2010,ETSPhase_2010,AllowanceInAllocation_2010,UnitsSurrendered_2010,CumulativeSurrenderedUnits_2010,CumulativeVerifiedEmissions_2010,SurrenderedAllowances_2010,VerifiedEmissions_2010,ComplianceCode_2010,FreeAllocations_2011,ETSPhase_2011,AllowanceInAllocation_2011,UnitsSurrendered_2011,CumulativeSurrenderedUnits_2011,CumulativeVerifiedEmissions_2011,SurrenderedAllowances_2011,VerifiedEmissions_2011,ComplianceCode_2011,FreeAllocations_2012,ETSPhase_2012,AllowanceInAllocation_2012,UnitsSurrendered_2012,CumulativeSurrenderedUnits_2012,CumulativeVerifiedEmissions_2012,SurrenderedAllowances_2012,VerifiedEmissions_2012,ComplianceCode_2012,FreeAllocations_2013,ETSPhase_2013,AllowanceInAllocation_2013,UnitsSurrendered_2013,CumulativeSurrenderedUnits_2013,CumulativeVerifiedEmissions_2013,SurrenderedAllowances_2013,VerifiedEmissions_2013,ComplianceCode_2013,FreeAllocations_2014,ETSPhase_2014,AllowanceInAllocation_2014,UnitsSurrendered_2014,CumulativeSurrenderedUnits_2014,CumulativeVerifiedEmissions_2014,SurrenderedAllowances_2014,VerifiedEmissions_2014,ComplianceCode_2014,FreeAllocations_2015,ETSPhase_2015,AllowanceInAllocation_2015,UnitsSurrendered_2015,CumulativeSurrenderedUnits_2015,CumulativeVerifiedEmissions_2015,SurrenderedAllowances_2015,VerifiedEmissions_2015,ComplianceCode_2015,FreeAllocations_2016,ETSPhase_2016,AllowanceInAllocation_2016,UnitsSurrendered_2016,CumulativeSurrenderedUnits_2016,CumulativeVerifiedEmissions_2016,SurrenderedAllowances_2016,VerifiedEmissions_2016,ComplianceCode_2016,FreeAllocations_2017,ETSPhase_2017,AllowanceInAllocation_2017,UnitsSurrendered_2017,CumulativeSurrenderedUnits_2017,CumulativeVerifiedEmissions_2017,SurrenderedAllowances_2017,VerifiedEmissions_2017,ComplianceCode_2017,FreeAllocations_2018,ETSPhase_2018,AllowanceInAllocation_2018,UnitsSurrendered_2018,CumulativeSurrenderedUnits_2018,CumulativeVerifiedEmissions_2018,SurrenderedAllowances_2018,VerifiedEmissions_2018,ComplianceCode_2018,FreeAllocations_2019,ETSPhase_2019,AllowanceInAllocation_2019,UnitsSurrendered_2019,CumulativeSurrenderedUnits_2019,CumulativeVerifiedEmissions_2019,SurrenderedAllowances_2019,VerifiedEmissions_2019,ComplianceCode_2019,FreeAllocations_2020,ETSPhase_2020,AllowanceInAllocation_2020,UnitsSurrendered_2020,CumulativeSurrenderedUnits_2020,CumulativeVerifiedEmissions_2020,SurrenderedAllowances_2020,VerifiedEmissions_2020,ComplianceCode_2020,FreeAllocations_2021,ETSPhase_2021,AllowanceInAllocation_2021,UnitsSurrendered_2021,CumulativeSurrenderedUnits_2021,CumulativeVerifiedEmissions_2021,SurrenderedAllowances_2021,VerifiedEmissions_2021,ComplianceCode_2021,FreeAllocations_2022,ETSPhase_2022,AllowanceInAllocation_2022,UnitsSurrendered_2022,CumulativeSurrenderedUnits_2022,CumulativeVerifiedEmissions_2022,SurrenderedAllowances_2022,VerifiedEmissions_2022,ComplianceCode_2022
LV-200040,200040,Smartlynx Airlines,Latvia,LV,100,Holding Account,open,40003056133,Smartlynx Airlines,"""Mazrūdas""",NA,Mazrūdas,LV-2167,LV,Latvia,1,Account holder,NA,NA,NA,21470,NA,NA,NA,2012,0,2010-01-01,ART,NA,NA,-,NA,-,-,LV,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,23284,2008-2012,23284,19972,19972,19972,16976,19972,A,9162,2013-2020,9162,NA,0,0,NA,11846,A*,9162,2013-2020,9162,22659,22659,22659,22659,10813,A*,9162,2013-2020,9162,10913,33572,33572,10913,10913,A,9162,2013-2020,9162,17841,51413,51413,17841,17841,A,9162,2013-2020,9162,2707,54120,54120,2707,2707,A,9162,2013-2020,9162,1501,55621,55621,1501,1501,A*,9162,2013-2020,9162,1326,56947,56947,1326,1326,A*,0,2013-2020,0,NA,56947,56947,NA,NA,A,9005,2021-2030,9005,NA,0,29246,NA,29246,B*,8803,2021-2030,8803,29467,29246,Not Calculated,29467,32130,C
LV-200081,200081,"A/S ""AirBaltic Corporation""",Latvia,LV,100,Holding Account,open,40003245752,"A/S ""AirBaltic Corporation""",Lidosta Rīga,NA,Mārupes nov.,LV1053,LV,Latvia,1,Account holder,NA,NA,NA,23085,NA,NA,NA,2012,0,2010-01-01,report TKM_COM_en_110609,NA,NA,-,NA,-,-,LV,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,0,NA,NA,2008-2012,NA,NA,NA,NA,NA,0,NA,288236,2008-2012,288236,286527,286527,286527,243548,286527,A,189706,2013-2020,189706,NA,0,0,NA,272063,A,189706,2013-2020,189706,537629,537629,537629,537629,265566,A,189706,2013-2020,189706,285839,823468,823468,285839,285839,A*,189706,2013-2020,189706,285529,1108997,1108997,285529,285529,A,189706,2013-2020,189706,321002,1429999,1429999,321002,321002,A,189706,2013-2020,189706,365183,1795182,1795182,365183,365183,A,189706,2013-2020,189706,415031,2210213,2210213,415031,415031,A*,192796,2013-2020,192796,167073,2375028,2375028,160964,164815,A,181349,2021-2030,181349,203575,201389,201389,201389,201389,A,177270,2021-2030,177270,356971,555085,555085,353696,353696,A
LV-1,1,A/S “Olaines udens un siltums”,Latvia,LV,100,Holding Account,open,50003182001,A/S “Olaines udens un siltums”,Kudras iela 27,Kudras iela 27,Olaine,LV-2114,LV,Latvia,1,Account holder,NA,NA,NA,Installation 1,"A/S ""Olaines udens un siltums""",NA,850707,2005,0,2007-12-21,LV-RIT-20-II-SEG-16,NA,NA,Jelgavas iela 4,Jelgavas iela 4,Olaine,LV-2114,LV,1,Combustion installations with a rated thermal input exceeding 20 MW,38309,2005-2007,38309,13994,13994,13994,13994,13994,A*,37565,2005-2007,37565,13842,27836,27836,13842,13842,A,36849,2005-2007,36849,13428,41264,41264,13428,13428,A,16259,2008-2012,16259,12806,12806,12806,12806,12806,A,16259,2008-2012,16259,12929,25735,25735,12929,12929,A,16259,2008-2012,16259,13846,39581,39581,11339,13846,A,16259,2008-2012,16259,12273,51854,51854,12273,12273,A,16259,2008-2012,16259,8031,59885,59885,8031,8031,A,10467,2013-2020,10467,7327,7327,7327,7327,7327,A,9367,2013-2020,9367,5792,13119,13119,5792,5792,A*,4149,2013-2020,4149,3156,16275,16275,3156,3156,A*,3630,2013-2020,3630,4128,20403,20403,4128,4128,A,3127,2013-2020,3127,3869,24272,24272,3869,3869,A*,2640,2013-2020,2640,4562,28834,28834,4562,4562,A,2170,2013-2020,2170,3570,32404,32404,3570,3570,A*,1717,2013-2020,1717,2869,35273,35273,2869,2869,A,785,2021-2030,785,6490,6490,6490,6490,6490,A,1057,2021-2030,1057,8808,15298,15298,8808,8808,A*
LV-2,2,Pasvaldibas SIA „Ventspils siltums”,Latvia,LV,100,Holding Account,open,40003007655,Pasvaldibas SIA „Ventspils siltums”,Brivibas iela 38,Brivibas iela 38,Ventspils,LV-3601,LV,Latvia,1,Account holder,NA,NA,NA,Installation 2,NA,NA,44010,2005,0,2007-12-27,LV-VE-10-SEG-0002,NA,NA,Brivibas iela 38,Brivibas iela 38,Ventspils,LV-3600,LV,1,Combustion installations with a rated thermal input exceeding 20 MW,56836,2005-2007,56836,37592,37592,37592,37592,37592,A*,55732,2005-2007,55732,29446,67038,67038,29446,29446,A,54671,2005-2007,54671,24189,91227,91227,24189,24189,A,39735,2008-2012,39735,22443,22443,22443,22443,22443,A,39735,2008-2012,39735,23050,45493,45493,23050,23050,A,39735,2008-2012,39735,26851,72344,72344,26851,26851,A,39735,2008-2012,39735,23635,95979,95979,23635,23635,A,39735,2008-2012,39735,21034,117013,117013,1166,21034,A,19411,2013-2020,19411,6076,6076,6076,6076,6076,A,17371,2013-2020,17371,324,6400,6400,324,324,A*,15386,2013-2020,15386,21,6421,6421,21,21,A*,13462,2013-2020,13462,180,6601,6601,180,180,A,11597,2013-2020,11597,67,6668,6668,67,67,A*,9792,2013-2020,9792,89,6757,6757,89,89,A*,8046,2013-2020,8046,149,6906,6906,149,149,A*,6365,2013-2020,6365,43,6949,6949,43,43,A,5653,2021-2030,5653,37,37,37,37,37,A*,5653,2021-2030,5653,198,235,235,198,198,A*
LV-3,3,Pasvaldibas SIA “Ventspils siltums”,Latvia,LV,100,Holding Account,open,40003007655,Pasvaldibas SIA “Ventspils siltums”,Talsu iela 69,NA,Ventspils,LV-3602,LV,Latvia,1,Account holder,NA,NA,NA,Installation 3,NA,NA,44315,2005,0,2007-12-27,LV-VE-10-SEG-0001,NA,NA,Talsu iela 69,Talsu iela 69,Ventspils,LV-3602,LV,1,Combustion installations with a rated thermal input exceeding 20 MW,62965,2005-2007,62965,41165,41165,41165,41165,41165,A*,61767,2005-2007,61767,41178,82343,82343,41178,41178,A,60615,2005-2007,60615,46106,128449,128449,46106,46106,A,46247,2008-2012,46247,40655,40655,40655,40655,40655,A,46247,2008-2012,46247,48676,89331,89331,48676,48676,A,46247,2008-2012,46247,53505,142836,142836,53505,53505,A,46247,2008-2012,46247,46652,189488,189488,46652,46652,A,46247,2008-2012,46247,49252,238740,238740,29385,49252,A,22995,2013-2020,22995,48126,48126,48126,48126,48126,A,18680,2013-2020,18680,16631,64757,64757,16631,16631,A*,16441,2013-2020,16441,9950,74707,74707,9950,9950,A*,14390,2013-2020,14390,15370,90077,90077,15370,15370,A,12404,2013-2020,12404,8897,98974,98974,8897,8897,A*,10482,2013-2020,10482,9429,108403,108403,9429,9429,A*,8623,2013-2020,8623,9977,118380,118380,9977,9977,A*,6830,2013-2020,6830,3128,121508,121508,3128,3128,A,4024,2021-2030,4024,6234,6234,6234,6234,6234,A*,3474,2021-2030,3474,2569,8803,8803,2569,2569,A*
LV-4,4,A/S “Jelgavas cukurfabrika”,Latvia,LV,100,Holding Account,closed,LV40003017988,A/S “Jelgavas cukurfabrika”,Cukura iela 22,Cukura iela 22,Jelgava,LV-3002,LV,Latvia,1,Account holder,NA,NA,NA,Installation 4,NA,NA,310361,2005,2008,2008-12-10,LV-JET-SEG-II-02,NA,NA,Cukura iela 22,Cukura iela 22,Jelgava,LV-3002,LV,1,Combustion installations with a rated thermal input exceeding 20 MW,49337,2005-2007,49337,40331,40331,40331,40331,40331,A*,48486,2005-2007,48486,38051,78382,78382,38051,38051,A,47666,2005-2007,47666,15004,93386,93386,15004,15004,A,12381,2008-2012,12381,7501,7501,7501,7501,7501,A,0,2008-2012,0,NA,NA,NA,NA,NA,NA,0,2008-2012,0,NA,0,Not Calculated,NA,Not Reported,C,0,2008-2012,0,NA,NA,NA,NA,NA,NA,0,2008-2012,0,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA
LV-5,5,A/S “Liepajas cukurfabrika”,Latvia,LV,100,Holding Account,closed,NA,A/S “Liepajas cukurfabrika”,Grizupes iela 2,Grizupes iela 2,Liepaja,LV-3402,LV,Latvia,1,Account holder,NA,NA,NA,Installation 5,NA,NA,310362,2005,2008,2005-11-30,LV-LI-4,NA,NA,Grîzupes iela 2,Grîzupes iela 2,Liepâja,LV-3402,LV,1,Combustion installations with a rated thermal input exceeding 20 MW,23613,2005-2007,23613,14218,14218,14218,14218,14218,A*,23613,2005-2007,23613,14841,29059,29059,14841,14841,A,23613,2005-2007,23613,478,29537,29537,478,478,A,NA,2008-2012,NA,NA,0,0,NA,0,A,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,0,Not Calculated,NA,Not Reported,C,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA
LV-6,6,AS “Latvenergo” TEC-1,Latvia,LV,100,Holding Account,open,40003032949,AS “Latvenergo” TEC-1,Pulkveža Brieža 12,Latvija,Riga,LV-1230,LV,Latvia,1,Account holder,NA,NA,NA,Installation 6,"A/S ""Latvenergo""",NA,310001,2005,0,2007-11-16,LV-RIT-R-II-SEG-06,NA,NA,Viskalu iela 16,Viskalu iela 16,Riga,LV-1026,LV,1,Combustion installations with a rated thermal input exceeding 20 MW,368920,2005-2007,368920,381589,381589,381589,381589,381589,A*,363417,2005-2007,363417,416338,797927,797927,416338,416338,A,358123,2005-2007,358123,385897,1183824,1183824,385897,385897,A,444782,2008-2012,444782,329379,329379,329379,296072,329379,A,444782,2008-2012,444782,313535,642914,642914,221238,313535,A,444782,2008-2012,444782,350007,992921,992921,309076,350007,A,444782,2008-2012,444782,320300,1313221,1313221,320300,320300,A*,444782,2008-2012,444782,282200,1595421,1595421,226344,282200,A,190072,2013-2020,190072,257817,257817,257817,257817,257817,A,170096,2013-2020,170096,311139,568956,568956,311139,311139,A,150687,2013-2020,150687,310824,879780,879780,310824,310824,A*,131892,2013-2020,131892,373172,1252952,1252952,373172,373172,A,113688,2013-2020,113688,386100,1639052,1639052,386100,386100,A,96074,2013-2020,96074,376424,2015476,2015476,376424,376424,A,79029,2013-2020,79029,320882,2336358,2336358,320882,320882,A,62595,2013-2020,62595,235299,2571657,2571657,235299,235299,A,35245,2021-2030,35245,227341,227341,227341,227341,227341,A,31658,2021-2030,31658,165651,392992,392992,165651,165651,A
LV-7,7,AS „Latvenergo” TEC-2,Latvia,LV,100,Holding Account,open,40003032949,AS „Latvenergo” TEC-2,Pulkveþa Brieža 12,Latvija,Riga,LV-1230,LV,Latvia,1,Account holder,NA,NA,NA,Installation 7,"A/S ""Latvenergo""",NA,310017,2005,0,2007-11-16,LV-RIT-R-II-SEG-07,NA,NA,P/n Acone,P/n Acone,Salaspils novads,LV-2119,LV,1,Combustion installations with a rated thermal input exceeding 20 MW,986878,2005-2007,986878,619389,619389,619389,619389,619389,A*,973696,2005-2007,973696,629723,1249112,1249112,629723,629723,A,961017,2005-2007,961017,567193,1816305,1816305,567193,567193,A,735907,2008-2012,735907,638231,638231,638231,588267,638231,A,956593,2008-2012,956593,584766,1222997,1222997,390334,584766,A,956593,2008-2012,956593,857410,2080407,2080407,771910,857410,A,956593,2008-2012,956593,813039,2893446,2893446,813039,813039,A*,956593,2008-2012,956593,615640,3509086,3509086,489308,615640,A,312793,2013-2020,312793,817575,817575,817575,817575,817575,A,272682,2013-2020,272682,627206,1444781,1444781,627206,627206,A,241568,2013-2020,241568,742877,2187658,2187658,742877,742877,A*,211438,2013-2020,211438,739510,2927168,2927168,739510,739510,A,182254,2013-2020,182254,469329,3396497,3396497,469329,469329,A,154017,2013-2020,154017,836698,4233195,4233195,836698,836698,A,126692,2013-2020,126692,897677,5130872,5130872,897677,897677,A,50174,2013-2020,50174,595971,5726843,5726843,595971,595971,A,32056,2021-2030,32056,675287,675287,675287,675287,675287,A,38115,2021-2030,38115,487953,1163240,1163240,487953,487953,A
LV-8,8,SIA „Gren Jelgava”,Latvia,LV,100,Holding Account,open,50003549231,SIA „Gren Jelgava”,Pasta 47,Marupes pagasts,Jelgava,LV- 3001,LV,Latvia,1,Account holder,NA,NA,NA,Installation 8,"SIA ""Fortum Jelgava""",NA,56967,2005,0,2007-12-14,LV-JET-SEG-II-04,NA,NA,Gan?bu iela 71,Gan?bu iela 71,Jelgava,LV- 3007,LV,1,Combustion installations with a rated thermal input exceeding 20 MW,53044,2005-2007,53044,27740,27740,27740,27740,27740,A*,52014,2005-2007,52014,28822,56562,56562,28822,28822,A,51023,2005-2007,51023,26886,83448,83448,26886,26886,A,29309,2008-2012,29309,25635,25635,25635,25635,25635,A,29309,2008-2012,29309,25083,50718,50718,25083,25083,A,29309,2008-2012,29309,30678,81396,81396,30678,30678,A,29309,2008-2012,29309,25354,106750,106750,25354,25354,A,29309,2008-2012,29309,27217,133967,133967,12567,27217,A,26658,2013-2020,26658,17983,17983,17983,17983,17983,A,23858,2013-2020,23858,973,18956,18956,973,973,A,0,2013-2020,0,471,19427,19427,471,471,A*,0,2013-2020,0,732,20159,20159,732,732,A,0,2013-2020,0,966,21125,21125,966,966,A,0,2013-2020,0,1706,22831,22831,1706,1706,A,0,2013-2020,0,587,23418,23418,587,587,A,0,2013-2020,0,195,23613,23613,195,195,A,97,2021-2030,97,231,231,231,231,231,A,97,2021-2030,97,1,232,232,1,1,A*
