id,InstallationOrAircraftOperatorID,AccountHolderName,NationalAdministrator,NationalAdministratorCode,AccountTypeCode,AccountTypeCodeLookup,AccountStatus,CompanyRegistrationNo,ContactName,ContactAddress1,ContactAddress2,ContactCity,ContactZipCode,ContactCountryCode,ContactCountryCodeLookup,ContactRelationshipTypeCode,ContactRelationshipTypeCodeLookup,ContactTelephone1,ContactTelephone2,ContactEmailAddress,InstallationNameOrAircraftOperatorCode,ParentCompany,SubsidiaryCompany,EPRTRIdentification,FirstYearOfEmissions,LastYearOfEmissions,PermitOrPlanDate,PermitOrPlanID,Latitude,Longitude,Address1,Address2,City,ZipCode,Country,MainActivityTypeCode,MainActivityTypeCodeLookup,FreeAllocations_2005,ETSPhase_2005,AllowanceInAllocation_2005,UnitsSurrendered_2005,CumulativeSurrenderedUnits_2005,CumulativeVerifiedEmissions_2005,SurrenderedAllowances_2005,VerifiedEmissions_2005,ComplianceCode_2005,FreeAllocations_2006,ETSPhase_2006,AllowanceInAllocation_2006,UnitsSurrendered_2006,CumulativeSurrenderedUnits_2006,CumulativeVerifiedEmissions_2006,SurrenderedAllowances_2006,VerifiedEmissions_2006,ComplianceCode_2006,FreeAllocations_2007,ETSPhase_2007,AllowanceInAllocation_2007,UnitsSurrendered_2007,CumulativeSurrenderedUnits_2007,CumulativeVerifiedEmissions_2007,SurrenderedAllowances_2007,VerifiedEmissions_2007,ComplianceCode_2007,FreeAllocations_2008,ETSPhase_2008,AllowanceInAllocation_2008,UnitsSurrendered_2008,CumulativeSurrenderedUnits_2008,CumulativeVerifiedEmissions_2008,SurrenderedAllowances_2008,VerifiedEmissions_2008,ComplianceCode_2008,FreeAllocations_2009,ETSPhase_2009,AllowanceInAllocation_2009,UnitsSurrendered_2009,CumulativeSurrenderedUnits_2009,CumulativeVerifiedEmissions_2009,SurrenderedAllowances_2009,VerifiedEmissions_2009,ComplianceCode_2009,FreeAllocations_2010,ETSPhase_2010,AllowanceInAllocation_2010,UnitsSurrendered_2010,CumulativeSurrenderedUnits_2010,CumulativeVerifiedEmissions_2010,SurrenderedAllowances_2010,VerifiedEmissions_2010,ComplianceCode_2010,FreeAllocations_2011,ETSPhase_2011,AllowanceInAllocation_2011,UnitsSurrendered_2011,CumulativeSurrenderedUnits_2011,CumulativeVerifiedEmissions_2011,SurrenderedAllowances_2011,VerifiedEmissions_2011,ComplianceCode_2011,FreeAllocations_2012,ETSPhase_2012,AllowanceInAllocation_2012,UnitsSurrendered_2012,CumulativeSurrenderedUnits_2012,CumulativeVerifiedEmissions_2012,SurrenderedAllowances_2012,VerifiedEmissions_2012,ComplianceCode_2012,FreeAllocations_2013,ETSPhase_2013,AllowanceInAllocation_2013,UnitsSurrendered_2013,CumulativeSurrenderedUnits_2013,CumulativeVerifiedEmissions_2013,SurrenderedAllowances_2013,VerifiedEmissions_2013,ComplianceCode_2013,FreeAllocations_2014,ETSPhase_2014,AllowanceInAllocation_2014,UnitsSurrendered_2014,CumulativeSurrenderedUnits_2014,CumulativeVerifiedEmissions_2014,SurrenderedAllowances_2014,VerifiedEmissions_2014,ComplianceCode_2014,FreeAllocations_2015,ETSPhase_2015,AllowanceInAllocation_2015,UnitsSurrendered_2015,CumulativeSurrenderedUnits_2015,CumulativeVerifiedEmissions_2015,SurrenderedAllowances_2015,VerifiedEmissions_2015,ComplianceCode_2015,FreeAllocations_2016,ETSPhase_2016,AllowanceInAllocation_2016,UnitsSurrendered_2016,CumulativeSurrenderedUnits_2016,CumulativeVerifiedEmissions_2016,SurrenderedAllowances_2016,VerifiedEmissions_2016,ComplianceCode_2016,FreeAllocations_2017,ETSPhase_2017,AllowanceInAllocation_2017,UnitsSurrendered_2017,CumulativeSurrenderedUnits_2017,CumulativeVerifiedEmissions_2017,SurrenderedAllowances_2017,VerifiedEmissions_2017,ComplianceCode_2017,FreeAllocations_2018,ETSPhase_2018,AllowanceInAllocation_2018,UnitsSurrendered_2018,CumulativeSurrenderedUnits_2018,CumulativeVerifiedEmissions_2018,SurrenderedAllowances_2018,VerifiedEmissions_2018,ComplianceCode_2018,FreeAllocations_2019,ETSPhase_2019,AllowanceInAllocation_2019,UnitsSurrendered_2019,CumulativeSurrenderedUnits_2019,CumulativeVerifiedEmissions_2019,SurrenderedAllowances_2019,VerifiedEmissions_2019,ComplianceCode_2019,FreeAllocations_2020,ETSPhase_2020,AllowanceInAllocation_2020,UnitsSurrendered_2020,CumulativeSurrenderedUnits_2020,CumulativeVerifiedEmissions_2020,SurrenderedAllowances_2020,VerifiedEmissions_2020,ComplianceCode_2020
MT-200282,200282,Air Malta plc,Malta,MT,100,Holding Account,open,C2685,Air Malta plc,"SkyParks Business Centre, Level 2",Malta International Airport,Luqa,LQA4000,MT,Malta,1,Account holder,NA,NA,NA,256,NA,NA,NA,2012,0,2010-01-01,MP P3 AEm_030812_Airmalta_V3_20130725 MRA APPROVED,NA,NA,-,NA,-,-,MT,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,211617,2008-2012,211617,225354,225354,225354,197069,225354,A,177402,2013-2020,177402,NA,0,0,NA,215818,A*,177402,2013-2020,177402,434042,434042,434042,434042,218224,A*,177402,2013-2020,177402,224609,658651,658651,224609,224609,A,177402,2013-2020,177402,203627,862278,862278,203627,203627,A,177402,2013-2020,177402,201478,1063756,1063756,201478,201478,A,177402,2013-2020,177402,238429,1302185,1302185,238429,238429,A,177402,2013-2020,177402,240883,1543068,1543068,240883,240883,A,181862,2013-2020,181862,82965,1623641,1623641,78318,80573,A
MT-220000000000001,220000000000001,Enemalta plc,Malta,MT,100,Holding Account,open,C65836,Enemalta plc,Central Administration Building,Church Warf,Marsa,MRS 1000,MT,Malta,1,Account holder,NA,NA,NA,Marsa Power Station,Enemalta Corporation,NA,PS1,2005,0,2007-06-26,MT-1,NA,NA,Church Wharf,NA,Marsa,MRS 1000,MT,1,Combustion installations with a rated thermal input exceeding 20 MW,NA,2005-2007,NA,NA,NA,NA,NA,1159927,NA,NA,2005-2007,NA,NA,NA,NA,NA,1175288,NA,NA,2005-2007,NA,3548675,NA,NA,3548675,1213460,NA,1100256,2008-2012,1100256,2013087,NA,NA,NA,1043935,NA,1095617,2008-2012,1095617,961727,2005662,2005662,NA,961727,A*,1090977,2008-2012,1090977,NA,2974814,2974814,NA,969152,A*,1086338,2008-2012,1086338,1015594,3990408,3990408,NA,1015594,A,1081699,2008-2012,1081699,992291,4982699,4982699,446803,992291,A,NA,2013-2020,NA,439786,439786,439786,439786,439786,A*,NA,2013-2020,NA,389648,829434,829434,389648,389648,A,NA,2013-2020,NA,48657,878091,878091,48657,48657,A,NA,2013-2020,NA,151,878242,878242,151,151,A,NA,2013-2020,NA,671,878913,878913,671,671,A,NA,2013-2020,NA,220,879133,879133,220,220,A,NA,2013-2020,NA,2315,881448,881448,2315,2315,A,NA,2013-2020,NA,5057,886505,886505,5057,5057,A
MT-220000000000002,220000000000002,Enemalta plc,Malta,MT,100,Holding Account,open,C65836,Enemalta plc,Central Administration Building,Church Warf,Marsa,MRS 1000,MT,Malta,1,Account holder,NA,NA,NA,Delimara Power Station,Enemalta Corporation,NA,PS2,2005,0,2007-06-26,MT-2,NA,NA,Delimara,NA,Delimara,ZTN 09,MT,1,Combustion installations with a rated thermal input exceeding 20 MW,NA,2005-2007,NA,NA,NA,NA,NA,811331,NA,NA,2005-2007,NA,NA,NA,NA,NA,810477,NA,NA,2005-2007,NA,2435712,NA,NA,2435712,813904,NA,1007581,2008-2012,1007581,1883805,NA,NA,NA,974650,NA,1025836,2008-2012,1025836,935386,1910036,1910036,NA,935386,A*,1068383,2008-2012,1068383,NA,2819191,2819191,NA,909155,A*,1081667,2008-2012,1081667,915972,3735163,3735163,NA,915972,A,1076951,2008-2012,1076951,1060139,4795302,4795302,534098,1060139,A,NA,2013-2020,NA,1257518,1257518,1257518,1257518,1257518,A*,NA,2013-2020,NA,1269470,2526988,2526988,1269470,1269470,A,NA,2013-2020,NA,840957,3367945,3367945,840957,840957,A,NA,2013-2020,NA,579388,3947333,3947333,579388,579388,A,NA,2013-2020,NA,168884,4116217,4116217,168884,168884,A,NA,2013-2020,NA,13899,4130116,4130116,13899,13899,A,NA,2013-2020,NA,23599,4153715,4153715,23599,23599,A,NA,2013-2020,NA,64703,4218418,4218418,64703,64703,A
MT-201595,201595,Comlux Malta Ltd.,Malta,MT,100,Holding Account,open,C43524,Comlux Malta Ltd.,Villa Margherita,Ta Xbiex Terrace,Ta Xbiex,XBX1035,MT,Malta,1,Account holder,NA,NA,NA,34461,NA,NA,NA,2012,0,2010-01-01,MP P3 AEm_030812_Comlux_V2_20130725 MRA APPROVED,NA,NA,-,NA,-,-,MT,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,713,2008-2012,713,2465,2465,2465,2096,2465,A*,65,2013-2020,65,NA,0,0,NA,Excluded,A,65,2013-2020,65,NA,0,0,NA,Excluded,A,65,2013-2020,65,NA,0,0,NA,Excluded,A,65,2013-2020,65,NA,0,0,NA,Excluded,A,65,2013-2020,65,NA,0,0,NA,Excluded,A,65,2013-2020,65,NA,0,0,NA,Excluded,A,65,2013-2020,65,NA,0,0,NA,Excluded,A,72,2013-2020,72,NA,0,Not Calculated,NA,Excluded,-
MT-201833,201833,Turner Enterprises Inc.,Malta,MT,100,Holding Account,open,J604264,Turner Enterprises Inc.,133 Lucky Str. NW,NA,Atlanta,30303,US,United States,1,Account holder,NA,NA,NA,f10459,NA,NA,NA,2012,0,2012-01-01,MP P3 AEM_MT_en_030812_f10459 TEI V02 240812,NA,NA,-,NA,-,-,MT,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,0,Not Calculated,NA,0,C*,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,Not Calculated,NA,Excluded,-
MT-203398,203398,Vesting Participaçöes Ltda.,Malta,MT,100,Holding Account,open,05.043.746/0001-04,Vesting Participaçöes Ltda.,"Rua de Rócio, 351",cj. 22 sala 1 Villa Olimpia,Säo Paulo,04552-000,BR,Brazil,1,Account holder,NA,NA,NA,38457,NA,NA,NA,2012,0,2012-01-01,Vesting-38457-Phase2-MRA APPROVED20130401,NA,NA,-,NA,-,-,MT,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,0,7,NA,7,B*,NA,2013-2020,NA,7,7,0,7,Excluded,A,NA,2013-2020,NA,NA,7,0,NA,Excluded,A,NA,2013-2020,NA,NA,7,0,NA,Excluded,A,NA,2013-2020,NA,NA,7,0,NA,Excluded,A,NA,2013-2020,NA,NA,7,0,NA,Excluded,A,NA,2013-2020,NA,NA,7,0,NA,Excluded,A,NA,2013-2020,NA,NA,7,0,NA,Excluded,A,NA,2013-2020,NA,NA,7,Not Calculated,NA,Excluded,-
MT-206954,206954,Vista Jet Ltd,Malta,MT,100,Holding Account,open,C55231,Vista Jet Ltd,Skyparks Business Centre,Malta International Airport,Luqa,LQA4000,MT,Malta,1,Account holder,NA,NA,NA,38482,NA,NA,NA,2013,0,2013-01-01,MP P3 Aircraft-MT_en_030812_Vistajet Malta_V1,NA,NA,-,NA,-,-,MT,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,2162,NA,NA,2013-2020,NA,7836,7836,7836,7836,5674,A*,NA,2013-2020,NA,20748,28584,28584,20748,20748,A,NA,2013-2020,NA,31772,60356,60356,31772,31772,A,0,2013-2020,222,35370,95726,95726,35370,35370,A*,0,2013-2020,222,42224,137950,137950,42224,42224,A,0,2013-2020,222,49082,187032,187032,49082,49082,A,0,2013-2020,222,38325,221763,221763,38227,34731,A
MT-207743,207743,Hyperion Aviation Ltd,Malta,MT,100,Holding Account,open,C52923,Hyperion Aviation Ltd,Skyparks Buisiness Centre,Malta International Airport,Luqa,LQA 4000,MT,Malta,1,Account holder,NA,NA,NA,38311,NA,NA,NA,2013,0,2015-01-01,MT_en_030812_Hyperion_V1_20151221_MRA APPROVED,NA,NA,-,NA,-,-,MT,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,1816,NA,NA,2013-2020,NA,NA,NA,NA,NA,2252,NA,NA,2013-2020,NA,NA,0,Not Calculated,NA,Excluded,C,NA,2013-2020,NA,NA,0,Not Calculated,NA,Excluded,C,NA,2013-2020,NA,NA,0,Not Calculated,NA,Excluded,C,NA,2013-2020,NA,4068,4068,4068,4068,Excluded,A,NA,2013-2020,NA,NA,4068,4068,NA,Excluded,A,NA,2013-2020,NA,NA,4068,Not Calculated,NA,Not Reported,C
MT-209863,209863,ElectroGas Malta,Malta,MT,100,Holding Account,open,C60775,ElectroGas Malta,"Block D, Ta' Monita Residence",Pjazza off St. Joseph Street,Marsaskala,MSK 1050,MT,Malta,1,Account holder,NA,NA,NA,Electrogas Malta,NA,NA,NA,2017,0,2017-03-20,MT-3,NA,NA,"Block D, Ta' Monita Residence",Pjazza off St. Joseph Street,Marsaskala,MSK 1050,MT,20,Combustion of fuels,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,391529,391529,391529,391529,391529,A*,NA,2013-2020,NA,504298,895827,895827,504298,504298,A,NA,2013-2020,NA,543885,1439712,1439712,543885,543885,A,NA,2013-2020,NA,461767,1901479,1901479,461767,461767,A
MT-210092,210092,D3 Power Generation Ltd.,Malta,MT,100,Holding Account,open,C66510,D3 Power Generation Ltd.,Enemalta Building,Triq Belt il-Hazna,Marsa,MRS 1571,MT,Malta,1,Account holder,NA,NA,NA,D3 Power Plant,Shangai Electric Power (Malta) Holding Limited,NA,1.(c),2017,0,2018-01-12,MT-4,35.8,14.5,"D3 Power Plant, Delimara Power Station",Power Station Road,Marsaxlokk,MXK 1220,MT,20,Combustion of fuels,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,162913,162913,162913,162913,162913,A,NA,2013-2020,NA,179611,342524,342524,179611,179611,A,NA,2013-2020,NA,169563,512087,512087,169563,169563,A,NA,2013-2020,NA,278680,790767,790767,278680,278680,A
