id,InstallationOrAircraftOperatorID,AccountHolderName,NationalAdministrator,NationalAdministratorCode,AccountTypeCode,AccountTypeCodeLookup,AccountStatus,CompanyRegistrationNo,ContactName,ContactAddress1,ContactAddress2,ContactCity,ContactZipCode,ContactCountryCode,ContactCountryCodeLookup,ContactRelationshipTypeCode,ContactRelationshipTypeCodeLookup,ContactTelephone1,ContactTelephone2,ContactEmailAddress,InstallationNameOrAircraftOperatorCode,ParentCompany,SubsidiaryCompany,EPRTRIdentification,FirstYearOfEmissions,LastYearOfEmissions,PermitOrPlanDate,PermitOrPlanID,Latitude,Longitude,Address1,Address2,City,ZipCode,Country,MainActivityTypeCode,MainActivityTypeCodeLookup,FreeAllocations_2005,ETSPhase_2005,AllowanceInAllocation_2005,UnitsSurrendered_2005,CumulativeSurrenderedUnits_2005,CumulativeVerifiedEmissions_2005,SurrenderedAllowances_2005,VerifiedEmissions_2005,ComplianceCode_2005,FreeAllocations_2006,ETSPhase_2006,AllowanceInAllocation_2006,UnitsSurrendered_2006,CumulativeSurrenderedUnits_2006,CumulativeVerifiedEmissions_2006,SurrenderedAllowances_2006,VerifiedEmissions_2006,ComplianceCode_2006,FreeAllocations_2007,ETSPhase_2007,AllowanceInAllocation_2007,UnitsSurrendered_2007,CumulativeSurrenderedUnits_2007,CumulativeVerifiedEmissions_2007,SurrenderedAllowances_2007,VerifiedEmissions_2007,ComplianceCode_2007,FreeAllocations_2008,ETSPhase_2008,AllowanceInAllocation_2008,UnitsSurrendered_2008,CumulativeSurrenderedUnits_2008,CumulativeVerifiedEmissions_2008,SurrenderedAllowances_2008,VerifiedEmissions_2008,ComplianceCode_2008,FreeAllocations_2009,ETSPhase_2009,AllowanceInAllocation_2009,UnitsSurrendered_2009,CumulativeSurrenderedUnits_2009,CumulativeVerifiedEmissions_2009,SurrenderedAllowances_2009,VerifiedEmissions_2009,ComplianceCode_2009,FreeAllocations_2010,ETSPhase_2010,AllowanceInAllocation_2010,UnitsSurrendered_2010,CumulativeSurrenderedUnits_2010,CumulativeVerifiedEmissions_2010,SurrenderedAllowances_2010,VerifiedEmissions_2010,ComplianceCode_2010,FreeAllocations_2011,ETSPhase_2011,AllowanceInAllocation_2011,UnitsSurrendered_2011,CumulativeSurrenderedUnits_2011,CumulativeVerifiedEmissions_2011,SurrenderedAllowances_2011,VerifiedEmissions_2011,ComplianceCode_2011,FreeAllocations_2012,ETSPhase_2012,AllowanceInAllocation_2012,UnitsSurrendered_2012,CumulativeSurrenderedUnits_2012,CumulativeVerifiedEmissions_2012,SurrenderedAllowances_2012,VerifiedEmissions_2012,ComplianceCode_2012,FreeAllocations_2013,ETSPhase_2013,AllowanceInAllocation_2013,UnitsSurrendered_2013,CumulativeSurrenderedUnits_2013,CumulativeVerifiedEmissions_2013,SurrenderedAllowances_2013,VerifiedEmissions_2013,ComplianceCode_2013,FreeAllocations_2014,ETSPhase_2014,AllowanceInAllocation_2014,UnitsSurrendered_2014,CumulativeSurrenderedUnits_2014,CumulativeVerifiedEmissions_2014,SurrenderedAllowances_2014,VerifiedEmissions_2014,ComplianceCode_2014,FreeAllocations_2015,ETSPhase_2015,AllowanceInAllocation_2015,UnitsSurrendered_2015,CumulativeSurrenderedUnits_2015,CumulativeVerifiedEmissions_2015,SurrenderedAllowances_2015,VerifiedEmissions_2015,ComplianceCode_2015,FreeAllocations_2016,ETSPhase_2016,AllowanceInAllocation_2016,UnitsSurrendered_2016,CumulativeSurrenderedUnits_2016,CumulativeVerifiedEmissions_2016,SurrenderedAllowances_2016,VerifiedEmissions_2016,ComplianceCode_2016,FreeAllocations_2017,ETSPhase_2017,AllowanceInAllocation_2017,UnitsSurrendered_2017,CumulativeSurrenderedUnits_2017,CumulativeVerifiedEmissions_2017,SurrenderedAllowances_2017,VerifiedEmissions_2017,ComplianceCode_2017,FreeAllocations_2018,ETSPhase_2018,AllowanceInAllocation_2018,UnitsSurrendered_2018,CumulativeSurrenderedUnits_2018,CumulativeVerifiedEmissions_2018,SurrenderedAllowances_2018,VerifiedEmissions_2018,ComplianceCode_2018,FreeAllocations_2019,ETSPhase_2019,AllowanceInAllocation_2019,UnitsSurrendered_2019,CumulativeSurrenderedUnits_2019,CumulativeVerifiedEmissions_2019,SurrenderedAllowances_2019,VerifiedEmissions_2019,ComplianceCode_2019,FreeAllocations_2020,ETSPhase_2020,AllowanceInAllocation_2020,UnitsSurrendered_2020,CumulativeSurrenderedUnits_2020,CumulativeVerifiedEmissions_2020,SurrenderedAllowances_2020,VerifiedEmissions_2020,ComplianceCode_2020
NL-200131,200131,K.O.M. Activity I B.V.,Netherlands,NL,100,Holding Account,open,24181812,K.O.M. Activity I B.V.,Straatweg 199,Straatweg 199,Rotterdam,3054 AE,NL,Netherlands,1,Account holder,NA,NA,NA,12405,NA,NA,NA,2012,0,2010-01-01,NL-201000090,NA,NA,-,NA,-,-,NL,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,10,2008-2012,10,86,86,86,86,86,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,9,2013-2020,9,NA,0,0,NA,Excluded,A,9,2013-2020,9,NA,0,0,NA,Excluded,A,9,2013-2020,9,NA,0,0,NA,Excluded,A,9,2013-2020,9,NA,0,Not Calculated,NA,Excluded,-
NL-200169,200169,Nippon Cargo Airlines,Netherlands,NL,100,Holding Account,open,34064570,Nippon Cargo Airlines,Nishi-Shimbashi 3-23-5,Minato-ku,Tokyo,105-0003,JP,Japan,1,Account holder,NA,NA,NA,278,NA,NA,NA,2012,0,2010-01-01,NL-201000094,NA,NA,-,NA,-,-,NL,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,275921,2008-2012,275921,203267,203267,203267,203267,203267,A*,6521,2013-2020,6521,NA,0,0,NA,9580,A,6521,2013-2020,6521,19966,19966,19966,19966,10386,A,6521,2013-2020,6521,10809,30775,30775,10809,10809,A,6521,2013-2020,6521,12458,43233,43233,12458,12458,A,6521,2013-2020,6521,14673,57906,57906,14673,14673,A,6521,2013-2020,6521,7584,65490,65490,7584,7584,A,6521,2013-2020,6521,11246,76736,76736,11246,11246,A,6521,2013-2020,6521,7360,84096,84096,7360,7360,A
NL-200202,200202,Shell Aircraft Limited,Netherlands,NL,100,Holding Account,open,24293574,Shell Aircraft Limited,Fornebubaan 25,NA,Rotterdam,3045 AV,NL,Netherlands,1,Account holder,NA,NA,NA,2440,NA,NA,NA,2012,0,2010-01-01,NL-201000098,NA,NA,-,NA,-,-,NL,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,153,2008-2012,153,1813,1813,1813,1543,1813,A,26,2013-2020,26,NA,0,0,NA,1780,A,26,2013-2020,26,3647,3647,3647,3647,1867,A,26,2013-2020,26,1858,5505,5505,1858,1858,A,26,2013-2020,26,1648,7153,7153,1648,1648,A,26,2013-2020,26,1562,8715,8715,1562,1562,A,26,2013-2020,26,1518,10233,10233,1518,1518,A*,26,2013-2020,26,1535,11768,11768,1535,1535,A,29,2013-2020,29,788,12545,12545,788,777,A
NL-200284,200284,Koninklijke Luchtvaart Maatschappij N.V.,Netherlands,NL,100,Holding Account,open,33014286,Koninklijke Luchtvaart Maatschappij N.V.,Amsterdamseweg 55,NA,Amstelveen,1182GP,NL,Netherlands,1,Account holder,NA,NA,NA,1640,NA,NA,NA,2012,0,2010-01-01,NL-201100024,NA,NA,-,NA,-,-,NL,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,7897037,2008-2012,7897037,1891413,1891413,1891413,1607701,1891413,A,768364,2013-2020,768364,NA,0,0,NA,1493362,A,768364,2013-2020,768364,3044704,3044704,3044704,3044704,1551342,A,768364,2013-2020,768364,1569239,4613943,4613943,1569239,1569239,A,768364,2013-2020,768364,1649880,6263823,6263823,1649880,1649880,A,768364,2013-2020,768364,1769283,8033106,8033106,1769283,1769283,A,768364,2013-2020,768364,1825164,9858270,9858270,1825164,1825164,A,768364,2013-2020,768364,1889344,11747614,11747614,1889344,1889344,A,784194,2013-2020,784194,859634,12589773,12589773,693669,842159,A
NL-200323,200323,Martinair Holland N.V.,Netherlands,NL,100,Holding Account,open,34029668,Martinair Holland N.V.,Piet Guilonardweg 15,NA,Schiphol,1117 EE,NL,Netherlands,1,Account holder,NA,NA,NA,1833,NA,NA,NA,2012,0,2010-01-01,NL-201000093,NA,NA,-,NA,-,-,NL,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,1548398,2008-2012,1548398,843973,843973,843973,717377,843973,A,3408,2013-2020,3408,NA,0,0,NA,3405,A,3408,2013-2020,3408,6647,6647,6647,6647,3242,A,3408,2013-2020,3408,3285,9932,9932,3285,3285,A,3408,2013-2020,3408,2558,12490,12490,2558,2558,A,3408,2013-2020,3408,2232,14722,14722,2232,2232,A,3408,2013-2020,3408,1388,16110,16110,1388,1388,A,3408,2013-2020,3408,1712,17822,17822,1712,1712,A,3408,2013-2020,3408,142,17964,17964,142,142,A
NL-200419,200419,Oshkosh Corporation,Netherlands,NL,100,Holding Account,open,1O01160,Oshkosh Corporation,2307 Oregon Street,NA,Oshkosh,54902,US,United States,1,Account holder,NA,NA,NA,F10349,NA,NA,NA,2012,0,2010-01-01,NL-201100030,NA,NA,-,NA,-,-,NL,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,0,112,NA,112,B*,NA,2013-2020,NA,112,112,0,112,Excluded,A,NA,2013-2020,NA,NA,112,0,NA,Excluded,A,NA,2013-2020,NA,NA,112,0,NA,Excluded,A,NA,2013-2020,NA,NA,112,0,NA,Excluded,A,NA,2013-2020,NA,NA,112,0,NA,Excluded,A,NA,2013-2020,NA,NA,112,0,NA,Excluded,A,NA,2013-2020,NA,NA,112,0,NA,Excluded,A,NA,2013-2020,NA,NA,112,Not Calculated,NA,Excluded,-
NL-200438,200438,"LBN, LLC c/o Central Missouri Aviation, Inc.",Netherlands,NL,100,Holding Account,open,FL0844616,"LBN, LLC c/o Central Missouri Aviation, Inc.",11200 S. Airport Rd.,NA,Columbia,65201,US,United States,1,Account holder,NA,NA,NA,f10294,NA,NA,NA,2012,0,2012-01-01,NL-201000068,NA,NA,-,NA,-,-,NL,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,10,2008-2012,10,19,0,Not Calculated,19,19,C,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,Not Calculated,NA,Excluded,-
NL-200580,200580,Amsterdam Airlines BV,Netherlands,NL,100,Holding Account,closed,34279605,Amsterdam Airlines BV,Postbus 1031,NA,Amsterdam,1000 BA,NL,Netherlands,1,Account holder,NA,NA,NA,33613,NA,NA,NA,2012,2012,2010-01-01,NL-201000066,NA,NA,-,NA,-,-,NL,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,15151,2008-2012,15151,NA,0,Not Calculated,NA,Not Reported,C,NA,2013-2020,NA,NA,NA,NA,NA,Excluded,NA,NA,2013-2020,NA,NA,NA,NA,NA,Excluded,NA,NA,2013-2020,NA,NA,NA,NA,NA,Excluded,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA
NL-340,340,Koole Tankstorage Pernis B.V.,Netherlands,NL,100,Holding Account,closed,24250858,Koole Tankstorage Pernis B.V.,Sluispolderweg 67,NA,ZAANDAM,1505 HJ,NL,Netherlands,1,Account holder,NA,NA,NA,Koole Tankstorage Pernis B.V.,NA,NA,NA,2008,2019,2008-01-01,NL-200700080,NA,NA,Tankhoofd 2,NA,VONDELINGENPLAAT-ROTTERDAM,3196 KE,NL,20,Combustion of fuels,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,8822,2008-2012,8822,505,505,505,505,505,A,8822,2008-2012,8822,33,538,538,33,33,A,8822,2008-2012,8822,184,722,722,184,184,A,8822,2008-2012,8822,6041,6763,6763,6041,6041,A,8822,2008-2012,8822,14599,21362,21362,10188,14599,A,11134,2013-2020,11134,15285,15285,15285,15285,15285,A,9965,2013-2020,9965,15811,31096,31096,15811,15811,A,8826,2013-2020,8826,15941,47037,47037,15941,15941,A,7722,2013-2020,7722,16083,63120,63120,16083,16083,A,6652,2013-2020,6652,16778,79898,79898,16778,16778,A,5617,2013-2020,5617,15620,95518,95518,15620,15620,A,4615,2013-2020,4615,16674,112192,112192,16674,16674,A,0,2013-2020,0,NA,NA,NA,NA,NA,NA
NL-341,341,Bergpeppers V.O.F.,Netherlands,NL,100,Holding Account,closed,27273364,Bergpeppers V.O.F.,Roelof Kromkampweg 8,NA,LANSINGERLAND,2651 KG,NL,Netherlands,1,Account holder,NA,NA,NA,Kwekerij Bergpeppers BV,NA,NA,NA,2008,2012,2008-01-01,NL-200700174,NA,NA,Roelof Kromkampweg 8,NA,BERKEL EN RODENRIJS,2651 KG,NL,1,Combustion installations with a rated thermal input exceeding 20 MW,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,0,2008-2012,0,18167,18167,18167,18167,18167,A,42075,2008-2012,42075,19477,37644,37644,19477,19477,A,23210,2008-2012,23210,21989,59633,59633,21989,21989,A,23210,2008-2012,23210,23782,83415,83415,12782,23782,A,23210,2008-2012,23210,13475,96890,96890,13475,13475,A,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA
