id,InstallationOrAircraftOperatorID,AccountHolderName,NationalAdministrator,NationalAdministratorCode,AccountTypeCode,AccountTypeCodeLookup,AccountStatus,CompanyRegistrationNo,ContactName,ContactAddress1,ContactAddress2,ContactCity,ContactZipCode,ContactCountryCode,ContactCountryCodeLookup,ContactRelationshipTypeCode,ContactRelationshipTypeCodeLookup,ContactTelephone1,ContactTelephone2,ContactEmailAddress,InstallationNameOrAircraftOperatorCode,ParentCompany,SubsidiaryCompany,EPRTRIdentification,FirstYearOfEmissions,LastYearOfEmissions,PermitOrPlanDate,PermitOrPlanID,Latitude,Longitude,Address1,Address2,City,ZipCode,Country,MainActivityTypeCode,MainActivityTypeCodeLookup,FreeAllocations_2005,ETSPhase_2005,AllowanceInAllocation_2005,UnitsSurrendered_2005,CumulativeSurrenderedUnits_2005,CumulativeVerifiedEmissions_2005,SurrenderedAllowances_2005,VerifiedEmissions_2005,ComplianceCode_2005,FreeAllocations_2006,ETSPhase_2006,AllowanceInAllocation_2006,UnitsSurrendered_2006,CumulativeSurrenderedUnits_2006,CumulativeVerifiedEmissions_2006,SurrenderedAllowances_2006,VerifiedEmissions_2006,ComplianceCode_2006,FreeAllocations_2007,ETSPhase_2007,AllowanceInAllocation_2007,UnitsSurrendered_2007,CumulativeSurrenderedUnits_2007,CumulativeVerifiedEmissions_2007,SurrenderedAllowances_2007,VerifiedEmissions_2007,ComplianceCode_2007,FreeAllocations_2008,ETSPhase_2008,AllowanceInAllocation_2008,UnitsSurrendered_2008,CumulativeSurrenderedUnits_2008,CumulativeVerifiedEmissions_2008,SurrenderedAllowances_2008,VerifiedEmissions_2008,ComplianceCode_2008,FreeAllocations_2009,ETSPhase_2009,AllowanceInAllocation_2009,UnitsSurrendered_2009,CumulativeSurrenderedUnits_2009,CumulativeVerifiedEmissions_2009,SurrenderedAllowances_2009,VerifiedEmissions_2009,ComplianceCode_2009,FreeAllocations_2010,ETSPhase_2010,AllowanceInAllocation_2010,UnitsSurrendered_2010,CumulativeSurrenderedUnits_2010,CumulativeVerifiedEmissions_2010,SurrenderedAllowances_2010,VerifiedEmissions_2010,ComplianceCode_2010,FreeAllocations_2011,ETSPhase_2011,AllowanceInAllocation_2011,UnitsSurrendered_2011,CumulativeSurrenderedUnits_2011,CumulativeVerifiedEmissions_2011,SurrenderedAllowances_2011,VerifiedEmissions_2011,ComplianceCode_2011,FreeAllocations_2012,ETSPhase_2012,AllowanceInAllocation_2012,UnitsSurrendered_2012,CumulativeSurrenderedUnits_2012,CumulativeVerifiedEmissions_2012,SurrenderedAllowances_2012,VerifiedEmissions_2012,ComplianceCode_2012,FreeAllocations_2013,ETSPhase_2013,AllowanceInAllocation_2013,UnitsSurrendered_2013,CumulativeSurrenderedUnits_2013,CumulativeVerifiedEmissions_2013,SurrenderedAllowances_2013,VerifiedEmissions_2013,ComplianceCode_2013,FreeAllocations_2014,ETSPhase_2014,AllowanceInAllocation_2014,UnitsSurrendered_2014,CumulativeSurrenderedUnits_2014,CumulativeVerifiedEmissions_2014,SurrenderedAllowances_2014,VerifiedEmissions_2014,ComplianceCode_2014,FreeAllocations_2015,ETSPhase_2015,AllowanceInAllocation_2015,UnitsSurrendered_2015,CumulativeSurrenderedUnits_2015,CumulativeVerifiedEmissions_2015,SurrenderedAllowances_2015,VerifiedEmissions_2015,ComplianceCode_2015,FreeAllocations_2016,ETSPhase_2016,AllowanceInAllocation_2016,UnitsSurrendered_2016,CumulativeSurrenderedUnits_2016,CumulativeVerifiedEmissions_2016,SurrenderedAllowances_2016,VerifiedEmissions_2016,ComplianceCode_2016,FreeAllocations_2017,ETSPhase_2017,AllowanceInAllocation_2017,UnitsSurrendered_2017,CumulativeSurrenderedUnits_2017,CumulativeVerifiedEmissions_2017,SurrenderedAllowances_2017,VerifiedEmissions_2017,ComplianceCode_2017,FreeAllocations_2018,ETSPhase_2018,AllowanceInAllocation_2018,UnitsSurrendered_2018,CumulativeSurrenderedUnits_2018,CumulativeVerifiedEmissions_2018,SurrenderedAllowances_2018,VerifiedEmissions_2018,ComplianceCode_2018,FreeAllocations_2019,ETSPhase_2019,AllowanceInAllocation_2019,UnitsSurrendered_2019,CumulativeSurrenderedUnits_2019,CumulativeVerifiedEmissions_2019,SurrenderedAllowances_2019,VerifiedEmissions_2019,ComplianceCode_2019,FreeAllocations_2020,ETSPhase_2020,AllowanceInAllocation_2020,UnitsSurrendered_2020,CumulativeSurrenderedUnits_2020,CumulativeVerifiedEmissions_2020,SurrenderedAllowances_2020,VerifiedEmissions_2020,ComplianceCode_2020,FreeAllocations_2021,ETSPhase_2021,AllowanceInAllocation_2021,UnitsSurrendered_2021,CumulativeSurrenderedUnits_2021,CumulativeVerifiedEmissions_2021,SurrenderedAllowances_2021,VerifiedEmissions_2021,ComplianceCode_2021,FreeAllocations_2022,ETSPhase_2022,AllowanceInAllocation_2022,UnitsSurrendered_2022,CumulativeSurrenderedUnits_2022,CumulativeVerifiedEmissions_2022,SurrenderedAllowances_2022,VerifiedEmissions_2022,ComplianceCode_2022
NO-200305,200305,"Duke Energy Business Services, LLC",Norway,NO,100,Holding Account,closed,123456789,"Duke Energy Business Services, LLC",4620 First Flight Drive,NA,Charlotte,28208,US,United States,1,Account holder,NA,NA,NA,28088,NA,NA,NA,2012,2012,2010-01-01,2011/1559,NA,NA,-,NA,-,-,NO,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,10,2008-2012,10,NA,0,0,NA,0,A*,0,2013-2020,0,NA,0,0,NA,Excluded,A,0,2013-2020,0,NA,0,0,NA,Excluded,A,0,2013-2020,0,NA,0,0,NA,Excluded,A,0,2013-2020,0,NA,0,0,NA,Excluded,A,0,2013-2020,0,NA,0,0,NA,Excluded,A,0,2013-2020,0,NA,0,0,NA,Excluded,A,0,2013-2020,0,NA,NA,NA,NA,Excluded,NA,0,2013-2020,0,NA,NA,NA,NA,Excluded,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA
NO-200306,200306,Widerøe's Flyveselskap AS,Norway,NO,100,Holding Account,open,917330557,Widerøe's Flyveselskap AS,Postboks 247,Langstranda 6,Bodø,8001,NO,Norway,1,Account holder,NA,NA,NA,5343,NA,NA,NA,2012,0,2010-01-01,2009/1132,NA,NA,-,NA,-,-,NO,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,63376,2008-2012,63376,165886,165886,165885,141003,165885,A*,59879,2013-2020,59879,NA,0,0,NA,155652,A,59879,2013-2020,59879,315510,315510,315510,315510,159858,A,59879,2013-2020,59879,167041,482551,482551,167041,167041,A,59879,2013-2020,59879,147180,629731,629731,147180,147180,A,59879,2013-2020,59879,126654,756385,756385,126654,149621,A*,59879,2013-2020,59879,176747,933132,933132,176747,153780,A,59879,2013-2020,59879,164954,1098086,1098086,164954,164954,A,59879,2013-2020,59879,110385,1208471,1208471,110385,110385,A,56247,2021-2030,56247,145036,145027,145027,145036,145027,A,54982,2021-2030,54982,169372,314399,314399,169372,169372,A
NO-200307,200307,Norwegian Air Shuttle AOC AS,Norway,NO,100,Holding Account,open,826283262,Norwegian Air Shuttle AOC AS,Oksenøyveien 3,NA,Lysaker,1366,NO,Norway,1,Account holder,NA,NA,NA,22212,NA,NA,NA,2012,0,2010-01-01,2011/1560,NA,NA,-,NA,-,-,NO,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,994506,2008-2012,994506,1696576,1696576,1696576,1442090,1696576,A*,824183,2013-2020,824183,NA,0,0,NA,1845344,A,824183,2013-2020,824183,3904025,3904025,3904025,3904025,2058681,A,824183,2013-2020,824183,1996198,5900223,5900223,1996198,1996198,A,824183,2013-2020,824183,1373324,7273547,7273547,1373324,1373324,A,824183,2013-2020,824183,1242919,8516466,8516466,1242919,1242919,A,824183,2013-2020,824183,1287963,9804429,9804429,1287963,1287963,A,824183,2013-2020,824183,1324625,11129054,11129054,1324625,1324625,A,827543,2013-2020,827543,15039,11143279,11516097,15039,387043,B,773713,2021-2030,773713,490205,490152,490152,490152,490388,B*,756308,2021-2030,756308,913957,1402470,1402470,912318,912082,B
NO-200314,200314,Bristow Norway AS,Norway,NO,100,Holding Account,open,967827363,Bristow Norway AS,Postboks 171,Flyplassveien 260,Sola,4097,NO,Norway,1,Account holder,NA,NA,NA,37084,NA,NA,NA,2012,0,2010-01-01,2009/1241,NA,NA,-,NA,-,-,NO,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,4191,2008-2012,4191,52045,52045,52045,44867,52045,A*,3959,2013-2020,3959,NA,0,0,NA,50949,A,3959,2013-2020,3959,103105,103105,103105,103105,52156,A,3959,2013-2020,3959,44344,147449,147449,44344,44344,A,3959,2013-2020,3959,38401,185850,185850,38401,38401,A,3959,2013-2020,3959,42099,227949,227949,42099,42099,A,3959,2013-2020,3959,52388,280337,280337,52388,52388,A,3959,2013-2020,3959,56547,336884,336884,56547,56547,A,3959,2013-2020,3959,53457,390341,390341,53457,53457,A,3873,2021-2030,3873,48614,48614,48614,48614,48614,A,3786,2021-2030,3786,45882,94496,94496,45882,45882,A
NO-200315,200315,Sundt Air Management AS,Norway,NO,100,Holding Account,open,989656422,Sundt Air Management AS,Postboks 31,Gardermoen Vest,Gardermoen,2061,NO,Norway,1,Account holder,NA,NA,NA,33705,NA,NA,NA,2012,0,2010-01-01,2011/1561,NA,NA,-,NA,-,-,NO,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,75,2008-2012,75,1093,1093,1093,1093,1093,A*,23,2013-2020,23,NA,0,0,NA,Excluded,A,23,2013-2020,23,472,472,472,472,472,A,23,2013-2020,23,NA,472,472,NA,Excluded,A,23,2013-2020,23,747,1219,1219,747,747,A,23,2013-2020,23,961,2180,2180,961,961,A*,23,2013-2020,23,1015,3195,3195,1015,1015,A,23,2013-2020,23,1242,4437,4437,1242,1242,A,23,2013-2020,23,NA,4437,4437,NA,Excluded,A,21,2021-2030,21,NA,0,Not Calculated,NA,Excluded,-,20,2021-2030,20,654,599,599,654,599,A
NO-1,1,Agder Energi Varme AS,Norway,NO,100,Holding Account,open,980921409,Agder Energi Varme AS,Postboks 603 Lundsiden,Kjøita 18,Kristiansand,4606,NO,Norway,1,Account holder,NA,NA,NA,Agder Energi Varme,NA,NA,NA,2008,0,2009-04-02,NO-2006-52,NA,NA,Serviceboks 603,NA,Kristiansand,4604,NO,20,Combustion of fuels,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,154,2008-2012,154,1372,1372,1372,1372,1372,A*,154,2008-2012,154,3122,4494,4494,3122,3122,A*,154,2008-2012,154,7386,11880,11880,7386,7386,A,154,2008-2012,154,1710,13590,13590,1710,1710,A,154,2008-2012,154,367,13957,13957,367,367,A*,4007,2013-2020,4007,462,462,462,462,462,A*,3585,2013-2020,3585,437,899,899,437,437,A*,3176,2013-2020,3176,636,1535,1535,636,636,A,2778,2013-2020,2778,205,1740,1740,205,205,A,2394,2013-2020,2394,34,1774,1774,34,34,A,2021,2013-2020,2021,193,1967,1967,193,193,A,1661,2013-2020,1661,228,2195,2195,228,228,A,1314,2013-2020,1314,122,2317,2317,122,122,A,NA,2021-2030,NA,5185,5185,5185,5185,5185,A,NA,2021-2030,NA,850,6035,6035,850,850,A
NO-2,2,Eviny Fornybar AS,Norway,NO,100,Holding Account,open,876944642,Eviny Fornybar AS,Postboks 7050,Solheimsgaten 5,Bergen,5020,NO,Norway,1,Account holder,NA,NA,NA,BKK Produksjon AS,NA,NA,NA,2008,0,2009-04-02,NO-2007-1069,NA,NA,Postboks 7050,NA,Bergen,5020,NO,20,Combustion of fuels,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,6768,2008-2012,6768,20665,20665,20665,20665,20665,A*,6768,2008-2012,6768,20866,41531,41531,20866,20866,A*,6768,2008-2012,6768,24626,66157,66157,24626,24626,A,6768,2008-2012,6768,27344,93501,93501,27344,27344,A,6768,2008-2012,6768,25507,119008,119008,25507,25507,A*,4787,2013-2020,4787,26046,26046,26046,26046,26046,A*,4284,2013-2020,4284,27250,53296,53296,27250,27250,A,3795,2013-2020,3795,24292,77588,77588,24292,24292,A,3322,2013-2020,3322,27176,104764,104764,27176,27176,A*,2864,2013-2020,2864,27771,132535,132535,27771,27771,A,2419,2013-2020,2419,24983,157518,157518,24983,24983,A,1990,2013-2020,1990,24553,182071,182071,24553,24553,A,1576,2013-2020,1576,19281,201352,201352,19281,19281,A,930,2021-2030,930,21624,21624,21624,21624,21624,A*,906,2021-2030,906,22276,43900,43900,22276,22276,A
NO-3,3,Eviny Termo AS,Norway,NO,100,Holding Account,open,979427697,Eviny Termo AS,Postboks 7050,Kokstadvegen 37,Bergen,5020,NO,Norway,1,Account holder,NA,NA,NA,BKK Varme AS,NA,NA,NA,2008,0,2009-04-02,NO-2006-58,NA,NA,Postboks 7050,NA,Bergen,5020,NO,20,Combustion of fuels,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,9786,2008-2012,9786,16919,16919,16919,16919,16919,A*,9786,2008-2012,9786,16303,33222,33222,16303,16303,A*,9786,2008-2012,9786,22494,55716,55716,20295,22494,A,9786,2008-2012,9786,10655,66371,66371,10655,10655,A,9786,2008-2012,9786,9328,75699,75699,9328,9328,A*,10644,2013-2020,10644,8023,8023,8023,8023,8023,A*,9526,2013-2020,9526,5284,13307,13307,5284,5284,A,4219,2013-2020,4219,6653,19960,19960,6653,6653,A,3691,2013-2020,3691,8214,28174,28174,8214,8214,A,6360,2013-2020,6360,5785,33959,33959,5785,5785,A,2685,2013-2020,2685,6688,40647,40647,6688,6781,A*,2206,2013-2020,2206,5573,46220,46220,5573,5480,A,1746,2013-2020,1746,3370,49590,49590,3370,3370,A,1054,2021-2030,1054,3542,3542,3542,3542,3542,A,1054,2021-2030,1054,NA,3542,3542,NA,0,A*
NO-4,4,Pelagia AS,Norway,NO,100,Holding Account,open,989094823,Pelagia AS,Postboks 444,Bradbenken 1,BERGEN,5805,NO,Norway,1,Account holder,NA,NA,NA,Pelagia AS Bodø Sildoljefabrikk,NA,NA,NA,2008,0,2009-04-02,NO-2007-1075,NA,NA,Postboks 91,NA,Bodø,8001,NO,20,Combustion of fuels,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,13368,2008-2012,13368,13222,13222,13222,13222,13222,A*,13368,2008-2012,13368,15034,28256,28256,15034,15034,A*,13368,2008-2012,13368,11856,40112,40112,11856,11856,A,13368,2008-2012,13368,13822,53934,53934,13822,13822,A,13368,2008-2012,13368,10027,63961,63961,NA,10027,A*,9470,2013-2020,9470,7094,7094,7094,7094,7094,A*,9305,2013-2020,9305,6426,13520,13520,6426,6426,A,4570,2013-2020,4570,7476,20996,20996,7476,7476,A,8971,2013-2020,8971,5916,26912,26912,5916,5916,A,4401,2013-2020,4401,7112,34024,34024,7112,7112,A,8629,2013-2020,8629,8513,42537,42537,8513,8513,A,8455,2013-2020,8455,4499,47036,47036,4499,4499,A,8281,2013-2020,8281,5415,52451,52451,5415,5415,A,2669,2021-2030,2669,5326,5326,5326,5326,5326,A,2669,2021-2030,2669,5339,10665,10665,5339,5349,A*
NO-5,5,Borregaard AS,Norway,NO,100,Holding Account,open,895623032,Borregaard AS,Postboks 162,Hjalmar Wesselsvei 6,Sarpsborg,1721,NO,Norway,1,Account holder,NA,NA,NA,Borregaard AS,NA,NA,5.(b),2008,0,2009-04-02,NO-2006-67,NA,NA,Postboks 162,NA,Sarpsborg,1721,NO,35,Production of pulp,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,160497,2008-2012,160497,167666,167666,167666,167666,167666,A*,160497,2008-2012,160497,175938,343604,343604,175938,175938,A*,212736,2008-2012,212736,142486,486090,486090,142486,142486,A,177910,2008-2012,177910,115166,601256,601256,115166,115166,A,177910,2008-2012,177910,113440,714696,714696,13440,113440,A*,210857,2013-2020,210857,137852,137852,137852,137852,137852,A*,207195,2013-2020,207195,129371,267223,267223,129371,129371,A,203490,2013-2020,203490,116270,383493,383493,116270,116270,A,199745,2013-2020,199745,121639,505132,505132,121639,121639,A,195962,2013-2020,195962,114259,619391,619391,114259,114259,A,192140,2013-2020,192140,126284,745675,745675,126284,126284,A,188271,2013-2020,188271,125135,870810,870810,125135,125135,A,184389,2013-2020,184389,118200,989010,989010,118200,118200,A,157676,2021-2030,157676,137579,137579,137579,137579,137579,A,157676,2021-2030,157676,143042,280621,280621,143042,143042,A
