id,InstallationOrAircraftOperatorID,AccountHolderName,NationalAdministrator,NationalAdministratorCode,AccountTypeCode,AccountTypeCodeLookup,AccountStatus,CompanyRegistrationNo,ContactName,ContactAddress1,ContactAddress2,ContactCity,ContactZipCode,ContactCountryCode,ContactCountryCodeLookup,ContactRelationshipTypeCode,ContactRelationshipTypeCodeLookup,ContactTelephone1,ContactTelephone2,ContactEmailAddress,InstallationNameOrAircraftOperatorCode,ParentCompany,SubsidiaryCompany,EPRTRIdentification,FirstYearOfEmissions,LastYearOfEmissions,PermitOrPlanDate,PermitOrPlanID,Latitude,Longitude,Address1,Address2,City,ZipCode,Country,MainActivityTypeCode,MainActivityTypeCodeLookup,FreeAllocations_2005,ETSPhase_2005,AllowanceInAllocation_2005,UnitsSurrendered_2005,CumulativeSurrenderedUnits_2005,CumulativeVerifiedEmissions_2005,SurrenderedAllowances_2005,VerifiedEmissions_2005,ComplianceCode_2005,FreeAllocations_2006,ETSPhase_2006,AllowanceInAllocation_2006,UnitsSurrendered_2006,CumulativeSurrenderedUnits_2006,CumulativeVerifiedEmissions_2006,SurrenderedAllowances_2006,VerifiedEmissions_2006,ComplianceCode_2006,FreeAllocations_2007,ETSPhase_2007,AllowanceInAllocation_2007,UnitsSurrendered_2007,CumulativeSurrenderedUnits_2007,CumulativeVerifiedEmissions_2007,SurrenderedAllowances_2007,VerifiedEmissions_2007,ComplianceCode_2007,FreeAllocations_2008,ETSPhase_2008,AllowanceInAllocation_2008,UnitsSurrendered_2008,CumulativeSurrenderedUnits_2008,CumulativeVerifiedEmissions_2008,SurrenderedAllowances_2008,VerifiedEmissions_2008,ComplianceCode_2008,FreeAllocations_2009,ETSPhase_2009,AllowanceInAllocation_2009,UnitsSurrendered_2009,CumulativeSurrenderedUnits_2009,CumulativeVerifiedEmissions_2009,SurrenderedAllowances_2009,VerifiedEmissions_2009,ComplianceCode_2009,FreeAllocations_2010,ETSPhase_2010,AllowanceInAllocation_2010,UnitsSurrendered_2010,CumulativeSurrenderedUnits_2010,CumulativeVerifiedEmissions_2010,SurrenderedAllowances_2010,VerifiedEmissions_2010,ComplianceCode_2010,FreeAllocations_2011,ETSPhase_2011,AllowanceInAllocation_2011,UnitsSurrendered_2011,CumulativeSurrenderedUnits_2011,CumulativeVerifiedEmissions_2011,SurrenderedAllowances_2011,VerifiedEmissions_2011,ComplianceCode_2011,FreeAllocations_2012,ETSPhase_2012,AllowanceInAllocation_2012,UnitsSurrendered_2012,CumulativeSurrenderedUnits_2012,CumulativeVerifiedEmissions_2012,SurrenderedAllowances_2012,VerifiedEmissions_2012,ComplianceCode_2012,FreeAllocations_2013,ETSPhase_2013,AllowanceInAllocation_2013,UnitsSurrendered_2013,CumulativeSurrenderedUnits_2013,CumulativeVerifiedEmissions_2013,SurrenderedAllowances_2013,VerifiedEmissions_2013,ComplianceCode_2013,FreeAllocations_2014,ETSPhase_2014,AllowanceInAllocation_2014,UnitsSurrendered_2014,CumulativeSurrenderedUnits_2014,CumulativeVerifiedEmissions_2014,SurrenderedAllowances_2014,VerifiedEmissions_2014,ComplianceCode_2014,FreeAllocations_2015,ETSPhase_2015,AllowanceInAllocation_2015,UnitsSurrendered_2015,CumulativeSurrenderedUnits_2015,CumulativeVerifiedEmissions_2015,SurrenderedAllowances_2015,VerifiedEmissions_2015,ComplianceCode_2015,FreeAllocations_2016,ETSPhase_2016,AllowanceInAllocation_2016,UnitsSurrendered_2016,CumulativeSurrenderedUnits_2016,CumulativeVerifiedEmissions_2016,SurrenderedAllowances_2016,VerifiedEmissions_2016,ComplianceCode_2016,FreeAllocations_2017,ETSPhase_2017,AllowanceInAllocation_2017,UnitsSurrendered_2017,CumulativeSurrenderedUnits_2017,CumulativeVerifiedEmissions_2017,SurrenderedAllowances_2017,VerifiedEmissions_2017,ComplianceCode_2017,FreeAllocations_2018,ETSPhase_2018,AllowanceInAllocation_2018,UnitsSurrendered_2018,CumulativeSurrenderedUnits_2018,CumulativeVerifiedEmissions_2018,SurrenderedAllowances_2018,VerifiedEmissions_2018,ComplianceCode_2018,FreeAllocations_2019,ETSPhase_2019,AllowanceInAllocation_2019,UnitsSurrendered_2019,CumulativeSurrenderedUnits_2019,CumulativeVerifiedEmissions_2019,SurrenderedAllowances_2019,VerifiedEmissions_2019,ComplianceCode_2019,FreeAllocations_2020,ETSPhase_2020,AllowanceInAllocation_2020,UnitsSurrendered_2020,CumulativeSurrenderedUnits_2020,CumulativeVerifiedEmissions_2020,SurrenderedAllowances_2020,VerifiedEmissions_2020,ComplianceCode_2020
PL-200425,200425,POLSKIE LINIE LOTNICZE LOT SPÓŁKA AKCYJNA,Poland,PL,100,Holding Account,open,010058960,POLSKIE LINIE LOTNICZE LOT SPÓŁKA AKCYJNA,Komitetu Obrony Robotników 43,NA,Warszawa,02-146,PL,Poland,1,Account holder,NA,NA,NA,1763,NA,NA,NA,2012,0,2011-01-01,DZKiOApek-380-12/28646/11/BW,NA,NA,-,NA,-,-,PL,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,618595,2008-2012,618595,474499,474499,474499,403325,474499,A*,223359,2013-2020,223359,NA,0,0,NA,428788,A,223359,2013-2020,223359,836972,836972,836972,836972,408184,A,223359,2013-2020,223359,375134,1212106,1212106,375134,375134,A*,223359,2013-2020,223359,450780,1662886,1662886,450780,450780,A,223359,2013-2020,223359,575954,2238840,2238840,575954,575954,A*,223359,2013-2020,223359,685906,2924746,2924746,685906,685906,A*,223359,2013-2020,223359,749140,3673886,3673886,749140,749140,A,226673,2013-2020,226673,324605,3991264,3991264,315913,317378,A*
PL-200426,200426,Magellan Pro-Service Sp. z o. o.,Poland,PL,100,Holding Account,open,260363043,Magellan Pro-Service Sp. z o. o.,al. Solidarności 36,NA,Kielce,25-323,PL,Poland,1,Account holder,NA,NA,NA,30797,NA,NA,NA,2012,0,2011-01-01,DZKiOApek-350-20/28828/11/BW,NA,NA,-,NA,-,-,PL,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,16,2008-2012,16,393,393,393,393,393,A*,12,2013-2020,12,320,320,0,320,Excluded,A,12,2013-2020,12,NA,320,0,NA,Excluded,A,12,2013-2020,12,NA,320,0,NA,Excluded,A,12,2013-2020,12,NA,320,0,NA,Excluded,A,12,2013-2020,12,NA,320,0,NA,Excluded,A,12,2013-2020,12,NA,320,0,NA,Excluded,A,12,2013-2020,12,NA,320,0,NA,Excluded,A,12,2013-2020,12,NA,320,Not Calculated,NA,Excluded,-
PL-200427,200427,Enter Air spółka z ograniczoną odpowiedzialnością,Poland,PL,100,Holding Account,open,142051272,Enter Air spółka z ograniczoną odpowiedzialnością,17 Stycznia 74,NA,Warszawa,02-146,PL,Poland,1,Account holder,NA,NA,NA,36143,NA,NA,NA,2012,0,2011-01-01,DOPpek-350-3/24985/13/IK,NA,NA,-,NA,-,-,PL,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,32502,2008-2012,32502,121298,121298,121298,103104,121298,A*,7390,2013-2020,7390,NA,0,0,NA,85675,A,7390,2013-2020,7390,194852,194852,194852,194852,109177,A,7390,2013-2020,7390,128883,323735,323735,128883,128883,A,7390,2013-2020,7390,157781,481516,481516,157781,157781,A,7390,2013-2020,132802,161142,642658,642658,161142,161142,A*,7390,2013-2020,132802,167708,810366,810366,167708,167708,A,7390,2013-2020,132802,182863,993229,993229,182863,182863,A,7458,2013-2020,132870,54958,1048138,1048138,54792,54909,A*
PL-934,934,Veolia Energia Poznań S.A,Poland,PL,100,Holding Account,closed,630956570,Veolia Energia Poznań S.A,Energetyczna 3,NA,Poznań,61-016,PL,Poland,1,Account holder,NA,NA,NA,Ciepłownia C12 Świebodzin,NA,NA,NA,2009,2019,2009-01-01,PL-0965-08,52.15,15.32,Zachodnia 76,NA,Świebodzin,66-200,PL,20,Combustion of fuels,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,0,2008-2012,0,NA,NA,NA,NA,NA,NA,7991,2008-2012,7991,8001,NA,NA,8001,8001,NA,10339,2008-2012,10339,9869,17870,17870,9869,9869,A,10329,2008-2012,10329,6980,24850,24850,6980,6980,A,10329,2008-2012,10329,6862,31712,31712,5830,6862,A,7831,2013-2020,7831,6903,6903,6903,6903,6903,A,6744,2013-2020,6744,6504,13407,13407,6504,6504,A*,5776,2013-2020,5776,6317,19724,19724,6317,6317,A,4927,2013-2020,4927,7183,26907,26907,7183,7183,A,4187,2013-2020,4187,7290,34197,34197,7290,7290,A,3555,2013-2020,3555,7340,41537,41537,7340,7340,A,3025,2013-2020,3025,3754,45291,45291,3754,3754,A,0,2013-2020,0,NA,NA,NA,NA,NA,NA
PL-935,935,JSW KOKS S.A.,Poland,PL,100,Holding Account,open,278093210,JSW KOKS S.A.,PAWLICZKA 1,NA,ZABRZE,41-800,PL,Poland,1,Account holder,NA,NA,NA,ELEKTROCIEPŁOWNIA KOKSOWNI PRZYJAŹŃ,NA,NA,12S000171,2009,0,2009-02-25,PL-0959-08,50.33,19.34,Koksownicza 1,NA,Dąbrowa Górnicza,42-523,PL,20,Combustion of fuels,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,0,2008-2012,0,NA,NA,NA,NA,NA,NA,141922,2008-2012,141922,137329,NA,NA,137329,137329,NA,141922,2008-2012,141922,137744,275073,275073,137744,137744,A,141922,2008-2012,141922,135409,410482,410482,92832,135409,A,141922,2008-2012,141922,141553,552035,552035,127362,141553,A,1075,2013-2020,54901,NA,0,0,NA,136832,A*,962,2013-2020,50719,273031,273031,273031,273031,136199,A*,852,2013-2020,44100,124749,397780,397780,124749,124749,A*,746,2013-2020,33653,112122,509902,509902,112122,112122,A,643,2013-2020,25544,121160,631062,631062,121160,121160,A,543,2013-2020,20385,126247,757309,757309,126247,126247,A,447,2013-2020,15201,124942,882251,882251,124942,124942,A,354,2013-2020,354,112878,995129,995129,112878,112878,A
PL-936,936,Pfleiderer MDF Grajewo Sp. z o.o.,Poland,PL,100,Holding Account,open,330994545,Pfleiderer MDF Grajewo Sp. z o.o.,Wiórowa 1,NA,Grajewo,19-203,PL,Poland,1,Account holder,NA,NA,NA,KOTŁOWNIA ZAKŁADOWA,NA,NA,NA,2009,0,2009-07-28,PL-0968-08,53.37,22.28,Wiórowa 1,NA,Grajewo,19-203,PL,20,Combustion of fuels,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,0,2008-2012,0,NA,NA,NA,NA,NA,NA,7237,2008-2012,7237,4914,NA,NA,4914,4914,NA,14475,2008-2012,14475,13761,18675,18675,13761,13761,A,14475,2008-2012,14475,14673,33348,33348,14673,14673,A,14475,2008-2012,14475,4819,38167,38167,NA,4819,A,47365,2013-2020,47365,5363,5363,5363,5363,5363,A,46542,2013-2020,46542,6241,11604,11604,6241,6241,A*,30036,2013-2020,30036,3351,14955,14955,3351,3351,A*,26280,2013-2020,26280,3779,18734,18734,3779,3779,A,22639,2013-2020,22639,3986,22720,22720,3986,3986,A,19116,2013-2020,19116,4299,27019,27019,4299,4299,A,15707,2013-2020,15707,4040,31059,31059,4040,4040,A,12426,2013-2020,12426,4052,35111,35111,4052,4052,A
PL-937,937,POLMLEK  Sp. z o.o.,Poland,PL,100,Holding Account,open,015203332,POLMLEK  Sp. z o.o.,Modlińska 310/312,NA,Warszawa,03-152,PL,Poland,1,Account holder,NA,NA,NA,Zakład Mleczarski,NA,NA,NA,2009,0,2009-11-05,PL-0966-08,54.07,20.34,Topolowa 1,NA,Lidzbark Warmiński,11-100,PL,20,Combustion of fuels,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,0,2008-2012,0,NA,NA,NA,NA,NA,NA,13322,2008-2012,13322,14446,NA,NA,14446,14446,NA,13322,2008-2012,13322,13566,28012,28012,13566,13566,A,13322,2008-2012,13322,14840,42852,42852,14840,14840,A,13322,2008-2012,13322,17381,60233,60377,12053,17525,B,11857,2013-2020,11857,18913,18913,18769,18913,18769,A*,11147,2013-2020,11147,18707,37620,37476,18707,18707,A*,10454,2013-2020,10454,19473,57093,56949,19473,19473,A*,9775,2013-2020,9775,21559,78652,78508,21559,21559,A,9114,2013-2020,9114,25996,104648,104504,25996,25996,A,8470,2013-2020,8470,23824,128472,128328,23824,23824,A,7840,2013-2020,7840,23832,152304,152160,23832,23832,A,7231,2013-2020,7231,24662,176966,176822,24662,24662,A*
PL-938,938,Bridgestone Stargard Sp. z o.o.,Poland,PL,100,Holding Account,open,320226297,Bridgestone Stargard Sp. z o.o.,Most Kamienny 7,NA,Stargard,73-110,PL,Poland,1,Account holder,NA,NA,NA,KOTŁOWNIA GAZOWA,NA,NA,NA,2010,0,2010-02-01,PL-0969-08,53.18,14.58,Most Kamienny 7,NA,Stargard,73-110,PL,20,Combustion of fuels,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,0,2008-2012,0,NA,NA,NA,NA,NA,NA,0,2008-2012,0,NA,NA,NA,NA,NA,NA,16306,2008-2012,16306,8288,8288,8288,8288,8288,A,16306,2008-2012,16306,9961,18249,18249,9961,9961,A,16306,2008-2012,16306,9504,27753,27753,4613,9504,A,7144,2013-2020,7285,10788,10788,10788,10788,10788,A*,7020,2013-2020,7847,12010,22798,22798,12010,12010,A*,6895,2013-2020,7708,13051,35849,35849,13051,13051,A*,6768,2013-2020,7566,13629,49478,49478,13629,13629,A*,6639,2013-2020,7422,12994,62472,62472,12994,12994,A,6509,2013-2020,7278,11195,73667,73667,11195,11195,A,4643,2013-2020,5397,12229,85896,85896,12229,12229,A,6247,2013-2020,6986,10921,96817,96817,10921,10921,A*
PL-523,523,POLSKA GRUPA GÓRNICZA S.A.,Poland,PL,100,Holding Account,open,360615984,POLSKA GRUPA GÓRNICZA S.A.,POWSTAŃCÓW 30,NA,KATOWICE,40-039,PL,Poland,1,Account holder,NA,NA,NA,ELEKTROCIEPŁOWNIA MARCEL,NA,NA,12S000074,2005,0,2005-01-01,PL-0040-05,50.02,18.29,KORFANTEGO 52,NA,Radlin,44-310,PL,20,Combustion of fuels,360700,2005-2007,360700,329459,329459,329459,329459,329459,A*,360700,2005-2007,360700,202429,531888,531888,202429,202429,A*,360700,2005-2007,360700,152763,684651,684651,152763,152763,A,186997,2008-2012,186997,134142,134142,134142,134142,134142,A,186997,2008-2012,186997,138230,272372,272372,138230,138230,A,186997,2008-2012,186997,139013,411385,411385,114013,139013,A,186997,2008-2012,186997,136516,547901,547901,87516,136516,A,186997,2008-2012,186997,130719,678620,678620,111719,130719,A,16055,2013-2020,16055,134141,134141,134141,134141,134141,A,15204,2013-2020,15204,132158,266299,266299,132158,132158,A,14439,2013-2020,14439,131459,397758,397758,131459,131459,A,13694,2013-2020,13694,122432,520190,520190,122432,122432,A,12966,2013-2020,12966,117903,638093,638093,117903,117903,A,12256,2013-2020,12256,106279,744372,744372,106279,106279,A,11562,2013-2020,11562,102168,846540,846540,102168,102168,A,10888,2013-2020,10888,101453,947993,947993,101453,101453,A
PL-939,939,CERAMIKA BUDOWLANA Sp. z o.o.,Poland,PL,100,Holding Account,closed,270516846,CERAMIKA BUDOWLANA Sp. z o.o.,Odonów,52,Kazimierza Wielka,28-500,PL,Poland,1,Account holder,NA,NA,NA,PRODUKCJA WYROBÓW CERAMICZNYCH PALONYCH CEGIELNIA,NA,NA,NA,2009,2011,2009-07-29,PL-0962-08,51.08,20.41,b.u.,NA,Bliżyn,26-120,PL,8,"Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain",NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,0,2008-2012,0,NA,NA,NA,NA,NA,NA,3575,2008-2012,3575,2928,NA,NA,2928,2928,NA,7000,2008-2012,7000,NA,2928,2928,NA,0,A,7000,2008-2012,7000,NA,2928,2928,NA,0,A,7000,2008-2012,7000,NA,0,Not Calculated,NA,Not Reported,C,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA
