id,InstallationOrAircraftOperatorID,AccountHolderName,NationalAdministrator,NationalAdministratorCode,AccountTypeCode,AccountTypeCodeLookup,AccountStatus,CompanyRegistrationNo,ContactName,ContactAddress1,ContactAddress2,ContactCity,ContactZipCode,ContactCountryCode,ContactCountryCodeLookup,ContactRelationshipTypeCode,ContactRelationshipTypeCodeLookup,ContactTelephone1,ContactTelephone2,ContactEmailAddress,InstallationNameOrAircraftOperatorCode,ParentCompany,SubsidiaryCompany,EPRTRIdentification,FirstYearOfEmissions,LastYearOfEmissions,PermitOrPlanDate,PermitOrPlanID,Latitude,Longitude,Address1,Address2,City,ZipCode,Country,MainActivityTypeCode,MainActivityTypeCodeLookup,FreeAllocations_2005,ETSPhase_2005,AllowanceInAllocation_2005,UnitsSurrendered_2005,CumulativeSurrenderedUnits_2005,CumulativeVerifiedEmissions_2005,SurrenderedAllowances_2005,VerifiedEmissions_2005,ComplianceCode_2005,FreeAllocations_2006,ETSPhase_2006,AllowanceInAllocation_2006,UnitsSurrendered_2006,CumulativeSurrenderedUnits_2006,CumulativeVerifiedEmissions_2006,SurrenderedAllowances_2006,VerifiedEmissions_2006,ComplianceCode_2006,FreeAllocations_2007,ETSPhase_2007,AllowanceInAllocation_2007,UnitsSurrendered_2007,CumulativeSurrenderedUnits_2007,CumulativeVerifiedEmissions_2007,SurrenderedAllowances_2007,VerifiedEmissions_2007,ComplianceCode_2007,FreeAllocations_2008,ETSPhase_2008,AllowanceInAllocation_2008,UnitsSurrendered_2008,CumulativeSurrenderedUnits_2008,CumulativeVerifiedEmissions_2008,SurrenderedAllowances_2008,VerifiedEmissions_2008,ComplianceCode_2008,FreeAllocations_2009,ETSPhase_2009,AllowanceInAllocation_2009,UnitsSurrendered_2009,CumulativeSurrenderedUnits_2009,CumulativeVerifiedEmissions_2009,SurrenderedAllowances_2009,VerifiedEmissions_2009,ComplianceCode_2009,FreeAllocations_2010,ETSPhase_2010,AllowanceInAllocation_2010,UnitsSurrendered_2010,CumulativeSurrenderedUnits_2010,CumulativeVerifiedEmissions_2010,SurrenderedAllowances_2010,VerifiedEmissions_2010,ComplianceCode_2010,FreeAllocations_2011,ETSPhase_2011,AllowanceInAllocation_2011,UnitsSurrendered_2011,CumulativeSurrenderedUnits_2011,CumulativeVerifiedEmissions_2011,SurrenderedAllowances_2011,VerifiedEmissions_2011,ComplianceCode_2011,FreeAllocations_2012,ETSPhase_2012,AllowanceInAllocation_2012,UnitsSurrendered_2012,CumulativeSurrenderedUnits_2012,CumulativeVerifiedEmissions_2012,SurrenderedAllowances_2012,VerifiedEmissions_2012,ComplianceCode_2012,FreeAllocations_2013,ETSPhase_2013,AllowanceInAllocation_2013,UnitsSurrendered_2013,CumulativeSurrenderedUnits_2013,CumulativeVerifiedEmissions_2013,SurrenderedAllowances_2013,VerifiedEmissions_2013,ComplianceCode_2013,FreeAllocations_2014,ETSPhase_2014,AllowanceInAllocation_2014,UnitsSurrendered_2014,CumulativeSurrenderedUnits_2014,CumulativeVerifiedEmissions_2014,SurrenderedAllowances_2014,VerifiedEmissions_2014,ComplianceCode_2014,FreeAllocations_2015,ETSPhase_2015,AllowanceInAllocation_2015,UnitsSurrendered_2015,CumulativeSurrenderedUnits_2015,CumulativeVerifiedEmissions_2015,SurrenderedAllowances_2015,VerifiedEmissions_2015,ComplianceCode_2015,FreeAllocations_2016,ETSPhase_2016,AllowanceInAllocation_2016,UnitsSurrendered_2016,CumulativeSurrenderedUnits_2016,CumulativeVerifiedEmissions_2016,SurrenderedAllowances_2016,VerifiedEmissions_2016,ComplianceCode_2016,FreeAllocations_2017,ETSPhase_2017,AllowanceInAllocation_2017,UnitsSurrendered_2017,CumulativeSurrenderedUnits_2017,CumulativeVerifiedEmissions_2017,SurrenderedAllowances_2017,VerifiedEmissions_2017,ComplianceCode_2017,FreeAllocations_2018,ETSPhase_2018,AllowanceInAllocation_2018,UnitsSurrendered_2018,CumulativeSurrenderedUnits_2018,CumulativeVerifiedEmissions_2018,SurrenderedAllowances_2018,VerifiedEmissions_2018,ComplianceCode_2018,FreeAllocations_2019,ETSPhase_2019,AllowanceInAllocation_2019,UnitsSurrendered_2019,CumulativeSurrenderedUnits_2019,CumulativeVerifiedEmissions_2019,SurrenderedAllowances_2019,VerifiedEmissions_2019,ComplianceCode_2019,FreeAllocations_2020,ETSPhase_2020,AllowanceInAllocation_2020,UnitsSurrendered_2020,CumulativeSurrenderedUnits_2020,CumulativeVerifiedEmissions_2020,SurrenderedAllowances_2020,VerifiedEmissions_2020,ComplianceCode_2020
PT-200360,200360,Timothy E Jassak,Portugal ,PT,100,Holding Account,open,NA,Timothy E Jassak,3010 Corporate Drive,NA,Waukegan,60087,US,United States,1,Account holder,NA,NA,NA,F10830,NA,NA,NA,2012,0,2010-01-01,PM EA.531.01,NA,NA,-,NA,-,-,PT,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,0,57,NA,57,B*,0,2013-2020,0,NA,0,0,NA,Excluded,B,0,2013-2020,0,NA,0,0,NA,Excluded,B,0,2013-2020,0,NA,0,0,NA,Excluded,B,0,2013-2020,0,NA,0,0,NA,Excluded,B,0,2013-2020,0,NA,0,0,NA,Excluded,B,0,2013-2020,0,NA,0,0,NA,Excluded,B,0,2013-2020,0,NA,0,Not Calculated,NA,Excluded,C,0,2013-2020,0,NA,0,Not Calculated,NA,Excluded,-
PT-200482,200482,"Transportes Aéreos Portugueses, S.A.",Portugal ,PT,100,Holding Account,open,500278725,"Transportes Aéreos Portugueses, S.A.","Aeroporto de Lisboa, Edifício 25 - 8º",NA,Lisboa,1704-801,PT,Portugal ,1,Account holder,NA,NA,NA,2656,NA,NA,NA,2012,0,2012-01-01,PM EA.501.02,NA,NA,-,NA,-,-,PT,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,1980886,2008-2012,1980886,1281902,1281902,1281902,1089617,1281902,A*,499254,2013-2020,499254,NA,0,0,NA,1055775,A*,499254,2013-2020,499254,2164439,2164439,2164439,2164439,1108664,A*,499254,2013-2020,499254,1160829,3325268,3325268,1160829,1160829,A,499254,2013-2020,499254,1115287,4440555,4440555,1115287,1115287,A,499254,2013-2020,499254,1216917,5657472,5657472,1216917,1216917,A,499254,2013-2020,499254,1370440,7027912,7027912,1370440,1370440,A,499254,2013-2020,499254,1416457,8444369,8444369,1416457,1416457,A,525241,2013-2020,525241,455636,8879638,8879638,418841,435269,A*
PT-200652,200652,"White Airways, S.A.",Portugal ,PT,100,Holding Account,open,504869213,"White Airways, S.A.","Rua Henrique Callado, n.º4, piso 2","Edificio Orange, Leião",Porto Salvo,2740-303,PT,Portugal ,1,Account holder,NA,NA,NA,27218,NA,NA,NA,2012,0,2012-01-01,PM EA.502.03,NA,NA,-,NA,-,-,PT,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,43359,2008-2012,43359,NA,0,0,NA,0,A*,2067,2013-2020,2067,NA,0,0,NA,Excluded,A,2067,2013-2020,2067,12344,12344,12344,12344,12344,A*,2067,2013-2020,2067,NA,12344,12344,NA,Excluded,A,2067,2013-2020,2067,NA,12344,12344,NA,Excluded,A,2067,2013-2020,2067,NA,12344,12344,NA,Excluded,A,2067,2013-2020,2067,NA,12344,12344,NA,Excluded,A,2067,2013-2020,2067,NA,12344,12344,NA,Excluded,A,2067,2013-2020,2067,NA,12344,12344,NA,Excluded,A
PT-76,76,"SUGAL - Alimentos, S.A.",Portugal ,PT,100,Holding Account,open,500277230,"SUGAL - Alimentos, S.A.","Estrada Nacional nº 3, Apartado 1, Azambuja",NA,Azambuja,2054-909,PT,Portugal ,1,Account holder,NA,NA,NA,Fábrica de Benavente,NA,NA,100005575,2005,0,2005-11-25,106,38.93,-8.76,Fonte das Sombras - Apartado 6,NA,Benavente,2130,PT,20,Combustion of fuels,27982,2005-2007,27982,28520,28520,28520,28520,28520,A*,27982,2005-2007,27982,27409,55929,55929,27409,27409,A*,27982,2005-2007,27982,29416,85345,85345,29416,29416,A*,31714,2008-2012,31714,27409,27409,27409,13248,27409,A,37171,2008-2012,37171,31540,58949,58949,31540,31540,A*,44084,2008-2012,44084,34373,93322,93322,34373,34373,A,44084,2008-2012,44084,17669,110991,110991,17669,17669,A,44585,2008-2012,44585,21667,132658,132658,21667,21667,A,20098,2013-2020,20098,18927,18927,18927,18927,18927,A*,19520,2013-2020,19520,20899,39826,39826,20899,20899,A,18946,2013-2020,21685,28907,68733,68733,28907,28907,A,18378,2013-2020,24401,24628,93361,93361,24628,24628,A,17813,2013-2020,23726,27139,120500,120500,27139,27139,A,17253,2013-2020,23055,19022,139522,139522,19022,19022,A,16698,2013-2020,22390,22455,161977,161977,22455,22455,A,16151,2013-2020,21732,21687,183664,183664,21687,21687,A
PT-77,77,"DOW Portugal, Produtos Químicos, SUL",Portugal ,PT,100,Holding Account,open,500803862,"DOW Portugal, Produtos Químicos, SUL","Quinta da Indústria, Poente",NA,Estarreja,3860-529,PT,Portugal ,1,Account holder,NA,NA,NA,"Dow Portugal, Produtos Químicos, S.U.L",NA,Dow WIN,100003797,2005,0,2005-11-25,21,40.76,-8.57,"Quinta da Indústria, Poente",NA,Estarreja,3860-529,PT,20,Combustion of fuels,49093,2005-2007,49093,44544,44544,44544,44544,44544,A*,49093,2005-2007,49093,47619,92163,92163,47619,47619,A*,49093,2005-2007,49093,47240,139403,139403,47240,47240,A*,48149,2008-2012,48149,45451,45451,45451,45451,45451,A,48149,2008-2012,48149,29692,75143,75143,29692,29692,A*,48149,2008-2012,48149,50092,125235,125235,38092,50092,A,111632,2008-2012,111632,43748,168983,168983,39748,43748,A,74480,2008-2012,74480,50254,219237,219237,33201,50254,A,45698,2013-2020,45698,53587,53587,53587,53587,53587,A,44905,2013-2020,44905,58860,112447,112447,58860,58860,A,44102,2013-2020,44102,56926,169373,169373,56926,56926,A,43290,2013-2020,43290,52317,221690,221690,52317,52317,A,42470,2013-2020,42470,53661,275351,275351,53661,53661,A,41642,2013-2020,41642,52842,328193,328193,52842,52842,A,40803,2013-2020,40803,48367,376560,376560,48367,48367,A,39962,2013-2020,39962,51059,427619,427619,51059,51059,A
PT-79,79,"SPE-Sociedade de Produção de Electricidade e Calor, S.A.",Portugal ,PT,100,Holding Account,open,503208280,"SPE-Sociedade de Produção de Electricidade e Calor, S.A.","Rua Comendador Manuel Gonçalves, n.º25, S.Cosme da Vila",NA,S. Cosme do Vale,4770-583,PT,Portugal ,1,Account holder,NA,NA,NA,SPE-Sociedade de Produção de Electricidade e Calor,NA,NA,100008206,2005,0,2005-11-25,28,41.44,-8.47,Lugar de Vilar - S. Cosme do Vale,NA,Vila Nova Famalicão,4764-952,PT,20,Combustion of fuels,55626,2005-2007,55626,54078,54078,54078,54078,54078,A*,55626,2005-2007,55626,56516,110594,110594,56516,56516,A*,55626,2005-2007,55626,55721,166315,166315,55721,55721,A*,46027,2008-2012,46027,20925,20925,20925,16339,20925,A,46027,2008-2012,46027,22495,43420,43420,4149,22495,A*,46027,2008-2012,46027,22133,65553,65553,22133,22133,A,46027,2008-2012,46027,21182,86735,86735,21182,21182,A,46027,2008-2012,46027,21158,107893,107893,21158,21158,A,5899,2013-2020,5899,2388,2388,2388,2388,2388,A*,0,2013-2020,0,NA,2388,Not Calculated,NA,0,C*,0,2013-2020,0,77,2465,2465,77,77,A,0,2013-2020,0,293,2758,2758,293,293,A,0,2013-2020,0,326,3084,3084,326,326,A,0,2013-2020,0,495,3579,3579,495,495,A,0,2013-2020,0,677,4256,4256,677,677,A,0,2013-2020,0,605,4861,4861,605,605,A
PT-80,80,"António Marques, Lda",Portugal ,PT,100,Holding Account,closed,500956677,"António Marques, Lda","Rua da Azenha, n.º 42/254",NA,Paços de Brandão,4536,PT,Portugal ,1,Account holder,NA,NA,NA,"António Marques, Lda",NA,NA,100005603,2005,2008,2005-11-25,73,40.98,-8.56,"Rua da Azenha, n.º 42-254",NA,Paços de Brandão,4536,PT,9,Industrial plants for the production of (a) pulp from timber or other fibrous materials (b) paper and board,1632,2005-2007,1632,1778,1778,1778,1778,1778,A*,1632,2005-2007,1632,3328,5106,5106,3328,3328,A*,1632,2005-2007,1632,NA,5106,6738,NA,0,B*,0,2008-2012,0,NA,0,Not Calculated,NA,0,C*,0,2008-2012,0,NA,0,Not Calculated,NA,Not Reported,C,0,2008-2012,0,NA,0,Not Calculated,NA,Not Reported,C,0,2008-2012,0,NA,0,Not Calculated,NA,0,C,0,2008-2012,0,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA
PT-81,81,"Evertis Energia, S.A.",Portugal ,PT,100,Holding Account,closed,506748626,"Evertis Energia, S.A.",Quinta de S. Vicente - Estrada Nacional 246,NA,Portalegre,7300-952,PT,Portugal ,1,Account holder,NA,NA,NA,"Selenis Energia, S.A.",NA,NA,100008306,2005,2017,2005-11-25,92,39.31,-7.44,"SELENIS - Indústria de Polímeros, S.A.",NA,Portela de Carnaxide,7300,PT,20,Combustion of fuels,41225,2005-2007,41225,39452,39452,39452,39452,39452,A*,41225,2005-2007,41225,41161,80613,80613,41161,41161,A*,41225,2005-2007,41225,85454,166067,123340,85454,42727,A*,51079,2008-2012,51079,41324,41324,41324,41324,41324,A,51079,2008-2012,51079,37777,79101,79101,37777,37777,A*,51079,2008-2012,51079,36056,115157,115157,11056,36056,A,51079,2008-2012,51079,21517,136674,136674,21517,21517,A,51079,2008-2012,51079,38162,174836,174836,37623,38162,A,21619,2013-2020,21619,38923,38923,38923,38923,38923,A,21143,2013-2020,21143,25414,64337,64337,25414,25414,A,20669,2013-2020,20669,10246,74583,74583,10246,10246,A,10496,2013-2020,10496,9954,84537,84537,9954,9954,A,10209,2013-2020,10209,3968,88505,88505,3968,3968,A,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA
PT-82,82,"M. A. Lopes D'Avó, Lda",Portugal ,PT,100,Holding Account,open,500659400,"M. A. Lopes D'Avó, Lda",Rua Dr.Carlos Nunes Ferreira,NA,Amiais de Cima,2025,PT,Portugal ,1,Account holder,NA,NA,NA,"M. A. Lopes D'Avó, Lda",NA,NA,100005178,2005,0,2005-11-25,108,39.45,-8.75,Rua Dr. Carlos Nunes Ferreira,NA,Amiais de Cima,2025,PT,32,Manufacture of ceramics,6477,2005-2007,6477,8356,8356,4347,8356,4347,A*,6477,2005-2007,6477,3547,11903,7894,3547,3547,A*,6477,2005-2007,6477,NA,11903,11903,NA,4009,A*,6048,2008-2012,6048,865,865,865,865,865,A,6048,2008-2012,6048,1,866,866,1,1,A*,6048,2008-2012,6048,NA,866,866,NA,0,A,6048,2008-2012,6048,NA,866,866,NA,0,A,6048,2008-2012,6048,NA,866,866,NA,0,A,4354,2013-2020,4354,906,906,906,906,906,A*,2140,2013-2020,2140,898,1804,1804,898,898,A,2102,2013-2020,2102,134,1938,1938,134,134,A,2063,2013-2020,2063,84,2022,2022,84,84,A,2024,2013-2020,2024,172,2194,2194,172,172,A,3968,2013-2020,3968,121,2315,2315,121,121,A,3888,2013-2020,3888,126,2441,2441,126,126,A,3807,2013-2020,3807,149,2590,2590,149,149,A
PT-83,83,"Riopele Têxteis, S.A.",Portugal ,PT,100,Holding Account,closed,500108064,"Riopele Têxteis, S.A.","Avenida da Riopele, n.º 946, Pousada de Saramagos",NA,Pousada de Saramagos,4770-405,PT,Portugal ,1,Account holder,NA,NA,NA,"Riopele Têxteis, S.A.",NA,NA,100004027,2005,2010,2005-11-25,169,41.42,-8.43,"Avenida da Riopele, Pousada de Saramagos, n.º 946",NA,Pousada de Saramagos,4770-405,PT,1,Combustion installations with a rated thermal input exceeding 20 MW,22015,2005-2007,22015,4695,4695,4695,4695,4695,A*,22015,2005-2007,22015,1253,5948,5948,1253,1253,A*,22015,2005-2007,22015,1196,7144,7144,1196,1196,A*,4781,2008-2012,4781,3121,3121,3121,3121,3121,A,4781,2008-2012,4781,2756,5877,5877,756,2756,A*,4781,2008-2012,4781,2919,8796,8796,2919,2919,A,NA,2008-2012,0,NA,8796,8796,NA,0,A,NA,2008-2012,0,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA
