id,InstallationOrAircraftOperatorID,AccountHolderName,NationalAdministrator,NationalAdministratorCode,AccountTypeCode,AccountTypeCodeLookup,AccountStatus,CompanyRegistrationNo,ContactName,ContactAddress1,ContactAddress2,ContactCity,ContactZipCode,ContactCountryCode,ContactCountryCodeLookup,ContactRelationshipTypeCode,ContactRelationshipTypeCodeLookup,ContactTelephone1,ContactTelephone2,ContactEmailAddress,InstallationNameOrAircraftOperatorCode,ParentCompany,SubsidiaryCompany,EPRTRIdentification,FirstYearOfEmissions,LastYearOfEmissions,PermitOrPlanDate,PermitOrPlanID,Latitude,Longitude,Address1,Address2,City,ZipCode,Country,MainActivityTypeCode,MainActivityTypeCodeLookup,FreeAllocations_2005,ETSPhase_2005,AllowanceInAllocation_2005,UnitsSurrendered_2005,CumulativeSurrenderedUnits_2005,CumulativeVerifiedEmissions_2005,SurrenderedAllowances_2005,VerifiedEmissions_2005,ComplianceCode_2005,FreeAllocations_2006,ETSPhase_2006,AllowanceInAllocation_2006,UnitsSurrendered_2006,CumulativeSurrenderedUnits_2006,CumulativeVerifiedEmissions_2006,SurrenderedAllowances_2006,VerifiedEmissions_2006,ComplianceCode_2006,FreeAllocations_2007,ETSPhase_2007,AllowanceInAllocation_2007,UnitsSurrendered_2007,CumulativeSurrenderedUnits_2007,CumulativeVerifiedEmissions_2007,SurrenderedAllowances_2007,VerifiedEmissions_2007,ComplianceCode_2007,FreeAllocations_2008,ETSPhase_2008,AllowanceInAllocation_2008,UnitsSurrendered_2008,CumulativeSurrenderedUnits_2008,CumulativeVerifiedEmissions_2008,SurrenderedAllowances_2008,VerifiedEmissions_2008,ComplianceCode_2008,FreeAllocations_2009,ETSPhase_2009,AllowanceInAllocation_2009,UnitsSurrendered_2009,CumulativeSurrenderedUnits_2009,CumulativeVerifiedEmissions_2009,SurrenderedAllowances_2009,VerifiedEmissions_2009,ComplianceCode_2009,FreeAllocations_2010,ETSPhase_2010,AllowanceInAllocation_2010,UnitsSurrendered_2010,CumulativeSurrenderedUnits_2010,CumulativeVerifiedEmissions_2010,SurrenderedAllowances_2010,VerifiedEmissions_2010,ComplianceCode_2010,FreeAllocations_2011,ETSPhase_2011,AllowanceInAllocation_2011,UnitsSurrendered_2011,CumulativeSurrenderedUnits_2011,CumulativeVerifiedEmissions_2011,SurrenderedAllowances_2011,VerifiedEmissions_2011,ComplianceCode_2011,FreeAllocations_2012,ETSPhase_2012,AllowanceInAllocation_2012,UnitsSurrendered_2012,CumulativeSurrenderedUnits_2012,CumulativeVerifiedEmissions_2012,SurrenderedAllowances_2012,VerifiedEmissions_2012,ComplianceCode_2012,FreeAllocations_2013,ETSPhase_2013,AllowanceInAllocation_2013,UnitsSurrendered_2013,CumulativeSurrenderedUnits_2013,CumulativeVerifiedEmissions_2013,SurrenderedAllowances_2013,VerifiedEmissions_2013,ComplianceCode_2013,FreeAllocations_2014,ETSPhase_2014,AllowanceInAllocation_2014,UnitsSurrendered_2014,CumulativeSurrenderedUnits_2014,CumulativeVerifiedEmissions_2014,SurrenderedAllowances_2014,VerifiedEmissions_2014,ComplianceCode_2014,FreeAllocations_2015,ETSPhase_2015,AllowanceInAllocation_2015,UnitsSurrendered_2015,CumulativeSurrenderedUnits_2015,CumulativeVerifiedEmissions_2015,SurrenderedAllowances_2015,VerifiedEmissions_2015,ComplianceCode_2015,FreeAllocations_2016,ETSPhase_2016,AllowanceInAllocation_2016,UnitsSurrendered_2016,CumulativeSurrenderedUnits_2016,CumulativeVerifiedEmissions_2016,SurrenderedAllowances_2016,VerifiedEmissions_2016,ComplianceCode_2016,FreeAllocations_2017,ETSPhase_2017,AllowanceInAllocation_2017,UnitsSurrendered_2017,CumulativeSurrenderedUnits_2017,CumulativeVerifiedEmissions_2017,SurrenderedAllowances_2017,VerifiedEmissions_2017,ComplianceCode_2017,FreeAllocations_2018,ETSPhase_2018,AllowanceInAllocation_2018,UnitsSurrendered_2018,CumulativeSurrenderedUnits_2018,CumulativeVerifiedEmissions_2018,SurrenderedAllowances_2018,VerifiedEmissions_2018,ComplianceCode_2018,FreeAllocations_2019,ETSPhase_2019,AllowanceInAllocation_2019,UnitsSurrendered_2019,CumulativeSurrenderedUnits_2019,CumulativeVerifiedEmissions_2019,SurrenderedAllowances_2019,VerifiedEmissions_2019,ComplianceCode_2019,FreeAllocations_2020,ETSPhase_2020,AllowanceInAllocation_2020,UnitsSurrendered_2020,CumulativeSurrenderedUnits_2020,CumulativeVerifiedEmissions_2020,SurrenderedAllowances_2020,VerifiedEmissions_2020,ComplianceCode_2020,FreeAllocations_2021,ETSPhase_2021,AllowanceInAllocation_2021,UnitsSurrendered_2021,CumulativeSurrenderedUnits_2021,CumulativeVerifiedEmissions_2021,SurrenderedAllowances_2021,VerifiedEmissions_2021,ComplianceCode_2021,FreeAllocations_2022,ETSPhase_2022,AllowanceInAllocation_2022,UnitsSurrendered_2022,CumulativeSurrenderedUnits_2022,CumulativeVerifiedEmissions_2022,SurrenderedAllowances_2022,VerifiedEmissions_2022,ComplianceCode_2022
RO-200172,200172,BLUE AIR AVIATION S.A.,Romania,RO,100,Holding Account,open,J40/5103/17.04.2013,BLUE AIR AVIATION S.A.,"Sos. Bucuresti-Ploiesti, nr. 42-44, complex BB&TP","Cladirea A, Aripa A1, Et. 3-4, Sector 1",Bucuresti,013696,RO,Romania,1,Account holder,NA,NA,NA,30600,NA,NA,NA,2012,0,2012-01-01,14153/20.10.2009,NA,NA,-,NA,-,-,RO,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,163908,2008-2012,163908,208971,208971,208971,177625,208971,A,153915,2013-2020,153915,NA,0,0,NA,186292,A,153915,2013-2020,153915,379108,379108,379108,379108,192816,A,153915,2013-2020,153915,269194,648302,648302,269194,269194,A,153915,2013-2020,153915,434073,1082375,1082375,434073,434073,A,153915,2013-2020,153915,618177,1700552,1699784,618177,617409,A,153915,2013-2020,153915,605126,2305678,2305678,605126,605894,A,153915,2013-2020,153915,483240,2788918,2788918,483240,483240,A,153915,2013-2020,153915,149335,2938221,2938221,149335,149303,A,143492,2021-2030,143492,153821,153821,206251,153821,206251,B,140264,2021-2030,140264,NA,153821,368601,NA,162350,B
RO-200173,200173,CARPATAIR S.A.,Romania,RO,100,Holding Account,open,J35/777/2003,CARPATAIR S.A.,"Str.Ion Ionescu de la Brad,Nr.15,Timisoara,Timis",NA,Timisoara,300246,RO,Romania,1,Account holder,NA,NA,NA,26254,NA,NA,NA,2012,0,2012-01-01,3198/14.03.2011,NA,NA,-,NA,-,-,RO,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,30892,2008-2012,30892,38029,0,Not Calculated,32325,38029,C,24618,2013-2020,24618,NA,0,0,NA,19536,A,24618,2013-2020,24618,28356,28356,28356,28356,8820,A,24618,2013-2020,24618,5339,33695,33695,5339,5339,A,24618,2013-2020,24618,4605,38300,38300,4605,4605,A,24618,2013-2020,24618,5064,43364,43364,5064,5064,A,24618,2013-2020,24618,2460,45824,45824,2460,2460,A,24618,2013-2020,24618,4779,50603,50603,4779,4779,A,24618,2013-2020,24618,1824,52420,52420,1812,1817,A,24076,2021-2030,24076,NA,0,Not Calculated,NA,Excluded,-,23535,2021-2030,23535,0,0,0,NA,Excluded,A
RO-200174,200174,S.C. TAROM S.A.,Romania,RO,100,Holding Account,open,J23/1298/2003,S.C. TAROM S.A.,"Calea Bucurestilor, nr.224 F",NA,Otopeni,075150,RO,Romania,1,Account holder,NA,NA,NA,2658,NA,NA,NA,2012,0,2012-01-01,14151/20.10.2009,NA,NA,-,NA,-,-,RO,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,185458,2008-2012,185458,260886,260886,260886,221753,260886,A,135528,2013-2020,135528,NA,0,0,NA,267022,A,135528,2013-2020,135528,555727,555727,555727,555727,288705,A,135528,2013-2020,135528,295621,851348,851348,295621,295621,A,135528,2013-2020,135528,313251,1164599,1164599,313251,313251,A,135528,2013-2020,135528,296653,1461252,1461252,296653,296653,A,135528,2013-2020,135528,309544,1770796,1770796,309544,309544,A,135528,2013-2020,135528,311340,2082136,2082136,311340,311340,A,136559,2013-2020,136559,97993,2180129,2180129,97993,97993,A,128848,2021-2030,128848,129100,129050,129050,129100,129050,A,125950,2021-2030,125950,177605,306646,306646,177605,177596,A
RO-200603,200603,Autoritatea Aeronautica Civila Romana,Romania,RO,100,Holding Account,open,J40/9079/2003,Autoritatea Aeronautica Civila Romana,"Str. Bucuresti-Ploiesti nr. 38-40, sec.1 Bucuresti",NA,Bucuresti,013695,RO,Romania,1,Account holder,NA,NA,NA,26019,NA,NA,NA,2012,0,2009-01-01,14155/20.10.2009,NA,NA,-,NA,-,-,RO,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,5,5,5,5,5,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,Not Calculated,NA,Excluded,C,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,Not Calculated,NA,Excluded,-,NA,2021-2030,NA,NA,0,Not Calculated,NA,Excluded,-,NA,2021-2030,NA,NA,0,0,NA,Excluded,A
RO-1,1,SC LASSELBERGER SA,Romania,RO,100,Holding Account,closed,RO446209,SC LASSELBERGER SA,"Str. Zarii, Nr.12, Sector 5",NA,Bucuresti,0,RO,Romania,1,Account holder,NA,NA,NA,SC Las.berg. SA Punct de lucru Lugoj,SC Lasselsberger SA,"SC Lasselsberger SA Punct de lucru Lugoj,SC Lasselsberger SA Punct de lucru Lugoj",NA,2007,2010,2008-04-18,RO-05-14-2007,NA,NA,"Str. Timisorii, nr 149-151",NA,Lugoj,305500,RO,8,"Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain",0,2005-2007,0,NA,NA,NA,NA,NA,NA,0,2005-2007,0,NA,NA,NA,NA,NA,NA,10292,2005-2007,10292,10894,10894,10894,10894,10894,A*,9107,2008-2012,9107,9059,9059,9059,9059,9059,A*,9107,2008-2012,9107,NA,9059,9059,NA,0,A*,NA,2008-2012,0,NA,0,Not Calculated,NA,0,C*,NA,2008-2012,0,NA,0,Not Calculated,NA,Not Reported,C,NA,2008-2012,0,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA
RO-2,2,United Romanian Breweries Bereprod,Romania,RO,100,Holding Account,open,J40/11906/22.06.1994,United Romanian Breweries Bereprod,"Blvd Unirii 27, Bl.:15, Sc. 2, Et. 1, apt. 24, Sec","Pantelimon, Blvd. Biruintei  89, jud. Ilfov, Roman",BUCURESTI,040103,RO,Romania,1,Account holder,NA,NA,NA,United RO Breweries Bereprod SRL,United Romanian Breweries Bereprod SRL,"United Romanian Breweries Bereprod SRL,United Romanian Breweries Bereprod SRL",RO8IF-812,2007,0,2021-03-03,92,NA,NA,"Bd. Biruintei, Nr. 89",NA,Pantelimon,077145,RO,20,Combustion of fuels,0,2005-2007,0,NA,NA,NA,NA,NA,NA,0,2005-2007,0,NA,NA,NA,NA,NA,NA,6999,2005-2007,6999,NA,NA,9397,NA,9397,A*,9797,2008-2012,9797,NA,NA,11168,NA,11168,A,15258,2008-2012,15258,NA,NA,21318,NA,10150,A,15258,2008-2012,15258,NA,NA,33037,NA,11719,A,15258,2008-2012,15258,NA,NA,44099,NA,11062,A,15257,2008-2012,15257,NA,NA,54635,NA,10536,A,6953,2013-2020,6953,NA,NA,9236,NA,9236,A,6222,2013-2020,6222,NA,NA,19642,NA,10406,A,5511,2013-2020,5511,NA,NA,31574,NA,11932,A,4822,2013-2020,4822,NA,NA,42711,NA,11137,A,4154,2013-2020,4154,NA,NA,54814,NA,12103,A,3507,2013-2020,3507,NA,NA,67453,NA,12639,A,2882,2013-2020,2882,NA,NA,79109,NA,11656,A,2280,2013-2020,2280,NA,NA,89181,NA,10072,A,2650,2021-2030,2650,NA,NA,11245,NA,11245,A,2650,2021-2030,2650,NA,NA,21290,NA,10045,A
RO-3,3,SOCIETATEA ELECTROCENTRALE CRAIOVA S.A.,Romania,RO,100,Holding Account,open,J16/2750/2022,SOCIETATEA ELECTROCENTRALE CRAIOVA S.A.,"Str. Bariera Valcii, nr. 19","Str. Bariera Vâlcii, nr. 195",DOLJ,200716,RO,Romania,1,Account holder,NA,NA,NA,SOCIETATEA ELECTROCENTRALE CRAIOVA SA,S Complexul Energetic Oltenia SA,S Complexul Energetic Oltenia SA - SE Craiova II,NA,2007,0,2021-04-02,109,NA,NA,"Str. Bariera Vâlcii, nr. 195",NA,Craiova,200717,RO,20,Combustion of fuels,0,2005-2007,0,NA,NA,NA,NA,NA,NA,0,2005-2007,0,NA,NA,NA,NA,NA,NA,1641882,2005-2007,1641882,2022746,2022746,2022746,2022746,2022746,A*,1445035,2008-2012,1445035,2257591,2257591,2257591,2257591,2257591,A,1445034,2008-2012,1445034,1797740,4055331,4055331,1797740,1797740,A,1445034,2008-2012,1445034,1495325,5550656,5550656,1135325,1495325,A,1445034,2008-2012,1445034,1962612,7513268,7513268,1962612,1962612,A,1445034,2008-2012,1445034,1619393,9132661,9132661,1256876,1619393,A,315646,2013-2020,1033668,1120185,1120185,1120185,1120185,1120185,A,257082,2013-2020,564806,1164735,2284920,2284920,1164735,1164735,A,205255,2013-2020,718128,1241520,3526440,3526440,1241520,1241520,A,159966,2013-2020,570264,1303931,4830371,4830371,1303931,1303931,A,120917,2013-2020,428641,1290216,6120587,6120587,1290216,1290216,A,87841,2013-2020,292990,1265999,7386586,7386586,1265999,1265999,A,60461,2013-2020,163036,1268134,8654720,8654720,1268134,1268134,A,46444,2013-2020,46444,930953,9585673,9585673,930953,930953,A,28436,2021-2030,28436,919154,919154,919154,919154,919154,A,27705,2021-2030,27705,1012091,1931245,1931245,1012091,1012091,A
RO-4,4,CUPROM SA Bucuresti - Sucursala Baia Mare,Romania,RO,100,Holding Account,closed,15521953,CUPROM SA Bucuresti - Sucursala Baia Mare,"Str. Monetariei Nr. 8 , Corp B , Etaj II, Sector 2","Str. Eliberarii, nr 15",Baia Mare,430334,RO,Romania,1,Account holder,NA,NA,NA,CUPROM SA Buc.-Sucurs.BaiaMare,CUPROM SA Bucuresti - Sucursala Baia Mare,"CUPROM SA Bucuresti - Sucursala Baia Mare,CUPROM SA Bucuresti - Sucursala Baia Mare",NA,2007,2012,2008-04-18,RO-06-08-2006,NA,NA,"Str. Eliberarii, nr 15",NA,Baia Mare,430334,RO,20,Combustion of fuels,0,2005-2007,0,NA,NA,NA,NA,NA,NA,0,2005-2007,0,NA,NA,NA,NA,NA,NA,19186,2005-2007,19186,12335,12335,12335,12335,12335,A*,19245,2008-2012,19245,9933,9933,9933,9933,9933,A*,19245,2008-2012,19245,212,10145,10145,212,212,A,19245,2008-2012,19245,62,10207,10207,62,62,A,19245,2008-2012,19245,18,10225,10225,18,18,A*,19244,2008-2012,19244,15,10240,10240,15,15,A,NA,2013-2020,NA,NA,0,Not Calculated,NA,Excluded,C,NA,2013-2020,NA,NA,0,Not Calculated,NA,Excluded,C,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,0,Not Calculated,NA,Excluded,C,NA,2013-2020,NA,NA,0,0,NA,Excluded,A,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA
RO-5,5,Directia de Termoficare a Municipiului Bistrita,Romania,RO,100,Holding Account,closed,19124328,Directia de Termoficare a Municipiului Bistrita,Str. Parcului nr.1,Str. Zefirului nr.1,Bistrita Nasaud,545300,RO,Romania,1,Account holder,NA,NA,NA,Dir.deTermoficare a Municip. Bistrita,Directia de Termoficare a Municipiului Bistrita,"Directia de Termoficare a Municipiului Bistrita,Directia de Termoficare a Municipiului Bistrita",NA,2007,2007,2006-12-29,RO-07-9-2006,NA,NA,Str. Zefirului nr.1,NA,Bistrita Nasaud,545300,RO,20,Combustion of fuels,0,2005-2007,0,NA,NA,NA,NA,NA,NA,0,2005-2007,0,NA,NA,NA,NA,NA,NA,5597,2005-2007,5597,5597,5597,4920,5597,4920,A*,NA,2008-2012,NA,NA,0,Not Calculated,NA,Not Reported,C,NA,2008-2012,NA,NA,0,Not Calculated,NA,Not Reported,C,NA,2008-2012,NA,NA,0,Not Calculated,NA,Not Reported,C,NA,2008-2012,NA,NA,0,Not Calculated,NA,Not Reported,C,NA,2008-2012,NA,NA,0,Not Calculated,NA,Not Reported,C,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA
RO-6,6,ROMCIM SA,Romania,RO,100,Holding Account,open,J40/546/1991,ROMCIM SA,"Str Emanoil Porumbaru nr.93-95, etaj 1&5, sector 1",Bucuresti,Bucuresti,011857,RO,Romania,1,Account holder,NA,NA,NA,ROMCIM SA-Punct de lucru Hoghiz,NA,"CRH Ciment (RO) SA-Punct de lucru Hoghiz,CRH Ciment (RO) SA-Punct de lucru Hoghiz",NA,2007,0,2021-01-19,30,NA,NA,Padurii nr 1,NA,Hoghiz,507095,RO,29,Production of cement clinker,0,2005-2007,0,NA,NA,NA,NA,NA,NA,0,2005-2007,0,NA,NA,NA,NA,NA,NA,1078285,2005-2007,1078285,797476,797476,797476,797476,797476,A*,1306086,2008-2012,1306086,920649,920649,920649,920649,920649,A,1306085,2008-2012,1306085,684340,1604989,1604989,684340,684340,A,1306085,2008-2012,1306085,598530,2203519,2203519,598530,598530,A,1306085,2008-2012,1306085,635868,2839387,2839387,35868,635868,A,1306085,2008-2012,1306085,693187,3532574,3532574,640144,693187,A,695527,2013-2020,695527,610714,610714,610714,610714,610714,A,683446,2013-2020,683446,633988,1244702,1244702,633988,633988,A,671223,2013-2020,671223,844876,2089578,2089578,844876,844876,A,658873,2013-2020,658873,754153,2843731,2843731,754153,754153,A,646390,2013-2020,646390,724346,3568077,3568077,724346,724346,A,633785,2013-2020,633785,746699,4314776,4314776,746699,746699,A,621024,2013-2020,621024,758387,5073163,5073163,758387,758387,A,608218,2013-2020,608218,810426,5883589,5883589,810426,810426,A,616510,2021-2030,616510,861851,861851,861851,861851,861851,A,616510,2021-2030,616510,868612,1730463,1730463,868612,868612,A
