id,InstallationOrAircraftOperatorID,AccountHolderName,NationalAdministrator,NationalAdministratorCode,AccountTypeCode,AccountTypeCodeLookup,AccountStatus,CompanyRegistrationNo,ContactName,ContactAddress1,ContactAddress2,ContactCity,ContactZipCode,ContactCountryCode,ContactCountryCodeLookup,ContactRelationshipTypeCode,ContactRelationshipTypeCodeLookup,ContactTelephone1,ContactTelephone2,ContactEmailAddress,InstallationNameOrAircraftOperatorCode,ParentCompany,SubsidiaryCompany,EPRTRIdentification,FirstYearOfEmissions,LastYearOfEmissions,PermitOrPlanDate,PermitOrPlanID,Latitude,Longitude,Address1,Address2,City,ZipCode,Country,MainActivityTypeCode,MainActivityTypeCodeLookup,FreeAllocations_2005,ETSPhase_2005,AllowanceInAllocation_2005,UnitsSurrendered_2005,CumulativeSurrenderedUnits_2005,CumulativeVerifiedEmissions_2005,SurrenderedAllowances_2005,VerifiedEmissions_2005,ComplianceCode_2005,FreeAllocations_2006,ETSPhase_2006,AllowanceInAllocation_2006,UnitsSurrendered_2006,CumulativeSurrenderedUnits_2006,CumulativeVerifiedEmissions_2006,SurrenderedAllowances_2006,VerifiedEmissions_2006,ComplianceCode_2006,FreeAllocations_2007,ETSPhase_2007,AllowanceInAllocation_2007,UnitsSurrendered_2007,CumulativeSurrenderedUnits_2007,CumulativeVerifiedEmissions_2007,SurrenderedAllowances_2007,VerifiedEmissions_2007,ComplianceCode_2007,FreeAllocations_2008,ETSPhase_2008,AllowanceInAllocation_2008,UnitsSurrendered_2008,CumulativeSurrenderedUnits_2008,CumulativeVerifiedEmissions_2008,SurrenderedAllowances_2008,VerifiedEmissions_2008,ComplianceCode_2008,FreeAllocations_2009,ETSPhase_2009,AllowanceInAllocation_2009,UnitsSurrendered_2009,CumulativeSurrenderedUnits_2009,CumulativeVerifiedEmissions_2009,SurrenderedAllowances_2009,VerifiedEmissions_2009,ComplianceCode_2009,FreeAllocations_2010,ETSPhase_2010,AllowanceInAllocation_2010,UnitsSurrendered_2010,CumulativeSurrenderedUnits_2010,CumulativeVerifiedEmissions_2010,SurrenderedAllowances_2010,VerifiedEmissions_2010,ComplianceCode_2010,FreeAllocations_2011,ETSPhase_2011,AllowanceInAllocation_2011,UnitsSurrendered_2011,CumulativeSurrenderedUnits_2011,CumulativeVerifiedEmissions_2011,SurrenderedAllowances_2011,VerifiedEmissions_2011,ComplianceCode_2011,FreeAllocations_2012,ETSPhase_2012,AllowanceInAllocation_2012,UnitsSurrendered_2012,CumulativeSurrenderedUnits_2012,CumulativeVerifiedEmissions_2012,SurrenderedAllowances_2012,VerifiedEmissions_2012,ComplianceCode_2012,FreeAllocations_2013,ETSPhase_2013,AllowanceInAllocation_2013,UnitsSurrendered_2013,CumulativeSurrenderedUnits_2013,CumulativeVerifiedEmissions_2013,SurrenderedAllowances_2013,VerifiedEmissions_2013,ComplianceCode_2013,FreeAllocations_2014,ETSPhase_2014,AllowanceInAllocation_2014,UnitsSurrendered_2014,CumulativeSurrenderedUnits_2014,CumulativeVerifiedEmissions_2014,SurrenderedAllowances_2014,VerifiedEmissions_2014,ComplianceCode_2014,FreeAllocations_2015,ETSPhase_2015,AllowanceInAllocation_2015,UnitsSurrendered_2015,CumulativeSurrenderedUnits_2015,CumulativeVerifiedEmissions_2015,SurrenderedAllowances_2015,VerifiedEmissions_2015,ComplianceCode_2015,FreeAllocations_2016,ETSPhase_2016,AllowanceInAllocation_2016,UnitsSurrendered_2016,CumulativeSurrenderedUnits_2016,CumulativeVerifiedEmissions_2016,SurrenderedAllowances_2016,VerifiedEmissions_2016,ComplianceCode_2016,FreeAllocations_2017,ETSPhase_2017,AllowanceInAllocation_2017,UnitsSurrendered_2017,CumulativeSurrenderedUnits_2017,CumulativeVerifiedEmissions_2017,SurrenderedAllowances_2017,VerifiedEmissions_2017,ComplianceCode_2017,FreeAllocations_2018,ETSPhase_2018,AllowanceInAllocation_2018,UnitsSurrendered_2018,CumulativeSurrenderedUnits_2018,CumulativeVerifiedEmissions_2018,SurrenderedAllowances_2018,VerifiedEmissions_2018,ComplianceCode_2018,FreeAllocations_2019,ETSPhase_2019,AllowanceInAllocation_2019,UnitsSurrendered_2019,CumulativeSurrenderedUnits_2019,CumulativeVerifiedEmissions_2019,SurrenderedAllowances_2019,VerifiedEmissions_2019,ComplianceCode_2019,FreeAllocations_2020,ETSPhase_2020,AllowanceInAllocation_2020,UnitsSurrendered_2020,CumulativeSurrenderedUnits_2020,CumulativeVerifiedEmissions_2020,SurrenderedAllowances_2020,VerifiedEmissions_2020,ComplianceCode_2020
SE-200041,200041,TUIfly Nordic AB,Sweden,SE,100,Holding Account,open,5562489525,TUIfly Nordic AB,Söder Mälarstrand 27,NA,Stockholm,11785,SE,Sweden,1,Account holder,NA,NA,NA,23235,NA,NA,NA,2012,0,2010-01-01,23235,NA,NA,-,NA,-,-,SE,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,400360,2008-2012,400360,306681,306681,306681,260679,306681,A*,93930,2013-2020,93930,NA,0,0,NA,96703,A,93930,2013-2020,93930,202392,202392,202392,202392,105689,A*,93930,2013-2020,93930,106126,308518,308518,106126,106126,A,93930,2013-2020,93930,122573,431091,431091,122573,122573,A,93930,2013-2020,93930,126844,557935,557935,126844,126844,A,93930,2013-2020,93930,64935,622870,622870,64935,64935,A,93930,2013-2020,93930,74167,697037,697037,74167,74167,A*,93930,2013-2020,93930,9659,706510,706510,9659,9473,A
SE-200082,200082,Scandinavian Airlines System SAS,Sweden,SE,100,Holding Account,open,9020017720,Scandinavian Airlines System SAS,Scandinavian Airlines System SAS,NA,STOCKHOLM,19587,SE,Sweden,1,Account holder,NA,NA,NA,2351,NA,NA,NA,2012,0,2010-01-01,2351,NA,NA,-,NA,-,-,SE,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,2415214,2008-2012,2415214,3621292,3621292,3621292,3078098,3621292,A*,1275339,2013-2020,1275339,NA,0,0,NA,2334686,A,1275339,2013-2020,1275339,4700985,4700985,4700985,4700985,2366299,A,1275339,2013-2020,1275339,2357470,7058455,7058455,2357470,2357470,A,1275339,2013-2020,1275339,2432546,9491001,9491001,2432546,2432546,A,1275339,2013-2020,1275339,2485804,11976805,11976805,2485804,2485804,A,1275339,2013-2020,1275339,2466820,14443625,14443625,2466820,2466820,A,1275339,2013-2020,1275339,2377900,16821525,16821525,2377900,2377900,A*,1327208,2013-2020,1327208,863929,17673272,17673272,839615,851747,A
SE-200462,200462,West Atlantic Sweden AB,Sweden,SE,100,Holding Account,open,556062-4420,West Atlantic Sweden AB,Hangarvägen 4,NA,Malmö-Sturup,SE23371,SE,Sweden,1,Account holder,NA,NA,NA,20170,NA,NA,NA,2012,0,2012-01-01,NV-00912-11,NA,NA,-,NA,-,-,SE,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,15230,2008-2012,15230,3308,3308,3308,2812,3308,A,13495,2013-2020,13495,NA,0,0,NA,10318,A,13495,2013-2020,13495,49684,49684,49684,49684,39366,A,13495,2013-2020,13495,38235,87919,87919,38235,38235,A,13495,2013-2020,13495,40346,128265,128265,40346,40346,A,13495,2013-2020,13495,25296,153561,153561,25296,25296,A,13495,2013-2020,13495,20659,174220,174220,20659,20659,A,13495,2013-2020,13495,18008,192228,192228,18008,18008,A,13495,2013-2020,13495,18594,210822,210822,18594,18594,A
SE-200643,200643,Braathens Regional Aviation AB,Sweden,SE,100,Holding Account,open,556458-3101,Braathens Regional Aviation AB,Box 37,NA,Malmö,20120,SE,Sweden,1,Account holder,NA,NA,NA,21450,NA,NA,NA,2012,2019,2010-01-01,SE.MG.0033,NA,NA,-,NA,-,-,SE,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,60574,2008-2012,60574,131741,131741,131741,111980,131741,A,56321,2013-2020,56321,NA,0,0,NA,130863,A,56321,2013-2020,56321,266733,266733,266733,266733,135870,A,56321,2013-2020,56321,132436,399169,399169,132436,132436,A,56321,2013-2020,56321,116162,515331,515331,116162,116162,A,56321,2013-2020,56321,134950,650281,650281,134950,134950,A,56321,2013-2020,56321,130158,780439,780439,130158,130158,A,56321,2013-2020,56321,110140,890579,890579,110140,110140,A*,0,2013-2020,0,NA,NA,NA,NA,NA,NA
SE-349,349,Stockholm Exergi AB,Sweden,SE,100,Holding Account,closed,556016-9095,Stockholm Exergi AB,Lidingövägen 115,NA,Stockholm,11547,SE,Sweden,1,Account holder,NA,NA,NA,"Örebro Kartongbruk, P4",NA,NA,NA,2005,2009,2005-03-04,18-536-11992-2004,NA,NA,Bruksgatan 18,NA,ÖREBRO,70220,SE,1,Combustion installations with a rated thermal input exceeding 20 MW,8444,2005-2007,8444,410,410,410,410,410,A,8444,2005-2007,8444,625,1035,1035,625,625,A,8444,2005-2007,8444,526,1561,1561,526,526,A,7631,2008-2012,7631,576,576,576,576,576,A,7631,2008-2012,7631,NA,576,576,NA,0,A,NA,2008-2012,0,NA,0,0,NA,NA,A,NA,2008-2012,0,NA,NA,NA,NA,NA,NA,NA,2008-2012,0,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA
SE-428,428,ABB Powergrids Sweden AB,Sweden,SE,100,Holding Account,open,556029-7029,ABB Powergrids Sweden AB,Norstrandsvägen 15,REAL ESTATE,Sunnansjö,77012,SE,Sweden,1,Account holder,NA,NA,NA,"ABB Power Technologies, Figeholm",NA,NA,NA,2005,0,2005-03-04,08-563-011417-2004,NA,NA,Fabriksvägen 25,NA,FIGEHOLM,57275,SE,36,Production of paper or cardboard,9144,2005-2007,9144,6679,6679,6679,6679,6679,A,9144,2005-2007,9144,6577,13256,13256,6577,6577,A*,9144,2005-2007,9144,6998,20254,20254,6998,6998,A,7684,2008-2012,7684,7361,7361,7361,7361,7361,A,7684,2008-2012,7684,8619,15980,15980,8619,8619,A,7684,2008-2012,7684,8991,24971,24971,8991,8991,A,7684,2008-2012,7684,7498,32469,32469,7498,7498,A,7684,2008-2012,7684,7241,39710,39710,7241,7241,A*,6262,2013-2020,6262,8069,8069,8069,8069,8069,A,6153,2013-2020,6153,7064,15133,15133,7064,7064,A,6043,2013-2020,6043,6777,21910,21910,6777,6777,A,5932,2013-2020,5932,7933,29843,29843,7933,7933,A,5819,2013-2020,5819,7901,37744,37744,7901,7901,A,5706,2013-2020,5706,5700,43444,43444,5700,5700,A,5591,2013-2020,5591,5804,49248,49248,5804,5804,A,5476,2013-2020,5476,6863,56111,56111,6863,6863,A
SE-167,167,Länssjukhuset,Sweden,SE,100,Holding Account,closed,232100-0073,Länssjukhuset,Lasarettsvägen,NA,KALMAR,39185,SE,Sweden,1,Account holder,NA,NA,NA,Länssjukhuset i Kalmar,NA,NA,NA,2005,2016,2005-03-04,08-563-000866-2005,NA,NA,Lasarettvägen,NA,KALMAR,39185,SE,20,Combustion of fuels,0,2005-2007,0,NA,0,Not Calculated,NA,0,C*,0,2005-2007,0,NA,0,Not Calculated,NA,0,C*,0,2005-2007,0,1143,1143,Not Calculated,1143,278,C*,431,2008-2012,431,70,70,Not Calculated,70,70,C,431,2008-2012,431,8,0,Not Calculated,8,8,C,431,2008-2012,431,1,79,79,1,1,A,431,2008-2012,431,1,80,80,1,1,A,431,2008-2012,431,3,83,83,3,3,A,77,2013-2020,77,4,4,4,4,4,A*,0,2013-2020,0,16,20,20,16,16,A,0,2013-2020,0,35,55,55,35,34,A*,0,2013-2020,0,16,71,71,16,17,A,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA,0,2013-2020,0,NA,NA,NA,NA,NA,NA
SE-337,337,Ystad Energi AB,Sweden,SE,100,Holding Account,open,556527-2936,Ystad Energi AB,Fridhemsgatan 24,NA,YSTAD,27145,SE,Sweden,1,Account holder,NA,NA,NA,Anoden,NA,NA,NA,2005,0,2005-01-01,12-563-45314-2004,NA,NA,Koppargatan 14,NA,YSTAD,27139,SE,20,Combustion of fuels,4827,2005-2007,4827,1305,1305,1305,1305,1305,A,4827,2005-2007,4827,2661,3966,3966,2661,2661,A,4827,2005-2007,4827,1168,5134,5134,1168,1168,A,0,2008-2012,0,469,469,469,469,469,A,0,2008-2012,0,1060,1529,1529,1060,1060,A,0,2008-2012,0,724,2253,2253,724,724,A,0,2008-2012,0,327,2580,2580,327,327,A,0,2008-2012,0,426,3006,3006,426,426,A,20753,2013-2020,20753,249,249,249,249,249,A,18573,2013-2020,18573,185,434,434,185,185,A,16451,2013-2020,16451,325,759,759,325,325,A,14393,2013-2020,14393,315,1074,1074,315,315,A,12400,2013-2020,12400,510,1584,1584,510,510,A,10470,2013-2020,10470,2546,4130,4130,2546,2546,A,8603,2013-2020,8603,276,4406,4406,276,276,A,6805,2013-2020,6805,NA,4406,4406,NA,0,A
SE-429,429,Håfreströms företagspark AB,Sweden,SE,100,Holding Account,closed,556058-6595,Håfreströms företagspark AB,FABRIKSVÄGEN 15,NA,ÅSENSBRUK,46482,SE,Sweden,1,Account holder,NA,NA,NA,Håfreströms bruk,NA,NA,NA,2005,2013,2005-03-04,14-563-052053-2004,NA,NA,FABRIKSVÄGEN 15,NA,ÅSENSBRUK,46482,SE,20,Combustion of fuels,34123,2005-2007,34123,21042,21042,21042,21042,21042,A,21192,2005-2007,21192,58137,79179,79179,58137,58137,A,21192,2005-2007,21192,21265,100444,100444,21265,21265,A,19155,2008-2012,19155,30846,30846,30846,30846,30846,A,19155,2008-2012,19155,11940,42786,42786,11940,11940,A,19155,2008-2012,19155,1462,44248,44248,1462,1462,A,19155,2008-2012,19155,NA,44248,44248,NA,0,A,19155,2008-2012,19155,NA,44248,44248,NA,0,A,NA,2013-2020,NA,NA,0,Not Calculated,NA,0,C*,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA
SE-385,385,Scania,Sweden,SE,100,Holding Account,closed,556084-0976,Scania,Järnagatan 33,NA,SÖDERTÄLJE,15187,SE,Sweden,1,Account holder,NA,NA,NA,"Scania, Södertälje",NA,NA,NA,2005,2011,2005-03-04,01-563-063204-2004,NA,NA,Järnagatan 33,NA,SÖDERTÄLJE,15187,SE,1,Combustion installations with a rated thermal input exceeding 20 MW,27,2005-2007,27,26,26,26,26,26,A,27,2005-2007,27,23,49,49,23,23,A,27,2005-2007,27,36,85,85,36,36,A,24,2008-2012,24,26,26,26,26,26,A,24,2008-2012,24,18,44,44,18,18,A,24,2008-2012,24,NA,44,44,NA,0,A,24,2008-2012,24,NA,44,44,NA,0,A,24,2008-2012,24,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA
