id,InstallationOrAircraftOperatorID,AccountHolderName,NationalAdministrator,NationalAdministratorCode,AccountTypeCode,AccountTypeCodeLookup,AccountStatus,CompanyRegistrationNo,ContactName,ContactAddress1,ContactAddress2,ContactCity,ContactZipCode,ContactCountryCode,ContactCountryCodeLookup,ContactRelationshipTypeCode,ContactRelationshipTypeCodeLookup,ContactTelephone1,ContactTelephone2,ContactEmailAddress,InstallationNameOrAircraftOperatorCode,ParentCompany,SubsidiaryCompany,EPRTRIdentification,FirstYearOfEmissions,LastYearOfEmissions,PermitOrPlanDate,PermitOrPlanID,Latitude,Longitude,Address1,Address2,City,ZipCode,Country,MainActivityTypeCode,MainActivityTypeCodeLookup,FreeAllocations_2005,ETSPhase_2005,AllowanceInAllocation_2005,UnitsSurrendered_2005,CumulativeSurrenderedUnits_2005,CumulativeVerifiedEmissions_2005,SurrenderedAllowances_2005,VerifiedEmissions_2005,ComplianceCode_2005,FreeAllocations_2006,ETSPhase_2006,AllowanceInAllocation_2006,UnitsSurrendered_2006,CumulativeSurrenderedUnits_2006,CumulativeVerifiedEmissions_2006,SurrenderedAllowances_2006,VerifiedEmissions_2006,ComplianceCode_2006,FreeAllocations_2007,ETSPhase_2007,AllowanceInAllocation_2007,UnitsSurrendered_2007,CumulativeSurrenderedUnits_2007,CumulativeVerifiedEmissions_2007,SurrenderedAllowances_2007,VerifiedEmissions_2007,ComplianceCode_2007,FreeAllocations_2008,ETSPhase_2008,AllowanceInAllocation_2008,UnitsSurrendered_2008,CumulativeSurrenderedUnits_2008,CumulativeVerifiedEmissions_2008,SurrenderedAllowances_2008,VerifiedEmissions_2008,ComplianceCode_2008,FreeAllocations_2009,ETSPhase_2009,AllowanceInAllocation_2009,UnitsSurrendered_2009,CumulativeSurrenderedUnits_2009,CumulativeVerifiedEmissions_2009,SurrenderedAllowances_2009,VerifiedEmissions_2009,ComplianceCode_2009,FreeAllocations_2010,ETSPhase_2010,AllowanceInAllocation_2010,UnitsSurrendered_2010,CumulativeSurrenderedUnits_2010,CumulativeVerifiedEmissions_2010,SurrenderedAllowances_2010,VerifiedEmissions_2010,ComplianceCode_2010,FreeAllocations_2011,ETSPhase_2011,AllowanceInAllocation_2011,UnitsSurrendered_2011,CumulativeSurrenderedUnits_2011,CumulativeVerifiedEmissions_2011,SurrenderedAllowances_2011,VerifiedEmissions_2011,ComplianceCode_2011,FreeAllocations_2012,ETSPhase_2012,AllowanceInAllocation_2012,UnitsSurrendered_2012,CumulativeSurrenderedUnits_2012,CumulativeVerifiedEmissions_2012,SurrenderedAllowances_2012,VerifiedEmissions_2012,ComplianceCode_2012,FreeAllocations_2013,ETSPhase_2013,AllowanceInAllocation_2013,UnitsSurrendered_2013,CumulativeSurrenderedUnits_2013,CumulativeVerifiedEmissions_2013,SurrenderedAllowances_2013,VerifiedEmissions_2013,ComplianceCode_2013,FreeAllocations_2014,ETSPhase_2014,AllowanceInAllocation_2014,UnitsSurrendered_2014,CumulativeSurrenderedUnits_2014,CumulativeVerifiedEmissions_2014,SurrenderedAllowances_2014,VerifiedEmissions_2014,ComplianceCode_2014,FreeAllocations_2015,ETSPhase_2015,AllowanceInAllocation_2015,UnitsSurrendered_2015,CumulativeSurrenderedUnits_2015,CumulativeVerifiedEmissions_2015,SurrenderedAllowances_2015,VerifiedEmissions_2015,ComplianceCode_2015,FreeAllocations_2016,ETSPhase_2016,AllowanceInAllocation_2016,UnitsSurrendered_2016,CumulativeSurrenderedUnits_2016,CumulativeVerifiedEmissions_2016,SurrenderedAllowances_2016,VerifiedEmissions_2016,ComplianceCode_2016,FreeAllocations_2017,ETSPhase_2017,AllowanceInAllocation_2017,UnitsSurrendered_2017,CumulativeSurrenderedUnits_2017,CumulativeVerifiedEmissions_2017,SurrenderedAllowances_2017,VerifiedEmissions_2017,ComplianceCode_2017,FreeAllocations_2018,ETSPhase_2018,AllowanceInAllocation_2018,UnitsSurrendered_2018,CumulativeSurrenderedUnits_2018,CumulativeVerifiedEmissions_2018,SurrenderedAllowances_2018,VerifiedEmissions_2018,ComplianceCode_2018,FreeAllocations_2019,ETSPhase_2019,AllowanceInAllocation_2019,UnitsSurrendered_2019,CumulativeSurrenderedUnits_2019,CumulativeVerifiedEmissions_2019,SurrenderedAllowances_2019,VerifiedEmissions_2019,ComplianceCode_2019,FreeAllocations_2020,ETSPhase_2020,AllowanceInAllocation_2020,UnitsSurrendered_2020,CumulativeSurrenderedUnits_2020,CumulativeVerifiedEmissions_2020,SurrenderedAllowances_2020,VerifiedEmissions_2020,ComplianceCode_2020,FreeAllocations_2021,ETSPhase_2021,AllowanceInAllocation_2021,UnitsSurrendered_2021,CumulativeSurrenderedUnits_2021,CumulativeVerifiedEmissions_2021,SurrenderedAllowances_2021,VerifiedEmissions_2021,ComplianceCode_2021,FreeAllocations_2022,ETSPhase_2022,AllowanceInAllocation_2022,UnitsSurrendered_2022,CumulativeSurrenderedUnits_2022,CumulativeVerifiedEmissions_2022,SurrenderedAllowances_2022,VerifiedEmissions_2022,ComplianceCode_2022
SI-200332,200332,Adria Airways d.o.o.- V STEČAJU,Slovenia,SI,100,Holding Account,open,5156505000,Adria Airways d.o.o.- V STEČAJU,Zgornji Brnik 130H,NA,Brnik,SI-4210,SI,Slovenia,1,Account holder,NA,NA,NA,129,NA,NA,NA,2012,2019,2011-01-01,35433-133-2011,NA,NA,-,NA,-,-,SI,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,82534,2008-2012,82534,71482,71482,71482,60760,71482,A,38891,2013-2020,38891,NA,0,0,NA,59807,A,38891,2013-2020,38891,126013,126013,126013,126013,66206,A,38891,2013-2020,38891,88387,214400,214400,88387,88387,A,38891,2013-2020,38891,135814,350214,350214,135814,135814,A,38891,2013-2020,38891,78572,428786,428786,78572,78572,A,38891,2013-2020,38891,84099,512885,512885,84099,84099,A,38891,2013-2020,38891,723,513608,561105,723,48220,B,0,2013-2020,0,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA,NA,2021-2030,NA,NA,NA,NA,NA,NA,NA
SI-1,1,"ENERGETIKA LJUBLJANA, D.O.O.",Slovenia,SI,100,Holding Account,open,5226406000,"ENERGETIKA LJUBLJANA, D.O.O.",Verovškova 62,NA,Ljubljana,SI-1000,SI,Slovenia,1,Account holder,NA,NA,NA,"Energetika Ljubljana, d.o.o.",NA,NA,NA,2005,0,2005-01-01,SI-35433-67-2004,NA,NA,Verovškova 62,NA,Ljubljana,SI-1000,SI,20,Combustion of fuels,48845,2005-2007,48845,50960,50960,50960,50960,50960,A,46888,2005-2007,46888,57244,108204,108204,57244,57244,A,44930,2005-2007,44930,45991,154195,154195,45991,45991,A,52263,2008-2012,52263,43070,43070,43070,43070,43070,A,52263,2008-2012,52263,52643,95713,95713,52643,52643,A,52263,2008-2012,52263,41628,137341,137341,41628,41628,A,52263,2008-2012,52263,42389,179730,179730,1204,42389,A,52263,2008-2012,52263,44462,224192,224192,44462,44462,A,27776,2013-2020,27776,36849,36849,36849,36849,36849,A,25404,2013-2020,25404,39945,76794,76794,39945,39945,A,23098,2013-2020,23098,37113,113907,113907,37113,37113,A,13391,2013-2020,13391,38998,152905,152905,38998,38998,A,12251,2013-2020,12251,41937,194842,194842,41937,41937,A,16586,2013-2020,16586,39667,234509,234509,39667,39667,A,14547,2013-2020,14547,56729,291238,291238,56729,56729,A,12576,2013-2020,12576,55094,346332,346332,55094,55094,A,14240,2021-2030,14240,70330,70330,70330,70330,70330,A,15058,2021-2030,15058,46984,117314,117314,46984,46984,A
SI-2,2,JAVNO PODJETJE ENERGETIKA MARIBOR D.O.O.,Slovenia,SI,100,Holding Account,open,5107199000,JAVNO PODJETJE ENERGETIKA MARIBOR D.O.O.,Jadranska cesta 28,NA,Maribor,SI-2000,SI,Slovenia,1,Account holder,NA,NA,NA,JAVNO PODJETJE ENERGETIKA MARIBOR D.O.O.,NA,NA,NA,2005,0,2005-01-01,SI-35433-31-2004,NA,NA,Jadranska cesta 28,NA,Maribor,SI-2000,SI,20,Combustion of fuels,33100,2005-2007,33100,31591,31591,31591,31591,31591,A,32021,2005-2007,32021,22320,53911,53911,22320,22320,A,30943,2005-2007,30943,18729,72640,72640,18729,18729,A,30595,2008-2012,30595,20110,20110,20110,20110,20110,A,30595,2008-2012,30595,21614,41724,41724,21614,21614,A,30595,2008-2012,30595,23218,64942,64942,23218,23218,A,30595,2008-2012,30595,20892,85834,85834,NA,20892,A,30595,2008-2012,30595,20308,106142,106142,17100,20308,A,13655,2013-2020,13655,19349,19349,19349,19349,19349,A,12220,2013-2020,12220,7118,26467,26467,7118,7118,A,5413,2013-2020,5413,7192,33659,33659,7192,7192,A,4738,2013-2020,4738,9970,43629,43629,9970,9970,A,8168,2013-2020,8168,13264,56893,56893,13264,13264,A,6902,2013-2020,6902,12624,69517,69517,12624,12624,A,5677,2013-2020,5677,12953,82470,82470,12953,12953,A,4497,2013-2020,4497,12163,94633,94633,12163,12163,A,1820,2021-2030,1820,15103,15103,15103,15103,15103,A,2297,2021-2030,2297,13025,28128,28128,13025,13025,A
SI-3,3,TEB D.O.O. BRESTANICA,Slovenia,SI,100,Holding Account,open,5033772000,TEB D.O.O. BRESTANICA,Cesta prvih borcev 18,NA,Brestanica,SI-8280,SI,Slovenia,1,Account holder,NA,NA,NA,TEB d.o.o. Brestanica,NA,NA,NA,2005,0,2005-01-01,SI-35433-62-2004,NA,NA,Cesta prvih borcev 18,NA,Brestanica,SI-8280,SI,20,Combustion of fuels,86320,2005-2007,86320,27995,27995,27995,27995,27995,A,82878,2005-2007,82878,19951,47946,47946,19951,19951,A,79436,2005-2007,79436,57448,105394,105394,57448,57448,A,65200,2008-2012,65200,12817,12817,12817,12817,12817,A,65200,2008-2012,65200,13088,25905,25905,13088,13088,A,65200,2008-2012,65200,5754,31659,31659,5754,5754,A,65200,2008-2012,65200,10663,42322,42322,10663,10663,A,65200,2008-2012,65200,8843,51165,51165,8843,8843,A,NA,2013-2020,NA,4638,4638,4638,4638,4638,A,NA,2013-2020,NA,10422,15060,15060,10422,10422,A,NA,2013-2020,NA,9136,24196,24196,9136,9136,A,NA,2013-2020,NA,7009,31205,31205,7009,7009,A,NA,2013-2020,NA,10643,41848,41848,10643,10643,A,NA,2013-2020,NA,10236,52084,52084,10236,10236,A,NA,2013-2020,NA,16001,68085,68085,16001,16001,A,NA,2013-2020,NA,29377,97462,97462,29377,29377,A,NA,2021-2030,NA,36679,36679,36679,36679,36679,A,NA,2021-2030,NA,35236,71915,71915,35236,35236,A
SI-4,4,TERMOELEKTRARNA ŠOŠTANJ D.O.O.,Slovenia,SI,100,Holding Account,open,5040388000,TERMOELEKTRARNA ŠOŠTANJ D.O.O.,Cesta Lole Ribarja 18,NA,Šoštanj,SI-3325,SI,Slovenia,1,Account holder,NA,NA,NA,Termoelektrarna Šoštanj d.o.o.,NA,NA,NA,2005,0,2005-01-01,SI-35433-54-2004,NA,NA,Cesta Lole Ribarja 18,NA,Šoštanj,SI-3325,SI,20,Combustion of fuels,4740366,2005-2007,4740366,4622633,4622633,4622633,4622633,4622633,A,4465271,2005-2007,4465271,4662428,9285061,9285061,4662428,4662428,A,4190176,2005-2007,4190176,4906889,14191950,14191950,4906889,4906889,A,4300824,2008-2012,4300824,4798149,4798149,4798149,4128149,4798149,A,4300824,2008-2012,4300824,4573225,9371374,9371374,4303336,4573225,A,4300824,2008-2012,4300824,4775277,14146651,14146651,4775277,4775277,A,4300824,2008-2012,4300824,4676085,18822736,18822736,4676085,4676085,A,4300824,2008-2012,4300824,4547821,23370557,23370557,2098452,4547821,A,132157,2013-2020,132157,4362082,4362082,4362082,4362082,4362082,A,110006,2013-2020,110006,3530977,7893059,7893059,3530977,3530977,A,90334,2013-2020,90334,3791039,11684098,11684098,3791039,3791039,A,73070,2013-2020,73070,4148697,15832795,15832795,4148697,4148697,A,58102,2013-2020,58102,4073442,19906237,19906237,4073442,4073442,A,45335,2013-2020,45335,3927162,23833399,23833399,3927162,3927162,A,37967,2013-2020,37967,3817347,27650746,27650746,3817347,3817347,A,32042,2013-2020,32042,3760438,31411184,31411184,3760438,3760438,A,14672,2021-2030,14672,3375040,3375040,3375040,3375040,3375040,A,14295,2021-2030,14295,2660753,6035793,6035793,2660753,2660753,A
SI-5,5,"ENERGETIKA LJUBLJANA, d.o.o.",Slovenia,SI,100,Holding Account,open,5226406,"ENERGETIKA LJUBLJANA, d.o.o.",Verovškova 62,NA,Ljubljana,SI-1000,SI,Slovenia,1,Account holder,NA,NA,NA,"TE-TOL, D.O.O.",NA,NA,NA,2005,0,2005-01-01,SI-35433-61-2004,NA,NA,Toplarniška 19,NA,Ljubljana,SI-1000,SI,20,Combustion of fuels,836237,2005-2007,836237,858187,858187,858187,858187,858187,A,802940,2005-2007,802940,809286,1667473,1667473,809286,809286,A,769642,2005-2007,769642,809426,2476899,2476899,809426,809426,A,769556,2008-2012,769556,826144,826144,826144,826144,826144,A,769556,2008-2012,769556,701085,1527229,1527229,591085,701085,A,769556,2008-2012,769556,756316,2283545,2283545,516316,756316,A,769556,2008-2012,769556,721924,3005469,3005469,545206,721924,A,769556,2008-2012,769556,670947,3676416,3676416,591216,670947,A,296268,2013-2020,296268,649890,649890,649890,649890,649890,A,251596,2013-2020,251596,584808,1234698,1234698,584808,584808,A,211208,2013-2020,211208,565901,1800599,1800599,565901,565901,A,175009,2013-2020,175009,576966,2377565,2377565,576966,576966,A,147906,2013-2020,147906,611420,2988985,2988985,611420,611420,A,127310,2013-2020,127310,627047,3616032,3616032,627047,627047,A,107370,2013-2020,107370,487679,4103711,4103711,487679,487679,A,88133,2013-2020,88133,475742,4579453,4579453,475742,475742,A,53136,2021-2030,53136,501130,501130,501130,501130,501130,A,51770,2021-2030,51770,465974,967104,967104,465974,465974,A
SI-6,6,HSE Energetska družba Trbovlje d.o.o.,Slovenia,SI,100,Holding Account,open,5035511000,HSE Energetska družba Trbovlje d.o.o.,Ob železnici 27,NA,Trbovlje,SI-1420,SI,Slovenia,1,Account holder,NA,NA,NA,"TET, d.o.o.",NA,NA,NA,2005,0,2005-01-01,SI-35433-40-2004,NA,NA,Ob železnici 27,NA,Trbovlje,SI-1420,SI,20,Combustion of fuels,743260,2005-2007,743260,670750,670750,670750,670750,670750,A,713675,2005-2007,713675,747600,1418350,1418350,747600,747600,A,684089,2005-2007,684089,727309,2145659,2145659,727309,727309,A,681420,2008-2012,681420,682625,682625,682625,682625,682625,A,681420,2008-2012,681420,729965,1412590,1412590,681253,729965,A,681420,2008-2012,681420,591297,2003887,2003887,591297,591297,A,681420,2008-2012,681420,747089,2750976,2750976,747089,747089,A,681420,2008-2012,681420,636131,3387107,3387107,147881,636131,A,NA,2013-2020,NA,553014,553014,553014,553014,553014,A,NA,2013-2020,NA,143390,696404,696404,143390,143390,A,NA,2013-2020,NA,232,696636,696636,232,232,A,NA,2013-2020,NA,276,696912,696912,276,276,A,NA,2013-2020,NA,1935,698847,698847,1935,1935,A,NA,2013-2020,NA,69,698916,698916,69,69,A,NA,2013-2020,NA,222,699138,699138,222,222,A,NA,2013-2020,NA,NA,699138,699138,NA,0,A,NA,2021-2030,NA,NA,0,0,NA,0,A,NA,2021-2030,NA,1921,1921,1921,1921,1921,A
SI-7,7,SIJ ACRONI D.O.O.,Slovenia,SI,100,Holding Account,open,5688418000,SIJ ACRONI D.O.O.,Cesta Borisa Kidriča 44,NA,Jesenice,SI-4270,SI,Slovenia,1,Account holder,NA,NA,NA,"Acroni, d.o.o.",NA,NA,NA,2005,0,2005-01-01,SI-35433-23-2004,NA,NA,Cesta Borisa Kidriča 44,NA,Jesenice,SI-4270,SI,24,Production of pig iron or steel,87055,2005-2007,87055,90638,90638,90638,90638,90638,A,83568,2005-2007,83568,NA,90638,183644,NA,93006,B,80081,2005-2007,80081,181306,271944,271944,181306,88300,A,91386,2008-2012,91386,97418,97418,97418,82418,97418,A,91386,2008-2012,91386,78144,175562,175562,63144,78144,A,91386,2008-2012,91386,94564,270126,270126,52564,94564,A,91386,2008-2012,91386,96067,366193,366193,96067,96067,A,91386,2008-2012,91386,98538,464731,464731,98538,98538,A,99172,2013-2020,99172,98746,98746,98746,98746,98746,A,97449,2013-2020,97449,101921,200667,200667,101921,101921,A,95706,2013-2020,95706,94988,295655,295655,94988,95712,A*,93945,2013-2020,93945,97012,392667,392667,97012,96288,A,92165,2013-2020,92165,105165,497832,497832,105165,105165,A,90367,2013-2020,90367,108454,606286,606286,108454,108454,A,88548,2013-2020,88548,111292,717578,717578,111292,111292,A,86723,2013-2020,86723,104938,822516,822516,104938,104938,A,75909,2021-2030,75909,110335,110335,110335,110335,110335,A,75909,2021-2030,75909,92164,202499,202499,92164,92164,A
SI-8,8,SIJ METAL RAVNE d.o.o.,Slovenia,SI,100,Holding Account,open,5686482000,SIJ METAL RAVNE d.o.o.,Koroška cesta 14,NA,Ravne na Koroškem,SI-2390,SI,Slovenia,1,Account holder,NA,NA,NA,Metal Ravne d.o.o.,NA,NA,NA,2005,0,2005-01-01,SI-35433-82-2004,NA,NA,Koroška cesta 14,NA,Ravne na Koroškem,SI-2390,SI,24,Production of pig iron or steel,58392,2005-2007,58392,61131,61131,61131,61131,61131,A,55649,2005-2007,55649,57770,118901,118901,57770,57770,A,52905,2005-2007,52905,55275,174176,174176,55275,55275,A,55216,2008-2012,55216,56146,56146,56146,56146,56146,A,55216,2008-2012,55216,43356,99502,99502,43356,43356,A,55216,2008-2012,55216,59791,159293,159293,59791,59791,A,55216,2008-2012,55216,66226,225519,225519,22714,66226,A,55216,2008-2012,55216,67187,292706,292706,67187,67187,A,56035,2013-2020,56035,67897,67897,67897,67897,67897,A,55061,2013-2020,55061,71218,139115,139115,71218,71218,A,54076,2013-2020,54076,76202,215317,215317,76202,76202,A,53082,2013-2020,53082,85558,300875,300875,85558,85558,A,52076,2013-2020,52076,83859,384734,384734,83859,83859,A,51061,2013-2020,51061,82461,467195,467195,82461,82461,A,50032,2013-2020,50032,80104,547299,547299,80104,80104,A,49000,2013-2020,49000,77029,624328,624328,77029,77029,A,63306,2021-2030,63306,81450,81450,81450,81450,81450,A,63488,2021-2030,63488,76683,158133,158133,76683,76683,A
SI-9,9,ŠTORE STEEL D.O.O.,Slovenia,SI,100,Holding Account,open,1197967000,ŠTORE STEEL D.O.O.,Železarska 3,NA,Štore,SI-3220,SI,Slovenia,1,Account holder,NA,NA,NA,ŠTORE STEEL D.O.O.,NA,NA,NA,2005,0,2005-01-01,SI-35433-24-2004,NA,NA,Železarska 3,NA,Štore,SI-3220,SI,24,Production of pig iron or steel,29288,2005-2007,29288,34306,34306,34306,34306,34306,A,28206,2005-2007,28206,34758,69064,69064,34758,34758,A,27124,2005-2007,27124,36578,105642,105642,36578,36578,A,28319,2008-2012,28319,35090,35090,35090,29560,35090,A,28319,2008-2012,28319,18005,53095,53095,12535,18005,A,28319,2008-2012,28319,32644,85739,85739,21328,32644,A,28319,2008-2012,28319,34934,120673,120673,34934,34934,A,28319,2008-2012,28319,31676,152349,152349,31676,31676,A,31225,2013-2020,31225,33462,33462,33462,33462,33462,A,30683,2013-2020,30683,33387,66849,66849,33387,33387,A,30135,2013-2020,30135,34441,101290,101290,34441,34441,A,29580,2013-2020,29580,35642,136932,136932,35642,35642,A,29020,2013-2020,29020,38443,175375,175375,38443,38443,A,28454,2013-2020,28454,37310,212685,212685,37310,37310,A,27881,2013-2020,27881,31122,243807,243807,31122,31122,A,27306,2013-2020,27306,28157,271964,271964,28157,28157,A,25157,2021-2030,25157,35082,35082,35082,35082,35082,A,27889,2021-2030,27889,34148,69230,69230,34148,34148,A
