id,InstallationOrAircraftOperatorID,AccountHolderName,NationalAdministrator,NationalAdministratorCode,AccountTypeCode,AccountTypeCodeLookup,AccountStatus,CompanyRegistrationNo,ContactName,ContactAddress1,ContactAddress2,ContactCity,ContactZipCode,ContactCountryCode,ContactCountryCodeLookup,ContactRelationshipTypeCode,ContactRelationshipTypeCodeLookup,ContactTelephone1,ContactTelephone2,ContactEmailAddress,InstallationNameOrAircraftOperatorCode,ParentCompany,SubsidiaryCompany,EPRTRIdentification,FirstYearOfEmissions,LastYearOfEmissions,PermitOrPlanDate,PermitOrPlanID,Latitude,Longitude,Address1,Address2,City,ZipCode,Country,MainActivityTypeCode,MainActivityTypeCodeLookup,FreeAllocations_2005,ETSPhase_2005,AllowanceInAllocation_2005,UnitsSurrendered_2005,CumulativeSurrenderedUnits_2005,CumulativeVerifiedEmissions_2005,SurrenderedAllowances_2005,VerifiedEmissions_2005,ComplianceCode_2005,FreeAllocations_2006,ETSPhase_2006,AllowanceInAllocation_2006,UnitsSurrendered_2006,CumulativeSurrenderedUnits_2006,CumulativeVerifiedEmissions_2006,SurrenderedAllowances_2006,VerifiedEmissions_2006,ComplianceCode_2006,FreeAllocations_2007,ETSPhase_2007,AllowanceInAllocation_2007,UnitsSurrendered_2007,CumulativeSurrenderedUnits_2007,CumulativeVerifiedEmissions_2007,SurrenderedAllowances_2007,VerifiedEmissions_2007,ComplianceCode_2007,FreeAllocations_2008,ETSPhase_2008,AllowanceInAllocation_2008,UnitsSurrendered_2008,CumulativeSurrenderedUnits_2008,CumulativeVerifiedEmissions_2008,SurrenderedAllowances_2008,VerifiedEmissions_2008,ComplianceCode_2008,FreeAllocations_2009,ETSPhase_2009,AllowanceInAllocation_2009,UnitsSurrendered_2009,CumulativeSurrenderedUnits_2009,CumulativeVerifiedEmissions_2009,SurrenderedAllowances_2009,VerifiedEmissions_2009,ComplianceCode_2009,FreeAllocations_2010,ETSPhase_2010,AllowanceInAllocation_2010,UnitsSurrendered_2010,CumulativeSurrenderedUnits_2010,CumulativeVerifiedEmissions_2010,SurrenderedAllowances_2010,VerifiedEmissions_2010,ComplianceCode_2010,FreeAllocations_2011,ETSPhase_2011,AllowanceInAllocation_2011,UnitsSurrendered_2011,CumulativeSurrenderedUnits_2011,CumulativeVerifiedEmissions_2011,SurrenderedAllowances_2011,VerifiedEmissions_2011,ComplianceCode_2011,FreeAllocations_2012,ETSPhase_2012,AllowanceInAllocation_2012,UnitsSurrendered_2012,CumulativeSurrenderedUnits_2012,CumulativeVerifiedEmissions_2012,SurrenderedAllowances_2012,VerifiedEmissions_2012,ComplianceCode_2012,FreeAllocations_2013,ETSPhase_2013,AllowanceInAllocation_2013,UnitsSurrendered_2013,CumulativeSurrenderedUnits_2013,CumulativeVerifiedEmissions_2013,SurrenderedAllowances_2013,VerifiedEmissions_2013,ComplianceCode_2013,FreeAllocations_2014,ETSPhase_2014,AllowanceInAllocation_2014,UnitsSurrendered_2014,CumulativeSurrenderedUnits_2014,CumulativeVerifiedEmissions_2014,SurrenderedAllowances_2014,VerifiedEmissions_2014,ComplianceCode_2014,FreeAllocations_2015,ETSPhase_2015,AllowanceInAllocation_2015,UnitsSurrendered_2015,CumulativeSurrenderedUnits_2015,CumulativeVerifiedEmissions_2015,SurrenderedAllowances_2015,VerifiedEmissions_2015,ComplianceCode_2015,FreeAllocations_2016,ETSPhase_2016,AllowanceInAllocation_2016,UnitsSurrendered_2016,CumulativeSurrenderedUnits_2016,CumulativeVerifiedEmissions_2016,SurrenderedAllowances_2016,VerifiedEmissions_2016,ComplianceCode_2016,FreeAllocations_2017,ETSPhase_2017,AllowanceInAllocation_2017,UnitsSurrendered_2017,CumulativeSurrenderedUnits_2017,CumulativeVerifiedEmissions_2017,SurrenderedAllowances_2017,VerifiedEmissions_2017,ComplianceCode_2017,FreeAllocations_2018,ETSPhase_2018,AllowanceInAllocation_2018,UnitsSurrendered_2018,CumulativeSurrenderedUnits_2018,CumulativeVerifiedEmissions_2018,SurrenderedAllowances_2018,VerifiedEmissions_2018,ComplianceCode_2018,FreeAllocations_2019,ETSPhase_2019,AllowanceInAllocation_2019,UnitsSurrendered_2019,CumulativeSurrenderedUnits_2019,CumulativeVerifiedEmissions_2019,SurrenderedAllowances_2019,VerifiedEmissions_2019,ComplianceCode_2019,FreeAllocations_2020,ETSPhase_2020,AllowanceInAllocation_2020,UnitsSurrendered_2020,CumulativeSurrenderedUnits_2020,CumulativeVerifiedEmissions_2020,SurrenderedAllowances_2020,VerifiedEmissions_2020,ComplianceCode_2020
SK-200955,200955,"VIP WINGS, a.s.",Slovakia,SK,100,Holding Account,closed,35788631,"VIP WINGS, a.s.",Ivánska cesta 30/B,NA,Bratislava,82104,SK,Slovakia,1,Account holder,NA,NA,NA,28497,NA,NA,NA,2012,2012,2012-01-01,17366/2011,NA,NA,-,NA,-,-,SK,10,Aircraft operator activities,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2005-2007,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,4005,2008-2012,4005,6678,6678,6678,5677,6678,A*,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA
SK-1,1,"STEFE Banská Bystrica, a.s.",Slovakia,SK,100,Holding Account,open,36024473,"STEFE Banská Bystrica, a.s.",Zvolenská cesta 1,NA,Banská Bystrica,97405,SK,Slovakia,1,Account holder,NA,NA,NA,Tepláreň Radvaň,"STEFE Banská Bystrica, a.s.",NA,NA,2005,0,2008-01-01,601-001-2012,48.43,19.08,Zvolenská cesta 1,NA,Banská Bystrica,97405,SK,20,Combustion of fuels,37541,2005-2007,37541,NA,0,23371,NA,23371,B,37541,2005-2007,37541,47562,47562,47562,47562,24191,A*,37540,2005-2007,37540,25895,73457,73457,25895,25895,A,32600,2008-2012,32600,23516,23516,23516,23516,23516,A,32600,2008-2012,32600,23280,46796,46796,23280,23280,A,32600,2008-2012,32600,23094,69890,69890,14023,23094,A,32600,2008-2012,32600,20340,90230,90230,18001,20340,A,32600,2008-2012,32600,13057,103287,103287,13057,13057,A,9725,2013-2020,9725,12305,12305,12305,12305,12305,A,8673,2013-2020,8673,12435,24740,24740,12435,12435,A,7684,2013-2020,7684,12701,37441,37441,12701,12701,A,6725,2013-2020,6725,13386,50827,50827,13386,13386,A,5797,2013-2020,5797,13055,63882,63882,13055,13055,A,4899,2013-2020,4899,11989,75871,75871,11989,11989,A,4030,2013-2020,4030,11180,87051,87051,11180,11180,A,3192,2013-2020,3192,17238,104289,104289,17238,17238,A
SK-3,3,"Tate & Lyle Boleraz, s.r.o.",Slovakia,SK,100,Holding Account,open,31411011,"Tate & Lyle Boleraz, s.r.o.",Boleráz,NA,Boleráz,91908,SK,Slovakia,1,Account holder,NA,NA,NA,"Tate & Lyle Boleraz, s.r.o.","Tate & Lyle, s.r.o.",NA,22997,2005,0,2008-01-01,207-002-2012,48.47,17.5,Boleráz,NA,Boleráz,91908,SK,20,Combustion of fuels,39045,2005-2007,39045,541,541,39586,541,39586,B,39045,2005-2007,39045,85826,86367,86367,85826,46781,A*,39045,2005-2007,39045,44950,131317,131317,44950,44950,A*,44200,2008-2012,44200,55380,55380,55380,55380,55380,A*,44200,2008-2012,44200,49229,104609,104609,49229,49229,A,66500,2008-2012,66500,51840,156449,156449,51840,51840,A,73200,2008-2012,73200,58929,215378,215378,58929,58929,A,73200,2008-2012,73200,57082,272460,272460,57082,57082,A,42263,2013-2020,42263,52288,52288,52288,52288,52288,A,41528,2013-2020,41528,59480,111768,111768,59480,59480,A,40793,2013-2020,40793,60606,172374,172374,60606,60606,A,40056,2013-2020,40056,59805,232179,232179,59805,59805,A,39321,2013-2020,39321,59942,292121,292121,59942,59942,A,38586,2013-2020,38586,55176,347297,347297,55176,55176,A*,37851,2013-2020,37851,56311,403608,403608,56311,56311,A,37116,2013-2020,37116,65198,468806,468806,65198,65198,A
SK-4,4,A.N.B. a.s.,Slovakia,SK,100,Holding Account,closed,35732032,A.N.B. a.s.,Bystrická 657/7,NA,Žarnovica,96681,SK,Slovakia,1,Account holder,NA,NA,NA,A.N.B. a.s.,NA,NA,NA,2005,2007,2006-02-10,612-001-2005,NA,NA,Bystrická 657/7,NA,Žarnovica,96681,SK,1,Combustion installations with a rated thermal input exceeding 20 MW,1892,2005-2007,1892,NA,0,12,NA,12,B,1892,2005-2007,1892,67,67,67,67,55,A,1891,2005-2007,1891,21,88,88,21,21,A*,NA,2008-2012,NA,NA,0,0,NA,NA,A,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,0,Not Calculated,NA,Not Reported,C,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA
SK-5,5,"AVC, a.s.",Slovakia,SK,100,Holding Account,closed,31561306,"AVC, a.s.",Slobody 1360,NA,Čadca,02211,SK,Slovakia,1,Account holder,NA,NA,NA,"AVC, a.s.","AVC, a.s.",NA,NA,2005,2007,2005-12-21,502-002-2005,NA,NA,Slobody 1360,NA,Čadca,02211,SK,1,Combustion installations with a rated thermal input exceeding 20 MW,5197,2005-2007,5197,1,1,1997,1,1997,B,5196,2005-2007,5196,2937,2938,2938,2937,941,A*,5196,2005-2007,5196,NA,2938,2938,NA,0,A*,NA,2008-2012,NA,NA,0,0,NA,NA,A,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,0,Not Calculated,NA,Not Reported,C,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2008-2012,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA
SK-6,6,Bekaert Hlohovec a. s.,Slovakia,SK,100,Holding Account,closed,36234052,Bekaert Hlohovec a. s.,Mierová 2317,NA,Hlohovec,92028,SK,Slovakia,1,Account holder,NA,NA,NA,Bekaert Hlohovec a.s.,Bekaert Hlohovec a. s.,NA,NA,2005,2011,2008-01-01,203-002-2005,NA,NA,Mierová 2317,NA,Hlohovec,92028,SK,1,Combustion installations with a rated thermal input exceeding 20 MW,18792,2005-2007,18792,NA,0,7531,NA,7531,B,18792,2005-2007,18792,14948,14948,14948,14948,7417,A*,18792,2005-2007,18792,7253,22201,22201,7253,7253,A*,7480,2008-2012,7480,8134,8134,8134,8134,8134,A*,7480,2008-2012,7480,6744,14878,14878,6744,6744,A,7480,2008-2012,7480,250,15128,15128,250,250,A,7480,2008-2012,7480,NA,15128,15128,NA,0,A*,NA,2008-2012,0,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA
SK-7,7,Biotika a.s.,Slovakia,SK,100,Holding Account,open,31561900,Biotika a.s.,Slovenská Ľupča 566,NA,Slovenská Ľupča,97613,SK,Slovakia,1,Account holder,NA,NA,NA,"Prevádzka Energetika Biotika, a.s., Slov. Ľupča",Biotika a.s.,NA,83074,2005,0,2008-01-01,601-005-2017,48.7,19.14,Slovenská Ľupča 566,NA,Slovenská Ľupča,97613,SK,20,Combustion of fuels,58417,2005-2007,58417,4977,4977,28193,4977,28193,B,58416,2005-2007,58416,43414,48391,48391,43414,20198,A*,58416,2005-2007,58416,23173,71564,71564,23173,23173,A,52561,2008-2012,52561,23420,23420,23420,5120,23420,A,52561,2008-2012,52561,18828,42248,42248,18828,18828,A,52561,2008-2012,52561,19221,61469,61469,19221,19221,A,52561,2008-2012,52561,20652,82121,82121,20652,20652,A,52561,2008-2012,52561,17818,99939,99939,17818,17818,A,15874,2013-2020,15874,19849,19849,19849,19849,19849,A,15598,2013-2020,15598,15464,35313,35313,15464,15464,A,15319,2013-2020,15319,15097,50410,50410,15097,15097,A,15037,2013-2020,15037,14738,65148,65148,14738,14738,A,14752,2013-2020,14752,10760,75908,75908,10760,10760,A,14464,2013-2020,14464,10606,86514,86514,10606,10606,A*,14173,2013-2020,14173,8815,95329,95329,8815,8815,A,13881,2013-2020,13881,6786,102115,102115,6786,6786,A
SK-8,8,TIMMA s.r.o.,Slovakia,SK,100,Holding Account,closed,36624985,TIMMA s.r.o.,Námestie A. Hlinka 3/816,NA,Žilina,01011,SK,Slovakia,1,Account holder,NA,NA,NA,TIMMA s.r.o.,TIMMA s.r.o.,NA,NA,2005,2011,2008-01-01,606-001-2005,NA,NA,Zvolenská cesta 2740,NA,Lučenec,98401,SK,8,"Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain",34286,2005-2007,34286,9162,9162,27146,9162,27146,B*,34285,2005-2007,34285,39314,48476,48476,39314,21330,A,34285,2005-2007,34285,15495,63971,63971,15495,15495,A,39433,2008-2012,39433,10550,10550,10550,550,10550,A,39433,2008-2012,39433,2994,13544,13544,NA,2994,A,39433,2008-2012,39433,57,13601,13601,51,57,A,39433,2008-2012,39433,5,13606,13606,5,5,A,NA,2008-2012,0,NA,0,Not Calculated,NA,Not Reported,C,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA,NA,2013-2020,NA,NA,NA,NA,NA,NA,NA
SK-9,9,"Bratislavská teplárenská, a.s.",Slovakia,SK,100,Holding Account,open,35823542,"Bratislavská teplárenská, a.s.",Turbínová 3,NA,Bratislava - mestská časť Nové Mesto,82905,SK,Slovakia,1,Account holder,NA,NA,NA,Tepláreň východ,"Bratislavská teplárenská, a.s.",NA,9132,2005,0,2008-01-01,103-012-2012,48.32,17.15,Turbínova 3,NA,Bratislava 3,83226,SK,20,Combustion of fuels,132530,2005-2007,132530,NA,0,119341,NA,119341,B*,132530,2005-2007,132530,206780,206780,206780,206780,87439,A*,132530,2005-2007,132530,38762,245542,245542,38762,38762,A,103390,2008-2012,103390,39938,39938,39938,39938,39938,A,103390,2008-2012,103390,39339,79277,79277,39339,39339,A,103390,2008-2012,103390,41099,120376,120376,41099,41099,A,103390,2008-2012,103390,26282,146658,146658,NA,26282,A,103390,2008-2012,103390,28619,175277,175277,18715,28619,A*,34740,2013-2020,34740,30641,30641,30641,30641,30641,A,31598,2013-2020,44933,136535,167176,167176,136535,136535,A,51480,2013-2020,63387,136695,303871,303871,136695,136695,A,45658,2013-2020,56183,137191,441062,441062,137191,137191,A,40014,2013-2020,49200,62365,503427,503427,62365,62365,A,34551,2013-2020,42439,59662,563089,563089,59662,59662,A,29260,2013-2020,35893,56301,619390,619390,56301,56301,A,24157,2013-2020,29580,58654,678044,678044,58654,58654,A
SK-10,10,"Bratislavská teplárenská, a.s.",Slovakia,SK,100,Holding Account,open,35823542,"Bratislavská teplárenská, a.s.",Turbínová 3,NA,Bratislava - mestská časť Nové Mesto,82905,SK,Slovakia,1,Account holder,NA,NA,NA,Tepláreň západ,"Bratislavská teplárenská, a.s.",NA,9133,2005,0,2008-01-01,104-013-2012,48.1,17.04,Polianky 6,NA,Bratislava 42,84101,SK,20,Combustion of fuels,121764,2005-2007,121764,NA,0,101300,NA,101300,B,121764,2005-2007,121764,195769,195769,195769,195769,94469,A*,121764,2005-2007,121764,85028,280797,280797,85028,85028,A,97884,2008-2012,97884,84369,84369,84369,84369,84369,A,97884,2008-2012,97884,83582,167951,167951,83582,83582,A,97884,2008-2012,97884,87459,255410,255410,87459,87459,A,97884,2008-2012,97884,78038,333448,333448,43779,78038,A,97884,2008-2012,97884,69910,403358,403358,69910,69910,A*,62358,2013-2020,62358,61274,61274,61274,61274,61274,A*,55804,2013-2020,55804,49413,110687,110687,49413,49413,A,49437,2013-2020,49437,54288,164975,164975,54288,54288,A,43271,2013-2020,43271,55730,220705,220705,55730,55730,A,37298,2013-2020,37298,54894,275599,275599,54894,54894,A,31519,2013-2020,31519,49857,325456,325456,49857,49857,A,25928,2013-2020,25928,48928,374384,374384,48928,48928,A,20536,2013-2020,20536,47248,421632,421632,47248,47248,A
